"gene","2-1","3-1","3-2","4-1","4-2","4-3"
"ZNF195",0.093316471420395,0.00396824255334716,0.528446044147761,0.0240138157291994,0.581738066254172,0.994802872616973
"ZNF263",0.915682791278049,0.330830571696528,0.670550437253973,0.443099996614732,0.712684784698876,0.996914106681651
"ZNF200",0.112073352061901,0.997895976176134,0.101282084971357,0.999872572752564,0.430472867032359,0.997107322394376
"ZNF582",0.950644924013693,0.00500999416749404,0.0176301333982043,0.98428778900487,0.999999397513838,0.145575591416957
"ZNF285",0.277489156934372,0.0477431035633453,0.000135078542327416,0.354093596730069,0.0198436460813664,0.988338574027539
"ZNF275",0.188598587842851,4.5102241585826e-05,0.0229206658134423,0.250098197124945,0.964135809834392,0.376906604782923
"ZNF37A",0.994183435476083,0.10859007190887,0.158058377539192,0.215572518234678,0.280979473877579,0.996684986850479
"ZNF510",0.999270483145649,0.999779638946528,0.999988652793281,0.997171770262757,0.999470801338364,0.999192180360351
"ZNF506",0.0606364733018543,2.35005814808176e-08,0.000416555923195561,1.34802862044037e-05,0.00813830703260887,0.998362551546474
"ZNF324",0.0388344630168882,0.0730739620392838,0.99999881063045,0.668867233020134,0.880070966494682,0.898141377043784
"ZNF671",0.927755595493945,0.999966289897688,0.952056587946548,0.644743083742641,0.871802647374568,0.688094567605564
"ZNF416",0.473738245945821,0.403055801668877,0.994406425101001,0.889416564029628,0.991954636679502,0.969401917410198
"ZNF586",0.00749787141156177,0.000173640699273725,0.516637525455613,0.00674453037229505,0.716390710445882,0.999994059057433
"ZNF446",0.00123537344374558,2.93903691495068e-07,0.0882592256772725,0.00727730385027525,0.912792942387103,0.712274856510071
"ZNF8",0.268012759857399,0.282278500755806,0.999167943627559,0.478778028189671,0.997895738317173,0.999830062856252
"ZNF264",0.094748730723311,0.000118683934098529,0.0934853154341427,0.0836214523742408,0.860193637079448,0.793198003966792
"ZNF213",0.955116189132062,0.111419549252003,0.0285271797271134,0.214153753666786,0.0944459442053568,0.99609736177506
"ZNF343",0.945116882673811,0.636262366939573,0.307117014896645,0.954524695361999,0.999075821461741,0.518168933746965
"ZNF302",0.0101189162010504,0.00013320315903731,0.41982206203886,0.00742007706770098,0.694061461344861,0.999947532540792
"ZNF268",0.648297704557495,0.258165588332545,0.855196419744202,0.544407032931105,0.950969752791275,0.999915000662158
"ZNF184",0.987847790364614,0.979023748775017,0.891829492135783,0.740126116927189,0.588555097169503,0.89893151909318
"ZNF500",0.926453336507039,0.999743752270656,0.961855841974673,0.983573864277414,0.853376995294529,0.975455280269933
"ZNF419",0.0202750372240978,0.0024928633152812,0.780382494883832,0.155476654206174,0.999800591594027,0.932876364561698
"ZNF175",0.585299420571912,0.00116468104562073,0.0355957003516119,0.393615741717353,0.891232698396492,0.584761559542539
"ZNF14",0.349137847778959,3.15585983245992e-06,0.00102595427624919,0.000253591319062774,0.0116457665700888,0.995767168763839
"ZNF85",0.335241018591419,0.000467084488853686,0.0510331250498816,0.0354305124675349,0.387111698968909,0.987160342364894
"ZKSCAN1",0.0463308480341813,0.0253892428358876,0.966392062805268,0.0597815478693067,0.888079556046079,0.984432184965737
"ZNF862",0.00311796680237408,1.92309456836792e-06,0.127030379912145,0.0629429627078276,0.999884143744909,0.434861919162412
