"gene","2-1","3-1","3-2","4-1","4-2","4-3","5-1","5-2","5-3","5-4"
"ZNF195",0.424299683661997,0.732866300224805,0.0634944125499538,0.00052054280417746,0.334926579946102,1.27612773148655e-05,0.326718455727945,0.999978290363905,0.0300545744514852,0.170501402162167
"ZNF263",0.391880558323553,0.618413152063308,0.989177329047282,0.729553083967623,0.978485831602917,0.999954078691371,0.00807944351664824,0.831819598453761,0.424175900291612,0.383249251934363
"ZNF200",1.40190393032036e-05,0.12176859126116,0.0735112556652892,0.972638652126331,0.000832858792966462,0.51860391676941,0.894351544709904,7.04409518381688e-07,0.0163307439870736,0.62784191303256
"ZNF582",0.997217513928446,0.448719576798058,0.420589205932586,0.560981671175431,0.871363495516808,0.0309232601556944,1.86961841563971e-08,2.70367124546311e-05,3.92222476719439e-10,0.000658086394643487
"ZNF285",0.979847958093893,0.913201319692056,0.722637341856364,0.473894679024589,0.908733224083815,0.148563704800023,8.69389082946981e-08,0.000201394855098735,1.11123088508691e-08,0.00275103958106182
"ZNF275",3.5533981757041e-08,3.80080300566021e-10,0.970370751504694,3.85050324958058e-10,0.954442628343058,0.999972329395977,3.77309516963464e-10,0.901422182879624,0.998856302444317,0.999881821309583
"ZNF37A",0.997151152354412,0.0178554330268629,0.0308212216256766,0.78668293984846,0.707336048118528,0.423281755731249,6.92552228702681e-05,0.00048861623407126,0.741281747906453,0.0271614547621157
"ZNF510",0.941803954968359,0.133599406847217,0.723559542037912,0.542368272208184,0.975110145375507,0.96111502368171,4.42668459055273e-06,0.00461756627767262,0.100212966904746,0.0181092343543597
"ZNF506",0.0505532028530981,0.319844757745733,0.864133483751554,0.00401969710150207,0.988513133783803,0.506092244693103,3.77260778172683e-10,2.62108123644245e-05,3.69067421068792e-09,6.24784633513897e-05
"ZNF324",0.00565513381640548,0.857427703445689,0.116665909937307,0.130630050693294,0.77220828616492,0.69440484263302,5.86361699195237e-08,0.514387209085675,8.20042664602116e-05,0.0223793187106023
"ZNF671",0.98222356352726,0.828234388601556,0.995955859395706,0.00287638293310766,0.00349786374486805,0.000172592585822251,3.66640603610691e-06,2.10445963784167e-05,1.43244475170334e-07,0.804652705857183
"ZNF416",0.768031152974922,0.0671930135498736,0.807002737240129,0.734322729991152,0.999999726422252,0.742531752359774,0.966707620766663,0.453656468595805,0.0165146871369244,0.397722796877417
"ZNF586",0.130278341313087,0.134966484184886,0.000339466259122956,0.831222219911398,0.0203544721086606,0.795225228282693,0.982070927204108,0.363268583038058,0.0488481588843515,0.562987007334876
"ZNF446",0.00029394966172458,0.991196172544872,0.00349510173509149,1.66438240967182e-09,0.438283802001335,1.99203355366606e-07,4.49064119223408e-10,0.41128520520867,3.19160460282575e-08,0.999998463579617
"ZNF8",0.644503418631826,0.0460282542592086,0.843009162745615,3.3832263477418e-06,0.0166959250619463,0.139643431774052,0.000506647931951321,0.245707976191496,0.805284129627414,0.673286142191427
"ZNF264",0.753376008298882,0.124370986734425,0.91019680915552,0.923368854044831,0.994582958453755,0.649746930322902,0.455860297868657,0.0841973629926809,0.00145195855745661,0.153724267887558
"ZNF213",0.999671725218968,1.70649800372846e-05,0.000256912723974323,0.995260323604897,0.999892528012193,3.1416470188006e-05,0.927863378276446,0.989106910278097,1.0991633992985e-06,0.996783456666638
"ZNF343",0.991126562116014,0.999998887840163,0.995155079148746,0.194491124843887,0.162664185396475,0.239568536472537,0.000129359564175147,0.000495620018248655,0.000464468314815725,0.352254230267519
"ZNF302",0.997355647448944,0.999666817653819,0.999891460361559,0.36396910981002,0.731103836518815,0.551916355465345,4.89123358482502e-08,5.06505093778031e-05,1.73768688860321e-06,0.00372079038747142
"ZNF268",0.79049952383521,0.108918662355942,0.867066535120097,0.993401199386522,0.960764660066971,0.379326390776501,0.00236881832252112,0.28952278364993,0.82556358738514,0.033722131011076
"ZNF184",0.000282246715375578,0.0109341991847935,0.724386400390613,0.00802317684446918,0.836511185752186,0.999696106920045,0.939645276641075,0.00566978367103033,0.116413244622786,0.0871604814585402
"ZNF500",0.999784835365892,0.796458397517884,0.938479722311151,0.933911870158868,0.921536537951414,0.410033778230121,0.162941533120949,0.438814761450108,0.854765590560946,0.0462795749119554
"ZNF419",0.99978990678814,0.82656275956873,0.830076145368889,0.865554135720288,0.963388521116992,0.338513715169857,0.00053000157109806,0.0127785291835637,2.42960747209864e-05,0.0574500503886757
"ZNF175",0.999175244649326,0.105019925802625,0.364701883447211,0.351889818612131,0.671984345428084,0.988727528544277,0.443831115352952,0.475857779692021,0.0010335342617398,0.00998509558696248
"ZNF14",0.999890276776825,0.972010226020575,0.995603955276272,0.0241001913853051,0.11753549117848,0.170153815442519,4.50246506744634e-10,2.47983518830708e-07,7.93391921050102e-08,0.00711327323586997
"ZNF85",0.000712535788192747,1.51246350998946e-08,0.625847921181526,0.0488563627136408,0.669082861141243,0.0254464871629956,8.7368923207265e-10,0.436580790689394,0.998580213188612,0.00783599986978634
"ZKSCAN1",0.97050348458693,0.999267992825902,0.995105452464678,0.00142004115957495,0.0622393656298064,0.00798863298170482,0.944375467152247,0.999999991078351,0.99065367065405,0.0236381892836589
"ZNF862",0.0910223153232351,0.0019360823001634,0.938067450807961,9.87329855872687e-07,0.154249026522754,0.451349474980951,3.77258890793541e-10,1.23860974605705e-05,5.90731819745116e-05,0.0557867116677675
"ZNF684",9.67421276421021e-09,3.77265330087084e-10,0.722237201779366,3.77260445105776e-10,0.472184947353546,0.990454536492492,3.77214703917161e-10,0.00011682693793702,0.00475935341636413,0.0318993293350432
