"gene","2-ETV1-1-ERG","3-ETV4-1-ERG","3-ETV4-2-ETV1","4-FLI1-1-ERG","4-FLI1-2-ETV1","4-FLI1-3-ETV4","5-SPOP-1-ERG","5-SPOP-2-ETV1","5-SPOP-3-ETV4","5-SPOP-4-FLI1","6-FOXA1-1-ERG","6-FOXA1-2-ETV1","6-FOXA1-3-ETV4","6-FOXA1-4-FLI1","6-FOXA1-5-SPOP","7-IDH1-1-ERG","7-IDH1-2-ETV1","7-IDH1-3-ETV4","7-IDH1-4-FLI1","7-IDH1-5-SPOP","7-IDH1-6-FOXA1","8-other-1-ERG","8-other-2-ETV1","8-other-3-ETV4","8-other-4-FLI1","8-other-5-SPOP","8-other-6-FOXA1","8-other-7-IDH1"
"ZNF195",0.998443881927859,0.540228089280783,0.91681243706464,0.988909620784865,0.965003960823028,0.680269454062896,0.231708441669698,0.326309986862185,0.0463787311472419,0.999999999978394,0.894276788746013,0.802999566286839,0.287433309649157,1,0.99999999999494,0.999999983626231,0.999969771326359,0.96722367136414,0.999469370540699,0.997542085851256,0.998596427879677,0.0012568017904071,0.048888547434305,0.0064023056664323,0.999999852840004,0.999087496496575,0.999993198415534,0.985776379768198
"ZNF263",0.0745163479705314,0.0207954959403852,0.964849574976429,0.869349831386502,0.247316462811124,0.0840951225900792,0.981724475071575,0.0438720221297467,0.0107743965669685,0.971141222126006,0.992397462437015,0.291082208537622,0.0802576055625029,0.996162014205744,0.999990346227833,0.263736169718648,0.0211174701275301,0.00516756439679844,0.996755530466232,0.498417006164288,0.76662920416279,0.874022863445985,0.00948024889845167,0.00349226847712447,0.970758739420909,0.999999999774751,0.999993759985742,0.480661989739992
"ZNF200",0.998475384726884,0.997561574133408,0.979006636525812,0.989139789422578,0.965658198318965,0.999860180325556,0.000321052902931385,0.151505927639978,0.0473419972120065,0.307561597898975,0.0658435650681982,0.311420016083373,0.105481495570808,0.265161771394237,0.999091079185314,0.839124998543333,0.95061794628592,0.741717844478819,0.722750622979273,0.999999999917775,0.999931957683308,0.00025268089158248,0.423344858686976,0.143408576112626,0.505361587550676,0.969903822845937,0.937230683421434,0.999985818749089
"ZNF582",0.947987443001195,0.999996958539675,0.999706305477748,0.947193644861026,0.80158071837882,0.947400038146215,0.0478155390029149,0.924933350033911,0.822281831869247,0.41483859835257,0.6636313169195,0.984340504535762,0.932750676056789,0.531052228919212,0.999999980151802,0.932566266219893,0.996780202256727,0.98132304239184,0.705194335262519,0.999999866786039,0.999999999620332,0.533957077364505,0.999999999497163,0.998747017750449,0.744743202169945,0.794596701717774,0.978679778436844,0.996705372383574
"ZNF285",0.999997849152177,0.0855942763481372,0.302258405905832,0.763561074074635,0.759049609969972,0.0967776015689097,0.00751511264702842,0.253560735685168,0.999263732043362,0.122190979672671,0.286390984443873,0.533737003983743,0.999999996749783,0.150971240169022,0.999943808250422,0.919971776069037,0.911619056678969,0.197488840511156,0.99999750008298,0.252388749882991,0.278529539249248,0.990157328308216,0.999993034388881,0.244715749924965,0.638049662752878,0.0973649715673698,0.518372489020204,0.839124742173583
"ZNF275",0.999259238891605,0.987921693133335,0.957511032500295,0.999999927516819,0.999999999405432,0.999277552971911,0.684778435506981,0.995741865595716,0.663807211852166,0.999902551800905,0.86660277771503,0.984520083725775,0.705654493186071,0.99839536658306,0.999830157694766,0.823192852179716,0.936707269472023,0.660380667434385,0.981138330866403,0.988781705833379,0.999664675750916,0.0978911203310219,0.947133362907027,0.421676264381538,0.999359814993946,0.999969820094173,0.999992624460143,0.994814846630743
"ZNF37A",0.999827982975748,0.972887943242576,0.947568255259975,0.979336865248373,0.960295608936365,0.99995993712642,0.39114357080556,0.947264657962313,0.419037442776874,0.732852407372481,0.66449196421446,0.90160828039457,0.456329036055324,0.636756598974016,0.999204473472417,0.378564574691683,0.566503602891709,0.233952759916144,0.334412354246577,0.860464791296516,0.98657946882501,0.999999917366871,0.999573308312349,0.984437249141238,0.984329244203032,0.419237679184453,0.650211757408147,0.367198039752069
"ZNF510",0.872882929869923,0.999999354631211,0.997685514650109,0.999915977744733,0.999999969462548,0.999995545859628,0.00998803191171704,0.864606504137864,0.627750573443158,0.994629973235944,0.999953221703252,0.999899052776018,0.999999871915746,0.999999939118545,0.86518801418921,0.997471266619941,0.999999964288742,0.999615288216412,0.999999421831927,0.999651058752758,0.999948698419897,0.0268516761937395,0.998055129503808,0.917222803148064,0.999916469031518,0.963965396767346,0.988041716775784,0.999999962205093
"ZNF506",0.946020967969289,0.997824879567239,0.908049460769035,0.98811796328462,0.999925476330539,0.955327261958152,1.68515867926544e-10,0.00140463003624181,0.000208806913728043,0.822912846769333,0.0247233353975167,0.305263124103872,0.0536045929724951,0.965064810168105,0.999911884464844,0.431092830599651,0.785592169109856,0.366733697755387,0.989213044115449,0.999987682607598,0.999999999999393,9.41678993382489e-06,0.47084718833229,0.0669932081349405,0.999893365717962,0.0527205515255377,0.920121323066703,0.994368542447874
"ZNF324",0.83499323650634,0.0867744977710869,0.785403098258689,0.993931299950919,0.903659313784469,0.420925227644727,0.999999999196359,0.944229987788402,0.186558996226771,0.993955205674696,0.999999999827297,0.99028436361311,0.511032722290024,0.99836317169973,0.999999996605595,0.0326691179700115,0.00949829264458268,0.000728345263299568,0.671818640124628,0.0413749573975571,0.12726005208881,0.939442670008029,0.99765943444158,0.324115793654153,0.96328861905245,0.995749361046603,0.999627133120124,0.0140843114361748
