"gene","HER2-enriched-Basal-like","Luminal-Basal-like","Luminal-HER2-enriched","Normal-like-Basal-like","Normal-like-HER2-enriched","Normal-like-Luminal"
"ZNF195",0.0947788686377987,0.000760067909538309,0.985130646304806,0.396369273032927,0.9452749437059,0.969604818234476
"ZNF263",0.112082637560082,5.00139596404381e-10,3.84774415361777e-05,0.853955256770221,0.998382922857504,0.229623055923459
"ZNF200",0.195019125125422,0.994962209441503,0.0587100387606082,0.641297784985876,0.194423124895937,0.668007110989897
"ZNF582",0.213878653426796,3.18505610774622e-09,0.0281071380898854,0.990458039329282,0.953742334255188,0.376505516481442
"ZNF285",0.0100784200099605,0.00441404318899852,0.766813942925413,0.416328210296789,0.997856527987847,0.944097686496086
"ZNF275",0.258230535415355,0.393710996681969,0.809295301706202,0.485276908296817,0.927134384276811,0.758045973716748
"ZNF37A",0.012247648071356,0.520881693555068,2.20473297816159e-05,0.658127446470234,0.998300058062436,0.383213932733518
"ZNF510",0.334394329009829,5.70108350317344e-06,0.19783497589482,0.99378668736205,0.770266959054206,0.292681473329725
"ZNF506",0.131006638966766,5.85782544265667e-05,0.747311331700527,0.895177447812953,0.995717885699383,0.924994075743527
"ZNF324",0.549061400603493,0.0722287240622488,0.979837352310064,0.978975375734543,0.781204566422165,0.66477744765028
"ZNF671",0.173383784135787,1.65593485590421e-08,0.0740242433997345,0.87778135482156,0.999174023243904,0.71575065833047
"ZNF416",0.999439407940946,0.978844277099753,0.969291676008807,0.781197048286718,0.819284067362248,0.696926881137554
"ZNF586",0.591066393502136,1.8530188428123e-07,0.0149496657436445,0.936334011214044,0.999973447670311,0.694265854925183
"ZNF446",0.00843624841851465,5.00153141125281e-10,0.0246929719915865,0.226260279677507,0.954202611067452,0.952784439188142
"ZNF8",0.931687718124203,0.000409106148309246,0.0633723229368414,0.0768426390607361,0.155689410015712,0.587753683054374
"ZNF264",0.0656956662107644,8.63554228125452e-10,0.0746707556976565,0.991345541864195,0.87372208061431,0.318023721103815
"ZNF213",0.957349098169289,3.54948033927105e-05,0.0129910295628655,0.0989861790269108,0.177571898505446,0.759657337167361
"ZNF343",0.730171164128584,0.979793776348804,0.806194541102675,0.776624585443877,0.960504663314804,0.825867691554015
"ZNF302",0.999929456166901,7.14878755636583e-06,0.000458446887125485,0.251963204331765,0.261112359064927,0.975825093589782
"ZNF268",0.000993315744180712,3.266022486903e-07,0.999984205135253,0.999652254079486,0.329717987160069,0.291970658115087
"ZNF184",0.0112848261321385,3.01473446207012e-09,0.470478463134074,0.00509714097171055,0.209527178367502,0.438718502551168
"ZNF500",0.987389495431655,5.05125163918763e-10,4.71487483832966e-07,0.967622622142349,0.935394531429334,0.0377744655258735
"ZNF419",0.648230573574865,0.960884430582754,0.76499508122997,0.803607668190308,0.980040743160635,0.86468832504515
"ZNF175",0.00902852708709501,1.97931527834427e-08,0.693988686061191,0.863413265554784,0.940896060003918,0.741390946472395
"ZNF14",0.220234135337824,0.000931960363628082,0.865586429617604,0.999048299994044,0.906636789838247,0.747515084626565
"ZNF85",0.375460266864135,0.829099594217609,0.0523873713843201,0.796735950520126,0.396181102598655,0.904021480945138
"ZKSCAN1",0.0866265209191605,3.80510474129458e-07,0.376357313351845,0.911338616010942,0.356959738113743,0.0918586153073823
"ZNF862",0.000524991009936637,0.618062616597421,2.23822873457458e-07,0.970803509775226,0.155879612818832,0.999748088731151
"ZNF684",0.576722402011379,0.000748820768698755,0.395911020535594,0.279985260240723,0.6233186764715,0.907509321856237
