"gene","p-adj-Intestinal-Diffuse","p-adj-Mixed-Diffuse","p-adj-Mixed-Intestinal","mean-Diffuse","mean-Intestinal","mean-Mixed","SEM-Diffuse","SEM-Intestinal","SEM-Mixed","Q1-Diffuse","Q1-Intestinal","Q1-Mixed","Q3-Diffuse","Q3-Intestinal","Q3-Mixed","count-Diffuse","count-Intestinal","count-Mixed"
"ZNF195",0.348378625453069,0.601420960861269,0.934064694190653,354.900483333333,499.666846666667,576.2056,37.1193552422759,61.6764387958527,NA,285.63425,340.9904,576.2056,394.420675,548.51265,576.2056,6,15,1
"ZNF263",0.828326970500381,0.509502337289822,0.644282723635969,559.21245,610.95246,781.1756,29.8275360348985,53.6566193877839,NA,517.58305,464.74185,781.1756,587.76035,681.1898,781.1756,6,15,1
"ZNF200",0.265647642752675,0.835259671688431,0.98726390456371,175.82675,248.86346,234.0725,16.5810342699674,27.5373743191128,NA,148.231925,168.51105,234.0725,205.91015,286.68565,234.0725,6,15,1
"ZNF582",0.000214609495122087,0.1227000184486,0.981963299081591,50.8088166666667,16.7203533333333,19.3594,5.22491940348791,3.7383820107465,NA,48.166375,6.74645,19.3594,57.77085,22.00505,19.3594,6,15,1
"ZNF285",0.0127106046609898,0.18975483216054,0.911429805543506,49.181,17.5204866666667,8.7997,8.23884840484397,5.3339075918832,NA,38.77325,3.37225,8.7997,60.5007,26.24915,8.7997,6,15,1
"ZNF275",0.56102919277019,0.965808067874964,0.972792847966266,1027.40103333333,861.338953333333,937.698,64.7994838021552,96.2792098720526,NA,938.708725,667.5255,937.698,1161.59435,979.4527,937.698,6,15,1
"ZNF37A",0.984955271767861,0.720625695104141,0.745395217461601,729.658683333333,711.638293333333,540.6547,33.6837569205536,66.4344691475008,NA,657.4785,563.18365,540.6547,792.875275,782.64005,540.6547,6,15,1
"ZNF510",0.506616449162883,0.999999893113733,0.858112677976302,388.295916666667,328.128393333333,388.2436,16.430250169031,32.5006134830515,NA,356.842475,229.39535,388.2436,422.204325,380.0249,388.2436,6,15,1
"ZNF506",0.473430697442161,0.997492926782165,0.807258019485875,738.3829,601.694733333333,755.7198,101.758262910897,60.3285934208818,NA,596.771325,468.659,755.7198,825.673,776.1263,755.7198,6,15,1
"ZNF324",0.793192717674244,0.919873934228117,0.994190706637289,199.981116666667,182.56534,176.6983,14.3374731479764,15.7109266098252,NA,183.6053,147.33575,176.6983,217.204825,206.7696,176.6983,6,15,1
"ZNF671",0.0035227766344007,0.521583060342272,0.818339673258493,169.451416666667,63.56096,99.9648,38.3427926672225,9.77762193052901,NA,98.0813,40.88775,99.9648,190.796275,71.43535,99.9648,6,15,1
"ZNF416",0.96580553479828,0.525211355026174,0.565434927388087,102.16845,96.9807933333333,51.3904,9.13461785074596,12.3737459504175,NA,88.084775,69.13545,51.3904,117.086675,111.8002,51.3904,6,15,1
"ZNF586",0.619105077318049,0.869850885229736,0.603950491212524,231.29015,197.7169,271.3833,29.0482041659348,19.1957650425593,NA,191.907425,138.233,271.3833,252.7565,258.2425,271.3833,6,15,1
"ZNF446",0.930626232766001,0.469302038189156,0.350413930428403,162.305916666667,153.58216,226.8286,6.49472629361272,14.8100787668713,NA,151.156775,113.98455,226.8286,175.289525,186.97025,226.8286,6,15,1
"ZNF8",0.210862181329927,0.197594487163892,0.0361187170162585,296.271533333333,218.810126666667,473.3897,30.3237512914071,24.9520539568808,NA,250.6464,152.9288,473.3897,343.178675,263.57405,473.3897,6,15,1
"ZNF264",0.0247345250131021,0.977032953513007,0.50624155153983,1665.36535,1048.61064,1567.0539,73.6884298666883,130.331446721711,NA,1528.850375,772.67545,1567.0539,1785.700825,1424.1697,1567.0539,6,15,1
"ZNF213",0.729381611474439,0.413587168952337,0.225808623264198,651.2022,600.557233333333,843.717,38.9144427542183,38.6054679564679,NA,608.466925,531.93665,843.717,698.999475,689.16125,843.717,6,15,1
"ZNF343",0.938768865972739,0.843964287179605,0.742243191517425,263.454233333333,278.728353333333,207.3214,6.71928056464711,27.929392175293,NA,251.7466,182.25325,207.3214,277.2681,332.25275,207.3214,6,15,1
"ZNF302",0.980625404852098,0.837467059262077,0.868347769956925,518.4858,468.937113333333,183.3861,73.6967154959704,161.308513390399,NA,388.0892,255.32405,183.3861,638.666725,400.2238,183.3861,6,15,1
"ZNF268",0.347021005230911,0.716647045179647,0.318382476189491,383.80805,291.404993333333,497.3601,27.2363571907937,38.9569527630379,NA,339.039825,176.61425,497.3601,394.048775,399.34345,497.3601,6,15,1
"ZNF184",0.920091229131055,0.2873830191895,0.337597348468293,224.27925,237.888213333333,346.0049,17.5565546343381,20.7153622713443,NA,195.6439,189.26015,346.0049,241.903875,262.6391,346.0049,6,15,1
"ZNF500",0.00766173654073032,0.89665101988646,0.12358140866313,372.920466666667,261.186446666667,405.491,15.7263613148468,19.4391789563582,NA,342.8108,208.30395,405.491,398.621475,299.42465,405.491,6,15,1
"ZNF419",0.968766669232956,0.997469033027338,0.981682222949004,81.7043,76.1974,85.1813,12.4718609372993,13.4804217945455,NA,64.222525,37.23725,85.1813,105.018325,97.4735,85.1813,6,15,1
"ZNF175",0.0512562952105196,0.189518910230453,0.753358905357113,244.182433333333,148.766373333333,90.4611,30.2130474015412,20.5414343959146,NA,194.074375,85.7654,90.4611,251.5488,191.3855,90.4611,6,15,1
"ZNF14",0.613146195019154,0.983203996181852,0.962572755925345,203.346633333333,178.733553333333,193.2418,21.8515007185726,13.7577891435876,NA,167.79815,153.02325,193.2418,208.355475,184.9795,193.2418,6,15,1
"ZNF85",0.898440536036545,0.980599571201486,0.91435489247043,96.779,133.287313333333,61.95,15.8770664584488,51.0730230227241,NA,76.546,41.6641,61.95,117.194025,127.8196,61.95,6,15,1
"ZKSCAN1",0.483594641613954,0.997954674656386,0.879485792291232,1764.36968333333,2492.1595,1848.9968,153.413896193964,382.333101925655,NA,1541.51655,1398.10095,1848.9968,1965.846425,3350.1069,1848.9968,6,15,1
"ZNF862",0.818890045267015,0.826111819619271,0.939933594669428,549.42845,459.745813333333,353.3967,56.5241023566098,89.7319684509972,NA,436.608575,230.9098,353.3967,659.3022,502.5408,353.3967,6,15,1
"ZNF684",0.254568879034315,0.596719472425321,0.963238868147507,78.7839166666667,58.3496133333333,51.3904,6.57100541801718,7.36023437470294,NA,65.99405,44.4823,51.3904,89.031475,61.8501,51.3904,6,15,1
"ZNF430",0.79064170832585,0.983435043853692,0.991396767461582,176.134083333333,232.328133333333,209.4333,16.0067822877349,52.9053296990376,NA,165.9046,164.3211,209.4333,191.40585,210.44295,209.4333,6,15,1
"ZFP30",0.980767393426529,0.922256422729832,0.877135621028732,204.393283333333,220.14856,132.3478,11.722992409859,52.0569464995611,NA,197.19235,127.267,132.3478,220.64795,234.1257,132.3478,6,15,1
"ZNF549",0.105553389815539,0.602876082315044,0.99995397622391,173.448,92.9511066666667,92.221,19.2716460156365,22.1034950706432,NA,146.724475,36.53495,92.221,172.574975,123.46685,92.221,6,15,1
"ZNF211",0.786546487111584,0.999843569960157,0.942468219533117,226.067783333333,198.552393333333,227.6276,31.9314419341336,22.787891228032,NA,174.266025,130.4655,227.6276,252.181425,231.3948,227.6276,6,15,1
"ZNF205",0.712177882625918,0.843103414283928,0.975065817949462,249.207533333333,286.352613333333,307.8212,12.7004719911681,28.7981994210631,NA,224.8782,210.25735,307.8212,270.3975,359.7428,307.8212,6,15,1
"ZNF45",0.982905550393017,0.430427200228873,0.444036259886733,251.032283333333,263.0564,443.5058,5.44024210444209,42.2682423050259,NA,241.0213,200.34125,443.5058,256.6396,265.9291,443.5058,6,15,1
"ZNF133",0.929939146564292,0.851282636432252,0.744396488457647,233.598616666667,255.287486666667,161.2108,16.547590655549,36.6014075307219,NA,208.051125,156.72255,161.2108,257.000275,292.656,161.2108,6,15,1
"ZNF436",0.0138343172267895,0.486873404691184,0.964857584842534,928.75855,521.881026666667,592.2351,118.127291154945,66.81030180401,NA,836.37995,363.34205,592.2351,1075.36025,683.49875,592.2351,6,15,1
"ZNF484",0.808095075168272,0.696412550263655,0.497150481747322,166.7369,150.822493333333,213.3052,13.8758624290048,14.9512031566677,NA,151.153175,104.69505,213.3052,175.95015,202.53815,213.3052,6,15,1
"ZNF780B",0.130811257424618,0.993387813632963,0.545368925880064,440.468283333333,336.396453333333,453.0095,44.4762590724416,27.0312328815124,NA,371.38555,284.05935,453.0095,451.04165,391.4781,453.0095,6,15,1
"ZNF557",0.012517182322529,0.735865604030421,0.760992720977817,319.71075,207.069733333333,260.4717,36.6269738700478,17.0026480786367,NA,257.247775,158.25745,260.4717,388.7038,258.265,260.4717,6,15,1
"ZNF337",0.999993413235041,0.961933989480519,0.958919918717025,365.9505,365.532393333333,294.1077,63.8258389461771,71.3566250626223,NA,255.7292,214.6451,294.1077,456.7955,363.8983,294.1077,6,15,1
"ZNF317",0.891704857419597,0.964688297469446,0.880920660388775,926.974383333333,884.023973333333,980.6406,47.941664754035,55.5874016368504,NA,858.5101,757.13185,980.6406,997.658475,999.519,980.6406,6,15,1
"ZNF426",0.00521473084636515,0.561350099853873,0.825005510508922,242.882583333333,132.40772,171.4185,17.1135835627223,18.0026993975935,NA,228.442025,87.2987,171.4185,270.622225,157.7147,171.4185,6,15,1
"ZNF331",0.999974402320354,0.999417756516841,0.99923823752973,466.072483333333,464.723146666667,480.4646,31.9005622296475,122.719891882405,NA,401.656775,170.16775,480.4646,511.221725,485.02055,480.4646,6,15,1
"ZNF227",0.986453727655151,0.161977290289632,0.121823020944433,254.001066666667,249.24736,383.3122,8.84683107836423,18.5134997106894,NA,243.946725,205.73815,383.3122,266.626075,306.99845,383.3122,6,15,1
"ZNF141",0.609184266557703,0.519497154250622,0.759727254423281,105.57205,82.95212,47.1665,12.0197645826017,13.9252371515694,NA,80.106325,33.8336,47.1665,131.5168,128.69465,47.1665,6,15,1
"ZNF304",0.1109019669912,0.341851269950492,0.0542788065116071,325.7113,204.542973333333,508.9757,15.1678684764208,35.0072044820783,NA,298.931225,117.91125,508.9757,357.108575,269.4521,508.9757,6,15,1
"ZNF132",0.00015814066751596,0.129264204447273,0.958742744828673,105.693366666667,43.5591933333333,50.6864,14.4648867342648,5.13383847243873,NA,76.992375,30.3756,50.6864,138.542575,47.7537,50.6864,6,15,1
"ZNF20",0.330857767010196,0.998855669896713,0.802313804817752,88.602,121.88478,90.9222,10.9794261990932,13.5569313461494,NA,65.92825,92.78565,90.9222,108.190575,117.9298,90.9222,6,15,1
"ZNF670",0.155955736296025,0.747303473168274,0.989409770029965,64.6976166666667,103.009073333333,97.1278,3.84244500098715,12.2363777160076,NA,57.3966,69.50275,97.1278,71.256775,132.3569,97.1278,6,15,1
"ZFP37",0.00333196033091021,0.794520466770297,0.528182953812404,82.9377333333333,38.2396,65.8219,10.211056764399,6.23309676764745,NA,71.066475,26.89245,65.8219,93.97815,47.3765,65.8219,6,15,1
"ZNF189",0.468198210842337,0.507399971610378,0.809928057664659,403.931816666667,527.983273333333,665.6107,21.8898552017507,63.9002949973573,NA,360.3444,390.488,665.6107,435.088275,566.99905,665.6107,6,15,1
"ZNF434",0.963551619990671,0.185690150756327,0.197630067896894,304.687583333333,314.910173333333,466.0331,30.8486945313241,21.551660991442,NA,260.532975,248.7953,466.0331,315.07675,345.95745,466.0331,6,15,1
"ZNF287",0.000354202435070783,0.108438228077437,0.999983595215433,123.14105,51.9210733333333,52.0943,13.9224333638377,7.60590682160264,NA,104.64825,34.9506,52.0943,151.118875,64.1858,52.0943,6,15,1
"ZIM3",0.794434345320802,0.994950449630968,0.977362607631316,0.539666666666667,1.03835333333333,0.704,0.539666666666667,0.431757256190346,NA,0,0,0.704,0,1.5074,0.704,6,15,1
