"gene","p-adj-1-0","mean-0","mean-1","SEM-0","SEM-1","Q1-0","Q1-1","Q3-0","Q3-1","count-0","count-1"
"ZNF442",0.381428945058577,36.30265,27.05585,6.26425465086097,0.83775,35.43345,26.636975,42.83615,27.474725,4,2
"ZNF813",0.297919559697973,56.294275,78.4609,4.89463098819768,27.8036,49.405675,64.5591,59.71875,92.3627,4,2
"ZNF26",0.951137683590835,182.499575,177.6188,49.8971990837892,1.2847,128.118725,176.97645,192.9865,178.26115,4,2
"ZNF69",0.405881344856657,39.563025,32.985,4.72497109803771,0.0384000000000029,35.000375,32.9658,46.60995,33.0042,4,2
"ZNF583",0.0176294967737722,78.722575,130.0333,8.7777919647991,0.825199999999995,66.952825,129.6207,88.171,130.4459,4,2
"ZNF568",0.0559849295351874,104.137125,166.80865,15.2457565088002,8.83175,83.05295,162.392775,120.429275,171.224525,4,2
"ZNF480",0.419443171900578,544.323775,448.5424,49.7814424853843,124.0794,471.4508,386.5027,592.677725,510.5821,4,2
"ZNF587",0.0663437706552295,1559.44535,1120.35015,112.011238829968,81.20165,1481.516925,1079.749325,1648.944425,1160.950975,4,2
"ZNF808",0.921367406242641,306.05735,300.4016,22.5939534876959,68.2759,290.651025,266.26365,329.200925,334.53955,4,2
"ZNF43",0.673750960468747,416.1048,467.7318,74.8841333890231,30.4121,327.201175,452.52575,504.872175,482.93785,4,2
"ZNF28",0.656465127118112,325.994,265.21635,76.4535019241216,87.91595,262.99955,221.258375,358.4647,309.174325,4,2
"ZNF627",0.100233703901136,258.86425,305.6268,10.5841174238809,24.7676,246.52785,293.243,261.7761,318.0106,4,2
"ZNF789",0.756688319221873,101.459625,81.9778,37.1446368546294,30.2377,66.9396,66.85895,109.077525,97.09665,4,2
"ZNF534",0.470203075955527,3.168775,0.9893,1.81966760305969,0.2932,0.835825,0.8427,4.13635,1.1359,4,2
"ZNF525",0.0295709291665487,157.637925,93.69345,10.554449820445,18.02815,141.0286,84.679375,174.464825,102.707525,4,2
"ZNF814",0.98552984785204,450.524825,447.67625,95.6345508470254,56.96625,336.38655,419.193125,497.553925,476.159375,4,2
"ZNF551",0.221006713542481,234.65895,149.49125,38.6806665538376,15.47395,177.30315,141.754275,269.8367,157.228225,4,2
"ZNF805",0.38246446391521,508.6423,560.728,32.3120781905415,35.5597,478.457375,542.94815,519.369775,578.50785,4,2
"ZNF468",0.624516052095176,289.7237,230.87055,59.2472330891635,109.03665,226.740525,176.352225,298.591825,285.388875,4,2
"ZNF616",0.256307715735422,143.673725,176.50475,12.7475135292061,25.81545,133.45205,163.597025,158.005425,189.412475,4,2
"ZFP57",0.388089108297884,53.317575,5.3555,33.0355546496088,2.3393,14.308425,4.18585,71.4839,6.52515,4,2
"ZNF155",0.453273317769178,94.65525,120.94605,21.1186436183964,0.715249999999997,69.2518,120.588425,102.3994,121.303675,4,2
"ZNF425",0.427666543662918,79.69095,95.7489,12.0739194931679,3.091,61.436975,94.2034,95.573675,97.2944,4,2
"ZNF611",0.285334989386037,305.625625,262.43915,19.9789831416406,29.67225,280.190825,247.603025,315.2295,277.275275,4,2
