"gene","p-adj-Papillary-Mucinous","p-adj-Tubular-Mucinous","p-adj-Tubular-Papillary","mean-Mucinous","mean-Papillary","mean-Tubular","SEM-Mucinous","SEM-Papillary","SEM-Tubular","Q1-Mucinous","Q1-Papillary","Q1-Tubular","Q3-Mucinous","Q3-Papillary","Q3-Tubular","count-Mucinous","count-Papillary","count-Tubular"
"ZNF317",0.43957490959689,0.69284491662388,0.741506559339573,709.3966,975.086566666667,859.4751,49.5801,148.756532758737,82.7323828624948,684.60655,833.31555,752.335175,734.18665,1084.98635,889.563375,2,3,8
"ZNF426",0.822971285302278,0.767935613082105,0.278620762484291,109.9546,73.5366,146.8045375,34.9995,17.8017764311131,26.6505979686997,92.45485,61.01665,93.743825,127.45435,90.7563,180.4425,2,3,8
"ZNF331",0.865761803917426,0.8113057619957,0.999421326664764,274.663,529.277566666667,541.153775,144.0526,263.105187472845,210.188747776003,202.6367,284.0532,225.2606,346.6893,734.45495,580.70365,2,3,8
"ZNF227",0.992719138948215,0.959138287256824,0.883428942400645,253.9726,262.2207,236.8742375,56.4861,49.3398731150578,26.9119009946007,225.72955,213.45435,199.64155,282.21565,293.1,289.014375,2,3,8
"ZNF141",0.0976093660270514,0.824237647806385,0.0815355683114546,42.9188,136.267366666667,63.6928375,33.0445,8.31754801014765,17.26924852836,26.39655,128.69465,23.642975,59.44105,143.0331,88.4365,2,3,8
"ZNF304",0.723990395214493,0.732212983646282,0.98648766964553,270.8185,171.041433333333,185.9836375,232.6677,79.9027877671014,30.0469313911821,154.48465,98.9293,143.41265,387.15235,236.90055,222.983675,2,3,8
"ZNF132",0.809881826401705,0.430016929504904,0.787035783562246,60.0719,48.1871,38.77995,29.1024,7.24935815572662,6.44421050104555,45.5207,41.0029,28.87935,74.6231,52.61905,39.409175,2,3,8
"ZNF20",0.236900204938303,0.0786348665589436,0.861923553450631,200.9466,126.403766666667,109.8258625,85.5965,30.0529243659877,5.72020069693293,158.14835,96.8726,101.132125,243.74485,145.99805,117.7344,2,3,8
"ZNF670",0.895166511839183,0.533271016383075,0.779425956963858,137.3764,117.461733333333,95.14555,52.6053,32.4575892790543,14.3699599858152,111.07375,86.18905,64.943425,163.67905,140.62375,123.08495,2,3,8
"ZFP37",0.0501865236321961,0.00897365534792061,0.747789349281704,82.3654,36.7870666666667,27.6893125,22.2218,6.32743123822333,6.11642141742321,71.2545,30.656,12.2911,93.4763,41.20715,36.341175,2,3,8
"ZNF189",0.730630084310218,0.986425251603952,0.681904315226292,507.42825,685.405433333333,539.0904875,42.84105,218.070015611885,79.8544993584413,486.007725,471.2683,405.257775,528.848775,828.17925,584.96295,2,3,8
"ZNF434",0.0538698717095237,0.999655308036004,0.0110588725038611,282.47195,425.010366666667,281.3268375,26.32515,51.1653620887326,17.1430950027048,269.309375,375.5765,237.284175,295.634525,461.1571,319.350575,2,3,8
"ZNF287",0.955796385547312,0.781437520006456,0.914654694084676,66.32445,57.4995,48.28485,5.04005,39.5354252688649,5.84591576585128,63.804425,18.18455,36.0153,68.844475,80.76785,58.84065,2,3,8
"ZIM3",0.536180497925576,0.80603824159916,0.744507726843825,0,1.84213333333333,0.9183625,0,1.39293807272414,0.628071156665247,0,0.47665,0,0,2.7632,0.677975,2,3,8
"ZFP14",0.992337425381492,0.923859457568817,0.956379942120921,167.651,174.286066666667,186.1577125,33.4499,27.5731752376794,23.5414262402885,150.92605,154.7226,141.755575,184.37595,200.89525,240.42605,2,3,8
"ZNF473",0.8360601676722,0.951560909823278,0.520121062733234,333.2878,396.910133333333,304.46955,52.7672,92.2083678416143,40.1337243534884,306.9042,309.73605,230.0534,359.6714,466.5221,314.287,2,3,8
"ZNF614",0.964233527138518,0.885001714395353,0.65220661977379,221.68495,248.7653,178.5400125,124.73705,110.807501443539,22.3269678978411,159.316425,153.8915,156.74735,284.053475,345.7799,214.3267,2,3,8
"POGK",0.207179020640568,0.430691131577425,0.611945146300357,2116.19795,1305.76736666667,1622.5735625,266.65665,199.52793531836,186.772371892191,1982.869625,1115.16155,1222.687925,2249.526275,1452.16445,1813.00475,2,3,8
"ZNF514",0.900393291702215,0.698167645510382,0.928157140296219,157.49435,213.1041,247.8129875,34.06525,25.1035966042717,57.7496141706946,140.461725,198.46805,135.96765,174.526975,238.08515,265.34725,2,3,8
"ZNF300",0.00052342399989036,4.17312514078283e-05,0.395136397189193,191.3996,58.8095666666667,35.3163375,6.0316,24.9419941577342,6.91364789549156,188.3838,40.1964,27.4769,194.4154,82.4946,39.66745,2,3,8
"RBAK",0.544096905782449,0.829139412025973,0.129039873912898,756.71925,992.449066666667,645.9382,46.21655,229.202527441434,66.4236875874461,733.610975,781.87005,506.45315,779.827525,1176.114,774.410425,2,3,8
"ZNF92",0.659007083616639,0.935416794410385,0.716751847899656,313.8777,445.851633333333,358.7740875,21.4006,53.8069665766535,66.3037395946742,303.1774,403.2815,286.9571,324.578,495.63635,415.1823,2,3,8
"ZNF157",0.115513500357492,0.0794576797040071,0.991184050039962,5.3211,0.287833333333333,0.5009125,5.3211,0.150516160077396,0.29445465660965,2.66055,0.1777,0,7.98165,0.43175,0.681725,2,3,8
"ZNF182",0.770119493842556,0.932271094810572,0.862062471618494,137.7263,181.839066666667,157.3238625,6.7979,37.4790607597244,26.5364854765091,134.32735,146.4994,121.909175,141.12525,210.3182,159.67295,2,3,8
"ZNF673",0.998648496362757,0.458254583869121,0.386455737482698,230.7281,226.235733333333,133.35645,159.3636,25.3116109345318,28.0543009945699,151.0463,212.8208,95.858,310.4099,251.53185,155.902825,2,3,8
"ZNF41",0.380484888044143,0.912827351426628,0.093316879788515,332.1815,510.514666666667,286.87955,126.1671,153.94499558741,20.0751238268819,269.09795,366.80275,239.518875,395.26505,630.16665,332.485525,2,3,8
"ZNF7",0.999985457021998,0.37439890978457,0.276410564879638,595.5771,594.9468,446.1414125,35.2046,84.1845731645056,49.2313571274245,577.9748,518.8835,345.23225,613.1794,664.22045,490.38845,2,3,8
"ZNF214",0.878574814723222,0.176999113160466,0.0368433083778753,35.65265,39.9570333333333,20.8016,9.23065,0.255187710867468,3.69201114260817,31.037325,39.7973,15.059525,40.267975,40.20925,26.9615,2,3,8
"ZNF215",0.883274582017397,0.886646816708847,0.483507535720726,50.08175,67.3685666666667,35.345475,20.00995,31.1714716036599,12.7421648572865,40.076775,44.7173,7.579825,60.086725,97.2397,64.381775,2,3,8
"ZNF547",0.98369765434095,0.655795110600765,0.704763810965957,41.3045,38.6898333333333,29.585225,15.0882,6.65236455263173,6.01515815920644,33.7604,34.88385,25.36245,48.8486,45.3179,31.94935,2,3,8
