"gene","p-adj-LIVING-DECEASED","mean-DECEASED","mean-LIVING","SEM-DECEASED","SEM-LIVING","Q1-DECEASED","Q1-LIVING","Q3-DECEASED","Q3-LIVING","count-DECEASED","count-LIVING"
"ZNF195",0.362304238148295,427.93426875,486.425115,29.0477695778992,51.5573172335806,338.420425,323.35025,516.176825,560.333375,16,20
"ZNF263",0.568557033100045,556.20485625,587.668915,41.8995555035571,35.5838384195752,466.89405,495.99895,596.8677,677.073175,16,20
"ZNF200",0.0542621540117385,184.1223625,235.61186,10.6416174456113,21.4236702462676,152.53355,169.484275,210.297625,261.233425,16,20
"ZNF582",0.608412149132157,25.49968125,21.854285,4.76207631338665,5.01982084200787,9.9739,7.07225,34.754825,25.527825,16,20
"ZNF285",0.82400646664938,24.18379375,26.092085,6.27001840769805,5.72982938474416,7.453275,4.69315,37.915025,44.469075,16,20
"ZNF275",0.780336719375959,894.70246875,925.244935,63.290905895801,82.8204111889398,735.61385,637.68915,958.1344,1160.567375,16,20
"ZNF37A",0.875677825035292,678.99255,667.89177,56.0464647070498,44.2742488650315,544.2775,525.46255,792.081425,769.1311,16,20
"ZNF510",0.83832243399507,347.38456875,354.773035,19.9182362593862,27.8643379279022,289.783775,280.248,400.344675,438.55575,16,20
"ZNF506",0.78303460136523,619.22694375,642.707585,43.9915320110378,66.8559888672964,481.698325,528.706975,757.880525,815.652925,16,20
"ZNF324",0.806972422243024,173.66439375,169.532835,11.4852204484919,11.8565174446162,144.0222,137.649875,194.2652,195.030025,16,20
"ZNF671",0.962604670945546,93.66691875,92.48283,14.529643003435,19.1446004231248,53.435325,38.083775,111.713375,105.981875,16,20
"ZNF416",0.909686187216722,97.25755625,95.74243,9.20959311085443,9.28566374850614,72.145825,71.9397,107.3123,123.490025,16,20
"ZNF586",0.734858758248139,208.43421875,217.05763,16.2334241272603,18.4611223302421,168.7569,163.106675,234.84585,274.8749,16,20
"ZNF446",0.637450423436718,176.089675,165.488405,20.2821215182537,11.6391238896651,135.622225,142.8531,199.86665,187.22345,16,20
"ZNF8",0.130190288836937,274.709125,225.66136,20.9417594078803,22.7703683768371,228.5191,151.729325,322.205325,280.53925,16,20
"ZNF264",0.0309922891130255,1393.29046875,1068.87863,85.0088677319543,109.367735652311,1100.99865,681.16005,1579.98745,1441.5305,16,20
"ZNF213",0.602449552873376,671.54483125,640.710265,44.7642147736585,38.3365302043929,549.684425,580.7751,761.933325,776.88275,16,20
"ZNF343",0.341893190950515,312.95356875,272.805165,39.63734495716,19.6840100599597,238.547275,220.602375,321.0073,314.959725,16,20
"ZNF302",0.489864070737343,371.255325,470.63234,40.6931169815604,122.764534925761,247.02315,245.3567,514.510225,407.9379,16,20
"ZNF268",0.895351279250581,354.24716875,347.19321,35.6202295512217,38.1046578901098,293.116225,234.832275,423.099225,461.957975,16,20
"ZNF184",0.161508713963288,258.127775,221.399405,18.8378248923597,17.3110089786232,201.590525,167.583075,297.22875,248.068475,16,20
"ZNF500",0.803991872059992,290.9706,283.6872,25.4284141744558,16.3082209830486,216.25935,223.60495,392.328525,319.452925,16,20
"ZNF419",0.394896024578073,71.91595,83.96949,8.06015875029249,10.7047233972104,42.81175,49.679175,88.442125,110.895,16,20
"ZNF175",0.0663344231278606,203.3515,152.600695,13.3869828362325,21.3538902657923,171.519575,77.158075,243.7823,204.446175,16,20
"ZNF14",0.667112033888151,181.42895625,171.86437,18.8439421934587,12.7360552970837,133.36335,149.68625,202.328625,189.62475,16,20
"ZNF85",0.936382635687762,111.959775,115.7212,20.3421705901568,38.4573005098142,67.2804,43.299075,131.215775,116.2932,16,20
"ZKSCAN1",0.67867407055643,2066.9986,2221.795515,270.308740069796,250.990184537576,1538.3243,1340.05935,2016.142825,3171.5983,16,20
"ZNF862",0.137726057704764,393.27791875,516.41426,38.6505037648209,65.3846670892284,308.4121,308.48545,457.854,594.29465,16,20
"ZNF684",0.306046349692363,70.3766625,61.66342,6.17469352186727,5.6419758794919,54.649075,43.596125,86.032925,75.9027,16,20
"ZNF430",0.964681292123693,212.61896875,214.88143,26.5381647246199,40.014215707922,153.892375,159.4634,215.16125,205.55405,16,20
"ZFP30",0.593352794020386,175.74675625,202.05386,18.6597416735914,40.9168727148049,133.35595,109.9786,233.0965,225.897775,16,20
"ZNF549",0.666231497425323,130.60798125,118.28905,20.497929374582,19.2910689018622,60.56355,45.977575,171.363925,161.04605,16,20
"ZNF211",0.803387467360907,215.96000625,224.875185,15.2919861415641,29.2629192533201,184.18765,150.005175,265.394,254.595225,16,20
"ZNF205",0.757889071523844,258.09211875,267.59685,20.1397545513639,22.0880077488424,209.7007,207.79235,290.90195,344.6211,16,20
"ZNF45",0.691905206516265,253.980075,269.258585,15.6806641115486,31.7333835741456,225.25685,204.287075,275.020725,302.600725,16,20
"ZNF133",0.40522860493029,285.423625,240.822315,48.3982718885564,27.3483046812299,196.739025,169.312975,284.68855,257.28045,16,20
"ZNF436",0.136091809646634,663.78684375,526.648655,69.2336753775935,58.2250550019638,444.43375,341.41215,803.001475,710.703025,16,20
"ZNF484",0.79695314721903,166.35315625,162.081165,11.4968932650339,11.504820968424,144.00165,123.68,206.663875,202.424675,16,20
"ZNF780B",0.238266777543839,402.04904375,353.96158,25.8357371274461,29.2344986451386,358.6183,269.336925,461.59865,410.187375,16,20
"ZNF557",0.373564373067371,259.67775625,232.918245,25.629646417323,16.8993909516344,206.4341,171.9125,268.12615,284.24155,16,20
