"gene","p-adj-N1-N0","p-adj-N2-N0","p-adj-N2-N1","p-adj-N3-N0","p-adj-N3-N1","p-adj-N3-N2","p-adj-NX-N0","p-adj-NX-N1","p-adj-NX-N2","p-adj-NX-N3","mean-N0","mean-N1","mean-N2","mean-N3","mean-NX","SEM-N0","SEM-N1","SEM-N2","SEM-N3","SEM-NX","Q1-N0","Q1-N1","Q1-N2","Q1-N3","Q1-NX","Q3-N0","Q3-N1","Q3-N2","Q3-N3","Q3-NX","count-N0","count-N1","count-N2","count-N3","count-NX"
"ZNF195",0.485869269637001,0.999953239561805,0.725856492483973,0.994647988414516,0.455038993547675,0.992615586618935,0.67781403555723,0.214147281621845,0.697932985673652,0.858206063682411,472.914513333333,335.526228571429,462.44685,507.7887,655.818,54.096389140519,28.9733232107178,102.728636605274,40.538889471979,113.8733,352.5535,269.94375,285.63425,460.706625,598.88135,548.51265,368.7001,522.3927,576.210175,712.75465,15,7,6,6,2
"ZNF263",0.948208893746091,0.996605531794313,0.893468614355475,0.999690631766385,0.938837729554205,0.999923569443212,0.999895607783294,0.980915896513258,0.999992899586412,0.999999954401779,576.266606666667,520.009385714286,604.7901,591.763166666667,594.6358,40.9520627501908,47.5063917184656,104.314695126919,52.7961877653975,112.5672,474.02875,495.2623,487.359475,516.460175,538.3522,622.2949,597.1915,719.354875,655.336725,650.9194,15,7,6,6,2
"ZNF200",0.962268170328073,0.886269155580126,0.999049400420572,0.822016889853947,0.995419856945499,0.999948718299712,0.994005280723539,0.939793376666826,0.88723665266623,0.851095913711838,229.406566666667,204.290528571429,192.704466666667,186.947183333333,254.57645,27.9944559911638,13.8826784884672,26.0610205586257,20.0870028319544,52.14425,158.43135,184.74035,150.2309,148.72415,228.504325,248.5971,221.51755,216.4173,220.951725,280.648575,15,7,6,6,2
"ZNF582",0.411572198557364,0.693190407132103,0.997514166105042,0.999974827823727,0.654507733298654,0.852011065371465,0.930015206595384,0.417466747255153,0.568755798548085,0.930666072720638,18.6664533333333,35.0798428571429,31.4277166666667,19.6600333333333,6.4992,4.5889747969907,10.7706616317719,10.1952488097289,3.58025020221275,1.7328,6.74645,12.60625,9.34245,14.0092,5.6328,21.7487,53.89435,54.462425,25.98075,7.3656,15,7,6,6,2
"ZNF285",0.384831957215198,0.837058383062521,0.975229747096166,0.999440307717847,0.693495446389595,0.959027669878744,0.926060118962697,0.395158786201485,0.658175097451408,0.903530627597953,19.6181866666667,40.0313857142857,31.92305,22.2436,4.645,5.01575752739368,11.7932036384042,13.8428569726231,7.94485610157079,0.5935,4.5828,11.7361,3.416975,11.769375,4.34825,36.8474,64.3552,58.009875,21.021225,4.94175,15,7,6,6,2
"ZNF275",0.627279753778371,0.987368778402312,0.947894499209791,0.999999684006166,0.758132114823385,0.991726235242886,0.970054268973637,0.999470153935645,0.998510274655035,0.974750881197191,850.01874,1060.8691,928.048866666667,844.671416666667,1003.72585,104.157827548264,99.0451587836459,119.310074350866,29.4178116490267,295.43225,590.89345,968.21545,719.638225,791.185225,856.009725,979.4527,1102.6375,1161.59435,899.78465,1151.441975,15,7,6,6,2
"ZNF37A",0.983409217492634,0.191616687347071,0.564606161019458,0.940628700731959,0.807704221259494,0.114489476998516,0.84931273160181,0.966494031842113,0.994542623263081,0.645488576762582,631.769993333333,679.555828571429,844.545566666667,559.825666666667,781.02405,49.0483578070017,65.1863186023531,107.949988610895,73.8380683130713,15.44875,504.0706,538.4226,653.136,466.60735,773.299675,732.1489,784.63675,980.31715,669.8492,788.748425,15,7,6,6,2
"ZNF510",0.77246030162803,0.999952433786808,0.825681363151786,0.999989436748088,0.84114174984434,0.999999771275222,0.498612678867223,0.911167095332134,0.532804264944663,0.546423195249544,335.148133333333,391.255357142857,329.097666666667,330.998716666667,463.513,34.61171507233,32.9692740880112,28.944896038135,23.3819618721842,56.0294,234.4071,366.3953,292.871675,303.8021,435.4983,418.57985,452.04325,368.9568,375.897675,491.5277,15,7,6,6,2
"ZNF506",0.99516066288408,0.875180616702018,0.784282483282683,0.903122002601841,0.816686887688586,0.999996791668818,0.891261830127839,0.81904396104161,0.998647052024308,0.997627631531349,593.979533333333,549.417785714286,710.338183333333,701.48665,767.60815,76.112057278253,67.6373880643314,77.0098427422643,109.75820552656,154.69885,439.02055,460.03555,681.4399,516.8545,690.258725,781.4302,643.1871,848.111125,744.3339,844.957575,15,7,6,6,2
"ZNF324",0.996475261035197,0.9797585503079,0.935202560181236,0.99983517400057,0.992402341993969,0.997193277554022,0.99979830024627,0.999999285761343,0.987819014316691,0.999038965571573,170.352626666667,161.9616,184.3976,174.417733333333,163.6872,14.4493952509454,14.783656312454,21.9938351819322,21.4641463833477,31.9753,140.4217,144.6784,161.943275,140.758975,147.69955,190.6484,179.52705,191.840975,204.638425,179.67485,15,7,6,6,2
"ZNF671",0.585485312872071,0.999999976802622,0.752117916140858,0.999929920916942,0.676613668985465,0.99994304630969,0.916816753406695,0.491227850757008,0.93377479690238,0.956143481289214,86.5625733333333,136.5019,87.19165,81.8884333333333,39.94745,21.3529828523892,33.2495365444607,23.9152602605219,18.1503180549482,12.06375,40.88775,70.2807,46.81715,67.723775,33.915575,97.8365,183.2467,107.2369,98.291025,45.979325,15,7,6,6,2
"ZNF416",0.866979627973914,0.991664332650376,0.761849089827447,0.959949899996385,0.641526546431101,0.999648540778714,0.998445465421049,0.921802353429205,0.999999999992166,0.999917164834892,97.0486,114.744485714286,88.5234833333333,83.9994833333333,88.44565,12.5468036710588,14.4929715060756,11.1951436646853,11.0927304664937,3.60295,71.1164,86.19925,74.675025,69.69455,86.644175,125.3057,146.79205,104.63465,104.52655,90.247125,15,7,6,6,2
"ZNF586",0.999993169647949,0.982123792434357,0.983472678178821,0.862691046507838,0.931654110820491,0.709549376483297,0.923211613470201,0.948839598502634,0.818091427600862,0.999778998393177,207.444933333333,209.991185714286,187.494816666667,243.472766666667,254.34115,22.8100261873916,21.8770655758102,22.1331042854577,34.2344334663476,19.72935,141.729,184.8586,158.318725,202.367225,244.476475,239.47475,223.1395,200.46285,268.266075,264.205825,15,7,6,6,2
"ZNF446",0.951303135508599,0.999978691268642,0.960757971927318,0.928960442606463,0.703607128682628,0.976009726259814,0.768686259924777,0.957449151229349,0.786931448070412,0.539137203339149,172.891726666667,151.091828571429,176.011966666667,198.569833333333,114.3467,11.6586097911268,28.1205637950213,24.3571967872286,43.4474165608165,23.2885,147.7009,104.9694,151.156775,135.2963,102.70245,188.4418,197.741,209.6952,208.7822,125.99095,15,7,6,6,2
