"gene","G1-[Not Available]","G2-[Not Available]","G2-G1","G3-[Not Available]","G3-G1","G3-G2"
"ZNF195",0.811876412724117,0.95829102535494,0.718412348851484,0.852916068140345,0.000371181497561435,0.000528747788504647
"ZNF263",0.985630307361617,0.844077452462266,0.64221159435493,0.870255292080513,0.760247039282504,0.998879655750889
"ZNF200",0.982092665640088,0.982606805526442,0.999972324462653,0.90872623975908,0.902660728831124,0.787920850558044
"ZNF582",0.262785398002787,0.235434196402955,0.999999952364409,0.476403568188377,0.73076161192382,0.5508384818505
"ZNF285",0.946535477361428,0.996943425949556,0.791713277955858,0.932503369795555,0.0305780930155632,0.0691531667469374
"ZNF275",0.999354569403802,0.945524586442222,0.312950514228291,0.885386397546667,0.176415398012677,0.943674272709911
"ZNF37A",0.82729120406104,0.66958179424202,0.922875966071718,0.930932422490765,0.914884468638608,0.387336763894753
"ZNF510",0.832967073569011,0.673578315133937,0.918238779792643,0.854272341886193,0.99873675291863,0.770188396034081
"ZNF506",0.992305640139871,0.99988869366416,0.800320317660297,0.964894121831204,0.268204692906149,0.595802681913017
"ZNF324",0.127884338151416,0.058352838384211,0.912668546790843,0.139154850739547,0.996585058202273,0.713932916247448
"ZNF671",0.0082737929779606,0.0208338550340585,0.716059427691278,0.0192565608098855,0.836907265709716,0.997605056913763
"ZNF416",0.112624334386647,0.146173171809145,0.957682484679865,0.427282958871119,0.240582699899202,0.271461348096998
"ZNF586",0.990943711517475,0.999909216483984,0.926186993800177,0.95882416573798,0.222059879152372,0.309897360673388
"ZNF446",0.84577427769026,0.999709157474068,0.225291291588317,0.994397745054341,0.0485045613604895,0.71592062486649
"ZNF8",0.196636014981041,0.383889477266139,0.64584166074039,0.974020207886135,0.000952695059208586,0.00282683814078399
"ZNF264",0.158179136159893,0.123172572812143,0.999449132277343,0.48461744354241,0.318058610420527,0.0918552007213609
"ZNF213",0.999607549195157,0.694096475071454,0.0620121476835025,0.572080974447606,0.0264235999611964,0.919908448889478
"ZNF343",0.446202612559944,0.473928160740164,0.994701553078922,0.684023634446801,0.756411152547689,0.763878150140061
"ZNF302",0.619317726036231,0.869701986140526,0.599911963582041,0.998750939329201,0.00570636659034829,0.0290371052883072
"ZNF268",0.804202417799431,0.799043679974232,0.999941044257379,0.815040254256533,0.999657740530384,0.999918057073124
"ZNF184",0.188482132397434,0.114962038951315,0.974137296246832,0.31852733661345,0.849665485013713,0.410076261419808
"ZNF500",0.953389643281848,0.936132404420609,0.999469499408713,0.997248596985447,0.851045510890797,0.644133118594143
"ZNF419",0.227383961737807,0.179328392625892,0.998869416885558,0.394514115812147,0.80427268592795,0.542584945718503
"ZNF175",0.47422534318358,0.224486747100548,0.703787790686082,0.370362522559988,0.985987370685275,0.831940096795949
"ZNF14",0.896011300779111,0.562258846359663,0.461271315460211,0.224035352917842,0.0234337042885279,0.215057659688331
"ZNF85",0.998672354540879,0.995484728553118,0.748658701510204,0.603150535454027,0.00549561669755694,0.0119185314430396
"ZKSCAN1",0.997802555525711,0.883370174707543,0.51175496954576,0.91448441964789,0.681804723041275,0.996076148369416
"ZNF862",0.999865956309739,0.999044611100936,0.9984443553169,0.999907035127825,0.999995216506761,0.995926243822104
"ZNF684",0.999700263510866,0.961932522250252,0.755324995790694,0.992215486288527,0.80301243363408,0.091624783577303
"ZNF430",0.952565341344375,0.995843000955337,0.851148388704568,0.99036533088628,0.187146937601925,0.368914383756657
"ZFP30",0.876594857436451,0.939292905444433,0.956763092360165,0.999790874323087,0.178982342672066,0.189259938442753
"ZNF549",0.951796187814152,0.96993407717942,0.994230971737269,0.999643032884564,0.418805900783769,0.342934454282217
"ZNF211",0.126228148363957,0.269121681188895,0.641383048934939,0.513707761382896,0.160361072530271,0.578885507891093
"ZNF205",0.95174727077195,0.971484333331068,0.0615145538294533,0.993790731088191,0.223289870166169,0.950184742492993
"ZNF45",0.820048856111679,0.945718122315445,0.812807276120564,0.981659458328392,0.0145921799468711,0.0255611301820806
"ZNF133",0.731178575102772,0.876816021255013,0.850629050707558,0.99980288411301,0.0356984271640364,0.0586044917833434
"ZNF436",0.999999941738475,0.998642953086194,0.98094499275533,0.950032176967352,0.582764528917353,0.642614453181833
"ZNF484",0.99999862842007,0.973589839785727,0.671950010219275,0.971850457452267,0.743992224732198,0.0432019672837632
"ZNF780B",0.999999522241499,0.999564193343764,0.990590157297342,0.960338543447214,0.655598904475825,0.256073831042813
"ZNF557",0.520981086949636,0.731683838782525,0.762027277389473,0.967679354770815,0.114343879767936,0.316339328271554
"ZNF337",0.996036872513186,0.999999641883294,0.94286004249356,0.86878366687183,0.0834470676407076,0.0819572070524512
"ZNF317",0.847717178917478,0.677018054347921,0.893734509363399,0.999055485594113,0.346965567578717,0.0169287639733309
"ZNF426",0.999727543858053,0.999949053790441,0.99955578294161,0.921430600213315,0.569972719026918,0.282525060752143
"ZNF331",0.992366900766902,0.999988576430206,0.847281237772831,0.999988104113758,0.92978298846522,0.9973681966558
"ZNF227",0.97449929990283,0.989597316204563,0.988294049146703,0.978217438687788,0.194270987177603,0.133894076776857
"ZNF141",0.997983307926903,0.999999734224524,0.960880626186183,0.950092141205503,0.316485083551016,0.36857336060592
"ZNF304",0.0299442248778712,0.021484606639025,0.999946163244174,0.0714800852734879,0.777676952295123,0.573577322358036
"ZNF132",0.887407646905437,0.893569952046215,0.999609095735355,0.711806591981309,0.865749724334782,0.678219325690515
"ZNF20",0.902957264836735,0.951928191284605,0.968590925935221,0.999825896648827,0.447493728232169,0.521560320138912
"ZNF670",0.993472463521976,0.993733604239185,0.999987487603278,0.752134952955217,0.308886182958759,0.10922785721226
"ZFP37",0.967644848290364,0.998785961531291,0.841601185561912,0.999940685078163,0.753072475169752,0.991621263068019
"ZNF189",0.945965879078375,0.854789620876781,0.938064085632689,0.996335495736189,0.84071384581277,0.296546173244629
"ZNF434",0.980575760204124,0.999978416967651,0.683032190737017,0.998342474789367,0.538100781267634,0.979139281927557
"ZNF287",0.999973958584869,0.998009506901048,0.986266102302042,0.804686540323344,0.172776661230251,0.118915418301561
"ZIM3",0.997922789241262,0.98984440507153,0.98971471122844,0.982561871284884,0.970186243289724,0.996972426813245
"ZFP14",0.64573900134955,0.894694982835089,0.572821023857205,0.999991525989294,0.028857243264475,0.171002463229558
"ZNF473",0.614314696171468,0.701141152133067,0.967236926706837,0.999996480445033,0.0143319486859529,0.00529599107442613
"ZNF614",0.0496948432451212,0.0933390818337624,0.813614060025883,0.263051239373701,0.201864251350294,0.451440439288283
"POGK",0.999140009886765,0.987074376329355,0.626318491761702,0.358751690045465,0.000195490869071668,0.000471869692457272
"ZNF514",0.859052111914933,0.85793030902388,0.999908310714865,0.591927786869593,0.705784267904499,0.465969742100606
"ZNF300",0.981651386696371,0.805300884721193,0.568513196889964,0.421958394506536,0.034060304218456,0.202259219600933
"RBAK",0.985389644545394,0.96318448535303,0.990050095220209,0.996573283840941,0.523949945385312,0.151096486000778
"ZNF92",0.999649935330665,0.98644391684598,0.930941373298027,0.613395567588093,0.0394377207893918,0.034984733902599
"ZNF157",0.993363259349769,0.934972087894614,0.85467726712986,0.63044510294933,0.124507695954712,0.238448131035229
"ZNF182",0.993667770359608,0.999999038691177,0.887108637487111,0.989086334415276,0.502885484148476,0.789454411746481
"ZNF673",0.909431986551267,0.921496784242282,0.998874810173427,0.844744220967926,0.987379080557214,0.931427976020096
"ZNF41",0.788498803795134,0.865396000153403,0.964337773673241,0.973294901180404,0.596810089830969,0.728588936969539
"ZNF7",0.999999909238583,0.940766578065578,0.459927414034834,0.744902708619782,0.0753890683707331,0.521539559247719
"ZNF214",0.993171188404918,0.972297233976776,0.978407575355261,0.992784688599499,0.999999995353805,0.963325806057513
"ZNF215",0.971817638490083,0.87507275877532,0.870830596008493,0.41558255777406,0.0472213860592779,0.071792136114999
"ZNF547",0.305796749211326,0.229149130879356,0.993336190793788,0.489949948860608,0.822081742455635,0.480370495591424
"ZNF773",0.256850360373185,0.291023314689008,0.985674607322502,0.512506975549896,0.625859298776124,0.670367855485615
"ZNF776",0.0102518230747274,0.00830176137660965,0.999559422082429,0.0181605307911575,0.924938044823737,0.907740582509917
"ZNF256",0.329089897288651,0.507316261156908,0.790994733164722,0.96845205695077,0.0135311919187288,0.026828061271938
"ZNF599",0.784022724542925,0.925851682797928,0.807420531932244,0.982187694466715,0.49867433851518,0.883424879573222
"ZNF18",0.981925252801294,0.849770930570943,0.707462587375013,0.850247495296959,0.739549578235029,0.999993522519477
"ZKSCAN2",0.466400242906387,0.312025880608588,0.942562198684374,0.483894965434867,0.998877210438859,0.823862067005983
"ZNF689",0.977480928418981,0.985123772216285,0.998148338779862,0.95432517083411,0.994355903025362,0.951360459800634
"ZNF19",0.892504585859229,0.999992289133677,0.276588205474212,0.99644877591084,0.611905533857369,0.938289492688946
"ZNF230",0.800868227190004,0.937641190139879,0.799839222522786,0.999744459350177,0.0742463198878572,0.176655719904112
"ZNF222",0.923806144078042,0.994641585447934,0.740877702992009,0.965114672299625,0.0418989691939463,0.125478184439227
"ZNF221",0.697619780902665,0.796207538807323,0.95140601359543,0.998242608959242,0.0131148472992353,0.006143442976146
"ZNF233",0.997903107668848,0.903109469227221,0.587322104867942,0.689728643297771,0.129349138819488,0.560200985932882
"ZNF235",0.999883813848335,0.999786135546663,0.9999866438481,0.937185491285435,0.402663050435865,0.174243069919458
"ZNF208",0.997586461313377,0.973136584027441,0.93291297765531,0.77824195329098,0.272559353888772,0.374926953595144
"ZNF714",0.999999095604893,0.99213319676606,0.87525025393946,0.482092154586928,0.00376756846235471,0.00280621317253793
