"gene","pos-neg","mean-neg","mean-pos","SEM-neg","SEM-pos","Q1-neg","Q1-pos","Q3-neg","Q3-pos"
"ZNF195",0.979168563906675,223.699593197279,224.169706818182,8.85985875075786,14.2551356036504,153.5605,149.495225,272.1881,277.521025
"ZNF263",0.122265268442515,659.372083673469,602.052411363636,19.2287826871448,20.4519480879417,508.7582,499.069425,748.34015,684.171925
"ZNF200",0.398191497062851,219.238210204082,206.07605,7.87246890378206,10.6911810088622,159.29425,164.154725,255.08525,232.376875
"ZNF582",0.762647784850537,35.745406122449,37.3326977272727,2.56376635374177,4.31469293536949,11.6177,14.542125,48.744,49.1284
"ZNF285",0.00416957206017166,30.3531183673469,57.0553545454545,3.08426401489068,13.3725310115983,6.93715,16.0107,39.3152,75.5041
"ZNF275",0.201360474102611,867.587870068027,700.252502272727,67.8173558106726,73.8177108539822,478.93985,361.989625,996.79155,843.4476
"ZNF37A",0.97243819277656,285.685954421769,286.555295454545,11.9771046387296,22.55540447588,180.109,158.7239,370.9046,413.1339
"ZNF510",0.616461302585031,161.774404761905,153.621947727273,7.59236332683057,15.4706953139429,96.65855,87.14495,199.65705,184.584575
"ZNF506",0.137826059027999,147.561401360544,182.420704545455,9.91792642398315,27.1136789257223,60.75115,77.24355,215.112,239.093
"ZNF324",0.569739346698791,133.65897414966,138.003920454545,3.56627183014307,7.25826961285921,102.6329,107.392925,156.57045,159.902
"ZNF671",0.108802977583363,95.804712244898,77.9923522727273,5.20484605852916,10.302540506465,50.63755,33.2366,130.0359,106.498175
"ZNF416",0.296538583983877,81.9228265306122,89.728325,3.59558965326447,6.43731157029026,49.7423,56.098775,102.07305,106.15265
"ZNF586",0.0395879531800652,72.4424666666667,86.2846045454545,3.01604863465566,6.90893295395083,49.58535,58.332225,88.7208,116.794925
"ZNF446",0.986791285542442,211.597063945578,211.893095454545,8.79796737747409,14.1674730919665,145.885,146.2479,247.09325,233.94525
"ZNF8",0.305563497380801,54.8247489795918,60.7368886363636,2.87944771330575,4.2396399417222,32.88015,44.27575,67.129,73.249725
"ZNF264",0.921413243032702,351.913869387755,348.834468181818,15.5928018227276,23.0034209192121,224.5261,228.08045,432.34355,431.991825
"ZNF213",0.141222861000074,205.550403401361,245.036838636364,11.982953430391,28.0622418025326,112.60205,118.254275,227.2776,305.84225
"ZNF343",0.606723957705342,215.829579591837,223.63445,7.47502350309207,11.8852517407775,158.31385,176.226725,254.74365,273.436525
"ZNF302",0.731456487915094,504.59894829932,517.972554545454,17.7255041338038,39.4682652706305,359.30985,343.15015,630.2898,600.51475
