"gene","p-adj-Stage II-Stage I","p-adj-Stage III-Stage I","p-adj-Stage III-Stage II","p-adj-Stage IIIA-Stage I","p-adj-Stage IIIA-Stage II","p-adj-Stage IIIA-Stage III","p-adj-Stage IIIB-Stage I","p-adj-Stage IIIB-Stage II","p-adj-Stage IIIB-Stage III","p-adj-Stage IIIB-Stage IIIA","p-adj-Stage IIIC-Stage I","p-adj-Stage IIIC-Stage II","p-adj-Stage IIIC-Stage III","p-adj-Stage IIIC-Stage IIIA","p-adj-Stage IIIC-Stage IIIB","p-adj-Stage IV-Stage I","p-adj-Stage IV-Stage II","p-adj-Stage IV-Stage III","p-adj-Stage IV-Stage IIIA","p-adj-Stage IV-Stage IIIB","p-adj-Stage IV-Stage IIIC","p-adj-Stage IVA-Stage I","p-adj-Stage IVA-Stage II","p-adj-Stage IVA-Stage III","p-adj-Stage IVA-Stage IIIA","p-adj-Stage IVA-Stage IIIB","p-adj-Stage IVA-Stage IIIC","p-adj-Stage IVA-Stage IV","p-adj-Stage IVB-Stage I","p-adj-Stage IVB-Stage II","p-adj-Stage IVB-Stage III","p-adj-Stage IVB-Stage IIIA","p-adj-Stage IVB-Stage IIIB","p-adj-Stage IVB-Stage IIIC","p-adj-Stage IVB-Stage IV","p-adj-Stage IVB-Stage IVA","mean-Stage I","mean-Stage II","mean-Stage III","mean-Stage IIIA","mean-Stage IIIB","mean-Stage IIIC","mean-Stage IV","mean-Stage IVA","mean-Stage IVB","SEM-Stage I","SEM-Stage II","SEM-Stage III","SEM-Stage IIIA","SEM-Stage IIIB","SEM-Stage IIIC","SEM-Stage IV","SEM-Stage IVA","SEM-Stage IVB","Q1-Stage I","Q1-Stage II","Q1-Stage III","Q1-Stage IIIA","Q1-Stage IIIB","Q1-Stage IIIC","Q1-Stage IV","Q1-Stage IVA","Q1-Stage IVB","Q3-Stage I","Q3-Stage II","Q3-Stage III","Q3-Stage IIIA","Q3-Stage IIIB","Q3-Stage IIIC","Q3-Stage IV","Q3-Stage IVA","Q3-Stage IVB","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF195",0.999441628513694,0.999989585624095,0.999999775786876,0.968085865104214,0.999888785779939,0.999999999902085,0.412858957312641,0.598377467359743,0.995112831935444,0.761747428066454,0.496421648950134,0.692501414468583,0.998231858597347,0.843943431090921,0.999999971286416,1,0.999999979096942,0.999998674941165,0.99999756589984,0.956986388517901,0.975923425212281,0.999547779430643,0.998881294123162,0.998526994807203,0.997529601349996,0.923407178144257,0.944056004346493,0.999872000012587,0.971797258728269,0.950839619409505,0.973154411703109,0.920208400684412,0.540397290599217,0.601040747290719,0.995167265334528,0.999999993017457,222.119648255814,231.393968965517,246.431233333333,240.7083,311.1277625,301.524822222222,220.2432,153.4123,133.14885,7.0896944517641,12.8084898269091,129.615105237331,14.6075261752599,84.8529054499881,50.9372257980126,42.0848669810578,NA,21.01495,161.594075,150.5293,117.3236,162.4949,160.44395,233.208,192.7367,153.4123,122.641375,262.919775,282.90345,320.9083,277.1203,350.1716,338.9128,261.5808,153.4123,143.656325,155.411626,232.730927762803,161.79025,203.7801,137.280725,175.7242,160.4443,273.6484,5.56112624920367,5.91052152263053,1.49751298376354,1.25953263561927,0.582568511548329,0.332888504077777,"LIHC"
"ZNF263",0.912451046297595,1,0.999995681594925,0.9998985801044,0.999314959726045,0.999999991511446,0.999999943821317,0.999092019749312,0.999999999955991,0.999987880686196,0.999951337766833,0.999999999987423,0.999999415775819,0.999999744679738,0.99994432887173,0.999999988766727,0.999946798268345,0.999999999844119,0.999998944753994,1,0.999990076877223,0.999992055718468,0.999999964964113,0.999996257307664,0.99999869280815,0.999979852441444,0.999999936838976,0.99998467799323,0.999999286936706,1,0.999999807799106,0.999999986419238,0.99999633943009,1,0.999997754334463,0.999999995162976,638.513345930233,675.514211494253,635.116933333333,653.58972,624.163675,670.6707,619.643266666667,713.1134,677.413,16.1667517870752,23.4017124200011,174.430386978324,23.9597604856008,55.2735504186798,30.2236646958463,62.3935358029001,NA,55.1954,506.9187,529.68225,463.19885,493.6686,526.1648,626.8701,587.5009,713.1134,649.8153,728.53275,802.8531,746.622,760.3846,687.629825,738.0975,682.02715,713.1134,705.0107,502.780342,654.156063881402,508.73765,621.6938,432.869725,555.48215,513.36165,748.34015,11.8161092243691,10.980394618885,1.30107724832528,1.22203222033989,0.379706621138964,0.289282324036979,"LIHC"
"ZNF200",0.916877024138303,0.999911676602419,0.999999956298681,0.999999942248732,0.9924065788284,0.99996388120452,0.995897693116288,0.999995539440974,1,0.998392618723952,0.999078607934082,0.999999991344726,0.999999999921639,0.999735418131455,0.999999994035833,0.999998926196034,0.999701126361606,0.999795646655775,0.999996635847401,0.998972341094638,0.999657120145759,0.919987294675049,0.964864904703244,0.992195883251686,0.930500116780941,0.987501513472286,0.980231907838659,0.930841035345306,0.999993072184076,0.999609406424768,0.999656127304794,0.999985349140374,0.998803698459018,0.999520056515968,0.999999999741736,0.93133723268685,208.228445930233,222.744672413793,231.686866666667,210.524821538462,232.8551625,227.094533333333,194.936833333333,318.1049,187.636,6.04145680214384,10.6686845512307,54.2109682549062,7.73043932091094,37.7628894868879,16.4100987520812,21.1507319035168,NA,26.5899,155.7643,157.45285,186.06055,169.1289,164.942025,193.6815,175.84535,318.1049,174.34105,247.617425,265.1474,279.85355,247.7876,315.2237,246.5241,212.3662,318.1049,200.93095,129.855414,213.631044743935,126.38715,198.0431,111.775675,141.265425,158.57255,252.1229,4.57307231498494,4.34021180946834,1.64514545957965,1.56695597614156,0.718215149028336,0.647964647650669,"LIHC"
"ZNF582",0.999999522157759,0.987523790071311,0.992031832142604,0.99994269693435,0.999530390302908,0.976722715860647,0.998266196414533,0.996589036913007,0.948255966929709,0.999845855301055,0.891427969870808,0.934407878725789,0.999999997487006,0.830401290780356,0.834519339677962,0.99999999630744,0.999999999953353,0.99959386925624,0.999999558177053,0.999883424010146,0.99956535239697,0.999857284645854,0.99977878014825,0.989903857072378,0.999951770148787,0.999999615357873,0.989292298912165,0.999857576046143,0.999999997974252,0.999999976505207,0.998444414522564,1,0.999999816903655,0.998271585893458,0.999999957219082,0.999992739644253,37.9535895348837,38.9937103448276,55.9161666666667,35.8264523076923,29.590975,53.1941333333333,40.4490333333333,21.4326,35.12715,2.31517826134036,3.46261322560255,20.2338150527225,3.84516898439689,8.04214776238621,15.4755212075393,25.9050765725776,NA,30.94305,13.633725,10.1329,36.80355,12.7592,6.136175,21.6253,14.5535,21.4326,19.655625,57.218625,57.6628,71.22455,49.8379,47.311975,71.8758,54.0057,21.4326,50.598675,33.16821,37.6293967654987,31.3957,31.113,24.342075,41.41785,12.0804,54.44455,1.6879733061417,1.61690982978096,1.13450188495245,0.990995582197562,0.182059006021524,-0.0130494689144235,"LIHC"
"ZNF285",1,0.999228578174659,0.999291314335981,0.30651517121526,0.479766408182784,0.999999999990997,0.999999573515643,0.999999597396713,0.998808978977455,0.964447794404382,0.504940673663046,0.541045970191935,0.999923920324768,0.984893424813979,0.78686166923867,0.999961308355061,0.999965045542557,0.999999990223465,0.999999992574739,0.999879824625258,0.99910550872259,0.999998428490162,0.999998410220673,0.999671350303616,0.999412374308798,0.999999943500834,0.990137557829814,0.999930374484261,0.998089040255726,0.998132188838715,0.985856890121449,0.952378099967097,0.999773012435112,0.816894540088548,0.994719205761884,0.999999940193008,32.4018302325581,32.4610666666667,50.3991,48.6178569230769,28.1875125,65.5128555555556,44.4876666666667,18.6125,7.4767,2.70374802853511,3.54164294118808,41.6091482217953,9.93439531501878,10.0950161734187,14.6285758049491,28.840923698588,NA,0.7821,8.802925,6.6493,8.932,9.0909,11.9935,36.4725,16.21905,18.6125,7.08565,39.545375,51.64595,74.10765,57.0939,34.6969,95.0081,63.57305,18.6125,7.86775,15.258206,35.308641509434,13.69745,21.0095,10.8139,21.12825,7.4583,47.1832,1.06940738887235,2.4094562005612,2.3140755544547,1.53382563907881,1.21043596913755,0.617134490706876,"LIHC"
"ZNF275",0.929643258001871,0.999989621005744,0.999999999962933,0.999999100178057,0.99668017675614,0.999998080317127,0.9913840096433,0.99996047955736,0.999999972807171,0.997139600178654,0.999943144443291,1,0.999999999895636,0.999995472768306,0.999991369926709,0.999994901991558,0.999999999999669,1,0.999999210053713,0.999999911941267,0.999999999995585,0.99882207033417,0.994578691198322,0.997044441683022,0.998307447424088,0.988004372313729,0.99646671889452,0.997447200956994,0.999991974691093,0.999999998835422,0.999999999999793,0.999997998704382,0.999999999682706,0.999999998182572,0.99999999999136,0.997373155573131,832.33395872093,727.158072413793,699.6345,808.057032307692,627.0724375,735.198,711.2071,1260.0113,675.5462,55.7194626233943,47.8715029749235,263.592069830815,65.5062053573419,91.7864870131062,82.8086090528837,216.197897504586,NA,247.4664,497.7054,414.08455,438.7447,431.5529,454.01015,547.0872,589.26065,1260.0113,551.813,957.026925,973.73555,862.6826,1089.5611,787.8263,858.6064,926.7861,1260.0113,799.2794,1013.920702,798.915116981132,999.26345,680.2107,850.757925,1152.650025,472.9091,963.5377,34.3109393223976,31.5071813567684,0.787946350641859,0.680712078481405,-0.343830691472024,-0.554883385904266,"LIHC"
"ZNF37A",0.999989442017978,0.762648651506091,0.817489130460731,0.142031788498507,0.459012908782166,0.987704331052127,0.998847269569606,0.999801874787992,0.978267395826107,0.999984841532217,0.768271924500724,0.862208349117586,0.999559635448577,0.999922488850689,0.999246125052335,0.999999419686282,0.99999997646834,0.984817095811257,0.99997390798726,0.999999992295152,0.999439060431885,0.999999996642388,0.999999961280897,0.989020073973163,0.999847024692879,0.999991252872899,0.999127276940785,0.999999585773247,0.991068313002523,0.986247717497441,0.687142039378746,0.866262019075456,0.965040282097549,0.81804204724425,0.993419564980046,0.999967725148883,262.117959883721,269.034209195402,399.5842,318.154538461538,297.51755,342.376633333333,283.2619,243.0908,168.69785,9.67998977235109,15.2948821809436,136.882022405951,20.4075358955076,65.8485039112263,41.9813112081237,99.2411454659978,NA,64.77495,161.537875,171.34925,277.76015,201.4558,191.46925,231.7959,206.49365,243.0908,136.310375,330.938325,355.81835,514.5489,401.3059,339.7466,436.3161,376.11235,243.0908,201.085325,250.47434,278.234684097035,245.5773,250.6739,196.982375,310.401125,169.56665,361.0096,11.8111333366478,7.31543913828686,1.11083108991139,1.02075354684655,0.151639460945392,0.0296345805525741,"LIHC"
"ZNF510",0.999994533613978,0.512542885707647,0.471272963350322,0.933922607061018,0.889606108275739,0.746616731390285,0.999999974102923,0.999999999999166,0.646833289347628,0.999114533997611,0.527775915324609,0.471576697130674,0.998003566139725,0.890471605060254,0.828963346396485,0.999981640258504,0.999932994606296,0.961512338478386,0.999999999962197,0.999963742981792,0.998908126216048,1,1,0.979820314329671,0.999999864454734,1,0.998969058077846,0.999999791660856,0.939748539876906,0.956489890873136,0.349083509438833,0.846509621142983,0.979133700447621,0.517017118711189,0.946149710566814,0.998584533288725,152.420284302326,148.568762068966,254.281466666667,168.474369230769,147.0455375,211.590344444444,172.345066666667,150.0282,75.2867,5.96471372294696,9.14806751423808,101.657134425501,11.9440730564267,29.6662645557803,34.026750503734,73.2091201382345,NA,2.4834,97.0947,92.2308,154.3515,108.1483,96.383775,116.4322,100.6357,150.0282,74.045,195.80975,184.12305,320.406,198.4794,201.503675,300.3999,220.96715,150.0282,76.5284,150.757486,155.128835040431,156.4083,138.9578,124.44425,178.314275,97.0648,193.70375,5.87307424805366,4.37136250907722,1.02899590034575,0.888429833966612,0.0412372343575925,-0.170670254689325,"LIHC"
"ZNF506",0.588680799641218,0.999999806902465,0.99999987524187,0.999993149340229,0.946734740799036,0.999999996754877,0.999999999897385,0.999578308141206,0.999999993465093,0.999999999998049,0.950690567433814,0.999938614400995,0.999966551026255,0.982435764869767,0.996904056836863,0.982575095456147,0.999651571694361,0.999705275073903,0.991094176494695,0.995505428946584,0.999999070424444,0.999995931406993,0.999681904699438,0.999981951220087,0.999987930868207,0.999994661578723,0.998624264922691,0.996633687119368,0.999771569137153,0.992325101623782,0.999703369255816,0.999472937555592,0.999816907375903,0.981414186490743,0.975120046923071,0.999999999997965,152.196780813953,202.110624137931,177.7381,162.249430769231,158.3504875,234.222777777778,269.898733333333,87.4224,74.6103,9.43366511348244,34.8933712815946,105.321088363268,13.4117305898512,42.1983839335806,71.7898679502213,109.700734302622,NA,21.0538,64.039325,79.07895,79.3344,81.1753,78.236125,75.6885,213.29125,87.4224,64.0834,222.7229,239.1022,259.45045,239.6486,209.836075,353.1329,379.5805,87.4224,85.1372,109.0811,166.07645902965,99.74775,129.2786,82.405625,139.54825,66.69805,230.35985,5.72924535676099,9.94215041930248,1.52250443962932,1.29605529949297,0.606446435042518,0.37412727578599,"LIHC"
"ZNF324",0.999999999984751,0.982446797846151,0.981702055892069,0.999999996341778,0.999999999988862,0.980273549820305,0.999779730411066,0.99973895502769,0.999637414437571,0.999658138771991,0.999999999331434,0.999999996928869,0.995323598394148,0.99999998574391,0.999995368351077,0.986222548445426,0.985574804863886,1,0.984362113292573,0.999763394854214,0.996461475178541,0.99993286292888,0.999943227307787,0.990980327023756,0.999953237515022,0.99938156870787,0.999917957308015,0.992155153251227,0.986602642393555,0.985971604024794,0.999999999184501,0.984920401979474,0.999377951551104,0.995053099678049,0.999999996095194,0.988838447306092,136.188548255814,136.653913793103,105.0947,137.211486153846,125.8276,134.247233333333,106.247766666667,160.7445,99.7814,3.60089211406264,6.70656812580934,10.1564653897571,6.13671237465193,21.0473451372054,11.3635256391887,17.1224218143281,NA,6.8944,104.927175,104.778,95.6173,104.3034,87.808425,107.6421,92.8364,160.7445,96.3342,154.371375,151.1532,112.9956,155.3744,174.60585,152.0742,122.17215,160.7445,103.2286,102.209918,136.509341239892,95.51905,129.6121,85.24865,116.306325,104.26975,155.48485,3.41015375430575,2.663750295266,1.33557822871839,1.35692409001136,0.417464481310904,0.440340014767539,"LIHC"
