"gene","p-adj-pos-neg","mean-neg","mean-pos","SEM-neg","SEM-pos","Q1-neg","Q1-pos","Q3-neg","Q3-pos","count-neg","count-pos"
"ZNF195",0.30019138238285,227.52281025641,207.249968571429,8.63666182147901,14.6040725684735,150.36735,167.8404,276.873925,234.2792,156,35
"ZNF263",0.209072444418321,636.865009615385,687.630311428571,16.5768199340422,42.2082251891966,507.110775,505.54395,728.406875,772.3102,156,35
"ZNF200",0.127809699113909,211.484522435897,237.250788571429,6.78181261967131,18.812651979703,157.3924,164.013,247.17065,251.6693,156,35
"ZNF582",0.351539813178202,37.0866166666667,31.7628914285714,2.45171359908557,5.03947998114146,13.064075,9.94915,49.63525,43.67915,156,35
"ZNF285",0.538409737622844,37.6599064102564,31.3542457142857,4.64146014297185,6.12149795093076,7.399875,7.7852,45.8761,43.16945,156,35
"ZNF275",0.661924893246851,840.482780128205,778.034665714286,65.507363978164,71.5534781172242,451.6722,473.3147,955.983175,1050.26865,156,35
"ZNF37A",0.207509939975393,292.19823974359,257.752654285714,11.7724261925869,23.4842216653569,185.368625,161.16375,383.98165,327.45235,156,35
"ZNF510",0.112688309447579,165.030238461538,137.013885714286,7.76024731393319,13.3991518107007,94.292025,88.99345,201.143,176.58255,156,35
"ZNF506",0.259109490426373,160.885552564103,131.99688,11.4683990902932,16.8797268978369,66.749825,49.3413,229.54225,204.00315,156,35
"ZNF324",0.240459945517199,132.872892307692,142.624871428571,3.42332191901734,8.55959629307145,102.433275,107.9804,156.556975,178.03485,156,35
"ZNF671",0.498905391793141,93.2036179487179,85.00548,5.07941472446592,11.8535900339023,47.07965,37.97805,128.117625,99.14345,156,35
"ZNF416",0.563818198397176,82.8593275641026,87.5613342857143,3.3008591189769,8.88028793236628,52.1179,49.66505,102.132325,107.6992,156,35
"ZNF586",0.25940484272593,77.1500698717949,68.8615514285714,3.33783827946158,4.16799563436152,50.781325,51.2184,95.650625,87.0709,156,35
"ZNF446",0.323094270692232,208.145864102564,227.351708571429,8.22969461451529,18.1683349267878,144.850225,148.92015,240.3915,269.92815,156,35
"ZNF8",0.290128858566522,57.404025,50.7609514285714,2.68097980855642,5.65675564527725,37.134575,30.0213,69.27965,61.61955,156,35
"ZNF264",0.817445267489217,352.641447435897,344.799702857143,14.2262879858493,33.3579800988235,228.8729,203.3038,433.044325,379.8488,156,35
"ZNF213",0.229516529019664,221.084896794872,185.951037142857,13.0942362524346,19.3011881914639,116.067425,109.61325,248.494975,216.5437,156,35
"ZNF343",0.676081381815735,216.363913461538,223.259814285714,7.01670772507042,15.2484590725637,162.376725,163.68675,256.68405,270.32685,156,35
"ZNF302",0.642000727049424,511.292586538462,491.57698,18.7394935436137,31.6780045734257,357.344825,349.89825,617.2248,632.9877,156,35
"ZNF268",0.928988879571076,265.962365384615,263.420328571429,12.6123555108214,21.2626337310077,144.3234,168.74215,369.140825,373.3634,156,35
"ZNF184",0.361989976579527,126.302764102564,138.799068571429,5.31092136052001,16.6115062736666,84.676225,79.60625,141.46345,166.3773,156,35
"ZNF500",0.792817084476413,168.254431410256,165.264674285714,4.95647985649487,9.35041830352057,124.713725,131.4808,204.247075,193.44125,156,35
"ZNF419",0.309255514794934,136.554592307692,154.715814285714,6.67231375095407,23.1530166717283,79.23325,74.6129,182.050075,172.63215,156,35
"ZNF175",0.801092612748115,76.4942442307692,74.0725514285714,4.14363551886479,8.33384342257155,38.67875,43.18235,109.506775,98.4956,156,35
"ZNF14",0.172766344790965,67.3575762820513,50.8757085714286,5.29772778097704,9.39361283751351,16.606325,12.9292,99.9537,73.9756,156,35
"ZNF85",0.186655591303698,41.4740846153846,30.8354057142857,3.58337088643794,5.6241999302787,9.96445,7.6133,57.326925,46.63115,156,35
"ZKSCAN1",0.160545952799346,1028.40015705128,798.837477142857,74.3280057027102,91.1084874334639,390.525375,409.45805,1416.068425,1021.96905,156,35
"ZNF862",0.937754754054057,307.51296025641,310.45764,16.4737567559402,30.398525133533,168.78335,178.8968,386.84825,387.5273,156,35
"ZNF684",0.0887434093457489,159.991233974359,193.599371428571,8.30378997114767,18.7316693048514,83.48115,102.31635,196.70115,245.62635,156,35
"ZNF430",0.187241235873601,28.6189743589744,20.94218,2.57533989485556,4.23883755879035,6.77365,3.67735,37.37195,29.9853,156,35
"ZFP30",0.807021736484369,97.9729673076923,94.7661257142857,5.44222296011517,13.3605343359339,46.78805,54.02975,140.008525,127.3976,156,35
"ZNF549",0.778445654547932,60.3278333333333,56.9197428571429,4.84291274776205,13.702351159602,16.728075,14.31015,78.697925,70.1351,156,35
"ZNF211",0.302070013674141,113.378814102564,129.506968571429,5.30038813349474,23.0643884789137,68.16885,53.89615,145.168825,138.52655,156,35
"ZNF205",0.444378659477807,353.778398076923,379.508285714286,14.3576247438664,30.4674525978911,236.059725,282.2149,425.647525,449.61045,156,35
"ZNF45",0.714812771651798,178.665876923077,170.129351428571,10.0194153118055,20.7541618457136,106.963425,103.7796,222.8241,192.45175,156,35
"ZNF133",0.791336274879188,231.917585897436,236.967231428571,8.21030372935582,16.7172229559489,163.64515,167.7074,278.546325,261.405,156,35
"ZNF436",0.284507852444737,221.693412820513,197.47492,10.2644336019764,13.0722250473096,142.050875,132.573,278.571275,237.84505,156,35
"ZNF484",0.694818765901943,40.9135506410256,42.4693771428571,1.73042591115395,3.21558693931667,25.0762,30.44235,50.004725,52.55615,156,35
"ZNF780B",0.389544115100916,173.712655769231,153.647197142857,10.5166908392659,14.5032506456308,93.3662,102.3106,210.326475,178.1399,156,35
"ZNF557",0.207875667223479,131.931312820513,120.641274285714,3.99379573455789,6.18542753597891,96.488575,90.16255,154.749575,135.2078,156,35
