"gene","2-1","mean-1","mean-2","SEM-1","SEM-2","Q1-1","Q1-2","Q3-1","Q3-2"
"ZNF213",0.0972509604022873,447.2681,206.061903401361,NA,11.8792480208013,447.2681,114.46315,447.2681,223.7282
"ZNF343",0.732429983340374,184.244,214.089917687075,NA,7.16193901310869,184.244,161.8401,184.244,256.64585
"ZNF302",0.818291185616804,446.6328,497.356782312925,NA,18.1157562472983,446.6328,335.4364,446.6328,623.81105
"ZNF268",0.782190230793448,235.7052,278.667588435374,NA,12.7501501768912,235.7052,153.83,235.7052,377.41585
"ZNF184",0.941854189242716,129.6061,124.337675510204,NA,5.92705510745732,129.6061,80.72855,129.6061,145.3747
"ZNF500",0.977546270837029,165.8196,164.14451292517,NA,4.88378499662763,165.8196,124.62985,165.8196,199.922
"ZNF419",0.671500655462419,99.1105,137.636533333333,NA,7.45226490198161,99.1105,78.57825,99.1105,178.19635
"ZNF175",0.133913512271375,148.6658,74.3312231292517,NA,4.05398089597367,148.6658,36.34215,148.6658,108.2239
"ZNF14",0.856919783930735,48.9199,60.233931292517,NA,5.14909933354142,48.9199,14.6741,48.9199,86.9881
"ZNF85",0.887923757967379,41.9314,36.5764986394558,NA,3.1178334687295,41.9314,9.629,41.9314,53.321
"ZKSCAN1",0.89787262553627,904.0661,1023.63998027211,NA,76.4462771168347,904.0661,389.079,904.0661,1440.26515
"ZNF862",0.578015419473779,416.7726,301.648895238095,NA,16.9731077112977,416.7726,168.01225,416.7726,383.6087
"ZNF684",0.966394993685152,164.5489,169.055617006803,NA,8.77792928882797,164.5489,86.3893,164.5489,212.42375
"ZNF430",0.572437037348841,47.014,27.9909911564626,NA,2.76394410198447,47.014,5.75605,47.014,37.12055
"ZFP30",0.529647016764813,141.6773,98.080612244898,NA,5.68784762951775,141.6773,48.47185,141.6773,138.09295
"ZNF549",0.73542400384148,80.0508,58.9204027210884,NA,5.13020824939959,80.0508,16.7734,80.0508,75.9482
"ZNF211",0.862030461254925,99.1105,111.917570748299,NA,6.0468313871285,99.1105,64.8193,99.1105,141.2914
"ZNF205",0.498532485178607,220.3431,348.668073469388,NA,15.5465579169393,220.3431,231.9829,220.3431,418.5789
"ZNF45",0.498195883870195,116.8996,174.801688435374,NA,7.00932906622176,116.8996,115.31595,116.8996,216.6927
"ZNF133",0.296735549490083,121.9822,222.008556462585,NA,7.85148580001506,121.9822,156.2575,121.9822,271.3583
"ZNF436",0.0714852324932845,362.3316,206.463899319728,NA,7.05679367485377,362.3316,138.2797,362.3316,262.56135
"ZNF484",0.997058221386035,40.6607,40.5811897959184,NA,1.7696095050052,40.6607,24.3058,40.6607,52.5656
"ZNF780B",0.92677436856864,155.6544,166.777700680272,NA,9.93159006759823,155.6544,91.8929,155.6544,197.35045
"ZNF557",0.841160455976423,122.6175,132.56116462585,NA,4.07121512349462,122.6175,96.80725,122.6175,156.9672
"ZNF337",0.833803957987249,258.9454,287.19146462585,NA,11.0456829530819,258.9454,204.33365,258.9454,340.93815
"ZNF317",0.875604506010361,498.7294,527.585463265306,NA,15.1254675764462,498.7294,424.92545,498.7294,615.08875
"ZNF426",0.827081918609238,31.7662,41.1272557823129,NA,3.51618229570079,31.7662,11.16335,31.7662,55.6419
"ZNF331",0.798665202855626,273.8247,578.109574829932,NA,97.8789957876175,273.8247,114.7048,273.8247,573.23955
"ZNF227",0.485775775240341,141.6773,202.815024489796,NA,7.1913865542935,141.6773,133.22925,141.6773,251.33395
