"gene","p-adj-T1-T0","p-adj-T2-T0","p-adj-T2-T1","p-adj-T2a-T0","p-adj-T2a-T1","p-adj-T2a-T2","p-adj-T2b-T0","p-adj-T2b-T1","p-adj-T2b-T2","p-adj-T2b-T2a","p-adj-T3-T0","p-adj-T3-T1","p-adj-T3-T2","p-adj-T3-T2a","p-adj-T3-T2b","p-adj-T3a-T0","p-adj-T3a-T1","p-adj-T3a-T2","p-adj-T3a-T2a","p-adj-T3a-T2b","p-adj-T3a-T3","p-adj-T3b-T0","p-adj-T3b-T1","p-adj-T3b-T2","p-adj-T3b-T2a","p-adj-T3b-T2b","p-adj-T3b-T3","p-adj-T3b-T3a","p-adj-T4-T0","p-adj-T4-T1","p-adj-T4-T2","p-adj-T4-T2a","p-adj-T4-T2b","p-adj-T4-T3","p-adj-T4-T3a","p-adj-T4-T3b","p-adj-TX-T0","p-adj-TX-T1","p-adj-TX-T2","p-adj-TX-T2a","p-adj-TX-T2b","p-adj-TX-T3","p-adj-TX-T3a","p-adj-TX-T3b","p-adj-TX-T4","mean-T0","mean-T1","mean-T2","mean-T2a","mean-T2b","mean-T3","mean-T3a","mean-T3b","mean-T4","mean-TX","SEM-T0","SEM-T1","SEM-T2","SEM-T2a","SEM-T2b","SEM-T3","SEM-T3a","SEM-T3b","SEM-T4","SEM-TX","Q1-T0","Q1-T1","Q1-T2","Q1-T2a","Q1-T2b","Q1-T3","Q1-T3a","Q1-T3b","Q1-T4","Q1-TX","Q3-T0","Q3-T1","Q3-T2","Q3-T2a","Q3-T2b","Q3-T3","Q3-T3a","Q3-T3b","Q3-T4","Q3-TX","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF195",0.999999999925555,1,0.998770013014276,0.675661632716514,0.146381856843548,0.18775915103525,0.999999999993328,1,0.999999999959062,0.61405175429398,0.999999999996422,0.97091921251601,0.999929477544548,0.240402928866676,0.999999986635467,0.99999986904216,0.633759081962211,0.938059437091655,0.353529657800092,0.999996312652008,0.998636341956822,0.999534158707191,0.535686273341639,0.722041204670273,0.747327847810222,0.998387460351734,0.878107053350023,0.987756313366443,0.999999999118465,0.999999999370156,0.999978405531782,0.165899415647358,1,0.998900638708617,0.954138611581975,0.707146646649246,0.99999956297605,0.999999422190881,0.999993807817807,0.459826868770602,0.999999978921716,0.999962332931421,0.999521976117683,0.98470521013778,0.999999879373887,234.886,221.708307142857,233.025197826087,536.5223,220.6637,244.385957777778,265.729313793103,319.56065,216.921676923077,185.7423,NA,6.74260150157409,11.9913963291551,NA,NA,21.6700215379437,24.7658216821905,117.119881774757,18.772046430801,NA,234.886,161.6742,156.0378,536.5223,220.6637,141.0791,183.072,128.31755,174.4028,185.7423,234.886,262.4424,289.130275,536.5223,220.6637,279.7087,277.1203,443.8223,251.5344,185.7423,155.411626,232.730927762803,161.79025,203.7801,137.280725,175.7242,160.4443,273.6484,5.56112624920367,5.91052152263053,1.49751298376354,1.25953263561927,0.582568511548329,0.332888504077777,"LIHC"
"ZNF263",0.999976918558356,0.999679995542494,0.92350734200363,0.963196295571908,0.95758077362872,0.984789651561546,0.999999964019717,0.998360665444031,0.99267528904132,0.897800199595867,0.999582603667316,0.965532466790741,0.999999999553931,0.987617691195807,0.991523330627531,0.999951903373647,0.999999912914925,0.99984861480189,0.970240994061968,0.997639765105045,0.999727443536631,0.999905209792439,0.999999401376559,0.999999999939028,0.987597344136878,0.997042418955326,0.999999997797192,0.999999996160652,0.99999386328339,0.999999993891808,0.998648143966292,0.95555422082514,0.999280956772134,0.998097489766329,0.999999426722449,0.999997287382211,0.983502807192303,0.986365023238082,0.996479933750955,0.999999999566849,0.943004091558885,0.997298953917585,0.991284481807897,0.996974541274852,0.984862849034687,535.1833,638.813781318681,677.225258695652,912.0685,465.2153,682.731988888889,649.740024137931,667.007166666667,627.171561538462,869.3983,NA,15.4599304685839,22.1380904364506,NA,NA,40.2286939131855,33.4756233165566,68.6251606572335,28.8170779358008,NA,535.1833,508.456875,537.991825,912.0685,465.2153,514.2909,493.6686,545.703325,539.9562,869.3983,535.1833,727.182975,801.8402,912.0685,465.2153,755.5579,812.8943,742.89035,709.749,869.3983,502.780342,654.156063881402,508.73765,621.6938,432.869725,555.48215,513.36165,748.34015,11.8161092243691,10.980394618885,1.30107724832528,1.22203222033989,0.379706621138964,0.289282324036979,"LIHC"
"ZNF200",0.999616286443738,0.998159770198745,0.976619970150125,0.999999542683715,0.999999948660133,0.999996537873827,0.967569648576522,0.98862606859586,0.996373689796736,0.995835962415285,0.999160219609769,0.999987423514437,0.999994903346373,0.999999476256617,0.993734691470682,0.999574169396236,0.999999999990166,0.999830596190947,0.999999912772483,0.990955792237545,0.999999955218526,0.997617181198642,0.999893194342672,0.999999979715506,0.999988450479753,0.999098923848814,0.999997112050584,0.999972012190658,0.999015003824614,0.999996804991666,0.999999999798835,0.999998940065222,0.996088066421938,0.999999999943126,0.999999831286007,0.999999887716765,0.999999236551229,0.999999981455515,0.999998109247356,1,0.996431313462211,0.999999755119685,0.999999965941345,0.999992867877915,0.999999462107382,151.6353,209.314482967033,221.985068478261,188.7524,298.8154,215.699288888889,210.890737931034,229.769416666667,218.716715384615,190.9745,NA,5.80844750430511,10.2677261307549,NA,NA,11.5311482711447,11.1683870499613,54.7113787623222,30.636270989516,NA,151.6353,156.67345,157.688175,188.7524,298.8154,169.1289,157.0632,112.46985,168.4335,190.9745,151.6353,248.612675,264.274,188.7524,298.8154,245.8284,247.7876,348.7499,214.2259,190.9745,129.855414,213.631044743935,126.38715,198.0431,111.775675,141.265425,158.57255,252.1229,4.57307231498494,4.34021180946834,1.64514545957965,1.56695597614156,0.718215149028336,0.647964647650669,"LIHC"
"ZNF582",0.984945142429145,0.994619696437783,0.98228206089136,0.947379066373053,0.998898528025033,0.995973771994571,0.901311977362916,0.992990719963299,0.981951298164668,0.999999999286916,0.985507137024257,1,0.998476199211875,0.999000642363318,0.993552844279437,0.985627280256903,1,0.999425725098972,0.999097730262999,0.994070242639091,1,0.964939118405621,0.999885037732645,0.995828854362678,0.999973880798896,0.9995665113691,0.999930083056773,0.999955615113209,0.899445716482389,0.882403853174822,0.627926270050969,0.999999280853881,0.99995110993183,0.933123672230714,0.95658025293882,0.999996319213112,0.999999954032647,0.999053567481959,0.999831869555927,0.985822298951548,0.966089625468721,0.999084856065324,0.999078161998335,0.995421249310897,0.978442506241365,71.3578,37.1042769230769,41.5780576086957,12.9282,6.3211,37.0082622222222,36.8439965517241,29.5150833333333,23.4730461538462,60.8241,NA,2.21288953253055,3.56233020837691,NA,NA,4.63034832853628,6.41515076698628,9.63401459985804,5.52814682152485,NA,71.3578,13.0167,10.608325,12.9282,6.3211,13.245,12.3253,8.688225,6.6651,60.8241,71.3578,53.514175,59.918375,12.9282,6.3211,53.9493,43.5384,44.740675,30.8103,60.8241,33.16821,37.6293967654987,31.3957,31.113,24.342075,41.41785,12.0804,54.44455,1.6879733061417,1.61690982978096,1.13450188495245,0.990995582197562,0.182059006021524,-0.0130494689144235,"LIHC"
"ZNF285",0.999999707581041,0.999998519791272,0.999981279010565,0.999993695679657,0.999999703384341,0.999999962175411,0.999999993124259,0.999914198258496,0.999804151476622,0.999839077979581,0.999523768381852,0.2949026058724,0.657672049494966,0.999999999945639,0.993875045824364,0.999952345682385,0.970091321861356,0.997606123909056,1,0.998602173012501,0.999500794856322,1,0.999748870644942,0.998839253638785,0.999957664307353,0.999999820992858,0.867697082116692,0.980590757675375,0.999982466141131,0.999647080608211,0.999988835203859,0.999999999982648,0.999279937573683,0.99957243583406,0.999999999335468,0.995320105603889,0.999999999408728,0.999999999994465,0.999999999384768,0.99999985938396,0.999998962093606,0.99997436209783,0.999999308194182,0.999999998172408,0.999999862795992,17.8394,31.5331054945055,34.3453076086957,45.2489,5.1718,50.5254066666667,42.7822793103448,19.1265,40.4797538461538,27.4689,NA,2.60303013416099,3.51041742874891,NA,NA,13.7704457854007,8.30481529424713,7.35757200485776,10.7119831226745,NA,17.8394,7.332825,6.8179,45.2489,5.1718,9.1048,8.2068,4.323025,10.1368,27.4689,17.8394,39.31375,57.2526,45.2489,5.1718,58.876,54.6484,28.085375,80.0626,27.4689,15.258206,35.308641509434,13.69745,21.0095,10.8139,21.12825,7.4583,47.1832,1.06940738887235,2.4094562005612,2.3140755544547,1.53382563907881,1.21043596913755,0.617134490706876,"LIHC"
"ZNF275",0.999999989010097,0.999998730380084,0.980468770573261,0.999740878366171,0.999452251645936,0.999919626812007,0.996358594628497,0.987370836993331,0.995736252622483,0.999999917810841,0.99999991877096,0.999999364297761,0.999967128428627,0.999729988805849,0.991751851332366,0.999999702008177,0.999979066863189,0.999999963489834,0.999852323789458,0.994224862285811,0.999999996614687,0.999932227955368,0.994926875078276,0.999891319843069,0.999999692504643,0.999791947049011,0.998859160770286,0.999701752321398,0.999997215557368,0.999678517734272,0.99999999918157,0.999969665724335,0.997712840106909,0.999990946902923,0.999999789256989,0.999995060824297,0.996000622323462,0.895110320083844,0.831693971829869,0.866349825966133,0.725461087331043,0.878596382699885,0.864268074646557,0.767987487317575,0.835454994544545,963.33,839.025272527473,750.345017391304,405.947,186.185,806.42542,780.551544827586,600.742583333333,722.873484615385,1750.1635,NA,53.0542266369376,50.6640133562491,NA,NA,76.704294668129,93.6031915377627,121.398178537306,63.06503301746,NA,963.33,539.44895,415.19515,405.947,186.185,390.8021,542.6573,423.363,547.0872,1750.1635,963.33,984.2584,952.531475,405.947,186.185,1127.1102,943.8387,813.61835,923.0126,1750.1635,1013.920702,798.915116981132,999.26345,680.2107,850.757925,1152.650025,472.9091,963.5377,34.3109393223976,31.5071813567684,0.787946350641859,0.680712078481405,-0.343830691472024,-0.554883385904266,"LIHC"
"ZNF37A",0.917526756310698,0.94898777217114,0.997914959928748,0.99924020692353,0.999996687103742,0.999999810745508,0.999996215290314,0.61059714095111,0.687740579798124,0.981126682244517,0.99627526458608,0.0613256393493796,0.418304242794419,0.999999999827249,0.908392985024232,0.975740400754001,0.973515150659559,0.999832182025108,0.999999999344275,0.782158838592101,0.975409133484445,0.995394348053227,0.990183182105707,0.999030120059936,1,0.911697093720563,0.999999986629608,0.999992893415743,0.915956867161646,0.999999993681358,0.999935845929477,0.999992251204155,0.62045616415201,0.721929522184484,0.997043677219166,0.993313624153291,0.999231322647387,0.999996797801532,0.999999819554728,1,0.98100436324524,0.999999999808257,0.999999999400818,1,0.999992477023913,460.8523,261.267899450549,276.211815217391,315.4493,538.4423,333.464471111111,294.419151724138,320.874733333333,253.621484615385,315.2387,NA,9.15246870837736,15.1322641665803,NA,NA,25.6655656732283,27.9943478087903,87.8477017117301,31.6044237821021,NA,460.8523,162.646775,173.3569,315.4493,538.4423,201.4558,198.6868,166.7715,188.6508,315.2387,460.8523,322.456725,378.98005,315.4493,538.4423,412.731,366.3664,354.0766,347.2941,315.2387,250.47434,278.234684097035,245.5773,250.6739,196.982375,310.401125,169.56665,361.0096,11.8111333366478,7.31543913828686,1.11083108991139,1.02075354684655,0.151639460945392,0.0296345805525741,"LIHC"
"ZNF510",0.998058168673951,0.99806310987961,1,0.999930358610185,1,1,0.999999999959832,0.992999945709189,0.993035337285522,0.999688552881594,0.999767715232673,0.981478492173295,0.989295156704381,0.999999999724266,0.998689271191503,0.99986539035223,0.981701559292527,0.987477535411676,0.999999997707859,0.99914593160503,0.999999998919627,0.998612758444844,1,1,0.999999999999054,0.995084809422419,0.999973367673699,0.999920198342246,0.999648397316011,0.999980449573598,0.999983167912807,0.999999999996918,0.998259384859101,0.999999998504208,0.999999882448748,0.999999178615967,0.999999964117969,0.977886732277115,0.978033803356253,0.998758382113497,0.999999999873216,0.994032980435016,0.995738348219563,0.984485648175184,0.992815884074349,222.002,151.406478571429,151.241192391304,155.7854,235.0298,167.328437777778,170.494675862069,149.153466666667,162.986823076923,249.8365,NA,5.64857630159122,9.09580366752696,NA,NA,14.5079295823974,19.147567060073,42.1851230522773,22.5625318676077,NA,222.002,98.1738,93.378,155.7854,235.0298,108.1483,101.0995,62.932125,98.2287,249.8365,222.002,190.575925,186.592475,155.7854,235.0298,195.5959,198.4794,242.907025,200.8128,249.8365,150.757486,155.128835040431,156.4083,138.9578,124.44425,178.314275,97.0648,193.70375,5.87307424805366,4.37136250907722,1.02899590034575,0.888429833966612,0.0412372343575925,-0.170670254689325,"LIHC"
"ZNF506",0.999934152242377,0.999999834689359,0.503958741646769,0.999998967372887,0.999999999999348,0.999999989817737,0,0,0,0,0.999992577015739,0.999362657467842,0.997880036898898,1,0,0.99998794428713,0.999984450180039,0.997744547577197,1,0,0.999999999930322,0.999997799809636,0.999998133748517,0.99999973938416,0.999999999998749,0,0.999999999999345,0.999999999808743,0.999088556888314,0.998383609519108,0.790315003163062,0.999999724415653,0,0.982246942344662,0.993429910343963,0.998848684529091,1,0.999791170748487,0.999998404266435,0.999995937902513,0,0.999967057379043,0.999951076229456,0.999988984693586,0.998013414621664,218.0377,148.89285,183.195325,157.7246,2954.8243,163.993328888889,160.535486206897,167.82315,119.624469230769,228.2538,NA,9.10250863486252,14.6943125126895,NA,NA,17.296383549417,21.7723206639369,55.9909594021139,23.4828267996363,NA,218.0377,62.591775,81.641925,157.7246,2954.8243,72.8577,68.3371,66.0135,53.5565,228.2538,218.0377,215.921875,262.552275,157.7246,2954.8243,240.1647,223.8659,279.80485,148.219,228.2538,109.0811,166.07645902965,99.74775,129.2786,82.405625,139.54825,66.69805,230.35985,5.72924535676099,9.94215041930248,1.52250443962932,1.29605529949297,0.606446435042518,0.37412727578599,"LIHC"
"ZNF324",0.999999994805123,0.999999960194919,0.999997165919354,0.999999999835595,0.999997983752146,0.999994162185038,0.97912511543267,0.730292814483694,0.701965580422759,0.990827677021876,1,0.996253083323776,0.98486262757463,0.999999982442755,0.825772807457003,0.999999186693035,0.999199575159217,0.999982946990879,0.999966328714838,0.650003475926791,0.962268548231731,0.99999997394413,0.999999999780917,1,0.999996474297373,0.778700874757913,0.999981809996708,0.999999985609357,0.999999999938797,0.987629107656094,0.972556434859248,1,0.909737221696229,0.999973796644789,0.937981947105147,0.999304064316523,0.999955533080205,0.999930843993065,0.999969100890693,0.999725300439977,0.809989062324916,0.999523379792052,0.999995820178508,0.99998485690099,0.998106904104278,126.8583,136.462286813187,138.95787826087,117.6471,43.673,128.746153333333,144.067589655172,139.2527,120.803353846154,164.8136,NA,3.48029202725531,6.41394059156895,NA,NA,6.19983506989215,10.5090102820044,26.1987123849882,10.2955050336805,NA,126.8583,105.53175,104.9742,117.6471,43.673,101.5413,101.098,107.0482,92.887,164.8136,126.8583,156.30645,153.771125,117.6471,43.673,147.5478,175.6038,188.93375,136.5095,164.8136,102.209918,136.509341239892,95.51905,129.6121,85.24865,116.306325,104.26975,155.48485,3.41015375430575,2.663750295266,1.33557822871839,1.35692409001136,0.417464481310904,0.440340014767539,"LIHC"
