"gene","Current reformed smoker for > 15 years-Current reformed smoker for < or = 15 years","Current Reformed Smoker, Duration Not Specified-Current reformed smoker for < or = 15 years","Current Reformed Smoker, Duration Not Specified-Current reformed smoker for > 15 years","Current smoker-Current reformed smoker for < or = 15 years","Current smoker-Current reformed smoker for > 15 years","Current smoker-Current Reformed Smoker, Duration Not Specified","Lifelong Non-smoker-Current reformed smoker for < or = 15 years","Lifelong Non-smoker-Current reformed smoker for > 15 years","Lifelong Non-smoker-Current Reformed Smoker, Duration Not Specified","Lifelong Non-smoker-Current smoker","mean-Current reformed smoker for < or = 15 years","mean-Current reformed smoker for > 15 years","mean-Current Reformed Smoker, Duration Not Specified","mean-Current smoker","mean-Lifelong Non-smoker","SEM-Current reformed smoker for < or = 15 years","SEM-Current reformed smoker for > 15 years","SEM-Current Reformed Smoker, Duration Not Specified","SEM-Current smoker","SEM-Lifelong Non-smoker","Q1-Current reformed smoker for < or = 15 years","Q1-Current reformed smoker for > 15 years","Q1-Current Reformed Smoker, Duration Not Specified","Q1-Current smoker","Q1-Lifelong Non-smoker","Q3-Current reformed smoker for < or = 15 years","Q3-Current reformed smoker for > 15 years","Q3-Current Reformed Smoker, Duration Not Specified","Q3-Current smoker","Q3-Lifelong Non-smoker","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF195",0.882716347157012,0.741686348819633,0.855679921177697,0.901077880012395,0.999999992372779,0.855044934586361,0.947730602213714,0.586862465006236,0.62843478401622,0.616700195970086,387.442004790419,370.116861940299,289.211725,370.389461864407,403.790385333333,12.760379655566,13.8610456290174,43.3967760696647,14.8596999096569,16.6796787880493,270.2052,275.7461,268.54975,239.852675,295.59695,473.47595,416.553475,342.450325,456.756825,480.03075,243.569433898305,380.384055533981,235.5258,345.9431,213.87225,271.7078,272.3676,454.952,6.16672479925546,7.13245297194526,1.56170685888607,1.46881190935346,0.643123676962317,0.55464966150564,"LUAD"
"ZNF263",0.944741522537076,0.564852616861422,0.677857586801581,0.569432683773701,0.218476161427237,0.350405657584155,0.336408339058007,0.752727853087536,0.868481451656458,0.0257514282777765,680.914591616766,697.776207462687,827.972175,646.124224576271,731.309374666667,15.4340866072615,17.3419727403281,54.6990861610346,14.1949599606123,26.170598417881,557.21075,561.65125,763.909725,537.238775,571.60495,768.806,788.0787,901.3361,719.5042,829.32825,582.359854237288,686.344726407767,566.4418,655.7547,543.71205,612.8804,557.9597,773.9103,7.96369029815798,8.65873411037184,1.17855776186129,1.15767356858198,0.237022467717237,0.211228511204704,"LUAD"
"ZNF200",0.862721600121635,0.987227823977549,0.998744181149032,0.999401532220393,0.795675112717208,0.981581179325531,0.998474880129851,0.822154545112861,0.979019325538665,0.999987350992094,223.637579041916,214.502228358209,203.325825,225.832361016949,226.854626666667,6.09421854687825,6.76024361656399,16.6726665819326,8.44529841609245,7.71674320817136,167.7849,166.430775,178.137375,173.564625,183.74665,252.76645,244.479175,219.268,245.623825,262.6142,172.152216949153,221.601037281553,172.1679,205.3998,154.09025,191.0795,169.6458,246.2817,3.43124843119894,3.47270214761846,1.28723894010035,1.19302030169387,0.364279874617081,0.254618593665042,"LUAD"
"ZNF582",0.991152499179504,0.196155882362228,0.160026647681307,0.643066193870025,0.416915739313267,0.359889362125866,0.348888198036677,0.619859141739507,0.066368467250167,0.0358410464582413,30.9491371257485,32.0357671641791,8.42485,27.5399720338983,36.2308493333333,1.68407094202422,1.74927156018379,2.19962245946132,1.69166821237425,2.5600417661003,16.24915,18.877475,7.754125,15.5128,18.258,40.7592,41.382075,10.847975,35.43255,47.43025,46.9372203389831,31.0588231067961,44.8382,27.8481,37.86475,51.33105,16.50845,41.2537,1.97667102667637,0.912794503941664,0.661709894247842,0.621079793568877,-0.595729243206964,-0.687149463493319,"LUAD"
"ZNF285",0.914002836429195,0.98986087066293,0.963755107744353,0.362629121351725,0.876269997640365,0.896844689535126,0.982218451013367,0.999861753195726,0.972978716112639,0.869663976753131,38.7419502994012,42.2990723880597,30.1534,46.6248305084746,41.4816106666667,2.69403358761482,3.21447677838024,14.8579788489215,3.37309072535729,4.11085283258908,10.32705,14.68705,10.428025,18.484875,13.9373,55.20295,68.0529,39.662725,64.68505,59.46575,23.5639474576271,41.9143588349515,20.5011,32.5636,14.81885,32.7112,13.39395,60.46995,1.44114771970396,1.58861721740425,1.77874946081603,1.58838306237226,0.83086331943445,0.667558881964804,"LUAD"
"ZNF275",0.37868994975876,0.960675241039027,0.998858540738831,0.772623070723525,0.983142082969935,0.994496416796008,0.646090084190868,0.999953332605715,0.998254423089345,0.996974787853321,696.759220958084,637.92718880597,599.398975,657.202870338983,642.817809333333,23.184488435519,22.6979596441587,89.2237341392541,27.9667998055965,28.4029523968041,510.53,454.439875,498.76045,471.391975,460.3153,853.5817,785.42305,635.040625,827.30645,806.57775,460.857720338983,661.765791067961,459.9849,617.6103,404.9979,518.19855,472.0819,824.3678,14.2020294627112,12.3800337003845,1.43594381055654,1.34267516172814,0.521999296641846,0.425110310536363,"LUAD"
"ZNF37A",0.118219521724444,0.99953780554822,0.99729148920531,0.996390883823904,0.341954753722023,0.999940932350909,0.383415157207189,0.999599483615376,0.998778323203294,0.63644404697546,416.276304790419,368.993509701493,397.8964,408.901048305085,374.046058666667,14.2185185601046,13.4527155977933,76.078955822126,15.8581024172884,18.5451838313197,299.3108,257.960075,375.242675,293.6772,254.7571,510.53245,460.31715,477.448025,485.2571,469.85725,435.568544067797,393.175270679612,447.8479,380.0486,377.49535,538.2368,278.6394,492.54295,17.2785438303048,7.46779594663804,0.902671407369614,0.848610878827388,-0.147727184957428,-0.236824921408699,"LUAD"
"ZNF510",0.997073136706092,0.796752211217754,0.755239475852299,0.973669804650265,0.89919432767785,0.868968410085958,0.978814021555292,0.998677288136621,0.71689948391898,0.838497364082344,219.393747305389,222.201909701493,179.2595,214.20061779661,225.051828,5.36075940272229,6.06829443138599,11.0638703924832,6.79606597652412,8.35489826735689,173.2557,175.837875,168.311075,162.762325,173.6874,261.2028,257.231325,186.169575,244.06915,266.2601,245.000520338983,218.673661359223,246.682,207.3411,209.0403,283.45695,170.8333,256.27905,6.53568638906336,3.09888522800034,0.892543660954949,0.840519778500255,-0.164005351064932,-0.250646326575822,"LUAD"
"ZNF506",0.659590018743605,0.987276877042322,0.928140851386767,0.880535375603109,0.205831118451018,0.998733638636918,0.986273503889015,0.976001057510475,0.969824499866682,0.723312749021415,326.721733532934,353.538588059702,283.348675,307.336671186441,338.88044,15.0191927627287,14.5384852900077,75.3355481112489,14.3661015335308,16.5072192855466,209.27615,229.8106,202.0167,225.461975,242.06115,395.274,444.48405,371.231875,359.99455,404.04955,356.756418644068,328.882010679612,365.6557,306.733,292.4497,414.441,223.09475,406.38075,10.4486230518397,7.48535448135741,0.921867115746932,0.838857427902806,-0.117369289210572,-0.253502463645337,"LUAD"
"ZNF324",0.998304481749657,0.922152967585716,0.899568696605394,0.999775336201348,0.992058331180521,0.936015444742415,0.995743190632524,0.974869144113208,0.953329800517483,0.999574475447196,155.52724011976,157.39223358209,132.85695,154.368158474576,152.696072,4.18934295247003,5.02892500901334,20.8538559410684,5.0556093602061,5.21783739380393,119.2778,115.877625,98.955775,114.888475,114.9002,189.4036,191.305575,166.452425,182.476925,188.20395,188.569693220339,154.293960194175,183.2669,150.3958,166.02325,208.2356,115.23895,186.15155,5.15011451288192,2.36129950391085,0.818233076371854,0.820638096677578,-0.289416236770265,-0.285181964527202,"LUAD"
"ZNF671",0.208465855709951,0.832108619991832,0.54114125168332,0.997119388241915,0.152476573016478,0.871215366043313,0.0690817076021999,0.928416246831561,0.408492093697997,0.0498734571225362,123.776625748503,142.102258208955,84.4146,120.744916949153,150.731164,5.39368703495895,7.50515077513497,27.4481393319292,6.27417100746952,7.90694699319726,66.8364,65.05895,53.50145,70.0117,113.60695,172.51505,195.6379,110.6786,157.81005,193.89295,158.780028813559,131.950753592233,164.0867,127.2909,124.72505,195.23965,71.3677,179.4424,6.23565186473296,3.28609097101203,0.831028653780952,0.775753915460546,-0.267029873060217,-0.366329021404387,"LUAD"
"ZNF416",0.963145490609494,0.59780540803771,0.501237585257202,0.998081818838977,0.894732209153893,0.649086052530287,0.140890848061709,0.436737725731647,0.242018041999725,0.108752880229145,103.716716766467,107.064502238806,72.09195,102.124589830508,117.638865333333,3.1542346625537,3.54590108458615,7.8032315657788,3.99044978894682,6.00359995755654,78.10435,74.977625,60.0765,71.300325,87.57905,121.399,133.574775,83.26285,126.1492,141.1277,105.657096610169,106.118844854369,101.7422,99.4451,90.5667,121.30985,75.8984,130.1515,3.78427573571193,1.92646817028405,1.00437025300726,0.977422347855659,0.00629120525288938,-0.0329460040413179,"LUAD"
"ZNF586",0.999998620774056,0.802805341703316,0.810377488186123,0.491486288456321,0.570560262186097,0.951661923115612,0.999999960092097,0.999997125448261,0.808037568765267,0.672234637999516,162.106863473054,161.739500746269,126.361375,149.749106779661,162.288412,5.07340247785337,5.40125635194893,22.681014296704,5.76634710503533,7.46120850617244,118.3704,117.234075,96.26025,112.2208,122.21535,194.60235,200.364175,144.762475,168.734825,193.52895,158.014762711864,158.456845048544,152.0533,148.6762,136.3758,172.87635,114.9577,187.12285,4.88046592921812,2.84233567037529,1.00279772806725,0.9777900249452,0.00403063272663135,-0.0324034073113038,"LUAD"
"ZNF446",0.998631412360211,0.865722386700069,0.893207702627498,0.99921563531451,0.988211670498944,0.84159912953731,0.818564494918716,0.927025452337919,0.962498219595861,0.744394336191188,214.424196407186,211.630052238806,172.07455,216.939390677966,201.598361333333,6.9843654764932,6.95762985563677,23.6440342752494,8.96897042571452,7.21779344723143,147.99635,157.95445,140.94845,153.265275,163.4477,274.49235,250.398925,186.9277,264.10905,238.3837,179.696759322034,211.208063495146,178.4175,194.599,142.8956,194.87095,156.2748,254.848,6.54440799478264,3.76071244185135,1.17535822177316,1.09069457872686,0.233100523609557,0.125247168165684,"LUAD"
"ZNF8",0.402572107549659,0.687225486768143,0.895999287156872,0.948146927126166,0.143090887469963,0.579724932455356,0.0876843256439827,0.846129992325952,0.97420831718219,0.0257209411256529,100.825520359281,92.3431970149254,73.242125,104.515455084746,86.2059813333333,3.46307872456335,3.32879747283287,13.8654085474954,3.68466815049519,4.99634248894622,69.57805,65.024225,54.7155,77.873275,60.5629,120.20925,110.726175,83.235325,121.5485,98.45595,63.2203813559322,96.4394976699029,62.6192,88.9043,51.47725,75.54205,67.0868,116.3221,2.41330305838734,1.85280822584215,1.52544947691705,1.41976103176023,0.609234398462443,0.505648121767309,"LUAD"
"ZNF264",0.300072895809445,0.77343667741812,0.497916748326204,0.877405238458781,0.0580930775111217,0.884738376400777,0.56284782628203,0.999966509692892,0.529554020228993,0.187067424455685,629.318163473054,684.88796641791,483.8432,601.056397457627,680.949221333333,17.4542067539244,24.2057796753442,61.721120179252,20.9794700519766,30.6506066209026,467.6776,465.708775,438.603875,448.847625,506.1516,777.3531,878.93615,533.576175,716.759175,808.9401,791.478655932203,641.79142776699,804.3076,613.1748,687.22095,907.73095,464.8232,783.21005,24.3376400091456,10.8721304823392,0.810876481578759,0.762363553446468,-0.302445925186354,-0.391448945365246,"LUAD"
"ZNF213",0.999629452234289,0.997295069898758,0.998505366933787,0.914502309108464,0.857285279095783,0.983784072811544,0.199980570552092,0.312212353825409,0.999094648411651,0.0527160769064438,511.048810778443,515.618945522388,544.0941,491.081733050847,569.444665333333,14.0043682517694,15.9576489790468,21.8164417844661,18.5172154778534,27.086732181483,396.72385,391.493975,515.20445,356.978275,414.49895,612.61435,620.52765,578.6021,583.09405,673.55445,359.1451,519.824054368932,363.2555,495.5586,294.1205,427.4063,393.78625,622.743,11.9227023275655,8.69835526263569,1.44739286257541,1.36421499468005,0.533456562479387,0.448071025092693,"LUAD"
"ZNF343",0.508724947946097,0.487073968537918,0.280064844522953,0.771986420184598,0.078872119112342,0.670059742826224,0.935533286324815,0.985451479473488,0.370930908818293,0.444397152455199,194.481347305389,181.292405223881,253.242175,204.533286440678,186.666465333333,5.02885897149112,5.79866935565408,35.5566025208721,7.13923195753931,9.71308066046286,143.39685,137.338275,222.337575,156.01265,139.45605,235.68825,222.977775,294.73765,243.296175,217.0643,172.703788135593,191.878719223301,174.1238,185.6091,146.62855,206.3865,141.8991,228.91165,4.99293765734219,3.20265731353392,1.11102785465628,1.06596054071873,0.151894987087696,0.0921540340041667,"LUAD"
"ZNF302",0.907411455127227,0.955486494090759,0.896331124450068,0.997646158499554,0.802450891001043,0.971119455534817,0.3586483256898,0.826227093049391,0.757459338603855,0.275614762730094,461.939196407186,484.635235074627,381.88385,453.216110169492,519.019697333333,17.2244360125848,17.5765166631089,81.2137035030675,17.8281189112344,34.7089941555325,319.5743,341.35515,305.014625,331.58425,357.08525,540.97445,583.057475,470.702175,568.60075,611.7858,493.125681355932,473.047431262136,501.3501,442.9161,425.2182,560.9751,335.6366,572.3871,16.011227409857,9.79625089225565,0.959283706258032,0.883446717174286,-0.0599705423337442,-0.1787849699424,"LUAD"
"ZNF268",0.99999740709304,0.60600053477416,0.600040009783596,0.996746130847097,0.995212924348909,0.66375679285659,0.998079273944488,0.997048187631398,0.672124670858879,0.999999999986708,346.986608982036,347.988514925373,239.1651,340.71590338983,340.655189333333,13.291206706109,10.891831090733,16.6507386023864,13.7023927719587,15.1984904762132,244.48415,264.76465,217.817325,228.112975,262.4463,416.3558,420.42995,252.296725,442.618,377.53435,325.140345762712,343.064280194175,327.7077,315.8476,285.0136,368.254,245.95885,415.23225,7.4276976086101,6.48354128296781,1.05512676192005,0.963808906534695,0.0774163333471942,-0.0531809618380285,"LUAD"
"ZNF184",0.528292919171682,0.98898641237096,0.919453323574522,0.65836399839607,0.999917027042292,0.930672641052736,0.525627321682872,0.999110312950982,0.897956931626428,0.99622912464107,222.894652694611,238.88545,201.24875,237.333262711864,242.110658666667,6.29702726641583,8.9543564648472,35.3188031879267,7.75131196629956,9.60558084497562,167.8687,170.45075,193.6171,177.591775,182.33745,264.48215,285.5187,235.1158,279.06255,283.2739,184.953981355932,232.323735728155,181.5755,217.2996,160.5033,212.6091,171.354,274.87,5.96263368523691,3.88387743068446,1.25611643515293,1.19674515559643,0.32897020040155,0.259115966065075,"LUAD"
"ZNF500",0.288447830400985,0.497644226908281,0.780461980664326,0.97619433313396,0.127368668015242,0.414568115940433,0.00709020497148616,0.448010622088932,0.963955651423994,0.00258567178008273,233.929804790419,252.776890298507,301.152575,228.016194067797,272.873044,5.88672610309325,7.57551256772432,26.4743869527189,6.28873027614034,12.4401235245514,179.8899,194.638775,260.357525,177.152175,197.568,281.0905,305.01605,345.2598,274.9789,335.21215,172.977671186441,243.997687184466,172.3614,230.1,134.4673,211.44285,185.0694,292.1024,6.7676682450861,3.71267222751326,1.41057331568233,1.33498567544705,0.496281653107091,0.416824261708806,"LUAD"
"ZNF419",0.852557128348129,0.63781413203973,0.491215474587018,0.999892390013079,0.935364548467449,0.619572234809755,0.454110568924023,0.930626292955603,0.364647265730008,0.595107193949178,160.072098203593,168.111624626866,111.802025,161.29723559322,176.057569333333,5.39625267873742,6.06707682894059,11.5557284144687,6.21796995726653,7.84664329204636,113.88095,124.4585,94.19925,112.117475,140.42725,197.5597,205.20095,126.597975,197.752425,201.3559,140.565433898305,164.098156116505,143.9722,154.0852,119.52575,158.0526,118.2133,199.16395,4.06551092557011,3.02654286903597,1.16741471616148,1.07024272741543,0.223317159729371,0.0979380320708386,"LUAD"
"ZNF175",0.705141227780136,0.921998142967109,0.797381527120469,0.593794864190843,0.0800288656527711,0.989147483281161,0.768394634405128,0.999976915831244,0.788940554032675,0.151599960431817,112.98564011976,120.687114179104,91.2194,103.905408474576,121.440293333333,3.92198153482791,4.9458665205116,13.2394283661217,4.45398978285336,5.90409825523002,74.46995,77.282125,71.284325,75.2676,88.7029,144.72015,151.560975,106.695825,133.7382,158.87835,167.174679661017,114.460675533981,170.0231,110.998,137.8911,189.8,76.7139,146.3377,5.38396643551679,2.2876124947901,0.684677104009259,0.652840702233991,-0.546504326191206,-0.615197088005993,"LUAD"
