"gene","p-adj-Distant Metastasis|New Primary Tumor-Distant Metastasis","p-adj-Locoregional Recurrence-Distant Metastasis","p-adj-Locoregional Recurrence-Distant Metastasis|New Primary Tumor","p-adj-Locoregional Recurrence|Distant Metastasis-Distant Metastasis","p-adj-Locoregional Recurrence|Distant Metastasis-Distant Metastasis|New Primary Tumor","p-adj-Locoregional Recurrence|Distant Metastasis-Locoregional Recurrence","p-adj-New Primary Tumor-Distant Metastasis","p-adj-New Primary Tumor-Distant Metastasis|New Primary Tumor","p-adj-New Primary Tumor-Locoregional Recurrence","p-adj-New Primary Tumor-Locoregional Recurrence|Distant Metastasis","mean-Distant Metastasis","mean-Distant Metastasis|New Primary Tumor","mean-Locoregional Recurrence","mean-Locoregional Recurrence|Distant Metastasis","mean-New Primary Tumor","SEM-Distant Metastasis","SEM-Distant Metastasis|New Primary Tumor","SEM-Locoregional Recurrence","SEM-Locoregional Recurrence|Distant Metastasis","SEM-New Primary Tumor","Q1-Distant Metastasis","Q1-Distant Metastasis|New Primary Tumor","Q1-Locoregional Recurrence","Q1-Locoregional Recurrence|Distant Metastasis","Q1-New Primary Tumor","Q3-Distant Metastasis","Q3-Distant Metastasis|New Primary Tumor","Q3-Locoregional Recurrence","Q3-Locoregional Recurrence|Distant Metastasis","Q3-New Primary Tumor","count-Distant Metastasis","count-Distant Metastasis|New Primary Tumor","count-Locoregional Recurrence","count-Locoregional Recurrence|Distant Metastasis","count-New Primary Tumor"
"ZNF394",0.990610368568478,0.924615306304897,0.999520201453092,0.859640167828708,0.999568914594624,0.968659333437968,0.999984976859494,0.992405795377364,0.993491833942247,0.933548266363704,439.885032258064,506.3149,474.977388235294,542.61795,430.58295,24.7713893965818,NA,38.3027911031729,56.21925,3.40795,347.8109,506.3149,361.3571,514.508325,428.878975,490.695,506.3149,517.3745,570.727575,432.286925,31,1,17,2,2
"ZNF333",0.8243343935684,0.99637489577161,0.776715606765863,0.999137502892247,0.84051191007277,0.999978869993489,0.994462680442076,0.795414335776936,0.999171807966058,0.99996499828184,162.729235483871,99.0738,169.093041176471,173.3842,179.89875,9.51226289055801,NA,17.4100255777173,8.1018,3.87445,124.8912,99.0738,119.1258,169.3333,177.961525,193.8969,99.0738,240.3475,177.4351,181.835975,31,1,17,2,2
"ZNF382",0.978435368138947,0.678083386068826,0.999770741534428,0.999999998766634,0.988822375894292,0.982326383100703,0.988843848851294,0.999702950526405,0.999995528134375,0.996430993175529,59.7022774193548,17.1204,30.4680823529412,60.15625,34.0796,16.3429328720304,NA,4.90560413788805,17.79745,27.504,18.9337,17.1204,19.3833,51.257525,20.3276,54.8679,17.1204,38.0326,69.054975,47.8316,31,1,17,2,2
"ZNF577",0.976997286272425,0.96137002989421,0.995506255506232,0.974073697323778,0.999943259867361,0.997757254824177,0.997825311600755,0.998251843585718,0.999999662399064,0.99954690113772,114.026267741935,52.7645,93.0252764705882,68.5732,90.35025,22.3942936223688,NA,13.0645313428543,0.363699999999994,21.43525,48.70985,52.7645,61.9243,68.39135,79.632625,123.86195,52.7645,94.8436,68.75505,101.067875,31,1,17,2,2
"ZNF75A",0.999999590137933,0.999168480640187,0.99999959715136,0.999767431667553,0.99999221347531,0.999992751300677,0.999995389912623,0.99999999807452,0.999999677648439,0.999989749264976,332.098332258064,326.691,321.238117647059,313.07485,324.98475,28.225646919864,NA,32.2904645387509,54.76925,20.48815,227.7827,326.691,232.9934,285.690225,314.740675,422.2683,326.691,386.6884,340.459475,335.228825,31,1,17,2,2
"ZNF496",0.99835492717634,0.884054072378442,0.98001514482987,0.982132215204283,0.999989407451905,0.893054699143021,0.999988824074775,0.999679781829362,0.990783856436055,0.997141641041945,302.510219354839,258.49,344.122058823529,243.6062,293.52435,22.6015497502161,NA,45.7561030350702,61.7125,45.67405,213.6526,258.49,219.2243,212.74995,270.687325,351.4743,258.49,368.2819,274.46245,316.361375,31,1,17,2,2
"ZNF2",0.999931279048628,0.943427510012319,0.999984141709919,0.901365454964683,0.96852756575107,0.770636565075236,0.958934421858172,0.985326572363142,0.867035094559344,0.99989448727843,110.609867741935,106.9324,104.353888235294,128.444,124.4128,5.18066398422945,NA,6.51695427787535,6.35099999999999,7.0633,89.73705,106.9324,84.9421,125.2685,120.88115,127.51155,106.9324,112.2195,131.6195,127.94445,31,1,17,2,2
"ZNF589",0.932011186447433,0.996417763297523,0.900843600580582,0.999614005259282,0.983150571575356,0.996980985540655,0.976234575134795,0.851147047300985,0.992651316672219,0.977903531143357,281.43805483871,147.9091,299.323370588235,256.9333,352.72385,29.7661692903613,NA,41.9778742118767,26.8669,101.33285,142.6812,147.9091,188.8302,243.49985,302.057425,397.67475,147.9091,338.087,270.36675,403.390275,31,1,17,2,2
"PRDM9",0.996251405778545,0.759681034587489,0.999999998657426,0.000776126800297705,0.0472443092960864,0.000230139131635387,0.986730301375163,1,0.99999999518027,0.00859826587059331,2.04165483870968,0,0.0497647058823529,19.48845,0,0.884875506034226,NA,0.0497647058823529,19.48845,0,0,0,0,9.744225,0,0.7336,0,0,29.232675,0,31,1,17,2,2
"ZNF12",0.471304795234853,0.874826616546049,0.659306482591241,0.988262748446717,0.814585268984567,0.999984354403597,0.954895985469108,0.39067751457908,0.820782313502514,0.907327335635099,746.9941,1250.3508,833.051047058824,853.27435,593.45635,48.2324188921146,NA,88.1019382364259,12.74275,123.55245,568.77,1250.3508,528.0933,846.902975,531.680125,941.97015,1250.3508,1051.8347,859.645725,655.232575,31,1,17,2,2
"ZNF202",0.98321840730072,0.998724049812052,0.973045776550737,0.648095626141211,0.715704313546772,0.734906462416236,0.988805188086827,0.948423234218384,0.996354670750783,0.965706799646044,251.472341935484,197.3056,259.702517647059,351.19955,286.38395,15.698981126905,NA,27.0947507331356,151.03345,30.76325,201.2381,197.3056,197.913,275.682825,271.002325,293.3377,197.3056,296.3773,426.716275,301.765575,31,1,17,2,2
"ZNF3",0.999975908095358,0.901765930630064,0.999848775219871,0.999102028168357,0.999327670784876,0.974293551378841,0.985684931578083,0.999440990934859,0.999899631551097,0.98056425420122,706.147774193548,743.4016,803.238264705882,639.61145,842.45095,50.5584385407751,NA,120.199645322703,95.13475,151.30725,504.98045,743.4016,554.3786,592.044075,766.797325,823.54155,743.4016,837.5022,687.178825,918.104575,31,1,17,2,2
"ZNF606",0.991586305838389,0.982174036275637,0.97451961163648,0.999929400167447,0.998377929132785,0.996735095220455,0.999997430596279,0.997181008441403,0.998688218115485,0.999997961399277,243.749651612903,196.9857,260.711105882353,233.81385,239.41765,16.9621947118733,NA,29.6885931758985,29.68595,41.19815,168.0906,196.9857,168.4284,218.970875,218.818575,308.14855,196.9857,330.344,248.656825,260.016725,31,1,17,2,2
"ZNF91",0.931005715330265,0.995741280077174,0.960892628194959,0.994719636815621,0.993026150843425,0.999308070798812,0.996481652873479,0.99143777347849,0.9996591858768,0.999999839405494,427.76185483871,158.5742,390.218835294118,331.79765,341.3782,70.9115028778,NA,48.9946675689551,69.33915,19.7751,226.6604,158.5742,232.4147,297.128075,331.49065,456.01565,158.5742,535.5498,366.467225,351.26575,31,1,17,2,2
"ZNF226",0.817265292596462,0.999784640960785,0.797982557345913,0.999999983766484,0.894257606380805,0.999997900742281,0.97672393790992,0.982006660676938,0.967476403949657,0.992082277197503,335.659287096774,168.9587,343.679741176471,337.459,270.68285,30.1669117319661,NA,30.4127612582672,13.8699,87.57715,245.2168,168.9587,251.2479,330.52405,226.894275,353.4958,168.9587,469.5652,344.39395,314.471425,31,1,17,2,2
"ZNF229",0.811880585015353,0.466833264521163,0.976418299080661,0.999997445959603,0.907063192691566,0.972048414800324,0.942241982713026,0.991020711711056,0.999995715104743,0.98614068063666,147.925180645161,8.9812,84.8875117647059,142.6626,78.7498,24.9073213115831,NA,24.8098326031231,38.0114,75.2091,24.5545,8.9812,11.8426,123.6569,41.14525,214.16685,8.9812,143.9725,161.6683,116.35435,31,1,17,2,2
"ZNF180",0.998744646144358,0.871959363355249,0.981372576116838,0.999282792683613,0.999987558415229,0.971531141276436,0.97852443151589,0.99995954548515,0.87758504334567,0.999177305638339,152.233238709677,136.9632,168.189141176471,142.7223,129.22395,9.30795499402929,NA,14.934749572555,40.002,27.07345,110.4136,136.9632,136.0315,122.7213,115.687225,181.5681,136.9632,191.5718,162.7233,142.760675,31,1,17,2,2
"ZNF641",0.999855624933537,0.989108310098782,0.998274929068492,0.801411133655937,0.983895334871999,0.708094985101867,0.996035990829488,0.996708061576192,0.999828337667149,0.818062151410035,167.809087096774,157.1709,177.360394117647,114.1502,185.5362,12.2728858955127,NA,15.5704208869888,0.467700000000001,52.0005,134.5097,157.1709,131.0916,113.91635,159.53595,207.4596,157.1709,203.9709,114.38405,211.53645,31,1,17,2,2
"ZNF610",0.999456474739583,0.999444714378494,0.998553555281858,0.999899838003764,0.999979100995422,0.999357913146398,0.976042136621879,0.999813728224185,0.962983772466619,0.997504166088606,74.6944838709677,65.3943,77.4720588235294,70.3343,56.8384,7.02993224667498,NA,11.3069539519741,25.4838,19.4079,42.5877,65.3943,49.9688,57.5924,47.13445,106.31415,65.3943,95.5598,83.0762,66.54235,31,1,17,2,2
