"gene","p-adj-gender-FEMALE","p-adj-MALE-FEMALE","p-adj-MALE-gender","mean-FEMALE","mean-gender","mean-MALE","SEM-FEMALE","SEM-gender","SEM-MALE","Q1-FEMALE","Q1-gender","Q1-MALE","Q3-FEMALE","Q3-gender","Q3-MALE","count-FEMALE","count-gender","count-MALE"
"ZFP30",0.292671447583083,0.64337259141039,0.974923500888137,175.42273015873,196.76819175,193.353297959184,10.6309224356277,5.39744073884496,15.056639674163,130.85625,129.4321,132.5991,190.1761,240.95425,224.1864,63,400,49
"ZNF549",0.0352858850458035,0.406817612057389,0.812138163063072,182.257088888889,154.739985,162.338120408163,11.1865609508505,4.12261039998591,9.06452626756865,150.24565,96.2505,110.9537,207.61145,201.434025,207.064,63,400,49
"ZNF211",0.00469092877948174,0.313534980286702,0.575847381848092,274.175925396825,222.004359,240.455748979592,14.1890765464854,6.28336238683545,13.7558373485213,210.84955,137.116425,168.5559,322.68495,272.3485,295.1149,63,400,49
"ZNF205",0.19117031231387,0.424726355989018,0.0052273120503652,326.031596825397,294.6254475,357.709820408163,17.2672621777943,6.69002668548068,17.4002754271341,226.12415,211.682175,270.2816,362.1796,348.496525,455.97,63,400,49
"ZNF45",0.842265801594727,0.741206639124521,0.327086204283605,226.052676190476,232.37908525,214.306002040816,7.06248641707767,4.31611024110015,12.8712904858157,195.29725,178.468425,155.8499,258.4609,274.258075,266.3913,63,400,49
"ZNF133",0.618537055956834,0.684936000168508,0.14525085897935,300.745942857143,283.3785785,322.400489795918,17.6301776024747,6.96613870391479,16.0294494355493,208.51085,192.790075,234.6711,367.97625,330.54975,415.4502,63,400,49
"ZNF436",0.979651834753719,0.825963760614322,0.631388124056314,426.714093650794,431.2962605,407.067183673469,21.8646338898149,8.96683033864637,19.5370416555046,295.2428,307.8307,312.9543,484.6802,501.918125,473.3967,63,400,49
"ZNF484",0.121636370218312,0.999506672961871,0.171018757388778,133.116641269841,111.503011,133.578714285714,12.5796048324399,3.72486302521638,14.7868375615575,64.74795,67.99795,69.0195,175.06695,130.48135,147.8008,63,400,49
"ZNF780B",0.439166299792872,0.538862095884417,0.969155956088319,265.799344444444,245.8987895,241.572728571429,12.9968477511122,6.29570292009071,11.8550843443961,205.1059,159.045125,174.004,321.581,299.452275,300.8999,63,400,49
"ZNF557",0.961035286557464,0.282598933455268,0.217090233302477,151.478077777778,149.41300875,135.057283673469,6.92267886420604,2.90763069430911,6.58512061790119,104.5529,107.814275,106.0674,182.98565,181.21365,152.2918,63,400,49
"ZNF337",0.00155469602708758,0.989695005611286,0.00937634177791824,541.321633333333,427.92861625,535.052104081633,40.9309142107871,11.2424683675038,33.458199306185,353.96165,261.00705,350.8729,668.3885,537.51065,652.7334,63,400,49
"ZNF317",0.964251642255037,0.535067050458164,0.506721928158991,598.681077777778,593.375914,567.7294,17.6212073470789,7.76947142441699,20.196102486511,515.5702,484.615725,477.146,662.89005,689.2967,668.2636,63,400,49
"ZNF426",0.644836291986797,0.449712218926986,0.0541550832007528,96.7555841269841,102.13272375,86.5473632653061,5.20445763881012,2.29410357549196,4.97510413867068,68.35075,72.87105,64.9262,118.0855,127.19045,112.3702,63,400,49
"ZNF331",0.00435442404893838,0.310767989336364,0.567576014731021,688.709995238095,514.32657625,576.365471428571,69.2487195853545,19.0032275672154,53.0023280465891,370.26005,295.688725,381.0117,729.78365,636.426425,740.3455,63,400,49
"ZNF227",0.975742079333947,0.854240081680472,0.664481941777032,225.737580952381,228.11876075,217.259020408163,9.7669461016276,4.33752198163561,8.0064287397202,170.73075,172.5748,180.3714,260.4829,265.006525,260.9649,63,400,49
