"gene","p-adj-WITH TUMOR-TUMOR FREE","mean-TUMOR FREE","mean-WITH TUMOR","SEM-TUMOR FREE","SEM-WITH TUMOR","Q1-TUMOR FREE","Q1-WITH TUMOR","Q3-TUMOR FREE","Q3-WITH TUMOR","count-TUMOR FREE","count-WITH TUMOR"
"ZNF195",0.527720887549748,380.445417525773,391.317783823529,9.2135948151593,15.6439794206208,277.1386,258.94715,459.53035,462.5849,291,136
"ZNF263",0.120374894420335,699.155964604811,667.526881617647,12.1463166135644,14.4221363980681,566.00205,548.172125,788.2894,772.5103,291,136
"ZNF200",0.0105274660530504,216.782179381443,237.211951470588,4.17907413138384,7.4406863014132,168.61655,184.531475,242.35795,279.1303,291,136
"ZNF582",0.0408469165557478,32.9594848797251,28.5682698529412,1.25200488010208,1.62064820485277,17.87735,14.805275,42.84005,38.30115,291,136
"ZNF285",0.502879053812516,40.8866030927835,43.3386551470588,1.97591197948683,3.27791580975933,13.56155,13.9476,59.8848,61.632225,291,136
"ZNF275",0.00294279489263372,686.78742371134,599.119735294118,16.5751057284199,24.092215214476,485.80865,398.272525,836.59245,722.14505,291,136
"ZNF37A",0.323465744817547,392.808901030928,375.565594852941,9.84678388094085,14.3932663169258,279.7324,265.751125,499.14765,451.500675,291,136
"ZNF510",0.0165210415656049,222.644467353952,205.686864705882,4.10631741668308,5.38569217683012,172.95315,157.897975,263.51935,240.116875,291,136
"ZNF506",0.0186862406978553,342.772765979381,302.102802941176,9.0891372296841,16.0312687203193,240.08495,191.947475,423.34105,371.0323,291,136
"ZNF324",0.181227757642436,156.738107216495,149.598072794118,3.01687763092266,4.37645542422236,120.3997,113.738275,191.16085,181.224375,291,136
"ZNF671",0.00402745179586061,139.239663917526,116.908808823529,4.43692522930132,6.11989295599312,82.2106,62.70215,188.66885,161.620875,291,136
"ZNF416",0.859517001234138,106.262369415808,105.468652205882,2.47244325889642,3.87270093659965,76.7285,74.708175,132.04595,127.27145,291,136
"ZNF586",0.487032284344414,159.340678694158,154.760680882353,3.53845701857518,5.95387918222947,119.10475,110.112075,187.12285,182.028525,291,136
"ZNF446",0.438022695534879,212.530624742268,205.958605147059,4.75086034410904,7.07349124541151,161.81215,146.9165,253.0846,254.285125,291,136
"ZNF8",0.4591221120046,94.5668202749141,97.7675875,2.35871852390007,3.8028570240924,69.76265,65.699225,113.32795,115.772775,291,136
"ZNF264",0.0380287356991059,654.53773024055,602.837778676471,14.6098625397046,18.5220884286192,477.7911,458.061225,800.63875,744.032725,291,136
"ZNF213",0.730137211374437,525.352514089347,518.279876470588,11.1980776848947,18.0111182331966,393.29505,391.731725,624.0951,616.15205,291,136
"ZNF343",0.72156909270192,189.144604123711,191.863714705882,3.93913162678583,7.30897318428949,141.33625,137.21615,226.16005,229.265125,291,136
"ZNF302",0.696625322895826,471.277948109966,480.503533088235,13.068280745406,20.3638054134694,338.2198,324.460375,561.3004,574.241475,291,136
"ZNF268",0.878122637251606,339.487824742268,337.445641176471,7.35214385498495,11.4708047990997,250.01595,252.0472,418.8652,401.753575,291,136
"ZNF184",0.829675406439102,233.631528178694,235.632613235294,4.74502125118877,9.05173694144642,174.1186,163.15095,278.74045,274.176825,291,136
"ZNF500",0.00724300338685413,254.739270103093,230.788675,5.18473283708397,6.74176601553866,193.8965,177.903525,300.3199,270.1676,291,136
"ZNF419",0.909994260508075,166.112216494845,165.283585294118,4.044500033679,6.32056615956812,123.58865,112.558225,197.43565,201.1731,291,136
"ZNF175",0.0056707393224692,118.078618556701,102.896286764706,3.09210220262446,4.47493958262106,79.25955,67.00735,155.3862,130.972575,291,136
"ZNF14",0.301702148447352,180.858697938144,171.667548529412,4.62703140967804,8.43192468986658,126.3645,114.0402,228.0937,205.2011,291,136
"ZNF85",0.98114238577127,103.530207560137,103.3264875,4.08523579489748,9.08157427126705,64.43855,49.084625,128.59195,126.3248,291,136
"ZKSCAN1",0.210121316434409,670.789926116839,621.282075735294,23.2851383726684,29.0839526617165,390.178,365.18655,851.1846,845.04445,291,136
"ZNF862",0.00245356514740935,471.017994845361,388.514409558824,15.7878710594672,20.6649273502244,290.0505,222.444175,587.32135,485.274025,291,136
"ZNF684",0.945293926770302,61.6589237113402,61.3943691176471,2.07961166044177,3.46058177837717,41.7361,37.33845,72.00375,71.03065,291,136
"ZNF430",0.395944164032437,121.523588659794,115.235407352941,3.70201563969177,7.38200346607537,78.87865,74.495125,150.2474,135.612325,291,136
"ZFP30",0.839587046188794,195.115251546392,197.397056617647,5.57232064618938,11.3827871990113,132.5217,123.715775,231.7857,230.173475,291,136
"ZNF549",0.243563491081311,163.683390721649,153.771180147059,4.7235887657766,7.21300096085144,107.5807,93.949875,203.642,200.6625,291,136
"ZNF211",0.0036906407111672,241.061029896907,203.798138235294,7.64545334573554,8.98879035645543,153.65205,121.83585,295.19385,268.428325,291,136
"ZNF205",0.849960870037102,306.324668728522,308.925174264706,7.86743952297645,10.975235775416,220.1251,224.19705,357.5495,363.00535,291,136
"ZNF45",0.414478547712892,228.367029553265,235.330048529412,4.64709970410956,7.52576820338094,176.982,180.47345,270.59485,283.4201,291,136
"ZNF133",0.733648140468732,290.316078006873,295.298422794118,7.34740281100582,14.5336216242462,211.92265,182.16375,341.88415,360.9518,291,136
"ZNF436",0.914468830048931,431.650627491409,429.651666176471,9.61403086636315,17.8170787386613,313.41175,299.01465,499.82155,479.356225,291,136
"ZNF484",0.839651163295704,115.52623024055,113.867679411765,4.6552874406046,6.66047862505977,67.82985,66.266875,135.5379,135.34355,291,136
"ZNF780B",0.482247573691488,252.82086838488,243.962338235294,7.19480921374479,10.121000839022,162.42615,153.5002,309.00365,293.201375,291,136
"ZNF557",0.0197622439758042,153.487011340206,139.693476470588,3.44854363251212,4.46164561364032,110.97245,101.470875,186.0226,174.513425,291,136
"ZNF337",0.0344830585551168,469.062418556701,415.579520588235,14.3163806375896,20.5386671935916,294.20895,233.99655,587.47,539.672375,291,136
"ZNF317",0.462631404438552,595.500424398625,583.891336029412,8.52334189458132,14.1789802719956,500.64215,475.117175,699.84605,667.1586,291,136
"ZNF426",0.240973514214299,101.752918213058,96.4210242647059,2.576244953421,3.70567862642082,71.8659,71.440225,130.0804,117.9749,291,136
"ZNF331",0.625799040083815,535.044411683849,556.243355882353,22.5796696904807,41.2933848886494,309.5549,304.864275,639.85775,681.004375,291,136
"ZNF227",0.0778430479987093,220.952471134021,236.234331617647,4.61284955920261,7.90927993221839,170.71175,173.483525,259.82645,287.8174,291,136
"ZNF141",0.0453595750378194,79.2903670103093,71.5946602941176,2.25798543827015,2.84656482038067,58.4705,49.269475,91.652,84.322675,291,136
"ZNF304",0.319820159468528,259.746774914089,249.337221323529,5.60746299596857,9.47765418786468,204.2753,177.258,313.72625,301.5645,291,136
"ZNF132",0.087486633982727,79.9372632302405,72.0063955882353,2.67553399615822,3.61912028651457,44.9187,37.88415,107.1847,98.5967,291,136
"ZNF20",0.0398169380854224,111.300548797251,102.502030147059,2.47602173110031,3.2991363293009,83.72155,79.14265,132.478,119.8173,291,136
"ZNF670",0.202247595166386,80.9027907216495,86.7834051470588,2.5970291246716,3.80603533249449,49.8451,56.45265,101.3148,100.209225,291,136
"ZFP37",0.860699163353217,47.6851745704467,47.0297742647059,1.98786928212719,3.42447989298405,22.23325,16.643225,57.59645,67.20425,291,136
"ZNF189",0.00399340508833046,490.182354982818,419.029455147059,15.3366238812168,14.6744302501418,349.7707,321.823025,581.16795,482.11065,291,136
"ZNF434",0.0763203515753034,351.344908934708,333.632694117647,5.93883584627954,7.14790170380855,285.4267,273.637975,398.1187,378.27475,291,136
"ZNF287",0.144167350055326,91.2324237113402,83.9055073529412,2.82106736484438,4.14978510922122,56.1008,46.992825,117.7816,108.83165,291,136
"ZIM3",0.651279355835163,0.0179680412371134,0.0130161764705882,0.0068047120851799,0.00665744077476369,0,0,0,0,291,136
"ZFP14",0.409046824264408,166.638141924399,173.453133823529,3.94169240545698,8.63102964730975,112.74535,106.7961,206.95055,211.36185,291,136
"ZNF473",0.824417844922841,229.396138831615,231.612647794118,5.67692929536544,8.10766930748174,168.55935,167.005025,269.77735,284.303525,291,136
"ZNF614",0.0981540213264909,283.164626460481,244.898534558824,14.4853438902808,13.381194049651,164.65425,151.2328,312.5778,281.7357,291,136
"POGK",0.790256671137618,1879.09315635739,1896.29583382353,34.3551791545031,59.4846991296953,1434.19465,1434.53265,2259.33065,2278.1179,291,136
"ZNF514",0.139691131265746,263.535297250859,241.810118382353,8.73452885280044,10.574076021353,164.03945,148.155175,319.8641,308.210975,291,136
"ZNF300",0.306127529628996,100.643297594502,111.612536029412,5.79807992037013,9.55904253068588,33.5404,42.3208,139.3587,139.678875,291,136
"RBAK",0.38977669979985,497.14913024055,479.811508823529,11.803462479562,15.157957371989,366.26955,355.0539,584.6369,584.756,291,136
"ZNF92",0.724042344157529,275.823389003436,280.917181617647,7.91430734506069,12.5734130883959,189.1045,168.530675,323.886,334.25675,291,136
"ZNF157",0.896331627426395,2.56010687285223,2.61479117647059,0.243226094326991,0.32485520597338,0.39195,0.3963,3.11175,3.288075,291,136
"ZNF182",0.0374924827324463,211.998630927835,195.2726875,4.67838598252242,6.10021532180308,164.22225,145.5989,246.37865,237.531775,291,136
"ZNF673",0.458286562210342,236.091965635739,226.839901470588,7.58619128620291,8.29065161917358,174.3927,164.882975,272.33515,261.437025,291,136
"ZNF41",0.0488124168747753,245.606848797251,229.595011764706,4.43971995510952,7.09135135316299,196.19995,184.87925,290.64175,259.14575,291,136
"ZNF7",0.718897864905893,521.585228865979,513.51865,12.4852808537782,18.9649999436843,367.4666,378.949425,634.31275,621.966525,291,136
"ZNF214",0.00034721252911718,43.3930140893471,32.5542757352941,1.84923719527123,1.91299823049996,19.26235,14.85955,59.23585,45.379375,291,136
"ZNF215",0.787568007454845,42.8372852233677,41.7372117647059,2.35220879181828,3.20608924311914,14.6213,13.45855,55.7559,56.6966,291,136
"ZNF547",0.0566996505539478,41.555718556701,37.5067279411765,1.2328697380567,1.62691350024874,27.15585,23.25875,50.18095,49.1201,291,136
"ZNF773",0.265972882144937,116.593096219931,110.746655882353,2.88063035040377,4.57901010501456,88.59125,71.52055,145.64445,142.62795,291,136
"ZNF776",0.345931292950828,352.659512027491,340.296318382353,7.04700921856134,11.8353983461365,275.5592,235.757425,426.41895,407.23995,291,136
"ZNF256",0.990284493192121,83.6462625429553,83.7099713235294,2.88618534465473,4.51339869299272,49.79625,49.990675,107.6285,104.494075,291,136
"ZNF599",0.902961174057541,92.336623024055,92.8977492647059,2.47613473794722,4.14831649851843,63.89435,58.588,112.30285,117.437475,291,136
"ZNF18",0.891155347928092,163.309581786942,162.547264705882,3.18624520075298,4.45396160147007,125.75365,121.440075,188.2905,194.382375,291,136
"ZKSCAN2",0.724945262986563,187.947391408935,190.938098529412,4.78886723265248,7.02750300779196,141.6047,134.825275,214.82935,225.6935,291,136
"ZNF689",0.2650834079513,149.915178006873,142.596259558824,3.85833559731477,4.88484078820592,108.6479,104.035625,180.91105,176.75325,291,136
"ZNF19",0.0322013707058845,85.3422649484536,76.8247147058824,2.2835747602178,3.12022649876065,58.1093,49.93865,106.8355,91.69765,291,136
"ZNF230",0.346496222468135,95.8382388316151,99.1410911764706,1.70485816491378,3.60420270534122,75.60605,71.88595,113.89055,119.715875,291,136
"ZNF222",0.218833127245871,65.9822628865979,69.6416426470588,1.43014251972237,3.08934356617744,48.516,46.761975,81.67675,85.594875,291,136
"ZNF221",0.670753243090586,13.6708642611684,14.1101316176471,0.572976953196238,0.882325579503316,7.1538,6.849475,17.7795,18.43155,291,136
"ZNF233",0.644711277789767,28.3392563573883,29.4805095588235,1.43748740712923,1.90397884077778,10.97565,13.21645,37.5949,40.2157,291,136
"ZNF235",0.928650121860334,73.84265395189,74.1415860294118,1.84997695146015,2.8551562697716,53.98795,49.317925,88.45665,90.210225,291,136
"ZNF208",0.136821327082676,61.4370852233677,41.2353507352941,8.75851757391707,6.44206770176266,8.64115,5.107875,34.11165,30.37475,291,136
"ZNF714",0.848787837367366,230.659242955326,235.895251470588,14.6143439129868,25.1858994423759,114.3608,103.453775,297.38815,265.15825,291,136
"ZNF394",0.697299392368693,445.856375945017,440.175727941176,8.405338153177,11.4998642000132,365.85405,347.9133,491.0602,515.9372,291,136
"ZNF333",0.0180946235701389,163.883775257732,148.641151470588,3.57615274327282,5.45413284567124,116.20965,103.51045,199.07805,182.39445,291,136
"ZNF382",0.960227916874813,38.319570790378,38.1254522058824,1.78728287410611,4.21771185649936,17.7942,13.971425,48.76405,47.108225,291,136
"ZNF577",0.0122234459386364,122.000393814433,88.9104139705882,8.38380510508277,6.92174437075839,58.0256,49.24035,145.9434,99.191825,291,136
"ZNF75A",0.82220688482338,325.408964604811,328.834930147059,8.4147869148823,13.1389732024453,223.6959,215.8347,398.85045,422.104475,291,136
"ZNF496",0.109072878673399,295.803200343643,319.020854411765,7.80227658715299,12.9897900910144,213.65225,222.0867,339.88905,357.653275,291,136
"ZNF2",0.892902063917289,113.90269347079,113.421413235294,1.99444415185261,3.01664591459655,89.5698,89.978075,131.3409,129.4407,291,136
"ZNF589",0.0218190638501579,294.97296185567,256.644977205882,9.74076871075117,12.595717429273,180.54135,142.63955,363.54925,321.4838,291,136
"PRDM9",0.814975328074273,4.21280343642612,3.09192794117647,3.24140904206241,0.931406752655847,0,0,0,0.355,291,136
"ZNF12",0.843541428816322,761.746092783505,756.403886029412,15.5667041440951,21.3575676998208,584.4672,570.31915,881.95675,902.162325,291,136
"ZNF202",0.773814495438494,258.590120962199,255.898497794118,5.15323591513059,8.11752704313324,197.85705,194.349325,299.1869,303.3105,291,136
"ZNF3",0.92397587971628,735.985878694158,733.118572794118,16.0257180203968,27.4632454224468,557.8418,520.50765,832.8261,865.515175,291,136
"ZNF606",0.332323917908097,259.957501030928,249.452661029412,5.8497597386476,9.69808746084632,195.09845,169.434225,312.9151,311.155825,291,136
"ZNF91",0.677742906787979,347.017347766323,338.514501470588,9.69131270353467,21.5717805835847,245.60755,196.139825,425.8505,402.98485,291,136
"ZNF226",0.377665002994286,304.529025085911,315.912746323529,6.6397538134544,12.4034059600569,226.3928,215.630725,363.82615,357.329375,291,136
"ZNF229",0.237207413671591,131.162208934708,149.614666911765,8.5548195865717,13.601936341092,24.75895,24.58455,183.7619,216.143125,291,136
"ZNF180",0.0855683423579812,153.414812371134,164.436030147059,3.16562858213575,6.45712024939698,116.36855,119.48285,179.29515,183.900075,291,136
"ZNF641",0.0309905822906408,184.232067353952,166.715988235294,4.61025517765584,6.5437714494844,130.37085,113.96285,232.33835,203.44955,291,136
"ZNF610",0.305216524695049,71.5991594501718,66.803075,2.73630316486141,3.52365624674456,37.4883,35.115775,95.66345,94.67165,291,136
"ZNF528",0.0847005049240086,276.194257731959,247.857129411765,9.39242355446679,13.0928210953751,163.8896,133.647175,355.42155,320.750725,291,136
"ZNF701",0.398656003078551,135.709827835052,141.394241176471,3.54999306033089,6.26047790639485,93.34315,99.893425,163.7618,170.236225,291,136
"ZNF283",0.171036972885666,53.4042051546392,57.4492911764706,1.5542690766208,2.75092276423572,36.1523,37.934775,64.42205,66.382575,291,136
"ZNF558",0.507593086686834,335.995988316151,325.555829411765,9.01395672841805,12.5812356021388,237.5157,218.698775,418.0746,407.29325,291,136
"ZNF597",0.105748860756046,62.1361113402062,56.3891838235294,2.07351081356512,2.68383146424407,43.76975,36.863,74.08485,71.513025,291,136
"ZNF30",0.158510720510732,89.7537611683849,98.4199639705882,3.24610370888642,5.68492696595876,58.2066,58.37835,104.6916,116.742375,291,136
"ZNF354A",0.0556892028103321,265.156024742268,242.040544852941,7.47917178811537,7.36713851418206,182.12425,186.495375,309.6996,282.2951,291,136
"ZNF764",0.121687027266147,218.717511683849,206.048986029412,4.81273266181865,6.05836881409935,170.09625,157.576025,246.67645,243.13915,291,136
"ZNF747",0.321232478087761,253.720209621993,242.222291911765,7.30184106019773,6.52155250075239,188.98215,189.236975,277.9349,287.13435,291,136
"ZNF778",0.0916689515051807,96.0483872852234,86.6380272058824,3.37036944128574,3.77766859897495,61.22745,56.76235,113.97175,107.5571,291,136
"ZNF212",0.164954924870915,418.585597938144,397.345783088235,8.72776282737789,12.2517587419829,317.13755,297.877725,478.6997,475.30785,291,136
"ZNF282",0.784603725642945,782.079446735395,774.691625735294,14.9971109503769,23.0582623240197,602.1648,577.22135,903.81085,933.753725,291,136
"ZNF160",0.218453067197938,540.456470790378,512.537165441177,12.8179847897839,18.5949356219413,394.80875,335.0889,649.3414,635.826425,291,136
"ZNF415",0.897564229318801,121.648019243986,122.678725,4.57545253534449,6.41344131795417,57.479,57.029875,166.55295,172.1378,291,136
"ZNF439",0.00276761283257887,98.3717254295533,78.8302397058823,3.75041693432701,5.07675063853379,48.0062,33.613925,134.03175,111.374675,291,136
"ZNF440",0.0733043730060695,286.640493127148,253.158380147059,11.0920228437544,13.4408865968068,169.57845,152.951575,342.6451,305.8244,291,136
"ZNF562",0.990942376811131,448.664570790378,448.479265441176,9.12003068122942,13.7357408850409,340.56865,346.763925,536.87335,530.941075,291,136
"ZNF561",0.279542093172752,597.309057388316,572.105508823529,13.6155006994872,17.6192255960752,449.4345,432.447825,687.23445,667.64705,291,136
"ZNF584",0.75493519081411,167.720743298969,165.601913235294,3.86296460484558,5.49016447241805,120.94455,121.893275,204.9081,209.235225,291,136
"ZNF274",0.523450633734045,523.610498625429,510.951906617647,11.5119821160352,15.2958951093925,372.539,383.5649,653.11795,631.287325,291,136
"ZIK1",0.926619869322459,83.1032632302405,83.8116463235294,4.23543801806741,6.65743684480109,27.8098,23.8981,106.9115,126.134275,291,136
"ZNF540",0.0013406982872205,66.1833199312715,47.5944213235294,3.31901312690481,4.52663446847894,27.48915,18.745825,82.7786,64.14835,291,136
"ZNF570",0.529131604621295,53.3390759450172,55.2215838235294,1.52645076575409,2.90786033591498,36.0229,31.625275,64.0274,67.386775,291,136
"ZNF57",0.926494437616429,98.824041580756,99.5110617647059,4.05825750265493,6.56786699690466,65.434,63.68665,114.65705,110.94535,291,136
"ZNF556",0.140238128934392,2.51748865979381,1.22123308823529,0.576295711972613,0.352797968564381,0,0,0.6334,0.583,291,136
"ZNF554",0.0501069323669961,103.144516494845,94.6762654411765,2.45460770094695,3.48806320226247,73.77725,67.329925,124.28495,118.5747,291,136
"ZNF738",0.16542339428661,198.664235738832,237.440564705882,9.50901367286316,35.4309659565365,114.16245,106.174975,227.68215,233.7213,291,136
"ZNF596",0.0837222783248325,51.3694154639175,45.3406220588235,2.0370125347555,2.62215456091878,27.51825,25.2681,64.51845,56.932175,291,136
"ZNF621",0.00997661393500782,559.540705498282,506.555869117647,12.2189392905078,14.5890469488674,410.4473,380.342625,654.442,612.96345,291,136
"ZNF680",0.821996504681866,331.428923367698,326.931283823529,11.8609441850942,14.4831540200756,200.53485,226.2652,404.3298,394.52635,291,136
"ZNF483",0.0128737970288716,20.0766367697594,16.0116801470588,0.941397991674089,1.2683610300901,9.73505,6.6522,25.5804,19.178325,291,136
"ZNF417",0.0675641521578904,164.790381099656,152.114342647059,3.61007941300266,6.53810968076559,121.56435,104.6874,202.51235,184.755675,291,136
"ZNF791",0.000603894194372456,202.515836769759,177.251011029412,4.3257216227663,5.35397882127578,152.5188,138.033575,251.5095,215.230225,291,136
"ZNF519",0.229201107846456,36.6142298969072,39.3939360294118,1.13612649609617,2.34518963323966,22.0373,20.56835,46.04595,51.492475,291,136
"ZNF25",0.000307336027540295,232.312187628866,201.042822794118,5.05529194340378,6.39888502100587,172.49575,148.460775,285.5791,244.693275,291,136
"ZNF77",0.161343646780689,83.084970790378,76.6025,2.75830814860767,3.29101548696316,55.5076,51.942225,101.1931,90.0273,291,136
"ZNF169",0.00209747963258866,80.0897054982818,68.9997198529412,2.13052507914947,2.58466579928705,52.01815,48.722775,99.43075,82.6662,291,136
