"gene","T1a-T1","T1b-T1","T1b-T1a","T2-T1","T2-T1a","T2-T1b","T2a-T1","T2a-T1a","T2a-T1b","T2a-T2","T2b-T1","T2b-T1a","T2b-T1b","T2b-T2","T2b-T2a","T3-T1","T3-T1a","T3-T1b","T3-T2","T3-T2a","T3-T2b","T4-T1","T4-T1a","T4-T1b","T4-T2","T4-T2a","T4-T2b","T4-T3","TX-T1","TX-T1a","TX-T1b","TX-T2","TX-T2a","TX-T2b","TX-T3","TX-T4","mean-T1","mean-T1a","mean-T1b","mean-T2","mean-T2a","mean-T2b","mean-T3","mean-T4","mean-TX","SEM-T1","SEM-T1a","SEM-T1b","SEM-T2","SEM-T2a","SEM-T2b","SEM-T3","SEM-T4","SEM-TX","Q1-T1","Q1-T1a","Q1-T1b","Q1-T2","Q1-T2a","Q1-T2b","Q1-T3","Q1-T4","Q1-TX","Q3-T1","Q3-T1a","Q3-T1b","Q3-T2","Q3-T2a","Q3-T2b","Q3-T3","Q3-T4","Q3-TX"
"ZNF195",0.999999993684638,0.998979576460726,0.999915664334911,0.870482750408074,0.970690507747936,0.999761120558396,0.999996120531181,0.999999993934164,0.999980601052807,0.961863894968083,0.331997806239069,0.488553639048382,0.735954360324314,0.841724301522783,0.44708463015354,0.769119452881403,0.762830321773882,0.395029145298896,0.0372250050914461,0.52503002669337,0.0143615898072559,0.999876709860315,0.999632097129215,0.988269181639242,0.884728050363866,0.998213387329455,0.396398593139081,0.999061175076242,0.999999956730409,0.999999996072003,1,0.999999969569829,0.999999999811386,0.998891203240147,0.99855144523923,0.999984591747933,365.821239393939,370.281657446808,385.911801851852,399.979901785714,374.545220987654,450.794207407407,314.949872340426,344.375894736842,383.393,16.5468865352324,18.3969336010955,18.4057005161789,13.9921452643544,16.2392150849164,43.2792356278185,19.5270012032211,44.9876133690721,58.5230913391743,278.863625,263.548,291.6415,274.926325,280.4533,299.451,207.8163,251.4196,325.0848,433.051325,486.21585,443.795175,479.778925,450.6284,540.2125,390.21435,362.49305,416.8864
"ZNF263",0.20150329187003,0.631746945557334,0.998254713525716,0.99998817878783,0.172595607220886,0.650453494319351,1,0.151062043411005,0.557712557064111,0.99996471380172,0.999997160882427,0.325776911227982,0.705371814830007,0.9995393304549,0.999997746440439,0.999603214514184,0.0831174800903606,0.344836047960654,0.983095412945549,0.999589525049478,0.999999971351831,0.998517960614818,0.237394647188921,0.550098766877198,0.98574821492449,0.998522646366732,0.999986601715199,0.999999227796551,0.974496499515514,0.999999302223624,0.999879429112745,0.984122303408325,0.972845894186161,0.959889917896832,0.936768389055401,0.917453717749376,669.628962121212,764.262206382979,735.957092592593,680.234068452381,668.858158024691,655.738040740741,647.529612765957,633.522268421053,794.5524,23.8328540390478,33.5441542728611,37.8307818420535,13.3500861621697,18.4452315958995,31.2049482326588,25.6597592533854,34.4582460846118,60.0934800839769,544.3253,604.76005,593.751225,563.75805,557.2244,541.0692,505.66105,538.7196,752.04885,734.999,866.8162,861.489875,768.0522,731.9357,709.92045,719.11055,754.2595,852.5942
"ZNF200",0.99999998850341,1,0.999999982468227,0.994689597976168,0.999702040575321,0.996232688586127,0.999999385322138,0.9999999999794,0.999999329671586,0.999562869053917,0.999990713803944,0.999935938406084,0.999994554212557,0.98499421121669,0.999727237282543,0.479131595786109,0.486788347925482,0.552961686190685,0.041190397927139,0.278769990936529,0.929035395157425,0.999963952890029,0.999845950766396,0.999975758974079,0.986868714869992,0.999523247823053,0.999999999681085,0.980549555022501,0.92982417823349,0.946517890252906,0.930147437619848,0.973090398025705,0.948035017230252,0.896434930908376,0.569231451780823,0.888756329140332,220.935825757576,223.295323404255,220.694881481481,230.794838095238,224.321669135802,214.340862962963,189.508676595745,211.979547368421,281.517233333333,7.60006145777025,10.4965254139426,13.7820779384657,6.56032308699474,8.9794549064594,11.920270386684,8.71187403346651,14.8523055503283,47.8055451497813,170.3161,174.29955,161.967175,183.645625,178.2356,171.89475,151.6528,177.2969,236.859,242.746875,284.78695,224.950425,257.516775,247.9675,237.3379,218.42045,245.65495,318.61995
"ZNF582",0.996952530745562,0.999999999998895,0.998564059684265,0.926283023953682,0.999999690246039,0.963507848294678,0.936660969868101,0.999995996870238,0.964840845057681,0.999999989003905,0.979177444575674,0.999988879390532,0.986643173087431,0.999999570551115,0.999999996301302,0.490916190807914,0.959595434752372,0.585715887957494,0.946614351405269,0.985556083537099,0.999392595139455,0.569637319344564,0.924690583312441,0.626299813645893,0.924517340887103,0.961934744911157,0.993089315315947,0.999972155141798,0.998866104012509,0.990400577199236,0.998715772860606,0.982801037106575,0.979816644369098,0.978089635022866,0.914710044604978,0.86396328592735,34.7983939393939,31.6516595744681,34.6094981481481,30.8384160714286,30.400650617284,29.773437037037,26.5926531914894,24.2119052631579,43.2691,2.49263706327674,2.30510135597742,2.30661446388272,1.94374143275367,2.12078628764536,4.46442831369207,2.07658796144703,3.29143457460673,5.27291854763564,19.47515,19.2892,19.86205,12.27845,15.2334,22.02905,16.8619,15.3199,40.06215,45.76455,40.6799,43.293825,41.186475,42.9487,33.9408,32.7731,31.8456,48.4974
"ZNF285",0.800188587520714,0.609147755871225,0.999999858539548,0.946100022091375,0.997711459223655,0.976736601764606,0.740350510068212,0.999999997810442,0.999988322656887,0.9978138561937,0.999870904851485,0.997311350594059,0.987254489543152,0.999997949546568,0.998101238988377,0.999842847984621,0.558951731914707,0.367600961016104,0.740686192648929,0.475458824713465,0.992474244229637,0.999995394497874,0.996627236884391,0.987183010266895,0.999986195956704,0.997596107428749,0.99999999961276,0.998857072632601,0.971925915491448,0.999653592138126,0.999866161174836,0.996280060202788,0.999386592249575,0.993577717063278,0.938209423168859,0.991885171655189,35.7318787878788,46.7763425531915,48.3236166666667,42.2376958333333,45.9343111111111,39.980862962963,32.0883553191489,38.8741578947368,59.4089666666667,3.38949812113493,6.00036296233385,5.2596650040831,2.82174496883726,4.11614656767808,7.5798928570654,3.99451808931364,9.05274033033633,38.5591198035922,12.860725,18.36955,17.717775,12.53385,16.4017,7.3208,12.6761,5.11015,21.58655,55.35015,73.02645,68.62605,64.4962,56.4516,52.27445,40.28745,51.5162,84.81655
"ZNF275",0.962998743448887,0.999999965946106,0.989807441657452,0.975136472778547,0.999985834367418,0.996748102014069,0.994696597755,0.999965701114887,0.999459894721314,0.999999998957465,0.993022830485317,0.700793931106479,0.984808705311969,0.711574806559072,0.822330211700955,0.754664690299177,0.999925414573408,0.878487430866979,0.986830434174281,0.987930661621588,0.418598375777925,0.982427957354997,0.999999977413237,0.99366780753842,0.999950028611601,0.999907026345481,0.813212729774698,0.999999939142178,0.803147567890802,0.95308577108187,0.836395001170531,0.914883367670317,0.910018104238083,0.619715181109463,0.980829310571566,0.975584151719479,697.980093939394,635.403431914894,688.691925925926,653.369914880952,657.789727160494,755.633096296296,607.530236170213,622.335026315789,432.117133333333,33.7742739606523,40.6333420621394,28.7239527000202,23.9580333132254,29.2923294489283,50.9936002927993,40.9686511018739,70.6348436808177,103.69117157152,530.24055,488.53955,560.050975,443.6246,478.2225,489.0417,407.9834,454.9032,335.27245,840.661525,745.418,829.3418,822.102575,758.6207,958.2287,737.6315,729.44305,512.6288
"ZNF37A",0.867562806770689,0.995940438993425,0.999316527654046,0.99778855412084,0.30078499351202,0.758860724283282,0.995736138976884,0.997412235501849,0.999999999957656,0.654493785193435,0.969760382008485,0.999999999755208,0.999956821519185,0.697989316363267,0.999829188453325,0.99999999762071,0.863464807018232,0.993610054097596,0.999863863550267,0.993444945914285,0.962519987174311,0.715826592036377,0.999361731547554,0.968478908608892,0.321604960849385,0.946617765312037,0.99920754008745,0.705159397100986,0.943753755214182,0.99757058213535,0.98660075516601,0.873108333498227,0.983552256957021,0.997041749552716,0.935628189142014,0.999948017238398,383.434525757576,430.868840425532,409.116474074074,364.792295833333,406.808779012346,426.9183,379.282414893617,460.237626315789,508.3093,19.3785064493656,25.1427030210985,18.8107998622257,13.4216535713515,18.1798369288871,30.5682949801208,26.2271410303356,48.9522720429628,166.101003254235,275.57865,340.1963,341.6434,242.303275,306.0389,360.5588,227.81285,286.6486,351.4962,479.910625,501.04265,496.371425,441.795325,504.2521,540.5611,496.845,602.10345,634.14365
"ZNF510",0.99734781002663,0.999939398393467,0.960993104145919,0.968649805059498,0.99999999976549,0.803028490698267,0.928768039096167,0.999989993148749,0.73184103442528,0.999986633630672,0.999999981556303,0.999947608189949,0.99985278596609,0.999545558463197,0.996717070767561,0.0525095104944201,0.443986374715787,0.0209953582364794,0.195629886110338,0.514478815226834,0.349351641745196,0.999989815531992,0.992730938959695,1,0.976801135844829,0.949556497900971,0.999955011985902,0.219641449427453,0.988900739230184,0.955293476097619,0.996452586948732,0.942425907907185,0.920128834319296,0.986111777640308,0.580676118959469,0.99781342494609,228.738483333333,218.336227659574,234.734387037037,217.224850595238,213.592206172839,226.07822962963,187.444319148936,235.489615789474,268.4358,9.70023984503504,11.0091511328796,9.40023737177804,4.80801873430334,8.04063874032401,13.3548378723551,7.93140475942574,22.2459651914695,77.25090080875,168.263225,166.9268,181.03735,174.788575,170.7302,177.3681,140.77375,167.77355,200.7182,266.1746,244.1201,279.307025,250.062275,242.9719,266.1707,215.10385,301.5578,334.48965
"ZNF506",0.999999999014702,0.919138544954463,0.918117882051381,0.689300272275017,0.88106305249173,0.0351925318592201,0.892484296171187,0.964630885895383,0.139108727367807,0.999999950120202,0.998848651818246,0.999745626540096,0.736912971518116,0.999915722617938,0.999994776598098,0.917062441495748,0.968175545389128,0.225393494180849,1,0.999999998463587,0.999979523249641,0.988108602807821,0.995164650638335,0.634099542116276,1,0.999999999970012,0.99999707998534,1,0.999999999925732,0.999999999999518,0.999903654241484,0.999991718451018,0.999997198516348,0.999999966701777,0.999993808262962,0.999996087470504,353.268871212121,349.542825531915,394.810227777778,309.317183928571,313.64012962963,326.447655555556,309.855434042553,310.425868421053,344.931933333333,26.0900478633845,25.3018494453728,24.8514466641367,12.0942673608986,15.1191075695963,28.1057374642294,27.0742493035825,38.3970156171351,114.832963235103,239.299775,236.9007,275.83685,197.988225,233.9056,234.97975,200.80515,206.5686,272.02155,416.7945,407.80135,457.0447,377.435575,393.6825,374.4528,382.4107,397.5257,458.2182
"ZNF324",0.969947540456663,0.993884998728564,0.999999202981956,0.987540550993702,0.429198093281594,0.583721246275317,0.99966611915165,0.999344219863594,0.999990859196767,0.700815282613817,0.990805505429907,0.697880106782249,0.808558578709769,0.999994330875331,0.897668707955905,0.928380880736919,0.37222204514035,0.500043416570357,0.999275399084821,0.618594509779606,0.999999992286484,0.657858199910295,0.210967182452494,0.287106399274972,0.902547172305328,0.370502951023494,0.993804453599186,0.995604416320634,0.998654143360024,0.978866794131495,0.987672737744158,0.999932462194609,0.994019704968268,0.99999522796379,0.99999876011972,0.999999999787186,156.978101515152,168.452025531915,165.597924074074,149.383251190476,162.166334567901,145.574122222222,143.649080851064,131.480105263158,134.6375,5.3014371968735,9.36316920510997,6.42253048540203,4.12117296728452,6.55840115027979,11.7792880661533,7.22072534359966,10.2738577830702,13.7961013648784,128.76275,118.747,137.3426,110.614625,124.42,100.42495,104.53065,113.8945,123.24655,178.876225,211.1891,196.307425,182.20435,186.6341,189.5233,174.85445,158.493,147.07345
"ZNF671",0.999999984473859,0.852118873844104,0.949612500627964,0.174730502241231,0.230151125369591,0.000984103779047896,0.903301483603963,0.88902072365218,0.0957576668366099,0.969078545061861,0.655039562393385,0.634750260340432,0.0781989830999361,0.999999963936496,0.994858581660319,0.0498865747969656,0.0631477733637075,0.000515186343934992,0.935664702706398,0.550254659770209,0.998478745325925,0.72022096909861,0.693730689647592,0.137711373397513,0.999998448503971,0.994006949649164,0.999999999313814,0.999865722799131,0.999946526351933,0.999980402205101,1,0.970489406065621,0.995093436383298,0.968250830234207,0.875434893940169,0.962889637002799,148.339683333333,150.605725531915,168.456546296296,120.489466666667,131.633988888889,117.752540740741,105.072474468085,115.348757894737,168.110966666667,9.27271063357786,10.9434589098978,10.3622424851779,5.273867437773,8.25500264797705,16.9679417187901,9.42505796375312,14.430640466132,81.301196371606,99.46475,78.8656,125.8747,64.963025,75.8656,40.49555,52.731,68.22115,88.08045,175.20675,204.0048,222.902275,161.916075,182.5759,176.9973,139.41635,138.0086,220.52585
