"gene","p-adj-M1-M0","p-adj-M1a-M0","p-adj-M1a-M1","p-adj-M1b-M0","p-adj-M1b-M1","p-adj-M1b-M1a","p-adj-MX-M0","p-adj-MX-M1","p-adj-MX-M1a","p-adj-MX-M1b","mean-M0","mean-M1","mean-M1a","mean-M1b","mean-MX","SEM-M0","SEM-M1","SEM-M1a","SEM-M1b","SEM-MX","Q1-M0","Q1-M1","Q1-M1a","Q1-M1b","Q1-MX","Q3-M0","Q3-M1","Q3-M1a","Q3-M1b","Q3-MX","count-M0","count-M1","count-M1a","count-M1b","count-MX"
"ZNF195",0.982124989916987,0.893217717023993,0.834192869876447,0.905178210860275,0.834435127868663,0.998266081612048,0.667775746587742,0.830565344921136,0.952473724275615,0.978856446764866,373.742071802326,351.628635294118,478.44505,437.89318,395.509978571429,8.53386249187172,30.1934214792835,76.53315,64.8254188328575,14.8952817792099,259.749325,273.817,440.178475,407.6889,281.071925,450.461975,390.3835,516.711625,500.0094,473.356775,344,17,2,5,140
"ZNF263",0.999962411790032,0.957884074855043,0.971863776990156,0.93451292250923,0.968278328749176,0.999836186448411,0.435724707255163,0.981530132498302,0.991412735897818,0.994374730867938,674.121286046512,679.597864705882,769.57685,742.8866,707.175660714286,10.1384800378308,36.2215642495244,76.36245,66.3867382465203,18.0910558179067,553.9901,567.5268,731.395625,628.4356,568.52755,754.363275,789.9485,807.758075,850.8885,801.890175,344,17,2,5,140
"ZNF200",0.999999880741705,0.999974416055004,0.999985862642861,0.588570244239335,0.687327109716533,0.90642711253752,0.979378610870306,0.999667817631856,0.999999942056464,0.516634163254418,222.234950581395,221.706717647059,216.45805,274.2171,217.722083571429,4.35039719173499,17.3259942128813,105.23775,33.7089677387635,6.33033170266425,169.2195,166.429,163.839175,266.8712,171.0639,246.1985,262.3815,269.076925,292.3054,240.631175,344,17,2,5,140
"ZNF582",0.947270747750491,0.964721891528014,0.995544457175354,0.975310735369402,0.900340375839661,0.903664258774228,0.999185011754845,0.972103282887664,0.971455042425111,0.967264042577398,31.4253572674419,27.5986588235294,21.6698,37.04314,30.910465,1.20811264199776,3.13918015287594,2.8522,3.78687293959013,1.49242728990547,15.96285,18.5395,20.2437,33.1374,16.78595,41.105025,36.6729,23.0959,41.0775,41.941325,344,17,2,5,140
"ZNF285",0.631272471692912,0.827819733707477,0.58424137558479,0.703742369409831,0.991366054572865,0.507114853814643,0.0347304460669686,0.999382034006385,0.590690962297245,0.969328798143812,38.6628337209302,51.0848470588235,11.76725,59.3281,48.9699864285714,1.80102699089197,9.42188423343462,2.77975,19.5007423050508,3.45097681848304,11.79765,30.5223,10.377375,34.5793,18.109325,55.722725,66.7545,13.157125,61.3497,73.252375,344,17,2,5,140
"ZNF275",0.983974266974289,0.990413887665938,0.998933703040955,0.650938928131413,0.877952347618439,0.997099836043494,0.50184641144184,0.786638890460635,0.959235856609128,0.434051566176018,649.33249505814,612.195635294118,556.8379,476.83962,694.191479285714,15.4554583257583,66.7894334986918,67.0191,60.7400315207475,22.8423367730972,463.190675,379.0075,523.32835,399.4511,506.92875,813.21255,814.8148,590.34745,555.8525,849.18955,344,17,2,5,140
"ZNF37A",0.999999997837581,0.995764966851108,0.996669346409497,0.997018392974574,0.998027788034794,0.987057573215536,0.00117083162332932,0.562915058705218,0.999810443359289,0.756348255597436,374.598956104651,375.010629411765,419.2863,348.66866,439.658853571429,9.13788762745387,47.6103434474063,60.3479,48.2252176858498,13.6765600004966,254.2152,269.4976,389.11235,238.4145,332.785525,462.16535,470.0315,449.46025,425.9754,539.631775,344,17,2,5,140
"ZNF510",0.611457986510976,0.999948310120756,0.996515439218069,0.897914393773338,0.999978960261577,0.995622329405285,0.493713610736507,0.943974108241845,0.999973826628338,0.983800199768426,214.289717732558,239.188441176471,220.4217,242.6999,225.613435714286,3.6332546499166,23.8262497603145,34.7736,45.0256944210636,6.12895859165604,167.430475,155.9931,203.0349,174.7728,172.83505,246.994,277.2795,237.8085,265.1083,268.06,344,17,2,5,140
"ZNF506",0.949896590821769,0.998645444333199,0.986566167244063,0.998714238247224,0.999966053805201,0.995262132124207,0.453883596915784,0.656083682106426,0.999999134154666,0.968153721178179,321.791727616279,291.030770588235,355.59345,300.60422,350.244502857143,8.64905678791555,39.0839467325308,114.89695,61.5460866896458,16.3372112465685,218.776925,191.48,298.144975,206.8413,240.42605,396.44375,343.3327,413.041925,425.6837,428.2894,344,17,2,5,140
"ZNF324",0.996374923327667,0.999951306511964,0.999999999862806,0.364584298759779,0.383249079270777,0.816226213541589,0.0233193288507709,0.548917370388706,0.982694777727741,0.786774904820709,149.451919186047,144.674747058824,144.8722,193.08426,165.50254,2.7579444357968,11.3615465331436,79.1511,38.568204992955,4.82985680129741,111.582875,113.5982,105.29665,136.7275,129.267425,185.3413,182.6965,184.44775,264.0299,187.345975,344,17,2,5,140
"ZNF671",0.996654542677106,0.985603738865612,0.973761978809854,0.539921185421858,0.758986866123034,0.712708483004357,0.0319311507868838,0.580666412626092,0.999969916164888,0.197662917880119,126.771991569767,120.291,153.8597,75.72052,148.214650714286,3.78362862978554,16.4136899721808,70.1636,29.2657871253517,6.99224694601448,65.686725,70.5207,118.7779,18.4049,81.8323,173.312225,138.3399,188.9415,112.8797,192.970925,344,17,2,5,140
"ZNF416",0.999997533601885,0.981409999273393,0.986709035567172,0.991243369894993,0.995844692249256,0.999426908958174,0.632149409878078,0.975141832624829,0.944978121574241,0.942884016380537,104.737184011628,104.113876470588,87.56485,95.80552,110.84205,2.35423785471171,11.8051102654601,45.43595,18.3863151727691,3.64028318931234,73.91705,71.9361,64.846875,64.6713,82.966175,128.323625,119.6337,110.282825,105.1709,131.3857,344,17,2,5,140
"ZNF586",0.849862987061005,0.887039033943754,0.743149452578766,0.999999984837047,0.9891565402794,0.932606808316801,0.00323333716055529,0.121553769950504,0.993773679461244,0.928019826416906,152.694779360465,136.606276470588,194.6863,152.23162,175.774417857143,3.37604211655371,12.0406095521192,65.0809,17.8724104083473,5.8254999493688,108.5939,107.6131,162.14585,129.3426,135.98965,182.914225,154.7085,227.22675,159.7804,200.72455,344,17,2,5,140
"ZNF446",0.959723814740101,0.786714770012776,0.687388876963748,0.101251825148648,0.0891892588911554,0.996355052489455,0.00298208427010116,0.232371446312694,0.971408856289846,0.4733693634679,202.159731976744,187.8473,269.9978,295.4241,232.688304285714,3.80462007504005,19.0243535581621,128.3688,43.8233286321795,9.2960553416778,156.33585,132.1197,205.8134,209.8132,161.31785,245.812075,224.1546,334.1822,337.6812,302.25085,344,17,2,5,140
"ZNF8",0.877352017714122,0.797234236073904,0.945798131539089,0.115206277885322,0.455331850667987,0.99683647667486,0.00114820619231182,0.976067195576797,0.979646824283593,0.544203794711058,90.9820375,100.762758823529,123.85035,135.93594,107.081830714286,2.09330888535911,15.7725185661995,59.06735,31.7488859755047,3.60717151728311,62.95605,68.3492,94.316675,88.9043,76.694525,111.438275,115.3438,153.384025,191.8024,124.35975,344,17,2,5,140
"ZNF264",0.952473872511405,0.998521795063594,0.986326938202682,0.944062648160682,0.848112482070397,0.999846743622919,1.10084759671336e-05,0.068516711040977,0.994133906620301,0.997043751165754,607.035397965116,564.122376470588,655.9789,688.5303,726.037207142857,12.5731131333135,62.9500772374348,329.0585,91.7776653598739,21.5508459844908,451.755625,396.6106,491.44965,548.2959,532.92465,740.804,748.3488,820.50815,832.2892,880.747325,344,17,2,5,140
"ZNF213",0.938436292418681,0.97328826977217,0.997637257423171,0.938212633694549,0.825909363915691,0.883395326017459,0.999626523708899,0.963088992447205,0.977942738339458,0.927561690840107,520.187236627907,482.459664705882,434.97025,588.6591,516.201359285714,10.6731916204083,30.7442439735018,30.53265,84.2473369960618,16.9544094357106,398.3764,367.1498,419.703925,477.2849,385.09185,622.9888,528.9053,450.236575,665.5752,621.085875,344,17,2,5,140
