"id","baseMean","baseMeanHealthy","baseMeanTumor","foldChange","log2FoldChange","pval","padj","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor"
"ZNF195",997.518269330561,958.477051353212,1001.5188332953,1.04490642929982,0.0633737556752901,0.847448711489892,0.889427595031186,965,972,730.75,1394,726,1271,45.5266353214754,15.96913141317
"ZNF263",2515.97904773177,1840.10047090771,2585.23650482627,1.40494312441048,0.490511727747413,1.31647093230928e-09,7.96935082237223e-09,1960.5,2433,1417.75,2559.25,1831,3217,66.421348427688,36.16566143623
"ZNF200",681.111148844611,474.148018316963,702.318715742229,1.48122250565379,0.566788375057263,1.94984136595543e-11,1.65249055764723e-10,488,690,390.75,627.5,517,904,17.7541720473297,9.8852196899715
"ZNF582",138.486110434102,172.565578023573,134.993978348081,0.782276395409753,-0.354249661479595,0.0035071528818408,0.00757276959836962,180.5,133,137.75,242.25,66,208,7.42334225718326,3.08376364947824
"ZNF285",233.039445947736,213.934235771262,234.997161903605,1.09845514466821,0.135475958622383,0.381039914441301,0.47315945419634,220,216,160.75,325.5,118,346,11.1630966247577,5.75605825603402
"ZNF275",1586.08980293327,1644.71573683663,1580.08238793127,0.960702419598861,-0.0578384737253244,0.811665222822537,0.862553324566897,1572,1519,1258.75,2059,1030,2168,61.6003680782464,27.1966351257095
"ZNF37A",1745.90033778369,1561.07292436286,1764.83965187622,1.13052992229465,0.176999177118021,0.00624237358267675,0.0124480273207495,1624.5,1754,1203.75,2228,1146,2490,76.6802217486872,37.4905567043245
"ZNF510",851.173335701159,1098.04183743628,825.876654828026,0.752135871941172,-0.41093478927544,7.44788774690382e-06,2.38191881717018e-05,1108,852,891.5,1548.75,579,1204,45.0640951524226,15.0938065473923
"ZNF506",1128.73246410441,1351.06193836448,1105.95030388746,0.818578536248502,-0.288807256171125,0.000117524013123833,0.000323907645926663,1389,1100,1100.5,1819.5,771,1539,56.0313845297851,19.0346813160623
"ZNF324",565.496910506788,497.888406469383,572.424771853713,1.14970496283069,0.201263684411974,0.0181242363009732,0.0333919353588583,548,557,378.25,704,404,717,18.6495615152998,9.34033978605769
"ZNF671",379.386250944502,427.683505457745,374.437218460071,0.875500723506545,-0.191819723996807,0.190710552587302,0.261744442619819,436.5,314,302,598.75,157,564,20.2184427444015,11.0191166231738
"ZNF416",369.494890947248,379.407510572978,368.479142184136,0.971196225471821,-0.0421652802785973,0.808572673312034,0.86196898192698,384.5,357,299.5,520,260,474,14.1361786120488,6.62164363963983
"ZNF586",617.933572962135,486.340807152975,631.417918589423,1.29830338993293,0.37662755437444,2.08353017654403e-05,6.30639937364667e-05,510.5,591,368,679,414,840,27.3875841984075,12.4786455330954
"ZNF446",854.477721042958,448.421555909323,896.08640402097,1.99831250797892,0.998782217993196,4.25375899077998e-12,3.79480078388004e-11,455.5,778,301.5,618.5,531,1074,19.5973662280637,15.7951986089154
"ZNF8",285.827342225679,198.403772135889,294.78565864842,1.48578656280041,0.571226883773257,5.08463940613363e-08,2.20986251112731e-07,215,288,147.25,289.25,200,403,10.7731987141714,5.33731238107574
"ZNF264",2233.50556419706,2152.61836318375,2241.79409714628,1.04142663441309,0.0585612091370551,0.212639273572138,0.288338854963819,2252,2278,1680.5,3076,1583,3115,93.5748677827636,41.5256811985689
"ZNF213",2020.78863187844,1089.02597021222,2116.26659903911,1.94326550231554,0.958483025321651,1.69075670447344e-25,9.59935719249754e-24,1130.5,1897,885.75,1434,1431,2560,32.1277381032976,29.9769211489574
"ZNF343",848.74750690216,807.029863662333,853.02232487367,1.05698978846039,0.0799614389640084,0.345367350985449,0.433627896237286,840,830,680,1091.25,609,1115,29.0554786685558,12.0481431080159
"ZNF302",1883.56438300841,1825.4557417214,1889.51879089876,1.03509427684998,0.0497621750189978,0.226523997673104,0.304797245695213,1994.5,1857,1467.75,2503,1279,2630,73.2528676946004,37.0681020022614
"ZNF268",1098.9899670175,1325.83271392041,1075.74533055535,0.811373349941292,-0.301562177774473,0.000325253901342897,0.000829030620716105,1336.5,1082,1063.5,2001.5,661,1622,60.5632045451469,23.2603464213008
"ZNF184",801.683788266126,633.966951987295,818.869776979053,1.29166003750218,0.369226405365897,1.11493724212255e-05,3.53237126242564e-05,698.5,806,477.75,914.75,554,1118,30.9244416096118,15.1772900795608
"ZNF500",796.463581336974,591.193723410362,817.497638141896,1.38279147049478,0.467583609730565,4.81842211956931e-08,2.1492698664921e-07,588,788,448.75,816.25,547,1063,23.7039859529944,12.6460533905257
"ZNF419",512.079609933957,451.872168313889,518.249082451293,1.14689312330317,0.197730955726335,0.041015306181327,0.0681577882130875,485.5,493,349.25,619.75,351,680,19.2490701698533,9.43652095584928
"ZNF175",421.583300469925,588.145663807919,404.515610905556,0.687781336831663,-0.539978126486626,2.14726864911483e-09,1.19331815090152e-08,642,400,457,855.25,241,599,25.6530878013191,10.5677487645594
"ZNF14",676.062936646864,724.710567134279,671.078001043396,0.925994502463291,-0.110924466512532,0.103537364915744,0.154621879764041,736,676,563.75,1098.25,477,933,37.4992167596087,11.2260312910561
"ZNF85",433.877790270748,332.221765351641,444.294510116073,1.33734317390616,0.419369721051511,1.38538721153247e-05,4.30868132761017e-05,336,429,242,504.25,312,609,16.7830753619595,7.98291010816219
"ZKSCAN1",3955.14009127518,3719.66012194889,3979.26978621072,1.0697939208827,0.0973329106874272,0.124027076937451,0.181229220180155,3919.5,3679,2536,5807.25,2013,6279,256.358247487537,119.391980363527
"ZNF862",1493.72745504198,1607.71271080586,1482.04735564074,0.92183593852279,-0.117418081478456,0.0343151407016209,0.0605876703012994,1773,1327,1219.5,2324.5,879,1973,67.3736594047372,28.7767793132043
"ZNF684",145.788648379676,164.954943318965,143.824673051954,0.871902776346916,-0.197760822158229,0.0663693053018575,0.103739433061337,156.5,137,124.5,229,100,187,8.03994092868498,2.22403772685007
"ZNF430",384.542648321852,438.587327404225,379.004675716888,0.864148715741569,-0.210648480415078,0.0243103679868122,0.0445471067434019,477,391,330.25,678.5,257,574,24.8419086158094,7.96506497891216
"ZFP30",784.317015013501,584.679330444663,804.773941520097,1.37643644920378,0.460938001480824,1.79491839593088e-09,1.03131751901791e-08,620.5,795,428.75,844.25,524,1172,33.2417835949273,18.1485776561862
"ZNF549",578.346506000639,601.755192841981,575.947811649101,0.957113155815082,-0.0632385957949587,0.726260401262255,0.799358039051638,644,562,459.5,896.25,335,855,29.4805406270871,14.8350511419602
"ZNF211",625.587153192053,714.834579795499,616.441945708443,0.862356079478969,-0.213644392598713,0.00363603407058871,0.00780136424006058,791.5,586,554,1019.75,413,831,32.1570917889763,12.7165210278977
"ZNF205",1007.85782858988,501.413924689084,1059.75326979472,2.11352979567101,1.07965445103149,1.63857145744833e-09,9.57716765646522e-09,453,817,328.75,652.75,581,1168,21.7358088855748,17.1428512734166
"ZNF45",798.502758884001,873.438118949302,790.8241126559,0.905415158210885,-0.143348634896914,0.181129881984548,0.249605812978707,939,810,696.25,1209.25,570,1127,35.0509006495902,14.5466365439426
"ZNF133",923.133102699763,970.414685559954,918.288146359103,0.946284263854918,-0.0796544605302159,0.108215867149442,0.16019728805092,970.5,799,713.75,1316.75,591,1085,40.1152775807495,14.3834492221573
"ZNF436",2598.96451828616,3569.90861883892,2499.47161868698,0.700150027789761,-0.514263999748564,4.17874876373315e-12,3.79480078388004e-11,3450,2444,2710.75,4661.75,1742,3352,157.687469951476,43.3395133093119
"ZNF484",233.570139063471,249.610858415324,231.926442295486,0.929152055995842,-0.106013381508559,0.509336080379622,0.601619969507638,268,233,197.25,350.5,142,349,12.7980345945075,5.06166267787102
"ZNF780B",787.142096522339,952.536068526951,770.194132327905,0.808572145219625,-0.306551590320166,3.21119835396847e-05,9.30424138457531e-05,1010.5,739,669.75,1493.5,495,1096,53.6387664520838,17.3763951247132
"ZNF557",551.012065444705,493.244033747621,556.931570979997,1.12911973156266,0.175198477229528,0.0550361956018421,0.0892692359283467,513,525,356.5,751,385,757,24.307673517191,12.8626252697342
