"id","baseMean","baseMeanHealthy","baseMeanTumor","foldChange","log2FoldChange","pval","padj","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor"
"ZNF195",844.518458444743,690.920036577226,862.606895351297,1.24849020101457,0.32018449807577,8.86455272316131e-08,6.26059036073268e-07,858,884,717,1014,697,1062,31.8277262856883,13.7768850574507
"ZNF263",1879.68649228974,1728.61912601082,1897.47686077368,1.09768359739981,0.134462263592647,0.0183803889920343,0.0338638688494545,2053,1871,1716,2408,1568,2200,71.1402446054277,24.6399047770619
"ZNF200",432.480866352536,395.810644873728,436.799315588564,1.10355626167637,0.142160183194676,0.00930673225975908,0.0193557192396216,494,455,426.5,575.5,356,539,18.0242967589039,6.52003448807583
"ZNF582",257.318632683255,275.096604505862,255.225019235084,0.927765065270538,-0.108168571947985,0.182851240822449,0.246781308029394,355,258,288,420,198,314,13.807647187809,4.2221167920955
"ZNF285",239.537270314266,252.773684137418,237.97849104168,0.941468617881538,-0.0870150888224168,0.115396309217461,0.163679283785436,324,235,243.5,406,176,302,18.0831309117724,4.54609300890018
"ZNF275",1536.74146043593,1435.70021287325,1548.64052951017,1.07866566823926,0.109247771669477,0.555852884911572,0.632329288540346,1801,1313,1515.5,2079.5,1003,1676,66.7858325017825,62.2027938912251
"ZNF37A",1191.4410552152,1503.30644507327,1154.7143925373,0.768116438482386,-0.380603069763776,2.31713510077055e-09,2.61836266387072e-08,2088,1206,1649.5,2443.5,872,1512,89.345248326079,24.3882846873313
"ZNF510",673.802849456034,713.060776772318,669.179660410803,0.938460902925914,-0.0916314524735392,0.17856466495469,0.24213368567856,1011,692,730.5,1163.5,509,902,48.9437016227642,13.4398384930804
"ZNF506",1579.41830845217,1747.38323087481,1559.63800820679,0.892556355497339,-0.163984831930783,0.0115589534371113,0.0231863030484067,2294,1574,1823,2606.5,1270,1922,84.013053373441,23.5209296447666
"ZNF324",620.250297269005,606.552133765629,621.863454248445,1.02524320603368,0.035966183407641,0.712611668729963,0.77676963247414,768,627,636.5,919,501,740,32.8679888113964,9.70619648503854
"ZNF671",868.73632378818,861.578254452585,869.579290037282,1.00928648737749,0.0133357435754592,0.780892926330782,0.829077510074632,1099,882,871,1306,670,1074,49.2602792540335,14.5609799479046
"ZNF416",382.542752447274,351.763489000986,386.167456126577,1.09780425826256,0.134620840492117,0.0807225453429601,0.120550409124509,443,386,337,569.5,300,474,22.7488522230648,6.29063877572291
"ZNF586",390.130596368974,428.297024423961,385.63594715691,0.9003937108262,-0.151372115162753,0.339415187173419,0.417235971250101,503,381,438.5,575,311,460,14.8080451067354,5.57154706742704
"ZNF446",983.345775644643,760.916082210382,1009.5400908395,1.32674300680686,0.407888944399306,0.000690822854584605,0.00203642563221027,912,922,742,1094,746,1114,33.1753912339007,15.298153750869
"ZNF8",236.650452064212,201.471222870612,240.79331538242,1.19517473489036,0.257221556056349,2.90050815482607e-05,0.00011991125176659,258,242,213.5,306,182,299,10.8068882646979,4.5054997664306
"ZNF264",2192.09812518653,1993.9383476641,2215.43430657141,1.11108465774119,0.15196874530513,0.0169144314004372,0.0316795151643548,2545,2226,2018.5,3048,1712,2783,127.849272225083,41.4411451480918
"ZNF213",1611.62674052371,960.83815629377,1688.26651391606,1.75707688423635,0.81317732058915,6.41535401471641e-22,7.24935003662954e-20,1127,1630,937,1460,1295,1965,52.5322377623399,23.8287124469271
"ZNF343",624.332436554648,645.535724046679,621.835442618461,0.96328587164836,-0.0539640887125331,0.237005377121062,0.309018549400154,803,628,683.5,1034,492,761,35.5658479257552,9.59118494047717
"ZNF302",1711.14279738981,1776.27466165493,1703.47257784562,0.959014174226024,-0.0603759564588944,0.209461159483053,0.2773723947842,2378,1723,1842,2799.5,1332,2147,101.301893766945,29.2192334023859
"ZNF268",1073.2435655981,1190.77006175216,1059.40311994324,0.889679001825403,-0.168643192526062,0.00435579051879739,0.0100449862984511,1750,1094,1182.5,1928,776,1422,87.6674499396331,23.8552583389267
"ZNF184",561.824690480089,563.889882856963,561.581484192193,0.995906295298164,-0.00591808920879143,0.978982429974747,0.999623625787468,761,586,627.5,888,453,711,30.3281664466654,9.61306594756343
"ZNF500",684.80868177938,611.142961021203,693.483886419564,1.13473267410423,0.182352460362398,0.00906212551550017,0.019200378435966,740,717,627,1015.5,546,886,37.336242545012,11.6302611784852
"ZNF419",639.806375898101,546.843238132004,650.754130645007,1.19001952528106,0.250985244789578,0.00032259113603785,0.0010415085249222,696,635,558,821.5,501,787,29.0591435355474,10.3977632858553
"ZNF175",589.288340099332,621.88115717004,585.450064236714,0.941417918016504,-0.0870927827699599,0.10354654238301,0.148738465541696,835,587,650,994,416,755,42.3368075550131,13.3820298356796
"ZNF14",694.275134425953,793.36143101121,682.606289119505,0.860397622618814,-0.21692455645924,0.000322429684632172,0.0010415085249222,1052,698,819,1287.5,515,875,49.2360643893591,12.1678098034104
"ZNF85",425.936801052535,496.581311178242,417.617387684438,0.840984906768953,-0.249848186351033,0.000150321622594485,0.000536410842731897,657,400,488,787,306,516,30.826657234664,9.12438182235187
"ZKSCAN1",1260.67224150627,1398.40080916574,1244.4527095863,0.889911319722927,-0.168266517201957,0.152206601722994,0.208898939206863,1970,1231,1375.5,2395.5,704,1900,116.79404973284,40.0714670081019
