"gene","p-adj-N0 (i-)-N0","p-adj-N0 (i+)-N0","p-adj-N0 (i+)-N0 (i-)","p-adj-N0 (mol+)-N0","p-adj-N0 (mol+)-N0 (i-)","p-adj-N0 (mol+)-N0 (i+)","p-adj-N1-N0","p-adj-N1-N0 (i-)","p-adj-N1-N0 (i+)","p-adj-N1-N0 (mol+)","p-adj-N1a-N0","p-adj-N1a-N0 (i-)","p-adj-N1a-N0 (i+)","p-adj-N1a-N0 (mol+)","p-adj-N1a-N1","p-adj-N1b-N0","p-adj-N1b-N0 (i-)","p-adj-N1b-N0 (i+)","p-adj-N1b-N0 (mol+)","p-adj-N1b-N1","p-adj-N1b-N1a","p-adj-N1c-N0","p-adj-N1c-N0 (i-)","p-adj-N1c-N0 (i+)","p-adj-N1c-N0 (mol+)","p-adj-N1c-N1","p-adj-N1c-N1a","p-adj-N1c-N1b","p-adj-N1mi-N0","p-adj-N1mi-N0 (i-)","p-adj-N1mi-N0 (i+)","p-adj-N1mi-N0 (mol+)","p-adj-N1mi-N1","p-adj-N1mi-N1a","p-adj-N1mi-N1b","p-adj-N1mi-N1c","p-adj-N2-N0","p-adj-N2-N0 (i-)","p-adj-N2-N0 (i+)","p-adj-N2-N0 (mol+)","p-adj-N2-N1","p-adj-N2-N1a","p-adj-N2-N1b","p-adj-N2-N1c","p-adj-N2-N1mi","p-adj-N2a-N0","p-adj-N2a-N0 (i-)","p-adj-N2a-N0 (i+)","p-adj-N2a-N0 (mol+)","p-adj-N2a-N1","p-adj-N2a-N1a","p-adj-N2a-N1b","p-adj-N2a-N1c","p-adj-N2a-N1mi","p-adj-N2a-N2","p-adj-N3-N0","p-adj-N3-N0 (i-)","p-adj-N3-N0 (i+)","p-adj-N3-N0 (mol+)","p-adj-N3-N1","p-adj-N3-N1a","p-adj-N3-N1b","p-adj-N3-N1c","p-adj-N3-N1mi","p-adj-N3-N2","p-adj-N3-N2a","p-adj-N3a-N0","p-adj-N3a-N0 (i-)","p-adj-N3a-N0 (i+)","p-adj-N3a-N0 (mol+)","p-adj-N3a-N1","p-adj-N3a-N1a","p-adj-N3a-N1b","p-adj-N3a-N1c","p-adj-N3a-N1mi","p-adj-N3a-N2","p-adj-N3a-N2a","p-adj-N3a-N3","p-adj-N3b-N0","p-adj-N3b-N0 (i-)","p-adj-N3b-N0 (i+)","p-adj-N3b-N0 (mol+)","p-adj-N3b-N1","p-adj-N3b-N1a","p-adj-N3b-N1b","p-adj-N3b-N1c","p-adj-N3b-N1mi","p-adj-N3b-N2","p-adj-N3b-N2a","p-adj-N3b-N3","p-adj-N3b-N3a","p-adj-N3c-N0","p-adj-N3c-N0 (i-)","p-adj-N3c-N0 (i+)","p-adj-N3c-N0 (mol+)","p-adj-N3c-N1","p-adj-N3c-N1a","p-adj-N3c-N1b","p-adj-N3c-N1c","p-adj-N3c-N1mi","p-adj-N3c-N2","p-adj-N3c-N2a","p-adj-N3c-N3","p-adj-N3c-N3a","p-adj-N3c-N3b","p-adj-NX-N0","p-adj-NX-N0 (i-)","p-adj-NX-N0 (i+)","p-adj-NX-N0 (mol+)","p-adj-NX-N1","p-adj-NX-N1a","p-adj-NX-N1b","p-adj-NX-N1c","p-adj-NX-N1mi","p-adj-NX-N2","p-adj-NX-N2a","p-adj-NX-N3","p-adj-NX-N3a","p-adj-NX-N3b","p-adj-NX-N3c","mean-N0","mean-N0 (i-)","mean-N0 (i+)","mean-N0 (mol+)","mean-N1","mean-N1a","mean-N1b","mean-N1c","mean-N1mi","mean-N2","mean-N2a","mean-N3","mean-N3a","mean-N3b","mean-N3c","mean-NX","SEM-N0","SEM-N0 (i-)","SEM-N0 (i+)","SEM-N0 (mol+)","SEM-N1","SEM-N1a","SEM-N1b","SEM-N1c","SEM-N1mi","SEM-N2","SEM-N2a","SEM-N3","SEM-N3a","SEM-N3b","SEM-N3c","SEM-NX","Q1-N0","Q1-N0 (i-)","Q1-N0 (i+)","Q1-N0 (mol+)","Q1-N1","Q1-N1a","Q1-N1b","Q1-N1c","Q1-N1mi","Q1-N2","Q1-N2a","Q1-N3","Q1-N3a","Q1-N3b","Q1-N3c","Q1-NX","Q3-N0","Q3-N0 (i-)","Q3-N0 (i+)","Q3-N0 (mol+)","Q3-N1","Q3-N1a","Q3-N1b","Q3-N1c","Q3-N1mi","Q3-N2","Q3-N2a","Q3-N3","Q3-N3a","Q3-N3b","Q3-N3c","Q3-NX","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF195",0.932287396330136,0.999999977343476,0.996090787505927,0.999999995363087,0.999999536295825,0.999999999930435,0.974657478262427,1,0.997573203947079,0.999999615296971,0.999999991671328,0.86429665264219,0.999999999997299,0.99999999907735,0.929332532811928,0.999637748872239,1,0.999214103314709,0.999999443852381,1,0.997335422393552,0.999993111076616,0.999758585758786,0.999999798070703,1,0.999793203513314,0.999998078708935,0.999761439183007,0.743095330434726,0.999188456706366,0.889224211086109,0.999978077300154,0.999017765280059,0.639004102121636,0.999983897841567,0.996074175403748,0.999554253186234,1,0.99946865293164,0.999999719082289,1,0.996076476176055,1,0.999848634027583,0.99955299434604,0.999134914339154,0.714178539380065,1,0.999999999993374,0.788876595884258,0.999995828772349,0.963257617456454,0.999999957987611,0.446950497851919,0.948920720020899,0.996900778205317,0.813135709839339,0.999999925468649,1,0.849271428777133,0.999791826528576,0.941670297151734,0.999999999703645,0.500200362610259,0.936183541989211,0.999999997911099,0.997671725360357,0.724629408605731,0.999999999710061,0.999999999999539,0.786255531023772,0.999951798688755,0.946330165681201,0.999999992718429,0.434416203440009,0.931599750394566,1,0.999999999999715,1,0.999999999987437,1,0.999999999934969,0.999999999992937,1,0.999999999974646,0.999999979722834,0.999999781547486,0.999999999997356,1,0.999999999983877,1,0.992630819295785,0.998362640118364,0.986960538614813,0.995981976743248,0.998249985043972,0.989776957417824,0.998764543771394,0.973194469325485,0.999873035172375,0.998169403258446,0.979352391575108,0.966184560436769,0.974339629053339,0.998875713707354,0.999999999999525,0.999917095250019,1,0.999999999623955,0.999953516985694,1,0.999973341215808,0.999999349147097,0.979054733360579,0.999990118741538,0.999999999820648,0.999999315584357,0.999999985125967,1,0.991206708426096,377.402564026403,402.815477241379,361.845783333333,311.6136,401.665724369748,370.557612080537,405.086193939394,298.8231,434.382609375,400.097905555556,353.939880701754,338.816120833333,347.900543902439,371.61735,575.2075,368.449052941176,8.38606824219005,11.4110885764001,26.4526676764721,NA,17.1997009227062,9.87677827212541,27.5176301386668,52.8276,27.4574313869363,20.6270395436737,17.1569508014624,20.9645750042417,14.8516219913989,42.00275,NA,29.4321619908943,282.11705,324.9231,282.318275,311.6136,305.83865,288.5454,312.7319,272.4093,332.296775,291.28205,267.9245,277.2314,287.7769,350.615975,575.2075,304.6526,456.2239,468.5457,413.3074,311.6136,452.82825,420.6719,456.9494,325.2369,507.4884,475.6331,420.0394,373.195825,397.9592,392.618725,575.2075,383.3258,410.605851785714,379.667754162855,406.7781,357.656,322.535575,475.4012,292.1387,444.9982,11.7031700196336,4.39964211855023,0.924652565256168,0.879241040754161,-0.113016714707215,-0.185669365662764,"BRCA"
"ZNF263",0.977037844501272,0.985742610066987,0.999997924752056,0.998907406613936,0.995632124723514,0.988403489956264,0.989114710104214,1,0.999998097332847,0.995715581681377,1,0.993931097585721,0.9895955882249,0.998943594636417,0.996844455883452,1,0.999972960099136,0.998386778951549,0.999144273663843,0.999981324759183,1,0.945276530093202,0.984534972174725,0.99792356743656,0.860712442385515,0.984559548223087,0.946261898098116,0.953164591473105,0.999999999881075,0.999084861816939,0.991256498304766,0.999534191816593,0.999322203293976,0.999999999956674,1,0.932451948037166,0.999869110321398,1,0.999998561339742,0.996309261286363,1,0.999940798910433,0.999998539846468,0.984394105475535,0.999912912344897,0.999999947653597,0.999999984442334,0.999883859051509,0.99788150765571,0.999999992179039,0.999999977020662,0.999999999365247,0.972735820659025,0.999999280824744,0.999999999935363,0.999999994402393,0.998916076633063,0.989829350252472,0.999694482742829,0.999148074637206,0.999999997319524,0.999999999954899,0.923917657572507,1,0.999840739739527,0.999996989297126,0.999999998521601,0.999999989384727,0.999911264008739,0.998100772488451,0.999999994015627,0.999999999150762,0.999999999940514,0.972640775626666,0.999999868820259,0.999999999902091,1,0.999999239380532,0.999997247966717,0.999999983884359,0.999999999997934,0.993340028882505,0.999999983315057,0.999997270918815,0.999997555007368,0.999998154090953,0.999990200542697,0.999999977065732,0.999999770351236,0.999982347580766,0.999999730197939,0.993943746223308,0.998437382890561,0.999753126689186,0.92563809185998,0.99843000490293,0.993984762005485,0.994350315321493,1,0.991410921477164,0.99834455803576,0.997027601449436,0.98976456911803,0.99693412328307,0.999998586721856,0.963255016201399,0.703943061265827,0.652435378036811,0.999996739004398,0.724849318800709,0.971880356080642,0.99482068209567,0.72412063106607,0.999131270073427,0.840136476924889,0.932536529106339,0.999865291828307,0.958657137323777,0.997831691057364,0.944993801817123,970.029793729373,919.617551034483,869.366595833333,1343.741,920.067311764706,970.486308724832,972.932390909091,578.78505,991.380309375,923.828014814815,944.753101754386,1001.780175,947.307646341463,804.86465,533.3299,1101.16148823529,17.520861162166,28.8335139549574,48.1385078933121,NA,29.3248718185585,25.3072561801532,70.5742904013893,126.39615,41.5824971864909,42.4984303667299,36.3658700656056,85.0799538758525,39.4470338254505,45.91125,NA,164.920247683302,732.87165,691.4702,711.42485,1343.741,719.74105,733.0525,742.5146,515.586975,882.987025,671.670925,778.2575,790.91535,815.519,781.909025,533.3299,686.8229,1105.60965,1069.5626,1068.081375,1343.741,1058.6975,1141.1845,1171.2631,641.983125,1160.572575,1143.92115,1103.3935,1157.37495,1051.1158,827.820275,533.3299,1146.9375,768.411111607143,956.124069075938,768.44015,892.6666,634.423525,882.3541,721.905,1114.6674,17.7275907816392,10.0404763134825,1.24428714607756,1.16166054051184,0.315319456865807,0.216188547168963,"BRCA"
"ZNF200",0.995527792261197,0.999999958256219,1,1,1,1,1,0.999434270983959,0.999999973055849,1,0.896262305266335,0.999999995683441,0.999999999961689,1,0.979029387813724,0.980449008886737,0.999994646167736,0.999999680864828,1,0.989190334183279,0.999999989881889,0.999999992555282,0.999999999995443,0.999999999989228,1,0.999999992253639,1,1,0.898731534496869,0.999498680967626,0.999973974035532,1,0.936680423971822,0.999986657257995,0.999999999998775,1,0.999999995757603,0.999999999072397,1,1,0.999999998382048,0.999995678453185,0.999888086634373,0.999999999765,0.997590493651368,0.999892239610196,1,1,1,0.999966076430245,0.999999999986022,0.999999415687717,0.999999999997437,0.999919078703748,0.999999999777449,0.999897697314175,0.999999999982048,0.999999999987202,1,0.9999389803117,1,0.999999999994832,1,0.999999965300286,0.999999940498739,0.999999999998809,0.920849461470029,0.999917054288103,0.999997396779018,1,0.957189917131909,0.999999511597587,1,1,1,0.999294568398542,0.999991879606492,0.999999999746015,1,0.999999998294945,0.999999999594442,0.999999999999587,1,0.999999982634729,0.999999669232059,0.999999979787555,0.999997896877796,0.999999999957692,0.999999998122723,0.999999979976247,0.999999362299694,0.998821642394902,0.999724127519189,0.999718828416961,0.999996773537716,0.998825446993638,0.999855985823687,0.999964987948172,0.999998829789087,0.99998716537577,0.999461224485913,0.999756852332128,0.999905183155097,0.99997262301797,0.999440079595983,0.999999999983312,0.999984759798178,0.999999772942468,1,0.999999999994399,0.999727040434433,0.998426098177564,0.999999931388033,0.990988729274332,0.99999997064192,0.999992198731488,0.999961280736825,0.9959084185307,1,0.998194589776971,275.437489768977,264.405756551724,266.0143375,264.3371,275.656519327731,259.981785234899,252.240290909091,247.4945,246.820346875,269.842364814815,263.970675438597,258.664825,250.645773170732,289.72585,178.4232,281.898547058824,5.08050398512946,6.29645722839058,14.4287639419705,NA,8.8441077487067,6.89492114685189,12.4452274189803,86.9501,12.0739922662666,10.9810843845221,7.72344774059201,16.757945720894,9.03114041173921,40.74005,NA,31.3137512793479,217.8853,215.8541,208.894275,264.3371,214.36265,205.4054,228.9584,204.01945,194.23365,207.74695,220.4403,212.493225,226.2364,269.355825,178.4232,213.5118,317.9533,307.0866,300.3721,264.3371,311.1209,301.9644,298.2635,290.96955,280.6276,320.088675,295.4276,274.553725,270.7736,310.095875,178.4232,291.304,196.711365178571,263.566365324794,197.12665,248.7562,173.956825,219.444775,209.4515,302.7073,3.10937872793558,2.50700427859361,1.33986343435486,1.26191055344369,0.422085961414822,0.335609653049027,"BRCA"
"ZNF582",0.99999997217646,0.999970659644782,0.99999982215509,1,1,1,1,0.999999999909318,0.999992674007354,1,0.999999981361787,1,0.999999775911443,1,0.999999999949091,1,0.999999999204696,0.999992461101169,1,1,0.999999999425102,1,1,0.99999999998751,1,1,1,1,0.977113289482505,0.998273987346047,0.999999999586872,1,0.99143020713583,0.998056864935022,0.997060281556599,0.999999996161816,0.999999170511534,0.999909653710485,0.999042669865242,1,0.99999932752854,0.99991957367324,0.999999999968695,1,0.940630321916531,1,0.999999999391066,0.999990426557266,1,1,0.999999999591842,1,1,0.994182349065493,0.999999994684472,0.999997406405008,0.999923291830701,0.998855302408489,0.999999999997028,0.999997232270234,0.999930254475366,0.999999992920642,1,0.96359206555761,1,0.999999846236988,1,0.999999999891791,0.999995290399465,1,1,0.999999999928391,1,1,0.997083856185692,0.999999998564628,1,0.999999931132582,0.899805191011007,0.928444258751998,0.97899512279202,0.99987950181404,0.908372880387701,0.927483120979511,0.904588925633822,0.993876243377448,0.991041079657899,0.850751174658424,0.904478325111313,0.833951456407065,0.908873002122455,0.999989229528514,0.999975759910505,0.999879461524918,0.999999212299754,0.999987885660169,0.999976433043887,0.999994172798978,0.999999666472297,0.999556594163278,0.999998314825626,0.999991679438944,0.99999952767407,0.999992086359444,0.941450477018486,1,0.999999999992949,0.999999356075155,1,1,0.999999999995097,1,1,0.999708900644766,0.999999999998256,1,0.999999999122222,1,0.923022637359615,0.999994900548702,52.8913693069307,54.5893,58.8141,57.1429,53.1888781512605,54.5272268456376,52.0554909090909,51.53095,62.205496875,49.7281407407407,52.5728526315789,47.9559541666667,52.5624048780488,95.3536,26.971,52.1488588235294,1.86411856862005,2.93406591107911,5.29473630861041,NA,3.09478436419253,2.51355081652264,4.9940396628877,26.15185,7.21631559954577,4.37056170877055,3.87287259460009,5.05872461808961,4.2043720081252,24.3597,NA,10.1395962245903,27.1293,28.5433,44.938875,57.1429,26.66095,32.0209,28.393,38.455025,39.9997,25.325125,32.1243,26.754825,33.1527,83.17375,26.971,12.7372,75.6196,74.9634,80.916225,57.1429,76.1752,74.4556,76.7234,64.606875,75.224625,73.558725,69.8619,63.783725,71.8504,107.53345,26.971,72.1049,72.58380625,53.0843853613907,72.7232,52.1016,61.1693,83.291025,28.0356,73.6946,1.60834796216562,0.967015180557569,0.731353012523929,0.716437120478747,-0.45136015453059,-0.481088005828137,"BRCA"
"ZNF285",0.998101619147239,1,0.999998032776164,0.998979606273421,0.996882602235609,0.999414550758745,0.999234615062087,1,0.999998571317602,0.996940954049991,1,0.998516841864737,1,0.999149264044763,0.999272101646934,0.991443417965457,0.999998424110525,0.999529877458603,0.992088077050022,0.999998635141804,0.990331778204731,0.999999999961663,0.999999983378201,0.99999999999769,0.999995426189084,0.99999998452817,0.999999999987126,0.999998939922834,1,0.999976285482782,1,0.999444464829868,0.999983345912608,1,0.998233697049447,0.99999999999883,0.999988663415769,0.981498734603248,0.999999999906862,0.999743820459446,0.986653209684982,0.999999406491003,0.948818478436897,1,0.999999999944838,0.966243261765432,0.645667620978225,0.999983666793213,0.999940876718649,0.699892320166351,0.99162369448252,0.673830870435318,1,0.99997138396198,0.999999763106561,0.999071523023056,0.95857267142239,0.999997075957744,0.999954923321445,0.964772035488672,0.999734001009524,0.896332026433363,1,0.999996408795577,0.999999982339421,1,0.999999999998032,0.999901471691163,1,0.999434147899391,0.999933496679387,1,0.99635685060254,0.999999999998909,1,0.999999999889078,0.999933705807413,0.999993898034417,0.99977130512025,0.999979637675631,0.999749218798885,0.979617939470961,0.999979472482817,0.999713029716407,0.999999511895219,0.99989393412167,0.999665756623393,0.99882595417347,0.99510472602583,0.995770471497251,0.999626941107638,1,1,1,0.999963364312341,1,1,1,0.999999999998705,1,1,0.999999999976062,0.999999999970254,1,0.999999975210716,0.999765083085407,0.986204802672813,0.999998302782328,0.999965588179716,0.988051214479561,0.999925330135495,0.945971397540521,1,0.999998160496289,0.999999989457656,1,1,0.999997227272886,0.99593316400548,0.999999999956283,91.3658554455446,99.1232544827586,89.3056958333333,18.4995,99.0438050420168,90.3556959731544,107.57733030303,76.5671,88.64,83.8701333333333,76.6113824561403,76.0647958333333,88.5147658536585,136.89485,96.9917,75.3351,3.63281065801783,6.04622878930176,11.0329456127366,NA,7.1450444458747,4.86534181374127,8.78944377142983,21.5074,7.16197893415685,7.4749229931135,6.62224401441351,8.1467803614539,9.78177817189087,79.59265,NA,14.4104439294781,46.88175,50.4967,62.342075,18.4995,43.98425,47.5504,69.2788,65.8134,60.866625,43.512275,39.015,44.65895,44.991,97.098525,96.9917,11.9904,126.4938,127.7129,105.445,18.4995,132.7857,121.2694,139.61,87.3208,113.03065,127.227225,108.1224,98.67385,99.4981,176.691175,96.9917,117.2615,93.0487232142857,90.8784251601098,86.26335,80.3622,69.16545,120.955075,46.7892,122.1405,3.24120522715397,1.9013096412446,0.976675681522487,0.931591458017802,-0.0340485197312121,-0.10223068368965,"BRCA"
"ZNF275",0.989372126925274,0.999999997721761,1,1,1,1,0.996626526636613,1,1,1,0.999694916731189,0.750418370890888,0.999953957747025,1,0.843223654429554,0.999999998793449,0.999032648541259,0.999999575379381,1,0.999440515065999,1,1,1,1,1,1,0.999999999974222,0.999999999997325,0.838782464883251,0.999025129575697,0.999755224140515,0.999999999993694,0.998950250318867,0.535728685202669,0.920691643594564,0.999999999953809,0.981603348624664,0.624045611343547,0.996397883455955,0.999999999993533,0.697841595008125,0.999995270771187,0.999999119458094,0.999999990091858,0.369229083158529,0.596982130645403,0.997614579758883,0.999785962360525,0.999999999998675,0.997620519497903,0.253149352797443,0.879997832714195,0.999999999991901,1,0.193397716103795,0.999999999976157,0.999999999917645,1,1,0.99999999997957,0.999992142973379,0.999999954309003,1,0.999310792279563,0.998544979503442,0.999318202118856,0.999970302866444,1,1,1,1,0.991071064497629,0.99990977966956,1,0.999897648880121,0.927378108328099,0.999899988903237,0.999999999992389,0.992767568060766,0.973415499797098,0.987573639602179,0.999973760957191,0.974990682688504,0.997916802105257,0.997717811175225,0.999392255972356,0.901737575743196,0.999672669818221,0.908399467915878,0.990156268240426,0.977349100546436,1,1,1,1,1,0.999999999978069,0.99999999999511,1,1,0.999999997890214,1,1,1,0.999865690296748,1,0.999999946815126,0.999999999997311,1,0.999999975375227,0.999999998423263,0.999999999997781,1,0.998183589214023,0.999984702415678,0.99825417276302,1,0.999999990709921,0.995590858902287,1,614.826333333333,578.785319310345,591.715025,596.9168,580.244294957983,640.794522147651,633.947575757576,583.7042,522.888034375,670.613168518518,530.367635087719,597.909170833333,578.933958536585,858.5829,561.2033,613.594135294118,14.9094354694925,20.2230271729056,43.5606956926924,NA,22.3286471244518,20.9476521841452,38.1394528207957,29.6661,51.1361575970447,43.3463323305952,23.6009737434529,49.9092708327849,27.1130334682407,101.9906,NA,73.8989790401948,418.73275,423.913,447.771125,596.9168,438.6806,478.1066,473.7516,568.87115,330.129775,459.881975,410.9924,358.773475,450.5242,807.5876,561.2033,365.2592,776.02695,702.9042,655.419975,596.9168,702.1625,779.1616,817.1481,598.53725,653.756325,774.38085,653.5228,789.9038,695.1932,909.5782,561.2033,755.705,656.349058928571,594.889995608417,626.10495,562.2525,538.075925,715.718275,418.0438,736.6342,17.687530342946,7.61744771262097,0.906362228323325,0.898016378883445,-0.141840355249321,-0.155186336426031,"BRCA"
"ZNF37A",0.330272171105863,0.99999992430894,0.999997994984173,1,0.999999974517448,0.999999999886175,0.99911613741635,0.998033885279647,1,0.999999999825502,0.999992397922534,0.953350707980011,1,0.999999999974138,0.999999999823142,0.999999999380205,0.918717565304651,0.999997677242893,1,0.999817390936138,0.999991525309401,0.999999999999645,0.999999566094723,0.999999999368441,1,0.999999998737788,0.99999999988039,1,0.999999846431638,0.99997818154204,1,0.999999999916141,1,1,0.999996577097174,0.999999999543443,0.999999939691094,0.998211725525313,1,0.999999999972674,0.999999999999247,1,0.99999827933662,0.999999999879286,1,0.999999999764117,0.990988321115445,0.99999999999867,0.999999999992365,0.999999998250206,1,0.999999864912225,0.999999999976305,0.999999999999591,1,0.895983506265967,0.999999942756703,0.999891506496329,0.999999617952361,0.998153642680948,0.988731763814067,0.93668852457096,0.999992954024538,0.999629138916083,0.996731624642846,0.991473819280546,0.999999999950716,0.997790246205387,1,0.999999999992005,0.999999999789409,1,0.999999934922978,0.999999999975663,1,1,1,0.995448326267141,0.999995622018388,0.999999999859778,0.999999919519096,0.999999555294646,0.999999893070039,0.999999525547065,0.999982734341922,0.99999797627396,0.999999873754291,0.999999632620647,0.999999161341208,1,0.999999275886517,0.999994988511547,0.999999990783004,0.999999622088282,0.999997918554832,0.999999572984924,0.999998883914673,0.999985639819315,0.999994423816104,0.999999504916031,0.999999032826444,0.999998329011961,0.999999999888449,0.999998462966492,1,1,0.999591615619592,0.999999999789859,1,0.999999993119463,0.99999999998988,0.99999999999965,1,0.999999999859225,0.999999999994689,1,0.997598894891335,1,0.999997887396847,0.999996562235319,737.51284620462,649.109793103448,699.332508333333,816.444,697.80397394958,712.342282550336,761.135881818182,794.29925,702.322628125,711.340905555556,720.100271929825,610.207575,719.475717073171,566.2428,493.2573,737.2638,21.3663077268514,19.6303878858192,51.745034826599,NA,26.2210119241758,24.3980181693831,49.5380885102301,61.49165,80.2619987049362,43.9667972772353,39.7688552164042,67.2707527167131,60.6845636182142,78.7876,NA,73.7989620889134,483.69455,489.3945,517.755625,816.444,485.50075,527.027,560.7755,763.553425,390.4619,531.6395,522.7111,455.2569,504.2738,526.849,493.2573,509.7077,880.77515,770.2613,822.169975,816.444,874.02225,847.0975,850.1536,825.045075,871.679675,837.63175,856.279,687.834375,818.1273,605.6366,493.2573,856.8192,669.435889285714,688.512387465691,651.14225,644.152,533.3617,810.137,479.9065,836.4108,18.1172955951775,9.78557014424001,1.02849637804799,0.989264634571017,0.0405367132781044,-0.0155715921906612,"BRCA"
"ZNF510",0.651699477776353,0.990494858991529,0.553494286291603,0.999951176091566,0.999219320922035,0.999999842175039,0.999999986854833,0.641046987005345,0.999389877099648,0.999978609465957,0.999995947075019,0.403748512111675,0.999743594530649,0.999984459732287,1,0.966163477485792,0.321139840577635,1,0.999999815741816,0.997715153964381,0.9989442704633,0.999999665843133,0.999912973613549,1,0.999999999747059,0.999999949518443,0.999999976692678,1,0.999054041605972,1,0.879757256393993,0.999431083591172,0.994723733400892,0.985783980005231,0.79916466123942,0.999953235613298,0.999994546897786,0.741963759421304,0.999994099142363,0.999992285364194,0.999999999867548,1,0.999981366868935,0.999999995890247,0.987281154645288,0.99999999924703,0.999444684707378,0.985836284343073,0.999900659987758,0.999998417480326,0.999975019726456,0.965226579348177,0.999998456946103,0.999998284395206,0.999950649740499,0.999999999931058,0.999997838555389,0.996318964575513,0.999896529375978,0.999999911444098,0.999999031922587,0.992753950464474,0.999998330129415,0.999999973856193,0.999995057733106,1,1,0.998895224484658,0.997149412093426,0.999939926675037,0.999999998263896,0.999999921107874,0.993031635213369,0.999999470250068,0.999989494622874,0.999999218495917,1,1,0.999999834465225,0.999999999998578,0.999860510363011,0.999538943162643,0.999999179270044,0.999998470088796,0.999849794907964,0.999972903987802,0.999999999996255,0.999996417144594,0.999999983895668,0.999999993542304,0.99999994664357,0.999999867200614,0.999999999905754,0.999970627994973,0.999667538979239,0.999999562445913,0.999999304277603,0.9999699763203,0.999981382607971,0.999999999844098,0.999998609139551,0.999999973169968,0.999999984779632,0.999999937148862,1,1,0.999453039319375,0.999991403429076,0.999983780041813,1,1,0.999984083411784,0.999999971435986,0.999964179244985,1,0.999999999481937,0.999999999570562,0.999999999999014,0.999999607466601,0.999999707087847,332.938933663366,304.321654482759,370.3671625,445.221,339.598475630252,342.225297315436,369.950554545455,387.8357,306.405259375,346.953624074074,325.648454385965,323.847191666667,329.912243902439,280.73075,260.3734,339.249058823529,7.70463383140072,9.30535293039083,28.2084372868982,NA,11.1239437607887,11.1618245977335,16.6314500696945,36.8302,20.7982164379849,15.6446662287601,15.5692986492113,27.927920172754,16.8465590602868,24.64555,NA,29.704350196832,226.0897,234.7615,285.146525,445.221,241.48755,246.8867,302.1306,369.4206,204.16935,286.242975,250.7428,262.702475,251.3106,268.407975,260.3734,282.6101,416.9266,353.5792,414.23995,445.221,402.7503,438.3068,408.9741,406.2508,396.4286,416.980975,400.698,389.1183,438.3954,293.053525,260.3734,456.2755,460.352,324.312833943275,458.89855,312.7749,399.7589,556.730025,232.7698,402.5728,10.8274790385685,3.80143673931698,0.704488812785163,0.681577442334477,-0.505351298029547,-0.553050506346378,"BRCA"
