"gene","p-adj-Stage IA-Stage I","p-adj-Stage IB-Stage I","p-adj-Stage IB-Stage IA","p-adj-Stage II-Stage I","p-adj-Stage II-Stage IA","p-adj-Stage II-Stage IB","p-adj-Stage IIA-Stage I","p-adj-Stage IIA-Stage IA","p-adj-Stage IIA-Stage IB","p-adj-Stage IIA-Stage II","p-adj-Stage IIB-Stage I","p-adj-Stage IIB-Stage IA","p-adj-Stage IIB-Stage IB","p-adj-Stage IIB-Stage II","p-adj-Stage IIB-Stage IIA","p-adj-Stage III-Stage I","p-adj-Stage III-Stage IA","p-adj-Stage III-Stage IB","p-adj-Stage III-Stage II","p-adj-Stage III-Stage IIA","p-adj-Stage III-Stage IIB","p-adj-Stage IIIA-Stage I","p-adj-Stage IIIA-Stage IA","p-adj-Stage IIIA-Stage IB","p-adj-Stage IIIA-Stage II","p-adj-Stage IIIA-Stage IIA","p-adj-Stage IIIA-Stage IIB","p-adj-Stage IIIA-Stage III","p-adj-Stage IIIB-Stage I","p-adj-Stage IIIB-Stage IA","p-adj-Stage IIIB-Stage IB","p-adj-Stage IIIB-Stage II","p-adj-Stage IIIB-Stage IIA","p-adj-Stage IIIB-Stage IIB","p-adj-Stage IIIB-Stage III","p-adj-Stage IIIB-Stage IIIA","p-adj-Stage IIIC-Stage I","p-adj-Stage IIIC-Stage IA","p-adj-Stage IIIC-Stage IB","p-adj-Stage IIIC-Stage II","p-adj-Stage IIIC-Stage IIA","p-adj-Stage IIIC-Stage IIB","p-adj-Stage IIIC-Stage III","p-adj-Stage IIIC-Stage IIIA","p-adj-Stage IIIC-Stage IIIB","p-adj-Stage IV-Stage I","p-adj-Stage IV-Stage IA","p-adj-Stage IV-Stage IB","p-adj-Stage IV-Stage II","p-adj-Stage IV-Stage IIA","p-adj-Stage IV-Stage IIB","p-adj-Stage IV-Stage III","p-adj-Stage IV-Stage IIIA","p-adj-Stage IV-Stage IIIB","p-adj-Stage IV-Stage IIIC","p-adj-Stage Tis-Stage I","p-adj-Stage Tis-Stage IA","p-adj-Stage Tis-Stage IB","p-adj-Stage Tis-Stage II","p-adj-Stage Tis-Stage IIA","p-adj-Stage Tis-Stage IIB","p-adj-Stage Tis-Stage III","p-adj-Stage Tis-Stage IIIA","p-adj-Stage Tis-Stage IIIB","p-adj-Stage Tis-Stage IIIC","p-adj-Stage Tis-Stage IV","p-adj-Stage X-Stage I","p-adj-Stage X-Stage IA","p-adj-Stage X-Stage IB","p-adj-Stage X-Stage II","p-adj-Stage X-Stage IIA","p-adj-Stage X-Stage IIB","p-adj-Stage X-Stage III","p-adj-Stage X-Stage IIIA","p-adj-Stage X-Stage IIIB","p-adj-Stage X-Stage IIIC","p-adj-Stage X-Stage IV","p-adj-Stage X-Stage Tis","mean-Stage I","mean-Stage IA","mean-Stage IB","mean-Stage II","mean-Stage IIA","mean-Stage IIB","mean-Stage III","mean-Stage IIIA","mean-Stage IIIB","mean-Stage IIIC","mean-Stage IV","mean-Stage Tis","mean-Stage X","SEM-Stage I","SEM-Stage IA","SEM-Stage IB","SEM-Stage II","SEM-Stage IIA","SEM-Stage IIB","SEM-Stage III","SEM-Stage IIIA","SEM-Stage IIIB","SEM-Stage IIIC","SEM-Stage IV","SEM-Stage Tis","SEM-Stage X","Q1-Stage I","Q1-Stage IA","Q1-Stage IB","Q1-Stage II","Q1-Stage IIA","Q1-Stage IIB","Q1-Stage III","Q1-Stage IIIA","Q1-Stage IIIB","Q1-Stage IIIC","Q1-Stage IV","Q1-Stage Tis","Q1-Stage X","Q3-Stage I","Q3-Stage IA","Q3-Stage IB","Q3-Stage II","Q3-Stage IIA","Q3-Stage IIB","Q3-Stage III","Q3-Stage IIIA","Q3-Stage IIIB","Q3-Stage IIIC","Q3-Stage IV","Q3-Stage Tis","Q3-Stage X","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF195",0.99999999997865,1,1,0.987125085845713,0.993411697543051,0.998256449307906,0.999700464716859,0.999994639044303,0.99999995692302,0.998466541757839,0.999999999028856,1,0.999999999999108,0.991733147216869,0.999811951465617,0.9999999334188,0.999999983471941,0.999999952889164,0.999999999978439,0.99999999967284,0.999999984902138,0.97736018929922,0.995793512653538,0.999984663594598,0.999932778466143,0.999760415030918,0.965262550224791,1,0.883382519599904,0.937362952519679,0.996623244045338,0.999999999996375,0.976713970217483,0.891440782117203,1,0.999532052042819,0.825835883534514,0.914155483147974,0.998635369256899,0.999999978133662,0.960050195665062,0.788076948063101,1,0.999868397014557,0.99999999931236,0.999852011602025,0.999972552350653,0.99999378659414,0.9999985529658,0.999999753420906,0.999959874691422,1,1,0.999999501910795,0.999999996580509,0.999863185462598,0.99991185243347,0.999891807217378,0.999999992186136,0.999968917489895,0.999912902347865,0.999999895805764,0.999992773847405,0.99999990995267,0.999999489688826,0.9999972564568,0.999999161344181,0.999999966523844,0.999999968316298,0.999915434163559,1,0.99999995681234,0.999999999974824,0.999999999935256,0.999865670117858,0.999981946191977,0.999999999632606,0.999985133736731,399.3124425,394.579562820513,401.094127272727,333.923133333333,383.731884955752,393.984429257642,357.1938,371.344481884058,343.7939,353.102524561404,366.34882,282.3015,379.735276470588,14.826621182267,14.7854385225044,33.2977411346342,25.3440323757827,7.68581949487324,11.5954726227306,61.1896,11.6947892333024,24.7869846406188,13.6387202510198,29.1077134445235,NA,26.7188501283415,326.289175,316.3691,342.0706,292.0317,296.28325,296.1635,326.599,282.323825,256.77955,287.7769,294.37545,282.3015,318.1067,471.063,442.5338,414.6073,370.0418,458.631,460.3053,387.7886,435.9153,439.48865,399.6118,447.2499,282.3015,438.2975,410.605851785714,379.667754162855,406.7781,357.656,322.535575,475.4012,292.1387,444.9982,11.7031700196336,4.39964211855023,0.924652565256168,0.879241040754161,-0.113016714707215,-0.185669365662764,"BRCA"
"ZNF263",0.991468534048936,0.964384694292322,0.999757752115486,0.999998151345303,1,0.999992208244366,0.372873471185349,0.999443276680038,0.999998989784962,0.999999986578398,0.956013396566777,1,0.999616343750138,1,0.979626245942783,0.999999999997035,1,0.999999800774649,1,0.999999999617862,1,0.504478642407624,0.999459492585546,0.99999973921457,0.999999959181678,1,0.992310647254572,0.9999999991204,0.966801370071366,0.99999709825127,0.999999923781791,0.999999992147927,1,0.999991376517811,0.999999999499538,1,0.996640793986329,1,0.999782505474495,1,0.99980733495906,1,1,0.99976431534986,0.999997674992485,0.994019290873536,0.999999504730249,0.999999990220115,0.999999993479465,1,0.999999013471913,0.999999999337184,1,1,0.999999533068635,0.993763980807906,0.977137700894522,0.932473805476037,0.984783256002846,0.955643097019089,0.976426784261217,0.997457369630561,0.953119501820284,0.958753331475403,0.97799152907231,0.960994963883511,0.857692094963587,0.998001773249061,1,0.99997334608045,0.999982813876696,0.996311400737968,0.999999652984427,0.999995723291055,0.999999310803498,0.998357686571518,0.999999933701357,0.92285274798412,1032.79853625,969.528576923077,880.866,970.864466666667,932.037583480826,969.709640611354,992.312,927.360984782609,928.592903703704,970.590649122807,925.285613333333,1419.0747,878.583129411765,49.8545091535146,37.2363336024064,60.414784476833,47.9297518875078,16.8594332446813,20.7826488212621,161.3604,26.4045909866842,43.4658301500639,45.4289697511164,68.0506161575792,NA,84.0400249186956,761.949575,729.634425,716.93025,900.5509,700.4348,752.4281,911.6318,718.2812,815.2659,758.9534,721.5248,1419.0747,683.5789,1169.3316,1097.73735,1064.43425,1077.491,1118.02325,1126.98,1072.9922,1105.95835,1021.05075,1060.2152,1066.60715,1419.0747,973.9092,768.411111607143,956.124069075938,768.44015,892.6666,634.423525,882.3541,721.905,1114.6674,17.7275907816392,10.0404763134825,1.24428714607756,1.16166054051184,0.315319456865807,0.216188547168963,"BRCA"
"ZNF200",0.99860702026612,0.627182035632524,0.914064954786331,0.994444319219199,0.999963258368167,0.999991495279766,0.991178608808822,1,0.86978673430001,0.999920539958659,0.887629245886163,0.999999619260267,0.951867559480501,0.999997687826467,0.999843227269869,0.999913815578902,0.999998080578147,0.999999999995118,0.999999999995902,0.999997332619582,0.999999707187965,0.536517510879988,0.996298551671556,0.993654276512539,0.999999999522792,0.914434872623928,0.999583918216224,0.9999999950563,0.19394706780169,0.670081927245526,0.999999999996132,0.999997334425054,0.46350462003155,0.739463458980808,1,0.963257008148502,0.696911041130596,0.99633302687534,0.998484042741002,0.999999999999378,0.971919900418321,0.999576159732778,0.999999999408761,0.999999999917636,0.994710639399179,0.473403158360379,0.857172063324878,1,0.999994570964362,0.773688539083972,0.911750233806388,0.999999999999761,0.988793675093233,1,0.997762044474064,0.981081956271479,0.954378534338445,0.758036096534812,0.903449973911231,0.954434770455002,0.936997965810741,0.941948226202132,0.906204594959007,0.765848531428337,0.895590407874282,0.760993060933369,0.999815247267311,0.999999999936904,0.992189461249644,0.999999716601754,0.999999999373558,1,0.999999827685843,0.999999968049574,0.984778534180345,0.9999994753536,0.990043119945276,0.948344184150103,285.55914625,272.216928205128,228.194027272727,251.427866666667,272.852294100295,267.066883842795,239.7985,259.058960869565,233.489577777778,256.047507017544,230.4926,398.0485,267.211023529412,8.46437195671574,9.01355404389749,14.2853233428139,18.431870561943,5.00273578009023,5.50394887605697,7.8356,6.39796750901281,12.0116217363241,9.42397007913891,14.3414020157757,NA,24.8794006536038,236.6262,217.74485,203.59565,227.0159,215.9229,206.7885,235.8807,208.4215,200.97045,212.7369,200.52815,398.0485,214.3181,314.98,307.62165,240.02255,253.7086,317.9533,302.676,243.7163,305.28075,271.31055,276.6747,247.62345,398.0485,270.7736,196.711365178571,263.566365324794,197.12665,248.7562,173.956825,219.444775,209.4515,302.7073,3.10937872793558,2.50700427859361,1.33986343435486,1.26191055344369,0.422085961414822,0.335609653049027,"BRCA"
"ZNF582",0.999999996391827,0.999975912689967,0.999998709345279,0.999799343183258,0.999001462344463,0.995524187089471,0.189653134017554,0.444996437655916,0.999999877225436,0.788744523720295,0.63420414287889,0.87949099635375,0.999999999993123,0.901522766020013,0.999720911725549,0.793134653233072,0.832926512305773,0.959025677436049,0.650513305696727,0.970313588209584,0.949789117108723,0.356092058007336,0.626323653936486,0.999999870886965,0.803178400055259,1,0.999960277967282,0.972083742662293,0.307178231046629,0.464466162405908,0.998670214690693,0.539336977654328,0.9955652886736,0.959345089236941,0.997638606487906,0.997628232356661,0.909581564580489,0.979402634187191,0.99999999997954,0.923268111453986,0.999999805251445,1,0.95734946333573,0.999999878690711,0.989935694294759,0.829401918886223,0.911216931233171,0.999936900717307,0.781223412031681,0.999990799610137,0.999574163037348,0.996208344563815,0.999994829389969,0.999999999988996,0.999886159523314,0.996949642448498,0.998049790851465,0.999769859374939,0.983519950472753,0.9999347256689,0.999825236933573,0.999999999970872,0.99993937943756,0.999999024294149,0.999855962407229,0.999997001729718,0.950545953229282,0.982866248591723,0.999999527757443,0.894737893210746,0.999999999947222,0.999999053320326,0.98788750602126,0.99999999998411,0.999997473450047,0.999999870780068,0.999999997094205,0.999978731311107,62.78620125,61.1602333333333,55.6962363636364,72.2351111111111,51.462094100295,53.8350493449782,18.9239,51.3473913043478,44.1113333333333,53.5211807017544,46.13118,27.2544,49.6849764705882,4.29195963913645,3.63759417570667,10.2857545853324,9.15918143045309,1.72473077459034,2.22753028480178,5.2612,2.52225708990874,5.84095800457152,3.50444842219229,7.29078465162701,NA,7.95852981827346,32.21545,37.1754,30.08035,65.7381,27.1293,26.2712,16.2933,29.596275,16.74345,33.1527,29.1869,27.2544,24.6275,84.548425,82.11115,76.7772,81.9495,71.52075,74.4556,21.5545,71.51685,77.0303,68.3971,65.18345,27.2544,79.9864,72.58380625,53.0843853613907,72.7232,52.1016,61.1693,83.291025,28.0356,73.6946,1.60834796216562,0.967015180557569,0.731353012523929,0.716437120478747,-0.45136015453059,-0.481088005828137,"BRCA"
"ZNF285",1,0.999999999966945,0.999999999438868,0.999999999398818,0.999999995184996,1,1,1,0.999999999752508,0.999999997263301,1,1,0.999999999367208,0.999999994536053,1,0.955485463075161,0.94954934141225,0.985087162473241,0.989788929887561,0.949283195004018,0.947370236356611,0.968796220304795,0.942835543439308,0.999999893319462,0.999999997547273,0.675333111445878,0.720839448399227,0.991505293431722,0.999276872531551,0.998381296099233,0.999999950895012,0.9999999982841,0.996940654444575,0.996507969929171,0.993999432933178,1,0.999999990191114,0.999999784185111,1,1,0.999999553377012,0.999999072685506,0.972449579158633,0.999565809974886,0.999987567407381,0.999639468737505,0.999264005898294,0.999999770619673,0.999999983055435,0.999018138772736,0.998840163888769,0.996904570451346,0.999999999997362,1,0.999986412137086,0.689111573416789,0.702148865509393,0.695916834416455,0.691031525296307,0.688431474211085,0.694313841683993,0.327189535182024,0.53907399239806,0.556841746446694,0.65068738003998,0.552863491243595,0.999279267087317,0.999677058188614,0.999810644398435,0.999771510093979,0.998965674862199,0.999309977507219,0.860760821393033,0.865428764944225,0.956907255265367,0.995947021226481,0.971999242363023,0.86262579967814,93.6208975,94.801341025641,89.2734545454545,87.5511888888889,94.1805256637168,94.6253995633188,25.5258,80.8606644927536,80.289337037037,89.8281122807018,77.8841466666667,225.1009,109.612382352941,6.32809463716459,7.06005171232719,14.2784859500029,13.018407760162,3.76939937254317,4.35108719274265,8.1756,4.38475756687028,10.0580886890792,7.55546167667725,11.3706854512104,NA,20.8441546528853,61.06655,51.886675,54.13225,73.4484,46.78345,49.6038,21.438,42.116825,35.6178,55.8071,46.7486,225.1009,33.0051,111.1682,121.990225,137.473,103.4627,127.4606,128.2688,29.6136,109.92125,121.95095,99.4981,103.6504,225.1009,156.5396,93.0487232142857,90.8784251601098,86.26335,80.3622,69.16545,120.955075,46.7892,122.1405,3.24120522715397,1.9013096412446,0.976675681522487,0.931591458017802,-0.0340485197312121,-0.10223068368965,"BRCA"
"ZNF275",0.999674879017375,0.468884337868134,0.777100513520172,0.999993864853347,0.999999999974304,0.991984662857761,0.992009759476135,1,0.739935502615789,0.999999999995283,0.998977037661667,1,0.697054928372078,0.999999999766577,0.999999999043381,0.999998385872563,0.999999991036382,0.999999449224107,0.9999999999528,0.999999994507804,0.999999982771474,0.982586407172594,0.999999991561494,0.834197959481594,1,0.999999985801983,0.999997465520166,0.999999999276483,0.996936016291813,0.999999645780428,0.9671208740265,1,0.999999699678018,0.999996533040327,0.999999999990899,0.999999999472895,0.999758981974465,1,0.816278352947889,0.999999999994915,1,1,0.999999994270764,0.999999999721486,0.999999916859573,0.999999953187734,0.999620199515565,0.5935534619169,0.999916559151451,0.9988016284322,0.999590552129664,0.999984263698798,0.996905559042628,0.996767957643461,0.999608357490458,0.999995842596586,0.999999808592691,0.999999999998578,0.99999998607779,0.999999853113993,0.999999728131748,0.999999999998493,0.999999947202752,0.999999992527564,0.999999849017707,0.999978741453776,0.999999999625834,0.999999999679913,0.85668761634567,0.999999989919709,0.999999994694571,0.999999999928755,0.999999901757977,0.999999745579844,0.999997277232979,0.999999999186624,0.999999084884411,0.99999923084458,639.407835,604.351115384615,447.7744,585.809611111111,601.248484955752,607.35951790393,542.48095,592.175154347826,577.880011111111,602.309810526316,667.41084,491.2517,621.783594117647,26.5672420730878,29.1894725812835,48.3071178261284,75.4184093497228,13.4551217220466,18.3504680878295,225.97205,21.3251439384919,49.3878292258525,26.6858395644893,56.585143370794,NA,56.0577997119783,470.33685,419.5111,345.39365,409.626,418.73275,425.0611,429.494925,441.65435,421.4552,450.5242,539.75505,491.2517,410.4577,745.6442,742.3762,561.45865,605.7572,747.92595,743.9756,655.466975,730.89425,650.56915,735.8433,761.6073,491.2517,770.7736,656.349058928571,594.889995608417,626.10495,562.2525,538.075925,715.718275,418.0438,736.6342,17.687530342946,7.61744771262097,0.906362228323325,0.898016378883445,-0.141840355249321,-0.155186336426031,"BRCA"
"ZNF37A",0.608259353261791,0.990593800170236,0.999999999998695,1,0.996985692561612,0.999016358764263,0.311472173207588,0.999999999994029,0.999999999799438,0.99752111134638,0.642860250055698,0.999998542481445,0.999999949578245,0.999395496333057,0.99999812419323,0.975026292448256,0.99950926479534,0.99990280473131,0.983327218328491,0.999229254685488,0.998530496953884,0.689012631932517,0.999999949931287,0.999999989180095,0.999185732806865,0.99999999482736,1,0.998812819667145,0.508874212000151,0.999933215365521,0.99999999575519,0.968072398016261,0.999193579505582,0.994506432099362,0.999983832990526,0.997674773240122,0.448815523056557,0.999999955489864,1,0.988825636615383,0.999988332548536,0.999358686922716,0.999851860409739,0.999883321908734,0.999999888498287,0.99999803416239,0.999976774311256,0.999992240252362,0.999999739269067,0.99998831627289,0.999999727173041,0.996237144470124,0.999999277776997,0.996312659866687,0.999566805642758,0.997637622312674,0.999956315780426,0.999987250220747,0.997863469935332,0.999935383149001,0.999878215466259,1,0.999899963641495,0.999997909039115,0.999985546865467,0.999605369132063,1,0.972331741828434,0.996479241023927,1,0.969899867920692,0.991560253424469,0.977319963189737,0.989879872779792,0.866798034364818,0.92470735269925,0.999998788837538,0.997480462576112,800.892215,688.926664102564,671.824463636364,813.607788888889,696.441310029498,711.502900873362,478.14015,707.12538115942,634.60867037037,666.765547368421,751.143213333333,453.5666,811.160123529412,47.8911957061844,31.4892191132087,95.7966653525802,157.381117191002,16.3923345469828,21.6429127027886,152.16745,26.8424947559467,42.6645908035402,50.3599793979577,65.489357967371,NA,59.9002550068467,552.38295,480.96735,427.7533,585.4953,488.42215,489.2213,402.056425,514.65825,527.55095,478.9251,543.46355,453.5666,655.6616,904.77675,853.683975,841.14245,732.8616,850.6066,870.0749,554.223875,849.278575,777.78525,770.8714,853.9923,453.5666,901.5172,669.435889285714,688.512387465691,651.14225,644.152,533.3617,810.137,479.9065,836.4108,18.1172955951775,9.78557014424001,1.02849637804799,0.989264634571017,0.0405367132781044,-0.0155715921906612,"BRCA"
"ZNF510",0.999991091010149,0.983259173675024,0.998524910995305,1,0.999999931369281,0.998016072717113,0.679663533259204,0.989061158240252,0.999997855805171,0.999586470419431,0.997365744068033,0.999999997235028,0.999397164419643,0.999998198754469,0.977189623584018,0.999971097671431,0.999997577086241,1,0.999972062870088,0.99999999221381,0.999999214819508,0.985513122224151,0.999995208874472,0.999905095018377,0.999983530146481,0.999943724471843,0.999999944989217,0.999999826074828,0.994304173133926,0.999956031071637,0.999999701349487,0.99988260417773,1,0.999994985863055,0.999999995426373,0.999999978524006,0.918548021172871,0.997897327715624,0.999999852009677,0.999494329605901,0.999999999996782,0.999101886623237,0.999999998208593,0.999989566916363,1,0.854356288135656,0.968989705386812,0.999999999990232,0.986082345479166,0.999390572333826,0.979201486904862,1,0.9941169374889,0.999932873057845,0.999926723395567,0.99884220626391,0.999597898499682,0.999998039704109,0.998877889422512,0.999945115199282,0.999739521213969,0.999999932110416,0.999850393988507,0.999956132634316,0.999965089739061,0.999999568125941,0.999944824053301,0.99660198390096,0.925476277648857,0.999999976969929,0.832339332880691,0.981589274987197,0.999384944374922,0.959911980455328,0.959996843908131,0.877656904832324,0.746222084195745,0.994799791344881,355.77024125,343.271285897436,302.166663636364,361.313288888889,323.359930383481,338.164940611354,293.194,332.746141304348,322.984896296296,320.201485964912,292.555426666667,230.4845,380.549652941176,14.0254649478932,14.4966608038601,30.1223640389488,29.9816084519996,6.73178409907628,8.99403494722665,23.4779,9.97249924512372,23.7297194997658,15.3347339163377,26.5035760444663,NA,34.6614691692121,279.08865,236.678175,225.39795,319.1478,230.21775,237.4353,281.45505,250.000925,254.0045,255.1208,220.964,230.4845,287.7358,426.8905,408.130775,343.2263,419.3867,405.29805,417.3223,304.93295,403.9811,415.95585,405.9641,337.93845,230.4845,456.2755,460.352,324.312833943275,458.89855,312.7749,399.7589,556.730025,232.7698,402.5728,10.8274790385685,3.80143673931698,0.704488812785163,0.681577442334477,-0.505351298029547,-0.553050506346378,"BRCA"
"ZNF506",0.808884700602156,0.999991872115933,0.999999997547062,0.999988304117803,0.999999999976619,1,0.130780861352122,0.999996650377439,0.999997536286308,0.999999876818082,0.536756803180033,1,0.999999997283211,0.999999999979465,0.999652495429764,0.998072362483764,0.999990721858441,0.999962188391578,0.999981438802658,0.99999854167657,0.999988969583211,0.937002235685921,0.999998137402602,1,1,0.960926994035382,0.999975876070067,0.999944356582115,0.92030118672755,0.999999998875808,0.99999975326955,0.999999985885819,1,0.999999993950245,0.99999873233741,0.999980598841559,0.996056717434528,0.999995238331622,1,1,0.991751102870846,0.999979710268676,0.999916289906501,0.999999999998599,0.999960877868945,0.532831661919179,0.992218377877833,0.996525666395295,0.998912476407903,0.998397705713191,0.986218032154379,1,0.945630451366096,0.999711732252571,0.947630460818779,0.999999999984523,1,1,1,0.999999999998134,1,0.999999807779336,1,0.999999999999193,1,0.999999889472789,1,0.997210130330784,0.999999354280494,0.999998670901363,0.96420806753395,0.995493456966904,0.998856380306413,0.99980757321425,0.995390139505412,0.999977948771471,0.855286813460712,0.999999999992553,480.57728375,428.153684615385,445.527518181818,440.978555555556,415.508826253687,428.731641921397,349.16565,441.694617391304,416.879603703704,446.258098245614,367.992686666667,445.1548,479.228070588235,16.409225178359,18.8080311067028,40.0628665811776,44.6523870863962,10.3753020358453,11.3795540620675,15.18765,13.2710015849765,33.8341947868998,22.4520397169956,54.6076124764809,NA,57.5830111946439,381.885325,354.239075,364.67235,413.2633,279.858,318.7437,341.571825,323.979075,350.8803,350.6045,243.24255,445.1548,377.3512,568.561275,511.551225,505.21015,491.7258,527.3246,536.6955,356.759475,535.734675,530.3613,541.5812,452.4238,445.1548,578.4076,572.61475625,428.098543549863,564.2745,421.0178,475.6036,669.069175,316.3197,531.5059,12.8729441992737,5.33823686804286,0.747620523008243,0.746122321671456,-0.419621921690031,-0.422515924993645,"BRCA"
"ZNF324",0.999999944302787,0.999999999994388,1,1,1,1,0.478243491488452,0.838939728877881,0.99992432540843,0.999830898436248,0.897815991201082,0.993596651900041,0.999998894559295,0.999994204040098,0.999755810949778,0.999847592621214,0.999956016490065,0.999977611111202,0.999954957377469,0.999999930928632,0.999999102818745,0.918635111962618,0.994415179371447,0.999998142975383,0.999991390666587,0.999991764293704,1,0.999999369464198,0.989088896511096,0.999043664865785,0.999991932177089,0.999973413408808,1,0.999999998014983,0.99999992617868,0.99999999983802,0.999885419944228,0.999999901748255,0.999999999887004,0.999999991768393,0.997260842544855,0.999997573201439,0.999992175633813,0.999995597103632,0.999992549808598,0.999999748291272,0.999999999921788,0.999999999997031,0.999999999485349,0.999991791671236,0.999999991347252,0.999994149421879,0.999999976744028,0.999999618776998,1,1,1,1,1,0.999999999773822,0.999999999996182,0.999999828665486,0.999999999992802,0.999999999892889,1,1,0.999999468797961,0.999999999804236,0.999999999994626,0.999999999201754,0.999985786147194,0.999999986160048,0.999993930038568,0.999999963125607,0.999999472251646,1,1,1,236.98113,230.011651282051,230.514272727273,235.3354,205.041964306785,212.989249781659,173.3996,211.894642753623,206.284466666667,221.9971,222.942526666667,232.5034,222.760894117647,16.7935962419412,9.69714369689297,40.8779737937239,17.5534413336736,4.8537510765236,6.05674675896421,27.9674,14.6355589057403,11.4298588404865,10.4186424368346,18.6615474958854,NA,16.1178544042812,170.142625,181.516,154.9101,200.4564,159.427,162.8242,159.4159,155.545075,165.39585,159.3218,176.18955,232.5034,178.2579,263.687675,263.43145,219.77365,273.2281,239.7172,248.1355,187.3833,239.45575,248.9396,258.6854,249.2933,232.5034,253.7197,206.368623214286,215.240875937786,216.455,203.8143,160.300025,247.14605,165.6302,248.4195,5.67106916322471,3.21199716249441,1.04299225621275,0.941601256612229,0.0607284464818947,-0.0868118491637014,"BRCA"
