"gene","T1a-T1","T1b-T1","T1b-T1a","T1c-T1","T1c-T1a","T1c-T1b","T2-T1","T2-T1a","T2-T1b","T2-T1c","T2a-T1","T2a-T1a","T2a-T1b","T2a-T1c","T2a-T2","T2b-T1","T2b-T1a","T2b-T1b","T2b-T1c","T2b-T2","T2b-T2a","T3-T1","T3-T1a","T3-T1b","T3-T1c","T3-T2","T3-T2a","T3-T2b","T3a-T1","T3a-T1a","T3a-T1b","T3a-T1c","T3a-T2","T3a-T2a","T3a-T2b","T3a-T3","T4-T1","T4-T1a","T4-T1b","T4-T1c","T4-T2","T4-T2a","T4-T2b","T4-T3","T4-T3a","T4b-T1","T4b-T1a","T4b-T1b","T4b-T1c","T4b-T2","T4b-T2a","T4b-T2b","T4b-T3","T4b-T3a","T4b-T4","T4d-T1","T4d-T1a","T4d-T1b","T4d-T1c","T4d-T2","T4d-T2a","T4d-T2b","T4d-T3","T4d-T3a","T4d-T4","T4d-T4b","TX-T1","TX-T1a","TX-T1b","TX-T1c","TX-T2","TX-T2a","TX-T2b","TX-T3","TX-T3a","TX-T4","TX-T4b","TX-T4d","mean-T1","mean-T1a","mean-T1b","mean-T1c","mean-T2","mean-T2a","mean-T2b","mean-T3","mean-T3a","mean-T4","mean-T4b","mean-T4d","mean-TX","SEM-T1","SEM-T1a","SEM-T1b","SEM-T1c","SEM-T2","SEM-T2a","SEM-T2b","SEM-T3","SEM-T3a","SEM-T4","SEM-T4b","SEM-T4d","SEM-TX","Q1-T1","Q1-T1a","Q1-T1b","Q1-T1c","Q1-T2","Q1-T2a","Q1-T2b","Q1-T3","Q1-T3a","Q1-T4","Q1-T4b","Q1-T4d","Q1-TX","Q3-T1","Q3-T1a","Q3-T1b","Q3-T1c","Q3-T2","Q3-T2a","Q3-T2b","Q3-T3","Q3-T3a","Q3-T4","Q3-T4b","Q3-T4d","Q3-TX","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF195",0.997457069451705,0.993584150376819,0.999998156902291,0.923946187320627,0.999966181726837,0.999999994465821,0.895138457904699,0.99996281010006,0.999999989836232,1,1,0.999998198329888,0.999999999830746,0.999999999998884,0.999999999999089,0.999999896814991,0.999999998912902,1,0.999999999999664,0.999999999999498,0.999999999948301,0.374185246290466,0.999999757756649,0.999999997727206,0.950660025257535,0.862863684127251,0.999999992315623,1,0.999999984544127,0.999999992109723,1,1,1,0.999999999996689,1,1,0.922356403568942,1,0.999988753373027,0.998668876518196,0.998410138523323,0.999999029297644,0.999999999951184,0.999998359262392,0.999999999146779,0.49029541801138,0.999999999387628,0.999988476829767,0.961514375447858,0.944528165559715,0.999999752525056,0.999999999999792,0.999995954779518,0.999999999970533,0.999999999984804,0.982978703083693,0.999999999994277,0.999891035649435,0.999108975382954,0.999042301530629,0.999972465133462,0.999999848088276,0.99996211371074,0.999999439166622,0.999999975485309,0.999998769414664,0.999943713465325,0.999999979346049,1,0.999999998982846,0.99999999868898,0.99999999900919,1,1,1,0.999999995994368,0.999999999942793,0.99999684276437,426.107434146341,313.6689,372.989871428571,386.115489655172,386.518732593857,409.5871,364.3388,360.52941637931,373.6297,330.299042857143,342.550403703704,287.0538,362.188733333333,24.6430305733501,37.9818,22.1543258490968,8.36661240979094,6.39535917958148,NA,NA,12.4986015779578,NA,47.2601206154319,24.9334374874398,55.2376,62.8405055017949,335.5996,294.678,341.70685,313.793,292.15045,409.5871,364.3388,259.00755,373.6297,228.30705,257.8586,259.435,300.2041,482.3704,332.6598,392.165,450.7191,457.124325,409.5871,364.3388,416.4085,373.6297,418.7966,453.57795,314.6726,402.13235,410.605851785714,379.667754162855,406.7781,357.656,322.535575,475.4012,292.1387,444.9982,11.7031700196336,4.39964211855023,0.924652565256168,0.879241040754161,-0.113016714707215,-0.185669365662764,"BRCA"
"ZNF263",1,0.953276672534764,0.999972563445197,0.999484695993512,0.999999998214601,0.996067356704335,0.999993354157835,0.999999999958107,0.978773300324829,0.99996189146884,0.999999999966485,0.999999999946804,0.99999999984514,1,1,1,1,0.999997778818033,0.999999999655298,0.999999999982561,0.99999999993284,0.999999999993195,1,0.948001686184971,0.997917463671966,0.999989638913586,0.999999999995244,1,1,1,0.999999443092633,0.999999999989014,1,0.999999999995625,1,1,0.99799703203677,0.999999686462384,0.771932158798981,0.950535523052646,0.975985270835602,0.999994012516199,0.999999997827654,0.993538381622164,0.999999981236444,0.999999866028458,0.999999999946175,0.996978604487251,0.999999999858638,1,1,0.999999999976461,0.999999991147685,1,0.988952621487193,0.987446233516618,0.999678331224193,0.823955611156264,0.949415926313588,0.965797963105682,0.999353555730909,0.999979823738707,0.980701943010931,0.999953639755851,0.999991369344199,0.972002442437543,0.99403061616855,0.999801281393936,0.999999975879986,0.999294296873106,0.998008216536746,0.999999894742499,0.999968831449781,0.995326088784504,0.999987652611245,0.915278878662412,0.998939456473325,0.853787265599854,919.892658536585,901.78995,1071.6808,970.686825123153,951.822341979522,990.057,886.1159,930.918000862069,907.3612,780.723757142857,954.656933333333,618.4857,1148.68246666667,35.8626654109086,196.60875,135.724933522167,25.405579033154,13.0009106266477,NA,NA,25.9763510643362,NA,59.9629863944332,78.1326577190456,126.3328,346.242621160925,730.5136,803.485575,844.4015,712.0304,721.46675,990.057,886.1159,748.39435,907.3612,723.7675,735.1564,555.3193,940.22895,1037.1305,1000.094325,975.8511,1144.50735,1123.825925,990.057,886.1159,1070.209775,907.3612,879.75635,1021.05075,681.6521,1492.3321,768.411111607143,956.124069075938,768.44015,892.6666,634.423525,882.3541,721.905,1114.6674,17.7275907816392,10.0404763134825,1.24428714607756,1.16166054051184,0.315319456865807,0.216188547168963,"BRCA"
"ZNF200",0.999999999632645,0.878137267684422,0.999999717709563,0.870404428525029,0.999999999999293,0.999727691775135,0.97961206708383,1,0.994117722900844,0.998819004968054,0.999539006719839,0.999995099095958,0.999999981514705,0.999992830506368,0.9999714740014,0.997546348189586,0.998155343777636,0.939110637386286,0.976749539732221,0.985683677120574,0.97198398123331,0.0677983560253897,0.999997706946911,0.999999999998654,0.415064348708221,0.0205011811654315,0.99999999437255,0.908779731696744,0.973712562594932,0.998681487898548,0.999750807046512,0.996380973463318,0.99305025555725,0.999999985741008,0.863155670923244,0.999806042629967,0.869181079602949,0.999983738380827,0.999999958509423,0.997155466491062,0.984708798609833,0.999999999994457,0.899321407973914,0.999999990278814,0.999984991546673,0.745043428794725,0.99999992498677,1,0.999399157541212,0.977325553697402,0.999999911690214,0.944652276132127,0.999999839681704,0.999496219914552,0.999998359808901,0.99999139561721,0.999999999619636,1,0.99999999996858,0.999999994769061,0.999999971211632,0.989683524822395,0.999999999993436,0.999886261238495,0.999999993526271,1,0.999999999931613,0.999999986026557,0.997807567115758,0.999935156381305,0.999992772038244,0.999507776506362,0.999829359631347,0.991191351965213,0.981077921345616,0.990758016156073,0.998331276385843,0.999987842205053,290.839956097561,275.1547,246.270542857143,265.942347783251,272.645754607509,214.9976,380.6835,242.412240517241,173.2083,231.281542857143,250.185974074074,253.43065,302.083,11.6459781612434,59.2899,18.1745988409186,5.3227471389598,3.60828518428017,NA,NA,6.21354433694597,NA,29.3662726060086,20.7440201576767,69.05875,48.2226126653254,228.1681,245.50975,186.553975,214.98685,215.8885,214.9976,380.6835,199.8135,173.2083,177.0166,193.04625,218.901275,254.10025,330.8383,304.79965,289.480175,298.1147,314.765025,214.9976,380.6835,272.090225,173.2083,267.2311,273.83825,287.960025,330.23455,196.711365178571,263.566365324794,197.12665,248.7562,173.956825,219.444775,209.4515,302.7073,3.10937872793558,2.50700427859361,1.33986343435486,1.26191055344369,0.422085961414822,0.335609653049027,"BRCA"
"ZNF582",0.999999999999147,0.999518198148234,0.999998781821705,0.985917834508276,0.999999602570171,0.99999999996977,0.999999661348371,1,0.984057723689745,0.0159159057988515,0.999999999967128,1,0.999999550531246,0.999999846399505,1,1,1,0.999999999824517,0.999999999988653,1,0.999999999997579,0.999912385200326,1,0.958184117303886,0.0903039084890251,0.999989579536372,1,0.999999999998426,0.999999996462108,0.999999986225807,1,1,0.999999951759688,0.999999970684766,0.999999999976228,0.999999734466622,0.917255954326111,0.999972873839396,0.694978130086781,0.500233000054369,0.940419032208987,0.999999891386133,0.999985953684086,0.979428969091598,0.999411909927216,0.999278737502096,0.999999999998827,0.939695925269352,0.567414498212701,0.999860805674942,1,0.999999999706523,0.999999833222672,0.999998105044811,0.998369723132868,0.774115613839387,0.987237893444186,0.572010706638684,0.527860179751234,0.811631897850089,0.999094994168609,0.994630789630665,0.864890553520292,0.973360780459665,0.999502910183738,0.932231760653682,0.999963147775741,0.999999991745615,0.996542173828469,0.996433833001209,0.999993884627146,0.999999999995187,0.999999957035616,0.999999455952496,0.999987197483584,0.999999987050106,0.999999996742688,0.997626377124325,54.4084707317073,50.70915,63.45625,61.5726931034483,51.9729063139932,47.4608,55.2749,49.8985146551724,64.7233,32.8556285714286,46.8690296296296,9.34805,40.7102,5.88891147863388,25.33005,8.44160587861472,2.36097996077528,1.32055036658055,NA,NA,2.70605247512762,NA,4.98140899811796,6.20826565382445,0.86145,13.5787850919489,24.9932,38.044125,43.675825,36.0588,27.0792,47.4608,55.2749,28.367375,64.7233,24.84705,16.74345,8.917325,27.1316,71.8563,63.374175,82.99365,82.1917,72.94885,47.4608,55.2749,70.4389,64.7233,41.4933,79.4528,9.778775,47.5609,72.58380625,53.0843853613907,72.7232,52.1016,61.1693,83.291025,28.0356,73.6946,1.60834796216562,0.967015180557569,0.731353012523929,0.716437120478747,-0.45136015453059,-0.481088005828137,"BRCA"
"ZNF285",1,0.999989455861286,1,0.999997949246653,0.999999999108449,0.997951118306653,0.999999998982882,0.999999999963854,0.999575760207079,0.999995500237579,0.999997747322283,0.999998139196032,0.999950894880344,0.999999690596628,0.999999033616079,0.992814143634293,0.999520640029726,0.99889232200767,0.985108231665141,0.989013495374239,0.989443915575607,0.999997820354015,1,0.99999999170663,0.906364849353233,0.967815757372934,0.999984554835362,0.996479654088782,0.999999999920774,1,1,0.999999995094579,0.999999999230524,0.999997398670946,0.999970648960532,1,0.999998573144943,1,1,0.999853623342496,0.99997260430153,0.999953587003809,0.999345502052322,0.999999998068974,1,1,1,0.999998437167354,0.999997569066727,0.999999992850227,0.999996867763287,0.994147119792831,0.999999974580258,0.999999999974969,0.999999690769877,0.929363876521399,0.997924508871025,0.988233755377283,0.866589084851169,0.893521665585166,0.973590341885874,1,0.959129401147321,0.999928832544779,0.994232826787089,0.942691606707359,0.78080899058183,0.977455494232416,0.650977689368009,0.840899752796206,0.790114924854512,0.999999085257472,0.697301856205245,0.635493956387169,0.993145030373249,0.743931252969543,0.780805578024485,0.354646942597261,89.7705390243902,83.02765,77.2991071428571,95.730745320197,92.6908721843003,125.2966,12.4814,83.4117172413793,75.0201,75.9831142857143,88.4917740740741,16.2348,162.733533333333,9.14536625377605,27.96795,16.2085064056645,4.09398065432832,2.7908251403206,NA,NA,4.79180087374915,NA,22.3905629890557,12.2220995499542,11.9915,31.2622696126568,51.9706,69.043675,37.718325,55.46405,44.786975,125.2966,12.4814,49.2184,75.0201,32.9527,37.0671,10.23905,131.54985,112.0104,97.011625,97.52475,125.2027,125.391275,125.2966,12.4814,112.700725,75.0201,120.9708,123.3403,22.23055,180.24385,93.0487232142857,90.8784251601098,86.26335,80.3622,69.16545,120.955075,46.7892,122.1405,3.24120522715397,1.9013096412446,0.976675681522487,0.931591458017802,-0.0340485197312121,-0.10223068368965,"BRCA"
"ZNF275",0.996837942659677,1,0.998489781272399,0.999999991194978,0.998170748679639,1,0.999976962097469,0.999070870311076,0.999999997461014,0.999989881429033,0.984696974274179,0.999999858014214,0.989391035375012,0.988693205296254,0.99201783396539,0.999999915928323,0.999999997500442,0.999999969968511,0.999999983656254,0.999999997258056,0.999987978268866,0.999798759090605,0.999536924407449,0.999999831325912,0.999872148163857,0.999999930593848,0.994327584133771,0.999999999517276,0.999999991112917,0.999999979676479,0.999999997354264,0.999999998874703,0.999999999888796,0.999971709045476,1,0.999999999989339,1,0.998543485232277,1,0.99999999998796,0.999999993415454,0.989324063050576,0.999999929747198,0.999999864166979,0.999999991845121,0.999999982725529,0.999115352311981,0.999999999991112,0.999999999999545,1,0.992076729147465,0.999999995289856,0.999999998789874,0.999999999759883,0.999999999767591,0.99997613526355,0.999999998005431,0.999991970425439,0.999992680112237,0.99999814854953,0.999977295133522,1,0.999999533151079,1,0.999988764134099,0.999997748948336,0.999999981892912,0.999989552512042,0.999999998132953,0.999999999371364,0.999999999993687,0.999136813518164,0.999999999996829,1,1,0.999999991891585,0.9999999999726,0.999999997812306,628.846987804878,427.6559,622.066121428571,614.052096551724,601.044090273038,293.308,522.734,590.564256034483,541.3218,633.094342857143,606.162611111111,503.81425,573.884266666667,29.0481440339428,126.3822,51.0282527628042,17.0836170735125,10.5570737892111,NA,NA,25.5077466555391,NA,63.4968281163745,51.3010929586179,112.96085,211.371841785248,492.2495,364.4648,508.03295,440.8416,420.322975,293.308,522.734,406.577325,541.3218,535.93885,412.36175,447.333825,373.7038,744.374,490.847,737.55345,740.48255,745.504125,293.308,522.734,733.628025,541.3218,681.63985,766.47695,560.294675,732.74845,656.349058928571,594.889995608417,626.10495,562.2525,538.075925,715.718275,418.0438,736.6342,17.687530342946,7.61744771262097,0.906362228323325,0.898016378883445,-0.141840355249321,-0.155186336426031,"BRCA"
"ZNF37A",0.970113216079711,0.42601289127205,0.999999975951531,0.0270024406528089,0.999993596032049,0.999998246173566,0.00302004093281427,0.999998819539158,0.999999994982478,0.999932641197503,0.999051250319203,1,0.999999999937751,0.999999968591646,0.999999995862867,0.987991678439191,0.999999999969902,0.999998811118826,0.999974083001884,0.999990520238697,0.999999999957484,0.0319246113433984,0.999997067017304,0.999999870324995,0.999999999886652,0.999999993833756,0.99999998716849,0.999983745768351,0.999884173010085,0.999999999992533,1,0.999999999984769,1,1,0.999999989786185,0.999999999997479,0.143028509044065,0.999999999965574,0.998968002188176,0.938634594602764,0.970196624657683,0.999999999977875,1,0.960308682837667,0.999999973083857,0.755065388849133,0.999940096947577,0.999870115878882,0.999997563400375,0.99960331527457,0.999999463595286,0.999886481865536,0.99998301678696,0.999999997348759,0.897591482261972,0.999077248835229,0.999999994116038,1,1,1,0.999999999919262,0.999999533561181,1,1,0.999990904397138,0.999999998574597,0.682847405636618,0.999999999933163,0.999916356237496,0.996924536802262,0.998781255574681,0.999999999948868,1,0.998081423500926,0.999999971026782,1,0.9909009495938,0.999995466068321,909.075778048781,576.55025,667.356828571429,715.519506896552,695.776028498293,592.3113,493.0163,706.644301724138,650.91,521.2449,752.277685185185,683.0717,509.969,78.0652139939228,279.24065,78.1664103543691,19.9857699416025,12.7339830706718,NA,NA,32.4653042314137,NA,73.0543963932389,83.9432949186748,114.472,158.20239681071,567.7905,436.929925,399.645075,513.0373,486.840725,592.3113,493.0163,485.91755,650.91,328.3653,550.4688,625.8357,361.0555,938.3966,716.170575,877.07265,875.9603,849.0541,592.3113,493.0163,808.471675,650.91,667.986,801.62055,740.3077,630.6813,669.435889285714,688.512387465691,651.14225,644.152,533.3617,810.137,479.9065,836.4108,18.1172955951775,9.78557014424001,1.02849637804799,0.989264634571017,0.0405367132781044,-0.0155715921906612,"BRCA"
"ZNF510",0.994450971506204,0.922784332395834,0.999999748977358,0.996191984309694,0.999443112394876,0.996255402667485,0.486774673095986,0.999983287393417,0.999999738846462,0.53003787445573,0.999492478597631,1,0.999999931762286,0.999951483380074,0.999998074698219,0.999999999941499,0.999999173687556,0.999999999550973,1,0.999999999999625,0.999999390603068,0.244490944309418,0.999999353248793,1,0.317732673968744,0.995761064140648,0.999999878071568,0.999999999556451,0.999999999727774,0.999999543465434,0.999999999892933,1,1,0.999999640351691,1,0.999999999899253,0.852924207531283,1,0.999999304087145,0.97318283825709,0.999366403397825,0.999999999995998,0.999999617777597,0.999992593437321,0.99999981695193,0.969248878521633,0.999980382138196,0.999999802683466,0.999882753788434,1,0.999997458976662,1,0.99998648500214,1,0.999601201820962,0.983112084240457,1,0.999993385626418,0.997267977159875,0.999822241576719,1,0.999994332863578,0.999984562341172,0.999996522362993,0.99999999893395,0.999812332158405,0.796825422200193,0.99999999675439,0.998818089517487,0.923463621022017,0.985385308913709,0.999999999995161,0.999893383695751,0.996973510994806,0.999926715567473,0.999996068266222,0.987640512613729,0.999999999992693,375.772609756098,269.7409,312.942571428571,351.708433990148,328.45123105802,260.0854,347.3997,314.002426724138,343.4745,284.028485714286,331.375622222222,255.3134,233.809766666667,22.6652973693504,81.2646,28.7487532028408,8.39613607245347,5.2192246898023,NA,NA,11.7426908243346,NA,38.7269406696634,22.4014318415124,27.1006,49.5452746632254,265.9584,229.1086,230.2391,267.8828,239.14965,260.0854,347.3997,221.848925,343.4745,244.60325,267.2518,241.7631,190.09515,447.7177,310.3732,384.60855,428.581,409.1583,260.0854,347.3997,374.780175,343.4745,298.8425,415.95585,268.8637,275.86175,460.352,324.312833943275,458.89855,312.7749,399.7589,556.730025,232.7698,402.5728,10.8274790385685,3.80143673931698,0.704488812785163,0.681577442334477,-0.505351298029547,-0.553050506346378,"BRCA"
"ZNF506",0.999998448505926,0.999999999113271,0.999990657078965,0.999998332086372,0.999999914894017,0.999986510176913,0.986140487892389,0.999999999770151,0.996914002651154,0.967363705624841,0.999992399075508,0.999819311641264,0.99999891624226,0.999961539592229,0.999802740437341,0.751559248496515,0.984891010352574,0.725032821518418,0.796421382164426,0.857592089397695,0.822289189638433,0.996167916598471,0.999999999694904,0.998326291373033,0.999149134994577,1,0.999822577390633,0.857874951448989,0.999999999999537,0.999999823425419,1,0.999999999818867,0.999999981895742,0.999999993856934,0.951507682018614,0.999999985471746,0.993143984383276,1,0.990238240804755,0.998258560838732,0.999946741170501,0.998123647369142,0.973110479891022,0.999948827699837,0.999994106372667,0.999999999982902,0.99999466898887,1,0.999971683313205,0.984061415975279,0.999997219941143,0.727290014029187,0.993533799775391,1,0.988291922439151,0.828270675825953,0.999283825958507,0.807263582255111,0.874867373780218,0.93405185922033,0.930338863707151,0.999998292701249,0.934934101022413,0.99223683596133,0.997957714251528,0.802361156977384,0.999999916571781,0.999999999999539,0.99999869603657,0.999999999503183,1,0.999929944441212,0.953256696424654,1,0.999999988977739,0.999999988609242,0.999999432050674,0.993628394196392,460.826143902439,392.713,476.144657142857,444.618120689655,423.986572354949,570.4794,110.5498,424.962980172414,487.9986,374.790442857143,469.623518518518,226.72545,417.212266666667,24.4893819874195,46.2241,28.3134999119391,11.241463333095,7.61631399043865,NA,NA,14.3043446465101,NA,56.4827748474569,45.5414087612284,100.00725,20.4602917937268,354.7346,369.60095,405.175275,358.20285,299.021675,570.4794,110.5498,323.912425,487.9986,288.7833,351.26925,176.721825,403.241,508.5271,415.82505,542.90995,535.5086,532.79295,570.4794,110.5498,521.307825,487.9986,458.133,595.8066,276.729075,437.1428,572.61475625,428.098543549863,564.2745,421.0178,475.6036,669.069175,316.3197,531.5059,12.8729441992737,5.33823686804286,0.747620523008243,0.746122321671456,-0.419621921690031,-0.422515924993645,"BRCA"
"ZNF324",1,0.94048860495681,0.999999212839591,0.443043502376875,0.999999858668946,0.999999999609685,0.999974736610973,1,0.977278038470099,0.0148430444754948,0.999929016027889,0.999998234103208,0.999999999403407,0.999999987077688,0.999985425899162,0.999954749059548,0.99999898146193,0.999999999852457,0.999999995641914,0.999991538960407,1,0.999992441470213,1,0.984665921500961,0.329305059848857,1,0.999986182382838,0.999991987806101,0.999377790093261,0.999975227175197,0.999999819217134,0.999998597912653,0.999807473815529,1,0.999999999999822,0.999816395739439,0.999999984614059,1,0.999953248274044,0.999974849344293,1,0.999996256803402,0.999997917446944,1,0.999939960782727,0.999999999934398,1,0.986107188939615,0.880341782013036,0.999999999187818,0.999970790905015,0.999982194374925,0.999999999626683,0.999687192739867,0.99999999996585,0.482520256704184,0.930689851128033,0.927273040875182,0.842830280372449,0.55949787178487,0.999923285254011,0.999890902540991,0.57177350531798,0.99999233477052,0.773084949534342,0.55941710519951,0.99999994285301,0.999999999999648,0.999999967723412,0.999999998554497,0.999999999943656,0.999999759005695,0.999999881648982,0.999999999954119,0.999993443867635,1,0.999999997922153,0.930297914266433,195.374273170732,206.50185,247.947078571429,240.053569458128,207.447985324232,278.5952,275.1857,207.546948275862,297.8741,211.333685714286,201.46592962963,380.03205,221.493666666667,9.07371609960438,87.56435,37.4225593515612,11.8630792067823,3.80469827692251,NA,NA,5.67339592320455,NA,10.8607424706607,12.3360821298006,68.34135,22.4687300179852,165.8428,162.719675,179.734675,179.5181,156.88685,278.5952,275.1857,165.076425,297.8741,193.91765,160.13355,345.861375,205.38065,213.4945,250.284025,254.1957,263.1151,242.96835,278.5952,275.1857,241.59345,297.8741,229.33805,244.581,414.202725,243.11155,206.368623214286,215.240875937786,216.455,203.8143,160.300025,247.14605,165.6302,248.4195,5.67106916322471,3.21199716249441,1.04299225621275,0.941601256612229,0.0607284464818947,-0.0868118491637014,"BRCA"
