"gene","T1b-T1a","T1c-T1a","T1c-T1b","T2-T1a","T2-T1b","T2-T1c","T2a-T1a","T2a-T1b","T2a-T1c","T2a-T2","T2b-T1a","T2b-T1b","T2b-T1c","T2b-T2","T2b-T2a","T2c-T1a","T2c-T1b","T2c-T1c","T2c-T2","T2c-T2a","T2c-T2b","T3a-T1a","T3a-T1b","T3a-T1c","T3a-T2","T3a-T2a","T3a-T2b","T3a-T2c","T3b-T1a","T3b-T1b","T3b-T1c","T3b-T2","T3b-T2a","T3b-T2b","T3b-T2c","T3b-T3a","T4-T1a","T4-T1b","T4-T1c","T4-T2","T4-T2a","T4-T2b","T4-T2c","T4-T3a","T4-T3b","mean-T1a","mean-T1b","mean-T1c","mean-T2","mean-T2a","mean-T2b","mean-T2c","mean-T3a","mean-T3b","mean-T4","SEM-T1a","SEM-T1b","SEM-T1c","SEM-T2","SEM-T2a","SEM-T2b","SEM-T2c","SEM-T3a","SEM-T3b","SEM-T4","Q1-T1a","Q1-T1b","Q1-T1c","Q1-T2","Q1-T2a","Q1-T2b","Q1-T2c","Q1-T3a","Q1-T3b","Q1-T4","Q3-T1a","Q3-T1b","Q3-T1c","Q3-T2","Q3-T2a","Q3-T2b","Q3-T2c","Q3-T3a","Q3-T3b","Q3-T4","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF195",0.322443096935573,0.916328746462422,0.62328056427841,0.956260803751911,0.615267469213111,0.999999655570841,0.985510554872441,0.399402666266125,0.505238118406517,0.999262671424504,0.976125541378513,0.454860367436422,0.84429969938365,0.999977345526091,0.999992198487521,0.989987680833276,0.36723074750956,0.37536758785904,0.996830965627206,0.999999875045005,0.999620459199989,0.992236348732951,0.353115448193196,0.445431142062365,0.994706865313625,0.999996574779428,0.99899483423556,0.99999999960466,0.950419018530405,0.599061042329996,0.999998975324209,1,0.996444839060003,0.999859872679301,0.987193448981347,0.98151185458735,0.884424643002098,0.960529985505326,0.999873353172004,0.999651000398519,0.98853468150585,0.99508306022373,0.981847151540335,0.977568686486439,0.999607393002238,493.8667,161.8533,353.929465853659,363.023745454545,386.75391509434,378.655081132075,392.032226666667,395.163781818182,362.348929411765,312.81195,NA,NA,7.04438053420299,20.5281527834,16.9298454013999,13.200524362933,12.5615229660423,21.0090904717956,17.8811998743705,17.64845,493.8667,161.8533,292.84665,310.9023,280.2956,311.3421,343.0267,328.6252,313.6852,303.987725,493.8667,161.8533,404.8276,410.6243,483.4738,444.9093,441.0397,424.7258,394.9822,321.636175,311.584713461538,377.937813078471,301.11035,366.0629,250.318625,352.05255,307.2579,433.9623,12.9030917618845,4.69462070130282,1.21295364230095,1.2157101208909,0.278524413359866,0.28179926742562,"PRAD"
"ZNF263",0.999999633031938,0.748614071884524,0.940406787350918,0.878294222998143,0.982059790385148,0.999884323076342,0.948124645654242,0.996447882995554,0.126280998304916,0.998505791931245,0.842314809688296,0.973896677470619,0.992291509273298,0.999999999998414,0.891367963481352,0.715757791634543,0.924438532005223,0.999996083462896,0.99921227950141,0.248765526739136,0.983940730080496,0.879207750244357,0.983547034171402,0.971088090677552,0.999999999704495,0.992831443343089,0.99999925776394,0.954472598159301,0.956662798011443,0.997248051989804,0.726720730867864,0.99936999467922,1,0.985307765213996,0.698420931210676,0.998862965809969,0.886643037309513,0.977222177696985,0.999999999985877,0.999999250352417,0.999384474855328,0.999999476128595,1,0.99999456887316,0.999444671795483,1172.64,1087.1598,815.637287195122,852.237045454545,905.537679245283,847.1844,802.316706666667,861.701939393939,908.095964705882,801.85345,NA,NA,15.766557800829,49.8150691031254,29.7422651688858,28.9342604343164,24.8086333297168,36.7807075391429,43.2525786599447,42.55355,1172.64,1087.1598,683.861575,734.66165,749.4571,683.5767,679.9724,713.0722,798.2651,780.576675,1172.64,1087.1598,923.4258,900.56055,1066.8016,975.1953,916,918.2662,976.7824,823.130225,700.941219230769,832.701676056338,663.6972,794.535,630.724075,743.940275,703.7676,933.2941,17.2913925514542,8.84717306069825,1.18797647108008,1.19713477772695,0.248506262576188,0.259585585207338,"PRAD"
"ZNF200",0.999988912194156,0.999997114431139,0.991533396765657,0.989255525778468,0.82331836613647,0.409291870403105,0.999904650879648,0.972311746780254,0.965190331797291,0.873078722702827,0.999934331239668,0.97591311689676,0.986159487553927,0.837601710471827,0.999999999814202,0.999881443692419,0.970099675165362,0.961329055001322,0.901861335644068,0.999999999997524,0.999999988965794,0.99965573391221,0.955299772585617,0.868606714088325,0.974841451147927,0.999987162513292,0.99991434608942,0.99999790923502,0.999920903128607,0.975867882614914,0.999011000419943,0.94689693407737,1,0.999999999996241,1,0.999998885507074,0.99995120755243,0.98923054838764,0.999997591317417,0.99990322714335,0.999999999985376,0.999999999771861,0.999999999998751,1,0.999999999986985,154.6667,122.3166,174.318220121951,210.638627272727,184.379379245283,183.093926415094,185.210933333333,189.538627272727,184.291529411765,187.97085,NA,NA,3.78034582821261,18.614169099035,7.9927154146249,6.36300161758415,8.02093459876382,10.3919321383993,8.82363281973376,42.33775,154.6667,122.3166,146.426175,183.96675,144.235,154.8417,143.8579,139.7045,172.5808,166.801975,154.6667,122.3166,193.950175,211.63135,226.2146,208.8496,215.9653,215.1601,199.6624,209.139725,166.445811538462,183.091236820926,163.50865,176.2144,138.61105,179.36985,148.9325,208.5745,4.76664311086876,2.26779150403296,1.1000050714921,1.07770689807542,0.137510175204146,0.107964864370918,"PRAD"
"ZNF582",0.984755777277832,0.999998716056952,0.972158985585873,0.999935042760792,0.995108697302603,0.999397512619908,0.999807903812077,0.995976037746809,0.750170019342844,0.999999997476785,0.999721738764446,0.996838757787421,0.628857560701716,0.999999903616746,0.999999999340396,0.999981961554648,0.987783950413744,0.999048006182048,0.999999784901486,0.999101716256845,0.996532002857873,0.999988407619216,0.986288617330012,0.999928982496995,0.999999008444537,0.998713716176708,0.995812484234248,0.999999999986517,0.999998149309349,0.979539399757249,0.999999999987721,0.999962066745522,0.995787336321605,0.99074474096634,0.999998123788341,0.999999851110206,0.99727353537729,0.999995765254635,0.991912460845976,0.99976683471564,0.999856978309016,0.999919732161361,0.998385672521555,0.997971272865822,0.9956607113281,99.7333,54.9807,89.6657530487805,83.2251272727273,81.5766509433962,80.7446566037736,85.9818911111111,86.6182636363636,88.9655941176471,69.0707,NA,NA,2.78521504020504,6.57518691213193,3.02643917033875,2.85778137457339,3.27359566614946,3.81552053738029,6.15682093600661,19.6925,99.7333,54.9807,71.311225,69.4747,63.8269,64.0587,73.6314,74.2909,74.5519,59.22445,99.7333,54.9807,101.739675,95.70105,91.133,96.1761,98.5294,97.9163,96.0809,78.91695,74.0681557692308,85.5970426559356,72.7837,82.4842,60.365425,85.019725,69.4651,97.9163,2.92112159353411,1.24638789397961,1.15565240914901,1.13327846756898,0.208707537108685,0.180502401686947,"PRAD"
"ZNF285",0.966592773721356,0.993350929186095,0.999028714097409,0.998589514430331,0.997185872454617,0.999981651554399,0.998289909140018,0.996098475143354,0.993111419638197,1,0.987400289834653,0.999695554756389,0.999822470258448,0.999232926964435,0.952892078803933,0.994338436513911,0.998952246166656,0.999999999997532,0.999995884945354,0.999509237543453,0.999935174135479,0.992458924158737,0.999352279683869,0.999999999210216,0.999967159413361,0.998071625646464,0.999999538176216,0.999999995330808,0.99072467747674,0.99964716002519,0.999999785562227,0.999912905997317,0.99830714202943,0.999999999992293,0.999999637205124,0.999999999446407,0.999988530036784,0.993409082143565,0.999845543040313,0.999997761067407,0.999996917134448,0.999259766427046,0.999896008479579,0.99978215736228,0.999631288218981,163.2,88.9575,121.458757317073,127.725845454545,128.065798113208,117.302003773585,122.031328888889,120.227754545455,118.376423529412,139.8639,NA,NA,3.23761685173048,16.5326404664523,6.75380887520766,4.78597080333142,6.02436233990879,8.46806672522828,7.91640957413186,58.0173,163.2,88.9575,93.31345,100.5039,98.6409,89.6694,90.7452,87.2533,100.6881,110.85525,163.2,88.9575,142.793525,152.2997,138.7995,133.3465,140.6121,137.5092,144.7916,168.87255,81.9690423076923,120.06252917505,77.25245,115.4213,63.385725,94.19605,89.6694,139.7059,4.81204848067088,1.83444140360592,1.46473016879182,1.49407947579656,0.550634917206916,0.57925689263045,"PRAD"
"ZNF275",0.999045404524729,0.987495620274593,0.501904117386618,0.992734731113632,0.586946222320841,0.999999999915099,0.994232783570605,0.583263494714799,0.999737983468684,0.999999991463243,0.97204536830278,0.415015070500397,0.996618993290648,0.999945428527575,0.962921721868201,0.971814710804058,0.415183945169039,0.997482798177771,0.99994333217699,0.969132090497169,1,0.993435634041995,0.575440677134376,0.999993678022639,0.999999999876525,0.999999999977331,0.99238100197798,0.99328565848247,0.99975324826847,0.802368157749958,0.845905195687195,0.994150774718669,0.984650852662501,0.619181684127072,0.639381591214219,0.984367795895084,0.999750917154728,0.883248352319398,0.99999602621165,0.999999409576,0.999999933270219,0.999884261203708,0.999879283469917,0.999999826263409,0.999999997840782,676.2667,398.4556,953.079420121951,943.557645454545,926.608818867924,989.578379245283,990.484397777778,932.460821212121,847.405117647059,880.1942,NA,NA,18.2495707699022,52.3908889998362,46.6319155964374,39.2140283016828,32.7534837540313,41.9219213367475,69.7494704859161,74.2983,676.2667,398.4556,813.8423,846.44265,709.8522,820.394,818.1446,797.5897,613.0665,843.04505,676.2667,398.4556,1102.14555,1077.1641,1071.7415,1140.4741,1173.3894,1095.474,1100.1464,917.34335,1119.63438846154,967.479532394366,867.32745,956.7142,705.3537,962.889625,809.9768,1123.3553,113.661980560466,11.299550159077,0.864103087905111,1.10305998040302,-0.21072465803371,0.141511241588639,"PRAD"
"ZNF37A",0.961987904934076,0.999999956338856,0.876664328858199,0.999998807626883,0.93880211439218,0.999996316807508,0.999991743909512,0.945704292726547,0.964496254058561,0.999999973543939,0.999996737391912,0.934026446565703,0.993904523812754,0.999999999991443,0.99999997112534,0.999999999924317,0.684921788541342,0.516716949541633,0.919568032151121,0.166474464779567,0.266246758794127,0.999999568237177,0.911945311042761,0.999996705736957,0.999999999640156,0.99992956804874,0.999998481973565,0.684570542684328,0.998349076944537,0.995931402209781,0.358061492713935,0.966665308702614,0.912230930914228,0.846370547562486,0.0294280014010099,0.759893523229217,0.99999931571297,0.749404737544017,0.996627524043228,0.992950564853701,0.978383836558926,0.985127554818207,0.999996830374512,0.993537741789764,0.821595547018812,532.8,255.1351,495.6214,476.535809090909,464.926988679245,471.800443396226,551.211964444444,484.07883030303,402.094382352941,594.73875,NA,NA,12.324442707216,37.6930070160584,24.1013777417989,20.6116008863531,22.0517677867375,26.6695910391392,33.1492778811767,65.23365,532.8,255.1351,401.624175,397.1448,338.5628,358.209,457.4028,386.2448,258.9759,562.121925,532.8,255.1351,599.7872,570.81065,571.4932,569.3723,631.2605,559.0249,468.3458,627.355575,476.038215384615,502.553475251509,479.1218,505.7682,388.282425,546.700975,397.8076,609.7804,16.9848639121554,6.98253011515495,1.05569985562077,1.05561508576734,0.0781997226160682,0.0780838734409022,"PRAD"
"ZNF510",0.998988005116861,0.999998562310634,0.916716918181343,0.999999928575003,0.956114389663354,0.999999712139986,0.999999492590083,0.931214099466621,0.999999956625308,0.999999998486329,0.999993474654616,0.895073577184505,0.999990023897458,0.999976622347023,0.999931879859308,0.998494408654934,0.686202113715287,0.16503759450961,0.828248917702228,0.298042419867193,0.652425559059475,0.999999999789497,0.972556510138319,0.977958843887741,0.999997711817303,0.998124750348521,0.950903652210301,0.0909875679290323,0.999999817372974,0.94602442430913,0.999999898422011,0.999999999999821,0.999999999972568,0.999975688924634,0.703657612586853,0.999960345875872,0.999999499376396,0.97263397675689,1,0.999999998901648,0.999999999990307,1,0.999869813723957,0.999998850258513,0.999999999822386,265.6,158.7645,300.524779878049,291.489836363636,296.82189245283,307.395830188679,345.910915555556,278.707060606061,293.953458823529,303.42535,NA,NA,7.8838192469789,21.6541247637416,16.1791886868347,11.9877174295403,13.3611438404223,13.7262604969273,28.6096692731209,26.37655,265.6,158.7645,239.976925,257.5627,214.198,243.4004,283.0672,226.2743,234.8826,290.237075,265.6,158.7645,343.6763,341.22255,351.2488,363.353,409.0344,316.9043,356.9072,316.613625,337.329730769231,310.519709859155,330.88445,306.8482,275.49935,389.702875,254.0926,363.353,9.93476786290642,4.32607255559716,0.920522804648913,0.92735757150268,-0.119474632142854,-0.108802372900961,"PRAD"
"ZNF506",1,0.993818336523609,0.99368040705552,0.97782867587494,0.977466994116021,0.998934912921451,0.966887568758444,0.966381806411574,0.781955971131103,0.999999999984657,0.990225104019922,0.990027275599088,0.99999006651422,0.999962448165886,0.989348646268499,0.955910388714542,0.955288279594252,0.621654295524101,0.999999855012374,0.99999973170207,0.955211286914782,0.990561549503452,0.990370230132638,0.999997888985799,0.999976310273096,0.996085675343417,1,0.980346125487706,0.979535131969454,0.979189742671621,0.998319058375039,0.999999999996688,0.999999966222581,0.999972143694852,0.999991305431531,0.999985244851071,0.999999999999314,0.999999999999023,0.96472860165719,0.905732562833661,0.844654191088485,0.947460211608991,0.804699800802798,0.950644841724941,0.906215294619376,372.8,372.5097,469.747465853659,493.695763636364,496.928,476.692767924528,502.827568888889,476.766693939394,490.505029411765,381.4057,NA,NA,7.27964363940827,17.3677671636557,18.9331267523661,12.2674044918573,15.9198937117597,15.1317037505801,17.9755103534188,50.4983,372.8,372.5097,403.291225,456.8957,405.9113,404.9902,421.3387,414.3452,449.9374,356.15655,372.8,372.5097,521.226025,534.09425,527.1676,518.8264,557.3419,532.2064,560.0662,406.65485,446.441955769231,486.6108861167,443.8917,476.2316,398.40155,493.256025,412.5279,554.0821,11.0272432318645,4.69989420635819,1.0899757064236,1.07285538341897,0.12429598031158,0.101455619724071,"PRAD"
"ZNF324",0.999846638649458,0.999958036167695,0.933653395672385,0.999989905245684,0.961004901364013,0.999999991431842,0.999967200785092,0.939282925411168,0.999999999998847,0.999999999246651,0.999774889680771,0.89685282003766,0.999067922479576,0.999936112512362,0.999627739630542,0.999967291456451,0.939703302391596,0.999999999999761,0.999999999257687,1,0.999748548485433,0.999999987807335,0.988700883396168,0.826387218151648,0.999357534999393,0.938261171172005,0.632844411171438,0.948817475332717,0.999633931747159,0.887995476802447,0.999633339667509,0.999854173846618,0.99969913687845,0.999999994685794,0.999754784913374,0.835031350813753,0.999993929690354,0.982778889284328,1,1,1,0.999999995517232,1,0.999994341220184,0.99999993760533,172.8,135.9073,195.236902439024,192.589381818182,194.735456603774,200.377124528302,194.764411111111,181.776093939394,202.623070588235,194.6824,NA,NA,3.13800691694235,16.4514192323327,5.89399407001909,6.87495268733313,5.83776145242302,7.60599076056561,11.1581483468979,26.6492,172.8,135.9073,165.151625,163.84905,161.3115,170.6271,170.388,147.8103,167.9487,181.3578,172.8,135.9073,222.10285,203.09665,224.2399,233.4878,220.9158,201.2261,238.444,208.007,191.863507692308,196.36760221328,192.7537,193.6855,166.4074,215.264975,167.6906,221.9048,5.44226384586556,1.9667663214729,1.02347551431299,1.00483414844955,0.0334765876551425,0.00695739896168579,"PRAD"
