"gene","2-1","3-1","3-2","4-1","4-2","4-3"
"ZNF195",0.0283747392557968,0.41593987618592,0.362582589680541,0.000136184341319456,0.14502267915652,0.0021015263019214
"ZNF263",0.841593405777807,0.442631392994039,0.800038183738924,0.229822039804293,0.466537906480881,0.936834922640488
"ZNF200",0.00458050986506342,0.742624786090585,0.010882617565113,0.000255599508881987,0.624218457613612,0.000363320352826157
"ZNF582",0.496422686205028,0.654433589487936,0.0039870560892038,0.78033966680545,0.015574162285524,0.996077869279073
"ZNF285",0.417448863050614,0.595401799372448,0.00137765754150221,0.213293240576084,6.6658820400689e-05,0.784967882513861
"ZNF275",2.27966113203193e-05,0.0661595571821971,0.0204096243650184,1.45747016566666e-07,0.3734419574968,0.000154378180411641
"ZNF37A",0.315733275602297,0.598657302196758,0.930550889391119,0.367683035219954,0.999994810751416,0.950454353662052
"ZNF510",0.00103749663394115,0.430034461106065,0.0161735818907836,0.027425843676297,0.71170181305075,0.31771733132388
"ZNF506",0.13713473423951,0.173350545057277,2.64306203812126e-07,0.225128256146933,0.99735513285702,5.85484266235614e-06
"ZNF324",0.368422306486879,0.863998591156387,0.689321852597108,0.398914833720297,0.999993547043821,0.724222126720729
"ZNF671",0.962573990155883,0.729774204514863,0.179580787671395,0.074637656448462,0.00107299901828672,0.263302509202122
"ZNF416",0.999459295649348,0.884745414584772,0.840806131038137,0.859388968249464,0.642224018942022,0.2223746897339
"ZNF586",0.999867543423096,0.964547853179814,0.948492281256984,0.995489147788355,0.978959926550947,0.810516881924095
"ZNF446",0.0826642885553646,0.966990036408145,0.0569219596604084,0.772172636170964,0.315228999700667,0.913246611837379
"ZNF8",0.469669878702383,0.780879959528145,0.91496943661999,0.298853527726633,0.963074349790776,0.705527382528573
"ZNF264",0.045116735508398,0.840382704507871,3.82119253062863e-05,0.510486719778117,0.460165518316685,0.0273557912379004
"ZNF213",0.995269867948524,0.980986121034984,0.841355283139894,0.999696745211753,0.974905224117946,0.984912181850321
"ZNF343",0.0147941194578283,0.424035210656116,0.212430280425568,0.000809782453881747,0.577402174505738,0.0132554214590397
"ZNF302",0.101556577626851,0.872924188889913,0.182894168849014,0.0630428115826821,0.979017581860965,0.111214012705512
"ZNF268",0.880687962118255,0.999999996772906,0.762243470782627,0.997449109405401,0.907358720893784,0.994833706242343
"ZNF184",0.99101979314065,0.939687302187901,0.981335200832911,0.844781027103887,0.473318465600521,0.29240794920339
"ZNF500",9.27468176230573e-05,0.433662188516799,0.00106508803961336,0.00675701826854203,0.619694619877428,0.0985616001450603
"ZNF419",0.288825034747062,0.999642178275523,0.0648615921610629,0.139680375740058,0.93189664034184,0.0218827967652792
"ZNF175",0.0383271825118093,0.949019823737345,0.0256192858002914,0.24888281094765,0.793593606820542,0.319978301689912
"ZNF14",0.565740261260815,0.888937152978191,0.0381248031583943,0.548771981244103,0.99949938097236,0.0489561164234107
"ZNF85",0.256770857215546,0.997809880850164,0.128174208892906,0.00148152517352562,0.0566457835690154,5.42304606494515e-05
"ZKSCAN1",0.162297505133294,0.99999528634796,0.0344537078115673,0.294700086612818,0.991164741816829,0.118040897413807
"ZNF862",0.97315253680392,0.0740417450905834,0.0378255107763982,0.229587618384904,0.209312913823684,0.939978986750137
"ZNF684",0.913936189408603,0.947684973647939,0.99913177144398,0.993351511268094,0.965848445908219,0.987036789909062
"ZNF430",0.209938310774989,0.852529584118953,0.437745501813374,0.454899163139899,0.957445877707082,0.809278507411653
"ZFP30",0.0479432284960281,0.463802665144329,0.448861222217351,6.2450480020293e-05,0.0465408543996462,0.000605128801903776
"ZNF549",0.0523026617461401,0.989333708610141,0.0164746252080844,0.0319300996324231,0.979482940729081,0.0100666143524138
"ZNF211",0.917575589617281,0.999989800175922,0.848791727783967,0.806445782884739,0.198011490290544,0.634970806589094
"ZNF205",0.991595849294952,0.58564703704142,0.161519139382217,0.77425923738674,0.372724324654786,0.986033990728387
"ZNF45",0.934746243710363,0.769966205609071,0.956395040525989,0.999782438391235,0.923047012773113,0.697452938908411
"ZNF133",0.72200371330103,0.976842253816469,0.836756058286693,0.942750128472378,0.94083605167832,0.9964806250692
"ZNF436",0.983647866285247,0.987527341473968,0.792043643948121,0.888593643041474,0.501798861590349,0.955535439229572
"ZNF484",0.0153206085430925,0.10561904503031,0.79544375430992,0.0453032499500605,0.988638179996801,0.950557295804028
"ZNF780B",1.52464689743281e-05,0.884299694475156,9.54391296326129e-07,0.0027790058184769,0.515046157887774,0.00204955369015047
"ZNF557",0.996130743419331,0.921486595718393,0.663109312635265,0.860358739698491,0.875484035429777,0.27815823739965
"ZNF337",0.730072465566077,0.457217726181879,0.930784703711446,0.620004343496921,0.991087391704933,0.993135849872438
"ZNF317",0.787227148269392,0.923528719604765,0.97914073105524,0.386751570295262,0.797780337008261,0.589582547959981
"ZNF426",0.119784048381681,0.64267881077489,0.523579388696197,0.192313030869473,0.998401510715693,0.690874366478587
"ZNF331",0.0128521362987559,0.86009566572891,0.0157106486882044,0.598124147706598,0.12810195478836,0.925515167877694
"ZNF227",0.949407980217935,0.943111399425066,0.999975472384811,0.248864217026579,0.29608695402636,0.334183161752722
"ZNF141",6.21533697979793e-05,0.0865666638075531,0.0312656013959698,1.73266656326998e-05,0.919928195076933,0.00896964265336642
"ZNF304",0.00223952932026439,0.735561199748158,1.65946757446633e-08,0.00357854379277645,0.999978793646993,1.69698704532983e-07
"ZNF132",0.967346035671974,0.999979736492081,0.943869714604798,0.977085549991569,0.6834170736079,0.940870438658259
"ZNF20",0.356647630555709,0.861855566144344,0.675951140614379,0.665898180853024,0.943407945898154,0.961796360965683
