"gene","p-adj-2-1","p-adj-3-1","p-adj-3-2","mean-1","mean-2","mean-3","SEM-1","SEM-2","SEM-3","Q1-1","Q1-2","Q1-3","Q3-1","Q3-2","Q3-3","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF586",0.425357907428725,0.0175431996137733,0.320489046857313,197.388433035714,207.206511428571,218.473226956522,5.56868170197945,5.89584751527265,5.06949484300382,158.994375,164.8347,176.2186,222.544975,235.1471,248.7198,222.487594230769,208.582176257545,219.40485,198.2627,181.6991,251.01595,168.5966,239.4458,7.84472153760186,2.53893100969508,0.937500254693748,0.903638638799461,-0.0931090124497678,-0.146182134456753,"PRAD"
"ZNF446",0.00430585061582511,1.871974993084e-05,0.398538829105677,472.508716964286,419.819515238095,398.612688695652,13.7054654063007,9.5774431772034,10.6951889695529,382.706875,350.4433,324.821,563.341,487.9607,462.60425,359.145719230769,481.614602816901,347.1885,443.5761,307.78795,414.523025,371.2755,543.3128,10.0397494196938,7.82498497621691,1.34100053830083,1.27762325077011,0.42330981636527,0.353462472922457,"PRAD"
"ZNF8",0.00340348385530642,0.113650282445523,0.383447005619786,65.1926089285714,75.7099571428571,71.4816991304348,2.85422309760667,2.04622208171621,1.69069696050704,51.3136,59.4325,57.99505,72.20115,84.2723,85.64185,62.6847865384615,65.528714084507,64.1132,62.5624,50.130075,73.823425,50.8985,77.1447,2.51576827692661,1.02976597677687,1.04536870432351,0.975811533350387,0.0640118744419019,-0.0353255599641924,"PRAD"
"ZNF264",1.01597616264382e-06,0.000271766239987925,0.370676568540397,752.531710714286,883.484915238095,849.839797391304,16.123078955889,21.8892238334865,14.6540781787608,640.0406,751.0354,720.5041,834.754175,1001.6181,957.0418,773.315288461538,774.838392957746,783.88765,772.4888,649.075275,912.55475,663.9065,894.2696,22.7023462196149,9.24289013528917,1.00196957763403,0.985458566670874,0.00283870527681558,-0.0211328800519498,"PRAD"
"ZNF213",0.912332096178208,0.0284205965896928,0.00982198836621651,649.419,658.131681904762,595.76409826087,16.6239734179445,15.9059687968034,12.1312173410476,545.72595,552.2319,500.8885,707.355,741.6364,681.53875,557.171709615385,635.458572434608,542.55785,613.8794,445.8226,652.798225,524.8741,718.3571,18.6545777293139,7.87194647270769,1.14050760558763,1.13145427717984,0.18967606743652,0.178178285516248,"PRAD"
"ZNF343",3.73660224983752e-09,0.416586239005244,2.18996012646411e-06,246.725649107143,292.0578,255.680769565217,4.76883365767464,6.00535562269686,4.45659142570607,212.9546,255.133,231.2907,271.64965,326.4095,282.46185,241.294719230769,264.281147484909,233.87055,258.4081,210.51505,274.027775,228.107,296.4371,7.23318014356227,2.52767017047055,1.09526287325068,1.10491936671804,0.131277171580085,0.143941090448773,"PRAD"
"ZNF302",0.00109347005576088,0.262447895584868,1.30958082189547e-06,639.013407142857,716.442059047619,606.061972173913,16.4899483314458,16.4248776049278,12.2016840769928,521.290425,605.9946,514.68295,724.408675,821.1871,685.666,566.614211538462,647.27100362173,533.32675,634.3745,487.5361,645.74615,527.5946,734.6362,17.737308888317,7.83289500894702,1.14234869235678,1.18946686998168,0.192003088484633,0.250315089183167,"PRAD"
"ZNF268",0.475077469898213,6.42891646096544e-06,0.00118046684326545,347.874521428571,365.913294285714,420.88474,9.77852842696356,12.5969757906887,10.1637397061938,288.595275,284.2597,346.7215,415.5895,432.3866,500.4337,433.898361538462,343.568557746479,449.0458,337.2598,358.72035,498.375825,266.2454,419.5584,14.4164585572596,5.60117819536119,0.791818057409337,0.751058800683583,-0.336759126486454,-0.413002233574213,"PRAD"
"ZNF184",0.0503668643705735,0.121922871178502,0.902607540332256,208.902709821429,225.717180952381,222.652879130435,4.91483528817929,5.77401044434768,4.34331528899273,176.1177,183.259,188.4677,225.8245,257.7256,250.87125,201.933701923077,208.103810865191,201.016,206.5693,171.49515,226.118425,167.9956,239.3594,5.35374613944217,2.52869454985989,1.03055512221761,1.02762615911171,0.0434216736526687,0.039315520867512,"PRAD"
"ZNF500",1.46488765562225e-09,0.201694408634953,8.21729805733362e-06,293.253267857143,362.827046666667,311.411807826087,7.27860789579852,9.27914961482722,6.1629724422411,239.88855,293.2145,263.5326,335.895475,421.698,355.64075,295.801978846154,314.001702615694,303.4533,307.047,260.873225,342.67235,259.4197,361.7415,8.30532495613513,3.86177684717762,1.06152671405557,1.01184267892292,0.0861406781208686,0.0169849975607242,"PRAD"
"ZNF419",0.000174600572895978,0.930645641053255,3.49577160013714e-05,217.856614285714,261.408898095238,214.078646086957,7.00373953837228,8.68414579893367,6.81778511499748,170.125725,196.1853,161.3122,247.6668,302.5032,247.7129,165.857865384615,240.326073038229,156.2173,227.0838,133.98675,187.411675,180.6002,285.5163,5.76169743154339,3.68509960394473,1.4489880988214,1.45364053789177,0.535045745452565,0.539670557898717,"PRAD"
"ZNF175",0.00881406987126843,1.23448772215706e-06,0.0938203129271369,139.177780357143,154.875700952381,165.825157391304,3.93546748667251,3.46431897534388,3.63109152095462,109.201175,131.694,136.5923,157.661325,175.5298,193.052,169.714976923077,142.853022736419,167.56045,141.1876,146.957475,194.145075,115.1936,168.8274,5.44414902838821,1.98974227674728,0.84172313679285,0.842606951700118,-0.248582321049067,-0.247068276373957,"PRAD"
"ZNF14",4.21287150544902e-05,0.000230245690208464,0.870922620686669,228.513021428571,258.703139047619,255.293577391304,4.65110368558781,5.7042027627672,4.02500018351987,194.32045,220.2334,224.25645,256.4661,284.1629,282.4378,260.887625,245.375185110664,246.68935,242.1299,214.33905,300.90075,207.1307,274.7391,8.90814571257042,2.60447695113183,0.940539763473503,0.981517442889205,-0.0884391566111271,-0.0269141883307637,"PRAD"
"ZNF85",4.36004572899051e-05,0.432469609003305,1.07759101086735e-07,115.357694642857,138.741755238095,108.933984347826,3.11692449500479,5.1241998213737,2.70935517864711,96.9903,106.4372,87.33045,131.746675,159.7078,126.93685,92.4627307692308,118.348601207243,88.5063,112.2145,77.357425,101.03905,91.7526,136.1685,3.26012118123412,1.85723673904579,1.27996004684978,1.26787019681085,0.356098778107089,0.342407051468629,"PRAD"
"ZKSCAN1",0.0241280429616163,0.000565703554131769,0.539605029049337,1494.25117142857,1850.1210352381,1992.58514869565,79.9427299784401,96.3232884538882,105.306654512071,938.994825,1150.9537,1150.3891,1892.06885,2375.4334,2662.7999,1306.55306153846,1473.80279195171,1153.4545,1256.2104,724.9472,1876.891025,769.9243,1910.4116,90.348928653985,44.5890997622978,1.12800837205671,1.08908535187127,0.173777775431631,0.123117022829989,"PRAD"
"ZNF862",0.867109429488436,0.0204852854794078,0.00493504514629084,758.871801785714,785.007275238095,623.844685217391,43.8405622443077,36.0579986103358,26.1300829127578,472.452225,536.4807,458.18565,889.69435,971.5125,770.1227,478.298075,729.614200804829,445.30495,642.7916,359.020275,544.907875,503.8432,875.1493,23.7527387101482,17.2115167782816,1.52543829662043,1.44348631202056,0.609223824649386,0.529557427162613,"PRAD"
"ZNF684",0.841889208754405,0.78181830487031,0.441991883891887,36.5052232142857,35.7428028571429,37.3965139130435,0.956221753421511,1.04102842245972,0.871598609442168,30.45105,29.1003,31.43035,42.1626,41.0517,42.6057,43.4251519230769,35.9374583501006,41.66845,34.8582,35.75465,48.5293,29.2867,41.6269,1.94836854550707,0.493682286979522,0.827572426545796,0.836560995189406,-0.273042517292556,-0.257457361259516,"PRAD"
