"gene","2-ETV1-1-ERG","3-ETV4-1-ERG","3-ETV4-2-ETV1","4-FLI1-1-ERG","4-FLI1-2-ETV1","4-FLI1-3-ETV4","5-SPOP-1-ERG","5-SPOP-2-ETV1","5-SPOP-3-ETV4","5-SPOP-4-FLI1","6-FOXA1-1-ERG","6-FOXA1-2-ETV1","6-FOXA1-3-ETV4","6-FOXA1-4-FLI1","6-FOXA1-5-SPOP","7-IDH1-1-ERG","7-IDH1-2-ETV1","7-IDH1-3-ETV4","7-IDH1-4-FLI1","7-IDH1-5-SPOP","7-IDH1-6-FOXA1","8-other-1-ERG","8-other-2-ETV1","8-other-3-ETV4","8-other-4-FLI1","8-other-5-SPOP","8-other-6-FOXA1","8-other-7-IDH1"
"ZNF195",0.999943598893549,0.79115153180162,0.963472599005949,0.947944255319362,0.923884068852786,0.640591161575823,0.112950815181594,0.283421142895497,0.0633263582160102,0.99999994937713,0.688709292803828,0.670555532133367,0.263073968351619,1,0.999999005814665,0.63037945778533,0.591062280826201,0.292450319981832,0.998759089170234,0.986359014755672,0.997279037595454,0.000506797735212672,0.0495043338768978,0.0116487307295571,1,0.999895500720031,1,0.994275504359577
"ZNF263",0.144537523423473,0.0450446811544163,0.977877869845037,0.835664525636389,0.251469581984736,0.0955800643405819,0.972808975358254,0.0737919172887087,0.0208747189706601,0.968188833925556,0.989162287806445,0.360290972507026,0.123224664427996,0.996171847395851,0.999989988766073,0.396901944566943,0.0679596271247438,0.0229513463632118,0.997715384619515,0.64640645036231,0.847097514649279,0.987728015754819,0.0507749089416026,0.0168624492351789,0.931991285227624,0.999975630188173,0.999636683664348,0.542449213438716
"ZNF200",0.983735171774823,0.999967801957564,0.987648950713405,0.997520260846958,0.974594676418722,0.999870341533154,6.89431268141583e-05,0.111784857859608,0.0417013616239886,0.28503377814696,0.0944115216676757,0.465301884941612,0.202428482913067,0.366818761893947,0.999997903286481,0.501804253632688,0.761360797798093,0.508855612517322,0.513625574461295,0.999822987544591,0.999993935994286,0.00016980338027861,0.498666678868216,0.202180011995818,0.563216938547183,0.89284767958711,0.975821686793424,0.985666953313131
"ZNF582",0.980627644138073,0.999999997372037,0.999552115775488,0.930503170052636,0.803499353435742,0.952120180584138,0.0488690029867408,0.828514375850846,0.682355444154493,0.339823754110162,0.80703773439399,0.991129993480443,0.946104675260291,0.571713250316877,0.999999975466583,0.999965565830786,1,0.999992236585693,0.962620236127671,0.998986244559944,0.999799046022571,0.415975379315598,0.999915389326324,0.986162274620881,0.65619412559308,0.852382660894597,0.997928051025737,0.999999966027371
"ZNF285",0.999984285925616,0.193752611354568,0.273298793507581,0.574185605833439,0.72054235170937,0.074508248683248,0.00260257129668395,0.0387175507013212,0.999999999843695,0.0355297101741098,0.336649066598048,0.374693719443974,0.999999919944009,0.0871619265950425,0.999999982523914,0.900761107608639,0.948792941700138,0.302785984271858,0.999996826970789,0.217710062820314,0.308298491764769,0.999425110256753,0.99835954156101,0.365142107416795,0.488555700262949,0.0239445907759548,0.500095616153048,0.852875497946609
"ZNF275",0.989327882353781,0.87827876650018,0.691831542255613,0.999990480292223,0.99999999994919,0.983078956588071,0.00342583073899028,0.404412888816566,0.0141284794219586,0.964208013187168,0.609868407420562,0.941266343750737,0.274409700392459,0.993631030054061,0.99999838013401,0.987202086611055,0.99928319750726,0.854646045926669,0.999735561695285,0.999983619289355,0.999999860841833,2.66327866316196e-07,0.0875460465216779,0.00150148696980523,0.911180536375286,0.999832309773224,0.99968436232178,0.99975213928656
"ZNF37A",0.992322110158073,0.998512774557991,0.967075306442148,0.99535806166407,0.970763109032503,0.999961670236238,0.263222698337066,0.963892415498528,0.525362279652106,0.782575843539776,0.654422666119177,0.949771450081957,0.610765042493571,0.73148217667126,0.999832358106458,0.961915652013442,0.995134161816221,0.913278350406776,0.892330582840234,0.999983058704612,0.999999999993903,0.999418266704131,0.999869394704847,0.989219987581903,0.987265373916994,0.598121444147173,0.804485225793832,0.98177710803859
"ZNF510",0.888459194616364,0.999977805098845,0.99936235714963,0.999754304743189,0.999999999855135,0.999995892755192,0.00126614544863946,0.535463280648831,0.411497595662321,0.977483353001509,0.995776609313518,0.999999999949493,0.999950715008193,1,0.878877114621891,0.949791903617329,0.998352675156897,0.986865922519977,0.999375265734147,0.999999863620824,0.998752161019457,0.00760281583749989,0.973440579544038,0.864657331234572,0.999698879505419,0.883479071691494,0.997450700912213,0.999992399299465
"ZNF506",0.839495378791966,0.999993987674077,0.947877672558306,0.958369875260304,0.999734586844785,0.954220509428377,2.05898964544815e-10,0.00177864739194622,0.000382997781578021,0.843397419179972,0.00502654198626129,0.163250518253536,0.0326741533276409,0.924438090933724,0.999999999981474,0.118493064198911,0.397923618877693,0.152724036854781,0.875595070863865,0.999757815174546,0.999824604184279,1.28288638812091e-06,0.406158528937313,0.077732992339774,0.999925762515321,0.101167176762657,0.79725761809927,0.848169427777462
"ZNF324",0.912273171212746,0.116925677817608,0.785908260174973,0.993715986116135,0.922149222126687,0.450535645560776,0.999999874385916,0.983935254578498,0.275273809757933,0.992373131313419,0.999974368339967,0.999952469742791,0.800149554660588,0.9894249208934,0.999997911134557,0.331989531126113,0.168932999761808,0.0275770848855221,0.935372873167707,0.341461132416227,0.396377970581592,0.948215252457744,0.999712212570861,0.407356496709604,0.960712335616674,0.998378158332231,0.999999992565857,0.206421134253443
