"gene","M1a-M0","M1c-M0","M1c-M1a","mean-M0","mean-M1a","mean-M1c","SEM-M0","SEM-M1a","SEM-M1c","Q1-M0","Q1-M1a","Q1-M1c","Q3-M0","Q3-M1a","Q3-M1c","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF195",0.971309977796744,0.996309319817848,0.973515948968976,377.027239904988,353.3997,385.4474,5.00506777260172,NA,NA,307.2579,353.3997,385.4474,434.7286,353.3997,385.4474,311.584713461538,377.937813078471,301.11035,366.0629,250.318625,352.05255,307.2579,433.9623,12.9030917618845,4.69462070130282,1.21295364230095,1.2157101208909,0.278524413359866,0.28179926742562,"PRAD"
"ZNF263",0.883877738960948,0.192555344852646,0.262022905107293,833.497586698337,740.9355,1173.2203,9.51905041981319,NA,NA,706.0499,740.9355,1173.2203,933.1805,740.9355,1173.2203,700.941219230769,832.701676056338,663.6972,794.535,630.724075,743.940275,703.7676,933.2941,17.2913925514542,8.84717306069825,1.18797647108008,1.19713477772695,0.248506262576188,0.259585585207338,"PRAD"
"ZNF200",0.998906687354356,0.860875082601347,0.915313981126171,181.991903562945,179.7315,208.4562,2.47026024950955,NA,NA,148.0571,179.7315,208.4562,208.193,179.7315,208.4562,166.445811538462,183.091236820926,163.50865,176.2144,138.61105,179.36985,148.9325,208.5745,4.76664311086876,2.26779150403296,1.1000050714921,1.07770689807542,0.137510175204146,0.107964864370918,"PRAD"
"ZNF582",0.533504383439322,0.877485559604648,0.910550596733284,86.5277399049881,56.3014,72.763,1.37566104093056,NA,NA,70.6612,56.3014,72.763,99.1185,56.3014,72.763,74.0681557692308,85.5970426559356,72.7837,82.4842,60.365425,85.019725,69.4651,97.9163,2.92112159353411,1.24638789397961,1.15565240914901,1.13327846756898,0.208707537108685,0.180502401686947,"PRAD"
"ZNF285",0.328803687451844,0.263999260498081,0.0882512098246712,119.91272304038,61.4985,183.8741,1.99513768398787,NA,NA,90.7452,61.4985,183.8741,140.6121,61.4985,183.8741,81.9690423076923,120.06252917505,77.25245,115.4213,63.385725,94.19605,89.6694,139.7059,4.81204848067088,1.83444140360592,1.46473016879182,1.49407947579656,0.550634917206916,0.57925689263045,"PRAD"
"ZNF275",0.998252656666805,0.650848817518227,0.827811974007993,967.387320190024,981.8103,1193.707,12.4658760214755,NA,NA,814.5809,981.8103,1193.707,1125.1683,981.8103,1193.707,1119.63438846154,967.479532394366,867.32745,956.7142,705.3537,962.889625,809.9768,1123.3553,113.661980560466,11.299550159077,0.864103087905111,1.10305998040302,-0.21072465803371,0.141511241588639,"PRAD"
"ZNF37A",0.967881574947832,0.957307758017437,0.926778385271314,499.505980047506,460.8055,544.2478,7.74122014037501,NA,NA,391.6435,460.8055,544.2478,607.8878,460.8055,544.2478,476.038215384615,502.553475251509,479.1218,505.7682,388.282425,546.700975,397.8076,609.7804,16.9848639121554,6.98253011515495,1.05569985562077,1.05561508576734,0.0781997226160682,0.0780838734409022,"PRAD"
"ZNF510",0.77684055451181,0.659799499140986,0.989837619603143,311.507199524941,244.2616,225.1721,4.83308320894101,NA,NA,254.0926,244.2616,225.1721,364.2381,244.2616,225.1721,337.329730769231,310.519709859155,330.88445,306.8482,275.49935,389.702875,254.0926,363.353,9.93476786290642,4.32607255559716,0.920522804648913,0.92735757150268,-0.119474632142854,-0.108802372900961,"PRAD"
"ZNF506",0.922975401223402,0.722751576131695,0.959511249760731,488.471582185273,528.3673,568.8299,5.09222983478268,NA,NA,414.3452,528.3673,568.8299,554.4129,528.3673,568.8299,446.441955769231,486.6108861167,443.8917,476.2316,398.40155,493.256025,412.5279,554.0821,11.0272432318645,4.69989420635819,1.0899757064236,1.07285538341897,0.12429598031158,0.101455619724071,"PRAD"
"ZNF324",0.254229180093162,0.321777578802589,0.0832761204239879,196.188700475059,128.6271,257.6205,2.07798586431938,NA,NA,165.9955,128.6271,257.6205,222.4066,128.6271,257.6205,191.863507692308,196.36760221328,192.7537,193.6855,166.4074,215.264975,167.6906,221.9048,5.44226384586556,1.9667663214729,1.02347551431299,1.00483414844955,0.0334765876551425,0.00695739896168579,"PRAD"
"ZNF671",0.997185371435485,0.0149280364218609,0.106311276773966,147.226981235154,142.0528,349.5575,3.52265794996828,NA,NA,96.2813,142.0528,349.5575,196.7271,142.0528,349.5575,196.081851923077,147.816096780684,192.23235,148.5116,150.418,233.608025,96.4028,195.507,9.50175672535872,3.28086863942044,0.753848942831652,0.772562994730075,-0.407652631420863,-0.372275519825926,"PRAD"
"ZNF416",0.626799318845646,0.996785972263229,0.820991965898304,122.191612826603,95.2793,119.9607,1.42119332411484,NA,NA,103.8456,95.2793,119.9607,138.6106,95.2793,119.9607,129.085307692308,122.079900402414,129.61255,120.5273,114.3006,143.766775,103.8534,137.0952,3.68054944609083,1.30525696201831,0.945730405612143,0.929904550138085,-0.0804991141958829,-0.104845456203844,"PRAD"
