"gene","M1a-M0","M1c-M0","M1c-M1a","mean-M0","mean-M1a","mean-M1c","SEM-M0","SEM-M1a","SEM-M1c","Q1-M0","Q1-M1a","Q1-M1c","Q3-M0","Q3-M1a","Q3-M1c","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF586",0.891332113876068,0.865520956873366,0.771796046510849,208.501137292162,183.6293,236.3717,2.6496014173786,NA,NA,171.2946,183.6293,236.3717,238.5226,183.6293,236.3717,222.487594230769,208.582176257545,219.40485,198.2627,181.6991,251.01595,168.5966,239.4458,7.84472153760186,2.53893100969508,0.937500254693748,0.903638638799461,-0.0931090124497678,-0.146182134456753,"PRAD"
"ZNF446",0.312419531632745,0.532475855564893,0.174004864420473,484.599263895487,221.5418,677.8958,8.78377998480157,NA,NA,369.4418,221.5418,677.8958,543.2396,221.5418,677.8958,359.145719230769,481.614602816901,347.1885,443.5761,307.78795,414.523025,371.2755,543.3128,10.0397494196938,7.82498497621691,1.34100053830083,1.27762325077011,0.42330981636527,0.353462472922457,"PRAD"
"ZNF8",0.980339475456409,0.407331546385208,0.720596025545423,65.0525204275534,61.191,39.0118,0.990445907871346,NA,NA,50.4015,61.191,39.0118,77.8229,61.191,39.0118,62.6847865384615,65.528714084507,64.1132,62.5624,50.130075,73.823425,50.8985,77.1447,2.51576827692661,1.02976597677687,1.04536870432351,0.975811533350387,0.0640118744419019,-0.0353255599641924,"PRAD"
"ZNF264",0.989009684596978,0.099117261613957,0.264275149500211,777.348242755344,747.5097,1211.8977,10.2590694594183,NA,NA,668.3417,747.5097,1211.8977,909.8712,747.5097,1211.8977,773.315288461538,774.838392957746,783.88765,772.4888,649.075275,912.55475,663.9065,894.2696,22.7023462196149,9.24289013528917,1.00196957763403,0.985458566670874,0.00283870527681558,-0.0211328800519498,"PRAD"
"ZNF213",0.497078797144151,0.152020488023149,0.0880166649972123,638.390262707838,433.521,975.9095,8.83786197161559,NA,NA,522.9908,433.521,975.9095,720.393,433.521,975.9095,557.171709615385,635.458572434608,542.55785,613.8794,445.8226,652.798225,524.8741,718.3571,18.6545777293139,7.87194647270769,1.14050760558763,1.13145427717984,0.18967606743652,0.178178285516248,"PRAD"
"ZNF343",0.91337347586947,1.53953610709801e-05,0.0012174057354305,262.275618052257,239.9307,516.7158,2.68235562801165,NA,NA,226.9828,239.9307,516.7158,293.1235,239.9307,516.7158,241.294719230769,264.281147484909,233.87055,258.4081,210.51505,274.027775,228.107,296.4371,7.23318014356227,2.52767017047055,1.09526287325068,1.10491936671804,0.131277171580085,0.143941090448773,"PRAD"
"ZNF302",0.923676253439771,0.653959560247862,0.64635826896676,649.256920665083,582.0702,804.8181,8.61652956219636,NA,NA,523.7384,582.0702,804.8181,739.3024,582.0702,804.8181,566.614211538462,647.27100362173,533.32675,634.3745,487.5361,645.74615,527.5946,734.6362,17.737308888317,7.83289500894702,1.14234869235678,1.18946686998168,0.192003088484633,0.250315089183167,"PRAD"
"ZNF268",0.985215735633829,0.69955725318248,0.892569082886806,346.062801900238,324.8159,241.8879,6.29230249765196,NA,NA,263.138,324.8159,241.8879,424.4383,324.8159,241.8879,433.898361538462,343.568557746479,449.0458,337.2598,358.72035,498.375825,266.2454,419.5584,14.4164585572596,5.60117819536119,0.791818057409337,0.751058800683583,-0.336759126486454,-0.413002233574213,"PRAD"
"ZNF184",0.782311804221599,0.589784016015093,0.473774026994502,207.614744893112,245.5608,151.9174,2.76603124116972,NA,NA,167.776,245.5608,151.9174,239.5083,245.5608,151.9174,201.933701923077,208.103810865191,201.016,206.5693,171.49515,226.118425,167.9956,239.3594,5.35374613944217,2.52869454985989,1.03055512221761,1.02762615911171,0.0434216736526687,0.039315520867512,"PRAD"
"ZNF500",0.816823102326006,0.845566277437997,0.690922446565195,313.292449881235,259.4197,362.3402,4.32625442297283,NA,NA,257.3007,259.4197,362.3402,364.0574,259.4197,362.3402,295.801978846154,314.001702615694,303.4533,307.047,260.873225,342.67235,259.4197,361.7415,8.30532495613513,3.86177684717762,1.06152671405557,1.01184267892292,0.0861406781208686,0.0169849975607242,"PRAD"
"ZNF419",0.782389163038403,5.75554011394974e-06,0.000340842598069324,238.371810451306,184.9285,624.8771,3.89647065774343,NA,NA,180.1221,184.9285,624.8771,284.8396,184.9285,624.8771,165.857865384615,240.326073038229,156.2173,227.0838,133.98675,187.411675,180.6002,285.5163,5.76169743154339,3.68509960394473,1.4489880988214,1.45364053789177,0.535045745452565,0.539670557898717,"PRAD"
"ZNF175",0.624278664954551,0.993200868449626,0.83266373198873,142.498267695962,184.0624,147.4926,2.1854975636906,NA,NA,114.5597,184.0624,147.4926,170.076,184.0624,147.4926,169.714976923077,142.853022736419,167.56045,141.1876,146.957475,194.145075,115.1936,168.8274,5.44414902838821,1.98974227674728,0.84172313679285,0.842606951700118,-0.248582321049067,-0.247068276373957,"PRAD"
"ZNF14",0.896373341635064,0.166857138525421,0.247491550704862,244.03450760095,217.8432,350.5408,2.86123303007906,NA,NA,204.5272,217.8432,350.5408,273.3958,217.8432,350.5408,260.887625,245.375185110664,246.68935,242.1299,214.33905,300.90075,207.1307,274.7391,8.90814571257042,2.60447695113183,0.940539763473503,0.981517442889205,-0.0884391566111271,-0.0269141883307637,"PRAD"
"ZNF85",0.929851352554004,0.263640454273716,0.673227987474464,119.18051543943,134.6903,185.8407,2.07825178134778,NA,NA,92.151,134.6903,185.8407,137.6771,134.6903,185.8407,92.4627307692308,118.348601207243,88.5063,112.2145,77.357425,101.03905,91.7526,136.1685,3.26012118123412,1.85723673904579,1.27996004684978,1.26787019681085,0.356098778107089,0.342407051468629,"PRAD"
"ZKSCAN1",0.975481899012543,0.913497398710565,0.989760541458573,1485.73502185273,1268.9476,1071.7797,49.7297884422387,NA,NA,760.479,1268.9476,1071.7797,1910.4116,1268.9476,1071.7797,1306.55306153846,1473.80279195171,1153.4545,1256.2104,724.9472,1876.891025,769.9243,1910.4116,90.348928653985,44.5890997622978,1.12800837205671,1.08908535187127,0.173777775431631,0.123117022829989,"PRAD"
"ZNF862",0.99033844588473,1.2230944812508e-08,5.14751122910884e-05,724.587429216152,676.0502,2921.8289,17.8046836776883,NA,NA,489.4192,676.0502,2921.8289,888.282,676.0502,2921.8289,478.298075,729.614200804829,445.30495,642.7916,359.020275,544.907875,503.8432,875.1493,23.7527387101482,17.2115167782816,1.52543829662043,1.44348631202056,0.609223824649386,0.529557427162613,"PRAD"
"ZNF684",0.949544753059112,0.226104048026148,0.60837342909303,36.0636090261283,39.411,54.0806,0.53166186701028,NA,NA,29.417,39.411,54.0806,42.4846,39.411,54.0806,43.4251519230769,35.9374583501006,41.66845,34.8582,35.75465,48.5293,29.2867,41.6269,1.94836854550707,0.493682286979522,0.827572426545796,0.836560995189406,-0.273042517292556,-0.257457361259516,"PRAD"
"ZNF430",0.897980587645803,0.803384801424135,0.728172497578271,113.13144631829,137.2889,78.6627,2.66093917886895,NA,NA,81.6591,137.2889,78.6627,144.1798,137.2889,78.6627,165.029225,112.976104225352,166.83325,113.8329,104.8553,206.554475,80.9031,143.3428,8.99195268873869,2.38821550034339,0.684582407905946,0.682315425731981,-0.546703875798376,-0.551489261886979,"PRAD"
"ZFP30",0.996814952081989,7.21360748912048e-11,7.56451272709846e-06,199.560434441805,204.4175,634.7099,3.10823998378052,NA,NA,155.6384,204.4175,634.7099,234.2864,204.4175,634.7099,209.850923076923,201.136053722334,197.6943,195.0391,175.9246,245.3945,158.5661,234.2864,7.35097099102421,2.90081284785732,0.958471141194864,0.98656916259093,-0.0611931007423351,-0.0195079014860672,"PRAD"
"ZNF549",0.861499075782433,0.443230280484671,0.435820662078699,226.992645130641,191.8579,309.2429,3.28755461845947,NA,NA,185.0497,191.8579,309.2429,262.2067,191.8579,309.2429,200.225042307692,226.782762374245,195.67915,223.3288,172.71175,224.78875,185.6502,261.38,6.00466458607741,3.00582802005538,1.13263935300231,1.1413009510722,0.179688561545029,0.190679267848828,"PRAD"
"ZNF211",0.925996135773805,0.000388194514444051,0.037262064702182,226.005309501188,252.5379,500.0541,3.45782830523827,NA,NA,179.1162,252.5379,500.0541,258.2361,252.5379,500.0541,248.205678846154,227.005559959759,226.74585,218.4021,195.56395,286.170975,180.1465,258.21,9.87169004003575,3.25082186132461,0.914586487364232,0.963202193116214,-0.12880849080549,-0.0540894179119615,"PRAD"
"ZNF205",0.67808844764835,0.452406619271213,0.318219500855825,407.862251306413,230.7319,661.2783,10.2597282804675,NA,NA,281.2337,230.7319,661.2783,465.9483,230.7319,661.2783,280.079328846154,403.227746076459,263.8147,367.7533,218.71015,323.476425,281.5317,465.0148,11.6417629215504,9.01296423701797,1.43969120369447,1.39398335270931,0.525759404256288,0.479213332291605,"PRAD"
"ZNF45",0.978919876356777,0.794108253659258,0.821641305029107,259.081978859857,247.7263,296.4602,2.81182148064279,NA,NA,223.2581,247.7263,296.4602,298.8823,247.7263,296.4602,282.927321153846,259.707069416499,281.4471,266.0473,244.190925,320.103925,223.7199,299.3767,7.43968989240198,2.58584599340914,0.917928563269714,0.94528350087814,-0.123546212954962,-0.08118102060946,"PRAD"
"ZNF133",0.999261615500779,0.0499867731013599,0.209769711820778,316.64742280285,312.2564,598.8201,5.83972458640482,NA,NA,235.4827,312.2564,598.8201,374.781,312.2564,598.8201,298.736823076923,317.983020120724,294.3983,301.6529,246.765575,343.889725,237.7363,375.5783,10.0667421503215,5.31243566644507,1.06442525847858,1.02464212599054,0.0900746505812162,0.0351201114750017,"PRAD"
"ZNF436",0.0723725068153792,0.234793129970862,0.913795533864502,620.245253444181,1029.4023,923.1318,9.05442930250039,NA,NA,511.6788,1029.4023,923.1318,713.7464,1029.4023,923.1318,712.513532692308,622.753671629779,682.92725,603.8216,593.1951,774.61415,512.5984,714.8091,24.1329320603322,8.29022535343384,0.874023640332329,0.88416679814724,-0.194255793045962,-0.177609535044237,"PRAD"
"ZNF484",0.712242006229171,0.986983361436383,0.783849066196883,63.7826349168646,83.1529,59.9803,1.20063604878672,NA,NA,48.8722,83.1529,59.9803,77.917,83.1529,59.9803,82.2709076923077,64.2392983903421,82.0975,63.2569,61.6569,96.93175,49.0631,79.1367,3.66053503085725,1.08774985486322,0.780826420812037,0.770509455220926,-0.356926224709912,-0.376115434167232,"PRAD"
"ZNF780B",0.896838267454197,0.572772247622912,0.559787545908402,355.015462707838,298.8307,482.3009,6.1524346418889,NA,NA,263.3907,298.8307,482.3009,427.6375,298.8307,482.3009,368.631501923077,354.930935211268,373.60565,347.3679,290.442925,423.610175,270.8457,424.3573,12.3984065305977,5.54668610666459,0.962833977453538,0.929771538519292,-0.0546410409033771,-0.105051831071285,"PRAD"
"ZNF557",0.86940893342726,0.998568758819289,0.944878792689144,168.558752494062,149.8484,166.6667,1.80704303507075,NA,NA,144.2543,149.8484,166.6667,191.7098,149.8484,166.6667,175.483801923077,168.349870221328,168.9967,165.977,138.412525,206.1333,146.0691,190.5695,6.79552138417162,1.63504893714489,0.959347064381041,0.98213160375321,-0.0598752593316183,-0.0260117390227118,"PRAD"
"ZNF337",0.984584673382692,0.00216644565722757,0.0321840756023934,487.886182660333,456.5006,1122.6008,9.10117389702565,NA,NA,364.6845,456.5006,1122.6008,578.2643,456.5006,1122.6008,443.348942307692,493.678112273642,412.2697,464.5334,344.93675,531.66975,368.3969,578.9332,18.7553091865506,8.61903084819277,1.11352044668017,1.12677065522885,0.155128049417353,0.172193896845456,"PRAD"
"ZNF317",0.812108319332528,0.358870965729853,0.340000697441884,638.507209976247,570.3768,790.0688,5.39449334997092,NA,NA,572.3039,570.3768,790.0688,708.9779,570.3768,790.0688,655.261692307692,640.066391750503,657.95265,644.5725,591.432725,704.87505,572.3039,706.6745,12.0492541309181,5.00943087191084,0.976810332824929,0.979663962140741,-0.0338496334682315,-0.0296411245269367,"PRAD"
"ZNF426",0.999364804686872,0.851572907836536,0.913011949789112,121.655244893112,123.8631,86.529,3.16589301507634,NA,NA,74.2964,123.8631,86.529,156.8114,123.8631,86.529,156.398934615385,121.643534808853,164.73235,118.6424,116.849125,200.9061,76.3524,156.2007,7.96657864955743,2.83595901208492,0.777777259851534,0.720213121466427,-0.362571040083115,-0.473504210851951,"PRAD"
"ZNF331",0.965977626296747,0.654334419857663,0.896924935853986,800.734023752969,716.3274,504.9164,16.396424621179,NA,NA,595.2039,716.3274,504.9164,926.8521,716.3274,504.9164,1155.66333076923,795.625129778672,910.6991,725.1167,709.81265,1384.593375,591.7215,925.2329,129.296067081276,14.859568873047,0.688457536546642,0.7962198491247,-0.538560421940088,-0.32876125777507,"PRAD"
"ZNF227",0.56392514225237,0.788559414906401,0.461013731361381,405.658614251782,311.8233,466.0226,4.47333297631797,NA,NA,349.0578,311.8233,466.0226,457.8457,311.8233,466.0226,340.819507692308,408.472324346076,340.7035,404.7502,289.81465,385.864875,351.1296,462.8884,9.09006686817759,4.15884894124391,1.19850042361673,1.18798368669532,0.261230418915831,0.248515025292426,"PRAD"
"ZNF141",0.962652262385544,0.682891026777741,0.718240592790614,88.1248555819477,78.3889,118.9774,1.80353495602745,NA,NA,64.3705,78.3889,118.9774,105.491,78.3889,118.9774,73.4037980769231,88.0646018108652,71.9588,80.5277,60.20995,85.25465,64.7126,105.6441,2.69782461087809,1.60455485955198,1.19972813557383,1.11908064058878,0.262707520921052,0.162314000197886,"PRAD"
"ZNF304",0.924291945962101,0.999250661181329,0.953571921168793,352.446750118765,301.4292,357.4238,6.57051833062534,NA,NA,266.3202,301.4292,357.4238,423.8981,301.4292,357.4238,363.242957692308,352.25903501006,365.3756,337.7442,331.986675,405.4743,268.2091,419.0193,9.11116685972572,5.8970858051199,0.969761498606804,0.924375355114025,-0.04429811777887,-0.113449298440477,"PRAD"
"ZNF132",0.281835452175516,0.990080175400015,0.588690390633156,146.102751306413,78.3889,140.118,2.16644797093715,NA,NA,115.3795,78.3889,140.118,174.2902,78.3889,140.118,167.617126923077,146.93816861167,172.63005,146.7752,136.478025,200.6657,115.83,175.8794,5.08031677946135,2.04233309095508,0.87662980095765,0.850229725357781,-0.189960370892439,-0.234075396158929,"PRAD"
"ZNF20",0.908589800437291,0.272205837816767,0.348498252781077,121.436159857482,110.6193,161.4356,1.26240452224575,NA,NA,104.1483,110.6193,161.4356,135.6213,110.6193,161.4356,126.920976923077,121.634026760563,124.7837,120.5899,107.99295,143.37455,104.2727,136.5232,3.8927724071952,1.18219334760776,0.95834455193551,0.966391443754272,-0.0613836560446721,-0.0493204135148564,"PRAD"
"ZNF670",0.860636622369738,0.831401171514593,0.999101034259109,67.6870885985748,55.8467,54.5526,1.10419745150273,NA,NA,53.0786,55.8467,54.5526,79.8044,55.8467,54.5526,57.3542557692308,67.6605730382294,57.2986,65.5995,42.58255,69.179275,52.7956,79.2592,2.63696428919111,0.997767384662678,1.1796957720185,1.14487090435019,0.238414855528083,0.195184929192166,"PRAD"
"ZFP37",0.987138239214578,0.402335202666219,0.700854198831623,63.4243983372922,68.861,109.1445,1.72705013521392,NA,NA,37.7706,68.861,109.1445,85.6237,68.861,109.1445,79.6916923076923,64.3234118712274,77.58855,58.6705,56.95415,99.8944,37.7303,86.077,4.16808239432671,1.68153840064061,0.80715329300415,0.756174719079039,-0.309085401489772,-0.403208477867136,"PRAD"
"ZNF189",0.968722259571989,0.999985268587073,0.984866083893791,651.868013776722,608.4885,650.9341,8.7949244441019,NA,NA,543.5183,608.4885,650.9341,741.6437,608.4885,650.9341,620.976553846154,654.135491750503,597.5886,634.0527,550.43465,674.664275,545.8808,737.3862,15.0180366066401,9.00124812720057,1.05339805134183,1.06101873429312,0.0750506957967615,0.0854501299879924,"PRAD"
"ZNF434",0.399020800769145,0.112157601716102,0.0520266734983733,323.527654631829,236.8991,457.7188,3.2574961288967,NA,NA,279.3651,236.8991,457.7188,354.4133,236.8991,457.7188,299.919494230769,324.287770422535,303.36105,318.731,274.01315,324.345275,279.7428,354.9748,5.96351200298947,2.96320016362057,1.08124939078824,1.05066553534147,0.112699319887362,0.0713034806231348,"PRAD"
"ZNF287",0.393934694225027,0.920572448763059,0.455461050156851,157.787587885986,113.0359,171.0914,1.67110690857035,NA,NA,132.429,113.0359,171.0914,180.7539,113.0359,171.0914,183.580269230769,157.774815492958,179.96055,158.8331,151.62615,203.8463,134.4008,179.7116,6.20744990095347,1.56906945620946,0.85943231347279,0.882599547511941,-0.218544073406716,-0.180169087209138,"PRAD"
"ZIM3",0.981148862937942,0.0097718512322319,0.0705252013460913,0.0292503562945368,0,0.4916,0.00766342286133463,NA,NA,0,0,0.4916,0,0,0.4916,0.00781730769230769,0.0289804828973843,0,0,0,0,0,0,0.00781730769230769,0.00683464737597064,3.70722044443785,NA,1.89033790545687,NA,"PRAD"
"ZFP14",0.657564800099504,0,3.06299617069961e-06,212.031120902613,268.9476,725.6637,3.17326129966672,NA,NA,168.8382,268.9476,725.6637,251.458,268.9476,725.6637,240.83435,212.159571629779,236.11025,209.8895,205.94095,276.224,169.6539,248.419,7.81220972146264,3.00445901103528,0.88093567894189,0.888947006747907,-0.182891409520552,-0.169830677385488,"PRAD"
"ZNF473",0.765846516745863,0.911295311958789,0.977715908210607,263.372536579572,149.4153,196.1652,7.96819260227297,NA,NA,184.0748,149.4153,196.1652,278.0634,149.4153,196.1652,211.96815,266.390064788732,195.86195,216.031,167.357975,227.27025,181.0669,276.9283,10.4028876893869,8.18216577429699,1.25674571764075,1.10297584599765,0.329692773060351,0.141401197782464,"PRAD"
"ZNF614",0.856020485866716,0.993388446919491,0.952091013682528,804.144285510689,562.1481,754.179,22.1736392923462,NA,NA,498.3911,562.1481,754.179,989.4202,562.1481,754.179,561.626740384615,797.819381287726,520.1921,695.3986,374.900375,654.90735,494.6195,989.4202,32.6724693558398,20.1613945051682,1.42055091739642,1.33681115111129,0.506450543571662,0.418795672911695,"PRAD"
"POGK",0.510505469697755,0.372610921087,0.984780707305952,909.425674346793,1156.7778,1209.4395,10.8808602173619,NA,NA,769.1684,1156.7778,1209.4395,1026.834,1156.7778,1209.4395,973.810832692308,912.590798792757,938.99985,901.236,885.0806,1025.488225,770.8543,1029.3841,24.6742245418375,10.3798008729699,0.937133546019102,0.959782900923786,-0.093673441398941,-0.0592199840339227,"PRAD"
"ZNF514",0.679655216534756,4.15862522196164e-09,0.000501701528533904,247.84174608076,341.2733,938.5447,5.42791997731274,NA,NA,173.1539,341.2733,938.5447,307.0761,341.2733,938.5447,203.334088461538,251.272468812877,192.1248,232.3324,155.22495,227.451775,173.4796,302.6981,8.73965065955417,5.34888634611036,1.23576165075934,1.20927855227435,0.3054005082689,0.274146601656688,"PRAD"
"ZNF300",0.787315380873755,0.734237064701401,0.997754532556803,123.078614251781,77.5227,71.2881,3.36478621654713,NA,NA,77.1004,77.5227,71.2881,150.547,77.5227,71.2881,98.3374384615385,123.01115331992,97.0783,110.2167,69.6812,116.23145,77.1004,148.6349,4.8650621224885,3.14416422162156,1.25090865945254,1.13533817547279,0.322976448683702,0.183122087303827,"PRAD"
"RBAK",0.890104796457033,0.591846988986971,0.928763116506371,444.916327315914,507.579,578.0924,6.63581479739649,NA,NA,364.8285,507.579,578.0924,515.6905,507.579,578.0924,411.480925,445.841079678068,396.92495,430.9194,349.439825,472.444175,363.3713,520.2888,12.1783817345518,5.98022820756819,1.08350363914942,1.08564452801468,0.115703999000576,0.118551799624491,"PRAD"
"ZNF92",0.21576457101194,0.836077207151932,0.713924432406802,210.901034204276,348.2027,257.6205,3.98875255820264,NA,NA,156.2801,348.2027,257.6205,257.7886,348.2027,257.6205,189.136196153846,210.91802917505,172.11275,202.8652,143.30755,224.754875,157.0071,257.234,10.2439057796705,3.59432276260621,1.11516480432696,1.17867618755728,0.157256934195391,0.237167427588111,"PRAD"
"ZNF157",0.994243164149896,0.989113457469988,0.98378537306094,1.16635700712589,1.2993,0.9833,0.0632394846920336,NA,NA,0,1.2993,0.9833,1.6713,1.2993,0.9833,3.82915576923077,1.16377243460765,3.508,0.8425,2.402475,4.83015,0.2645,1.6517,0.307121946837673,0.0569965422111397,0.303924025227481,0.240165336374002,-1.71821737031828,-2.05790015637551,"PRAD"
"ZNF182",0.995430406085594,0.856162523060673,0.898635532166949,151.130052494062,155.3833,126.352,2.27157835351643,NA,NA,117.4381,155.3833,126.352,176.7619,155.3833,126.352,144.428373076923,151.785228169014,142.6666,144.9465,121.76115,161.785475,118.4973,176.1811,4.05882616017429,2.14402676091681,1.05093774121635,1.01598061494421,0.0716772048862927,0.0228728755444734,"PRAD"
"ZNF673",0.930193861604865,0.811213725892061,0.982324436237443,223.449499524941,246.427,262.5369,3.08672559747184,NA,NA,180.0895,246.427,262.5369,251.7943,246.427,262.5369,242.570773076923,224.153657142857,225.8038,218.3794,201.4865,270.369375,180.2472,252.9528,9.52534222498833,2.91195922209238,0.924075288624217,0.967120128182077,-0.113917695518919,-0.0482329936355074,"PRAD"
"ZNF41",0.830881467766468,0.725867384320198,0.608401625321532,222.667703325416,274.5777,154.3756,4.35661927591511,NA,NA,173.2909,274.5777,154.3756,268.6925,274.5777,154.3756,254.225755769231,221.9832,261.2042,221.7853,214.60545,295.85205,171.3096,266.3694,8.65590527186982,3.90922198198374,0.873173527710944,0.849087801804106,-0.195659702555759,-0.236014348320145,"PRAD"
"ZNF7",0.973711662798661,0.961262007170247,0.936450128198604,465.14827672209,428.8566,509.3461,8.03623446774764,NA,NA,361.4093,428.8566,509.3461,524.0617,428.8566,509.3461,367.020867307692,466.585424949698,366.82965,437.4481,315.866975,408.126575,363.8927,525.884,9.56882529669778,7.37153528040507,1.27127764797781,1.19251020194251,0.346279150418452,0.254001608561108,"PRAD"
"ZNF214",0.504387935943277,0.870677462634952,0.486699785278394,55.3398019002375,28.5838,67.355,1.16652401409729,NA,NA,39.5901,28.5838,67.355,72.9473,28.5838,67.355,75.9923576923077,55.4670022132797,73.2209,55.8282,60.398975,90.065425,39.9408,72.7988,3.24752773092352,1.05007693040709,0.729902373049998,0.76246263020531,-0.454224583409115,-0.391261464916152,"PRAD"
"ZNF215",0.999823939833586,0.608578015703789,0.786616787067524,25.4873541567696,25.1191,5.8997,1.00310616700913,NA,NA,8.9028,25.1191,5.8997,35.473,25.1191,5.8997,35.0524961538462,25.3948052313883,34.55175,20.9953,22.20975,44.1397,8.7865,34.9658,2.21404772723712,0.962244156701853,0.724479224530258,0.607647948367304,-0.464983775839345,-0.718692380178329,"PRAD"
