"gene","p-adj-C10-GBM-C1-LUAD-enriched","p-adj-C12-small-various-C1-LUAD-enriched","p-adj-C12-small-various-C10-GBM","p-adj-C2-Squamous-like-C1-LUAD-enriched","p-adj-C2-Squamous-like-C10-GBM","p-adj-C2-Squamous-like-C12-small-various","p-adj-C4-BRCA/Basal-C1-LUAD-enriched","p-adj-C4-BRCA/Basal-C10-GBM","p-adj-C4-BRCA/Basal-C12-small-various","p-adj-C4-BRCA/Basal-C2-Squamous-like","p-adj-C6-UCEC-C1-LUAD-enriched","p-adj-C6-UCEC-C10-GBM","p-adj-C6-UCEC-C12-small-various","p-adj-C6-UCEC-C2-Squamous-like","p-adj-C6-UCEC-C4-BRCA/Basal","p-adj-C8-BLCA-C1-LUAD-enriched","p-adj-C8-BLCA-C10-GBM","p-adj-C8-BLCA-C12-small-various","p-adj-C8-BLCA-C2-Squamous-like","p-adj-C8-BLCA-C4-BRCA/Basal","p-adj-C8-BLCA-C6-UCEC","mean-C1-LUAD-enriched","mean-C10-GBM","mean-C12-small-various","mean-C2-Squamous-like","mean-C4-BRCA/Basal","mean-C6-UCEC","mean-C8-BLCA","SEM-C1-LUAD-enriched","SEM-C10-GBM","SEM-C12-small-various","SEM-C2-Squamous-like","SEM-C4-BRCA/Basal","SEM-C6-UCEC","SEM-C8-BLCA","Q1-C1-LUAD-enriched","Q1-C10-GBM","Q1-C12-small-various","Q1-C2-Squamous-like","Q1-C4-BRCA/Basal","Q1-C6-UCEC","Q1-C8-BLCA","Q3-C1-LUAD-enriched","Q3-C10-GBM","Q3-C12-small-various","Q3-C2-Squamous-like","Q3-C4-BRCA/Basal","Q3-C6-UCEC","Q3-C8-BLCA","count-C1-LUAD-enriched","count-C10-GBM","count-C12-small-various","count-C2-Squamous-like","count-C4-BRCA/Basal","count-C6-UCEC","count-C8-BLCA"
"ZNF195",0.994292672957558,0.999999979971658,0.997061660111021,0.995091254472928,0.999795297046028,0.99969785776118,0.999971568452855,0.999956171481651,0.999973245896797,1,0.0591312417728335,0.688604789477722,0.191709325650763,0.18142564557527,0.498873801264344,0.988642081536084,0.951877087029212,0.997482102759134,0.963888038721631,0.99106266384492,0.130642259493929,369.920694573643,480.897,360.67455,414.414266666667,413.9785,855.0853,243.7418,10.3249065113582,NA,100.77335,79.623564690292,NA,NA,NA,258.480975,480.897,310.287875,289.385975,413.9785,855.0853,243.7418,452.868275,480.897,411.061225,454.49625,413.9785,855.0853,243.7418,258,1,2,6,1,1,1
"ZNF263",0.99757143423796,0.999262140752465,0.999994760427313,0.954967240913156,0.999999064667868,0.999999906866675,0.999826227363243,0.994609917120757,0.99775988411141,0.991691715100133,0.274273557993392,0.419716211911515,0.35218945410334,0.176752707416294,0.833856995865331,0.857821744933291,0.998741701356195,0.986297515963257,0.983499180932,0.906167599160712,0.162334380299733,659.786682945736,556.8439,600.70185,585.812733333333,724.7312,1065.4642,427.567,11.3086488752614,NA,95.68015,37.1663429423779,NA,NA,NA,540.33855,556.8439,552.861775,545.051375,724.7312,1065.4642,427.567,742.60495,556.8439,648.541925,611.97055,724.7312,1065.4642,427.567,258,1,2,6,1,1,1
"ZNF200",0.999761488335591,0.999863531740231,0.9999998406988,0.730861745007781,0.999987545888937,0.999183422544367,0.890438096364429,0.919879887361326,0.897972792040524,0.614435484687899,0.920172278781407,0.998430413513602,0.991306298194348,0.999272601605833,0.648003173195005,0.828628634995052,0.993304540991739,0.971952049077171,0.994195141299021,0.541792276443852,0.99999865606608,220.720244573643,247.5083,237.9653,264.9889,135.4839,300.0222,315.7664,4.29784906649919,NA,0.122799999999998,51.0968173971856,NA,NA,NA,169.4442,247.5083,237.9039,202.018125,135.4839,300.0222,315.7664,251.82945,247.5083,238.0267,241.6045,135.4839,300.0222,315.7664,258,1,2,6,1,1,1
"ZNF582",0.809393955276689,0.997754199286917,0.768691521127108,0.999999938687507,0.874140606121846,0.998273021932655,0.999871725614797,0.88462321372951,0.999999999118227,0.999844691495177,0.999993458066767,0.919179519273937,0.999998708049984,0.999988320498063,0.999999932963006,0.999981912822627,0.910094689798567,0.999999661415028,0.999972259970083,0.99999999103547,0.999999999963697,31.6258213178295,63.9535,22.3292,32.5336333333333,23.6559,26.8114,25.9113,1.41894314242377,NA,19.5445,16.7604544440511,NA,NA,NA,16.429375,63.9535,12.55695,5.86665,23.6559,26.8114,25.9113,41.262,63.9535,32.10145,40.222775,23.6559,26.8114,25.9113,258,1,2,6,1,1,1
"ZNF285",1,0.999805972849689,0.999992973345861,0.99999929237181,0.999999998616461,0.999981019752195,0.941928878131728,0.989929244106221,0.995171697199307,0.969344552853039,0.972443146949667,0.995387192626717,0.964194287380576,0.974059944504449,0.811969134653895,0.991179437493454,0.998636364987989,0.984535425476214,0.991044100114806,0.871727972039567,0.999999658506504,40.8592294573643,40.6977,31.5414,38.7587333333333,3.2258,73.1221,66.7545,2.23522556282488,NA,28.7567,11.9315243109355,NA,NA,NA,11.84665,40.6977,17.16305,13.661575,3.2258,73.1221,66.7545,59.917525,40.6977,45.91975,58.911825,3.2258,73.1221,66.7545,258,1,2,6,1,1,1
"ZNF275",0.999997811391567,0.999803432054797,0.99999998733029,0.728029432648702,0.999544009388356,0.999338797093149,0.989465513208796,0.999643299419174,0.99968911255449,0.999999860680382,0.977111277557674,0.990238678451045,0.968802006419269,0.807915946445971,0.914186660095863,0.973004663227994,0.998661070615116,0.998557354586211,0.999981079337918,0.999999878674173,0.874265596431847,646.844651937985,595.515,568.99805,458.5538,423.6559,906.0492,379.0075,18.5455416424701,NA,291.92485,123.30981393262,NA,NA,NA,445.8679,595.515,423.035625,222.64835,423.6559,906.0492,379.0075,807.783275,595.515,714.960475,567.830725,423.6559,906.0492,379.0075,258,1,2,6,1,1,1
"ZNF37A",0.988260929868397,0.983530174468034,0.999998935719207,0.990973081857043,0.999514662290016,0.999875099619886,0.99999965365709,0.99936185714264,0.999801735220745,0.999998546796704,0.999949407244496,0.989475628100595,0.991954639263403,0.998065174670979,0.999944812509826,0.999572620238586,0.999983101305109,0.999999630436434,0.999999824522882,0.999993068080906,0.998786300965197,379.713446124031,235.8804,270.9859,323.295133333333,355.914,434.7441,300.3953,11.7854170716698,NA,59.8162,64.2558820975723,NA,NA,NA,233.642,235.8804,241.0778,238.948175,355.914,434.7441,300.3953,489.329575,235.8804,300.894,388.887475,355.914,434.7441,300.3953,258,1,2,6,1,1,1
"ZNF510",0.999999990463615,0.975084428528383,0.999329721028055,0.999743827464478,0.999999971900717,0.997533450790575,0.997135264016471,0.99980435697147,0.999999999931914,0.999688022626124,0.999767491843318,0.999990690850368,0.999994315582272,0.999993918421802,0.999999088389834,0.991927944466224,0.999332222771677,0.999999989824143,0.998681361970636,0.999999962747711,0.999985806352843,223.340469767442,218.4385,179.092,212.1097,181.7204,196.5433,173.0347,4.42981185369535,NA,1.80229999999999,21.8539990382386,NA,NA,NA,175.013125,218.4385,178.19085,191.973475,181.7204,196.5433,173.0347,268.95055,218.4385,179.99315,206.157425,181.7204,196.5433,173.0347,258,1,2,6,1,1,1
"ZNF506",0.999998531848204,0.981134111928577,0.999846050335191,0.995734250484864,0.999720923058295,0.943015008625767,0.978014518814898,0.99889949921055,0.999990467624237,0.944475975374397,0.971728870233875,0.988868032924129,0.884710506865082,0.996860600327833,0.873829429736811,0.995425463891142,0.999876640975829,0.999999999675133,0.981143607797535,0.99999875032097,0.929688671983219,319.523932945736,287.3754,201.11915,371.631633333333,147.3118,500.554,191.48,12.4863330460773,NA,40.07325,74.7391993327672,NA,NA,NA,200.361525,287.3754,181.082525,249.635075,147.3118,500.554,191.48,393.47005,287.3754,221.155775,458.219675,147.3118,500.554,191.48,258,1,2,6,1,1,1
"ZNF324",0.999999999783583,0.999894302495656,0.99998999410012,0.911374310023229,0.999649090282939,0.976744207323518,0.993287913298224,0.998673058271297,0.999796142840913,0.934529624008719,0.999855735231071,0.999965643795836,0.999999941800232,0.988131844890672,0.999984267812633,0.996751118479319,0.999679823097516,0.993444695731573,0.999999775556302,0.970493575720687,0.993971496096129,149.105648449612,151.1628,136.01925,175.6314,110.7527,129.6255,182.6965,3.45616470436888,NA,4.67635000000001,29.8891855720315,NA,NA,NA,109.836225,151.1628,133.681075,129.202125,110.7527,129.6255,182.6965,176.102375,151.1628,138.357425,218.370325,110.7527,129.6255,182.6965,258,1,2,6,1,1,1
"ZNF671",0.305387942403261,0.999914884040665,0.433252033650197,0.753127974772059,0.130781648714908,0.999138008135868,0.918449845263612,0.2241728959115,0.989948312128117,0.999081943441077,0.725764793951739,0.119756152585478,0.936839749356743,0.978980726473553,0.999956200788399,0.999976487429631,0.817805540827765,0.999705249975125,0.984278779183897,0.957587890490213,0.866721444290769,121.129198449612,268.2724,105.96095,79.95115,45.1613,18.1697,138.3399,4.20986873191766,NA,27.23845,16.1977370949926,NA,NA,NA,60.9101,268.2724,92.341725,55.92585,45.1613,18.1697,138.3399,163.76995,268.2724,119.580175,103.19905,45.1613,18.1697,138.3399,258,1,2,6,1,1,1
"ZNF416",0.873621623547334,0.999017460786265,0.84961070332867,0.392287147580202,0.999761720631385,0.771685459707978,0.847885314703856,0.540985013677271,0.985937432676244,0.421575972496288,0.810844649695894,0.50542835301077,0.97933861135703,0.378432082920009,0.99999999810383,0.651472163560637,0.99995864045099,0.663429399863199,0.989297249976965,0.359345109968175,0.328590631973081,112.50245,172.7575,95.91645,153.02385,49.4624,45.8675,191.9192,2.97667789423494,NA,33.10595,25.1499417747736,NA,NA,NA,80.264525,172.7575,79.363475,115.21925,49.4624,45.8675,191.9192,139.84495,172.7575,112.469425,179.4752,49.4624,45.8675,191.9192,258,1,2,6,1,1,1
"ZNF586",0.997828734869961,0.99986033247962,0.994644650789551,0.306260780512253,0.99991609561323,0.797626629812483,0.968498623508782,0.941548468948646,0.99791394508428,0.621367910249862,0.731158736632319,0.759735735233009,0.943048220338669,0.273636225664807,0.999548411996061,0.999681896949597,0.999999818217457,0.998433114106778,0.999226118245271,0.966164348259061,0.821721884358805,156.872412403101,195.1827,140.04455,218.6547,93.5484,52.515,184.2336,4.12299844075779,NA,9.39864999999999,58.7907655841063,NA,NA,NA,112.183375,195.1827,135.345225,98.0557,93.5484,52.515,184.2336,187.594125,195.1827,144.743875,332.24655,93.5484,52.515,184.2336,258,1,2,6,1,1,1
"ZNF446",0.945382895139471,0.540719073874269,0.483767002756961,0.947341938679901,0.997632412394488,0.358405865174083,0.99754794356827,0.99989717105201,0.733938760566099,0.999999428784238,0.957995449290751,0.786428143037401,0.999980021832042,0.850767546975843,0.92806300338272,0.999044778504204,0.99971734083502,0.77618754801868,0.999999997446565,0.999999994928431,0.945073461090915,188.04614379845,265.3987,92.1004,219.682216666667,230.7204,114.8416,224.1546,4.63995558393944,NA,15.9071,33.8520034353795,NA,NA,NA,134.439725,265.3987,84.14685,154.639225,230.7204,114.8416,224.1546,228.251525,265.3987,100.05395,286.3833,230.7204,114.8416,224.1546,258,1,2,6,1,1,1
