"gene","p-adj-BRCA CIMP c7-BRCA basal-like c8","p-adj-BRCA non-CIMP c9-BRCA basal-like c8","p-adj-BRCA non-CIMP c9-BRCA CIMP c7","p-adj-Cluster 13 (HNSC-LUSC)-BRCA basal-like c8","p-adj-Cluster 13 (HNSC-LUSC)-BRCA CIMP c7","p-adj-Cluster 13 (HNSC-LUSC)-BRCA non-CIMP c9","p-adj-Cluster 5-BRCA basal-like c8","p-adj-Cluster 5-BRCA CIMP c7","p-adj-Cluster 5-BRCA non-CIMP c9","p-adj-Cluster 5-Cluster 13 (HNSC-LUSC)","p-adj-Cluster 6-BRCA basal-like c8","p-adj-Cluster 6-BRCA CIMP c7","p-adj-Cluster 6-BRCA non-CIMP c9","p-adj-Cluster 6-Cluster 13 (HNSC-LUSC)","p-adj-Cluster 6-Cluster 5","p-adj-KIRC-like c17-BRCA basal-like c8","p-adj-KIRC-like c17-BRCA CIMP c7","p-adj-KIRC-like c17-BRCA non-CIMP c9","p-adj-KIRC-like c17-Cluster 13 (HNSC-LUSC)","p-adj-KIRC-like c17-Cluster 5","p-adj-KIRC-like c17-Cluster 6","p-adj-Low purity c2-BRCA basal-like c8","p-adj-Low purity c2-BRCA CIMP c7","p-adj-Low purity c2-BRCA non-CIMP c9","p-adj-Low purity c2-Cluster 13 (HNSC-LUSC)","p-adj-Low purity c2-Cluster 5","p-adj-Low purity c2-Cluster 6","p-adj-Low purity c2-KIRC-like c17","p-adj-OV-like c1-BRCA basal-like c8","p-adj-OV-like c1-BRCA CIMP c7","p-adj-OV-like c1-BRCA non-CIMP c9","p-adj-OV-like c1-Cluster 13 (HNSC-LUSC)","p-adj-OV-like c1-Cluster 5","p-adj-OV-like c1-Cluster 6","p-adj-OV-like c1-KIRC-like c17","p-adj-OV-like c1-Low purity c2","p-adj-UCEC Serous c4-BRCA basal-like c8","p-adj-UCEC Serous c4-BRCA CIMP c7","p-adj-UCEC Serous c4-BRCA non-CIMP c9","p-adj-UCEC Serous c4-Cluster 13 (HNSC-LUSC)","p-adj-UCEC Serous c4-Cluster 5","p-adj-UCEC Serous c4-Cluster 6","p-adj-UCEC Serous c4-KIRC-like c17","p-adj-UCEC Serous c4-Low purity c2","p-adj-UCEC Serous c4-OV-like c1","mean-BRCA basal-like c8","mean-BRCA CIMP c7","mean-BRCA non-CIMP c9","mean-Cluster 13 (HNSC-LUSC)","mean-Cluster 5","mean-Cluster 6","mean-KIRC-like c17","mean-Low purity c2","mean-OV-like c1","mean-UCEC Serous c4","SEM-BRCA basal-like c8","SEM-BRCA CIMP c7","SEM-BRCA non-CIMP c9","SEM-Cluster 13 (HNSC-LUSC)","SEM-Cluster 5","SEM-Cluster 6","SEM-KIRC-like c17","SEM-Low purity c2","SEM-OV-like c1","SEM-UCEC Serous c4","Q1-BRCA basal-like c8","Q1-BRCA CIMP c7","Q1-BRCA non-CIMP c9","Q1-Cluster 13 (HNSC-LUSC)","Q1-Cluster 5","Q1-Cluster 6","Q1-KIRC-like c17","Q1-Low purity c2","Q1-OV-like c1","Q1-UCEC Serous c4","Q3-BRCA basal-like c8","Q3-BRCA CIMP c7","Q3-BRCA non-CIMP c9","Q3-Cluster 13 (HNSC-LUSC)","Q3-Cluster 5","Q3-Cluster 6","Q3-KIRC-like c17","Q3-Low purity c2","Q3-OV-like c1","Q3-UCEC Serous c4","count-BRCA basal-like c8","count-BRCA CIMP c7","count-BRCA non-CIMP c9","count-Cluster 13 (HNSC-LUSC)","count-Cluster 5","count-Cluster 6","count-KIRC-like c17","count-Low purity c2","count-OV-like c1","count-UCEC Serous c4"
"ZNF195",0.999999999930888,0.999999953182322,0.999996376094611,0.999999999950723,1,0.999998632051917,0.999999798381888,0.999866975958226,1,0.999990280667123,0.999979594068334,0.997145121703894,0.999999999585383,0.9997764470024,0.724176238618445,0.997761158794401,0.985203349457783,0.99984697572178,0.994287010340585,0.996053447694163,0.999413591683323,0.999999688857282,0.999862429031764,1,0.999988046920699,0.999999999994414,0.999338534318498,0.997224503841506,0.999850694422579,0.999861553203231,0.996935518141691,0.999980222734586,0.913643194038986,0.785578300499535,0.855945790598529,0.924865133667362,0.689508358098838,0.568794415573131,0.522250848255081,0.760669415919915,0.104106209568035,0.0610980766435174,0.171149043805644,0.116947396070774,0.869058679115212,431.7137,454.36435,377.5137,456.9014,386.409265363128,354.863303703704,240.0698,383.031636842105,550.393,855.0853,NA,7.08355,NA,NA,13.4704153111294,10.4425692194872,NA,37.7246681685778,212.9337,NA,431.7137,450.822575,377.5137,456.9014,267.57155,246.32535,240.0698,294.2704,443.92615,855.0853,431.7137,457.906125,377.5137,456.9014,481.3478,430.99315,240.0698,452.40605,656.85985,855.0853,1,2,1,1,179,162,1,19,2,1
"ZNF263",0.000579553526140919,0.0201022319336297,0.999996192642178,0.0135738929413709,0.999999903973723,0.999999999924943,0.000782967240114507,0.900991742843461,0.999916077951939,0.999309097707672,0.000430206280023437,0.958506384449993,0.999992889965487,0.999882964193496,0.951486692283648,0.00962319297021808,0.999999999443303,0.999999981922232,0.99999999998342,0.997270695619694,0.999329216752611,0.00220897316722513,0.834370351163406,0.999456005270126,0.997259351009473,0.999682443427353,0.964560324549398,0.991873986728198,0.0048556160458606,0.999736571787952,0.999999999719284,0.99999986518841,0.999917012998531,0.999998071140181,0.999997006610284,0.99909002873077,0.856330988461025,0.230654100531234,0.673419838082588,0.592372601297353,0.524773301715331,0.427115624917921,0.522508158890742,0.667708398587164,0.563065268617658,1473.6403,488.6984,576.7824,546.6986,680.174063128492,654.296728395062,521.2711,709.363921052632,606.95975,1065.4642,NA,16.3233,NA,NA,13.4656147748623,14.028882402763,NA,55.2095459395985,16.05655,NA,1473.6403,480.53675,576.7824,546.6986,553.82015,538.063675,521.2711,560.8635,598.931475,1065.4642,1473.6403,496.86005,576.7824,546.6986,776.62015,736.21315,521.2711,766.1213,614.988025,1065.4642,1,2,1,1,179,162,1,19,2,1
"ZNF200",0.583097219621642,0.43075471776548,0.999917019888853,0.762925914314224,1,0.999976631361766,0.371311846794977,0.999999991712287,0.998095712834479,0.999999999520508,0.297544044877731,1,0.999471329279524,1,0.980454651910221,0.323389839261188,0.999053582291382,0.999999997979043,0.999714489342242,0.987548146575319,0.994905062557857,0.484928358899118,0.999998674014298,0.995527082904081,0.999999913050433,0.999972466642366,0.992038383720684,0.977876743560839,0.979208748169018,0.9870804186565,0.913966905429098,0.997027227518065,0.950875604070959,0.898238446343488,0.830743240213267,0.985231464706955,0.994372903627074,0.995770775222684,0.956466877994346,0.99857020634257,0.99303506404309,0.98387552769632,0.909048258958828,0.997790861330431,1,401.4428,215.48065,163.6197,215.2113,225.997876536313,216.73895,145.7567,234.970326315789,295.91775,300.0222,NA,22.36185,NA,NA,6.01226819296306,4.73138070446751,NA,28.6561334606321,46.10175,NA,401.4428,204.299725,163.6197,215.2113,174.58785,168.975,145.7567,178.4846,272.866875,300.0222,401.4428,226.661575,163.6197,215.2113,259.64135,244.2049,145.7567,243.678,318.968625,300.0222,1,2,1,1,179,162,1,19,2,1
"ZNF582",0.991902993915855,0.999999999998359,0.985234928081593,0.999985229065558,0.876678241395792,0.999996939386416,0.999180408839464,0.999614505223415,0.997623105815345,0.928265678259185,0.999921706122601,0.995080759648286,0.999661280151154,0.970456880663773,0.791283095070402,1,0.988355696159819,1,0.999993939070547,0.998430254027265,0.999807531973611,0.984321037243714,0.999999999745301,0.970902810415859,0.773466968629678,0.852909079419481,0.363246187925219,0.977176428269905,0.999999999999611,0.95044748674025,1,0.999984068404164,0.976842724183005,0.996234041705157,1,0.831884248671925,0.999999383575566,0.999779121282186,0.999995971635287,0.998806434071239,0.999999714414859,0.999999999959224,0.999998038603003,0.999691868796001,0.999990667466018,16.9743,43.68935,14.6252,2.8169,33.2044681564246,29.1845703703704,15.589,41.5324368421053,15.18575,26.8114,NA,1.81565,NA,NA,1.57276784268204,1.80438584507146,NA,4.02390570348494,7.61555,NA,16.9743,42.781525,14.6252,2.8169,18.3339,12.16315,15.589,25.598,11.377975,26.8114,16.9743,44.597175,14.6252,2.8169,42.75235,38.559675,15.589,51.99625,18.993525,26.8114,1,2,1,1,179,162,1,19,2,1
"ZNF285",0.977598607691042,0.990265490440049,1,0.999999999996965,0.962528217846279,0.983315983727081,0.993521876965105,0.999802574770691,0.999979528319377,0.985527848386836,0.998880190672814,0.996229100580154,0.999620813112175,0.996702770542891,0.709175691330767,0.999995301551343,0.999534831483705,0.9998014019459,0.999976876791823,0.999995215139863,0.999999987935863,0.993735175489567,0.999903671963169,0.999987912649135,0.986168389892783,0.999999999998666,0.996494410131229,0.999994272285452,0.99823733251328,0.999993836775799,0.999997874002912,0.9959300797414,1,0.9999993794302,0.999998491877004,1,0.968379733072132,0.999999928490013,0.999999993235483,0.952218852749246,0.99913244896921,0.99465301653097,0.998266546637856,0.999406351165864,0.999877286948991,9.3359,61.78055,63.0713,5.0704,45.3648620111732,38.0046975308642,30.3985,46.0309842105263,46.4148,73.1221,NA,1.48245,NA,NA,2.6007978308164,3.07670627425374,NA,8.41687691169843,30.1282,NA,9.3359,61.039325,63.0713,5.0704,18.0191,8.678475,30.3985,26.3446,31.3507,73.1221,9.3359,62.521775,63.0713,5.0704,67.8224,53.2867,30.3985,51.48795,61.4789,73.1221,1,2,1,1,179,162,1,19,2,1
"ZNF275",0.994749112782087,0.999684776321873,0.999999995942655,0.999999586921162,0.953208947269645,0.993793541344912,0.999662933615346,0.999564664134362,0.999999879166714,0.984573551715697,0.999070915848657,0.999918851095835,0.999999996831984,0.973806099748835,0.998153216209055,0.999995593932273,0.999977493682432,0.999999897004448,0.999464394611802,0.999999999976219,0.999999993503902,0.999839580359302,0.999396089151925,0.99999962622022,0.990117283270641,0.999999996372927,0.999935157069832,1,0.993068244388035,1,0.999999979472325,0.944552351388146,0.999122844599525,0.999804462589676,0.999958294188405,0.998854214528165,0.999999999895945,0.985799731886562,0.998779732661174,0.999999995267074,0.997921549182961,0.995505592444752,0.999957296983439,0.998853954522518,0.982168619290259,857.2035,525.91095,589.5795,980.8451,665.881843575419,640.3016,695.2672,678.268747368421,513.23085,906.0492,NA,335.01195,NA,NA,21.9616758728877,22.1264973826464,NA,52.3740663764581,40.51505,NA,857.2035,358.404975,589.5795,980.8451,467.8286,444.11995,695.2672,563.18105,492.973325,906.0492,857.2035,693.416925,589.5795,980.8451,825.8108,812.205325,695.2672,747.52885,533.488375,906.0492,1,2,1,1,179,162,1,19,2,1
"ZNF37A",0.999664805963697,1,0.99958828886169,0.999999999580798,0.998069075860945,0.999999999843632,0.999999966700393,0.901496247918149,0.999999985631155,1,0.999999991480651,0.917963723975086,0.999999996833477,1,0.999999637619998,0.999550356506441,0.999999999779696,0.999466515629475,0.998022089175566,0.971123022288211,0.975977330791174,0.999998246155396,0.84893647815085,0.999998944168794,0.999999998210557,0.999901000814827,0.999455912570687,0.949975525549673,0.999863994140706,0.870595783840189,0.999893118064917,0.999990950433716,0.999469528814075,0.999122119386209,0.927589943316813,0.999975754302473,0.999999449252983,0.99010682196669,0.999999638233897,0.999999997144224,0.999999981631431,0.999999935785955,0.991681392753637,0.999999999998623,0.999999962567651,353.6318,205.35665,357.404,389.8592,395.541581564246,389.610058024691,176.1551,420.764452631579,486.6073,434.7441,NA,125.44545,NA,NA,12.9937279350003,15.0333157191977,NA,38.540712590145,27.3239,NA,353.6318,142.633925,357.404,389.8592,273.61985,233.642,176.1551,327.22415,472.94535,434.7441,353.6318,268.079375,357.404,389.8592,490.5557,506.43835,176.1551,482.52535,500.26925,434.7441,1,2,1,1,179,162,1,19,2,1
"ZNF510",0.988842551266022,0.995954019890243,1,0.999998673952207,0.909139796692023,0.960871901592885,0.998531428132427,0.999620342093901,0.999975947545535,0.954452375792275,0.999345720887647,0.99874678887933,0.999916423710201,0.969329106747114,0.999422916846739,0.990287139774085,0.999999999632301,0.999999999931907,0.932968566635801,0.99972871286324,0.999324941138244,0.999866665312618,0.996237043849801,0.999680665173006,0.986496285498588,0.998644326582695,0.999982250908175,0.99820991204522,0.999991311139135,0.999088219536925,0.999811194339134,0.997950035327853,0.999996940955223,0.999999837316247,0.999082470429227,0.999999999955401,0.99830501971936,0.999999999965423,0.999999999984492,0.976921938048085,0.999998657942581,0.999992383252351,0.999999983358351,0.999952234764573,0.9999650321284,280.6422,187.00655,186.4717,316.6197,222.089103910615,227.721993209877,174.5962,236.035426315789,241.99045,196.5433,NA,6.11225,NA,NA,5.40879114684694,5.76314486977453,NA,17.3325873873445,34.23105,NA,280.6422,183.950425,186.4717,316.6197,166.94315,177.233825,174.5962,181.88,224.874925,196.5433,280.6422,190.062675,186.4717,316.6197,264.827,268.95055,174.5962,292.4163,259.105975,196.5433,1,2,1,1,179,162,1,19,2,1
"ZNF506",1,0.999999172522909,0.999997447880887,0.998743352683725,0.995980498256396,0.982745051462314,0.99999999675192,0.999999901061024,0.999748535808493,0.995360482890936,0.999999955782567,0.999998800288921,0.999477484053522,0.997217330121771,0.999923682393472,0.999999995685445,0.999999980119927,0.999962164911086,0.999855257544425,0.999999999997247,1,0.99999222252707,0.999860729608832,0.996863549051,0.999709644335964,0.986215356181884,0.998137610261812,0.999999997086087,0.990128514825129,0.959389085872853,0.922234450991146,0.999999999866491,0.880455385087842,0.913302747723075,0.998240873793919,0.983523699394164,0.998649888513357,0.995697609992386,0.981968074244896,1,0.994969935523076,0.996959918385796,0.999840258055797,0.999671646588899,0.999999999928132,283.4712,282.08345,192.8702,498.5915,317.907758100559,329.629980864198,333.6035,368.411236842105,528.04535,500.554,NA,40.89105,NA,NA,15.9976151734918,13.2953305321704,NA,42.9756333040254,141.07465,NA,283.4712,261.637925,192.8702,498.5915,200.4888,221.61585,333.6035,226.274,457.508025,500.554,283.4712,302.528975,192.8702,498.5915,372.2755,418.9396,333.6035,469.29495,598.582675,500.554,1,2,1,1,179,162,1,19,2,1
"ZNF324",0.999996578328338,0.999998329577684,1,0.691756505738247,0.248685613482941,0.441508173186822,1,0.999383282184879,0.999942479032448,0.222542822307946,0.999999999951397,0.998133076270327,0.999825235082343,0.261175932316566,0.999453416380721,0.999999999155654,0.999999983420501,0.999999987709616,0.586114053952149,0.999999931587973,0.999999271957035,0.999999999485556,0.997872534513442,0.999765934774945,0.312247998592557,0.999982178623347,0.999999999198258,0.999998476816343,0.982761969318114,0.705892874624861,0.878820969822498,0.989717017465176,0.685604680418894,0.755805032917937,0.954701342746701,0.826978598160241,0.999999966543425,0.999999999876874,0.999999999823931,0.530913775432013,0.99999829427854,0.999990842042683,0.999999999998064,0.999984858820214,0.931761949605755,147.3937,121.4022,119.7441,291.2676,149.278091620112,153.466471604938,135.6239,155.473015789474,221.9723,129.6255,NA,19.2934,NA,NA,3.90700340419849,4.4370486363932,NA,13.8510717187737,14.8062,NA,147.3937,111.7555,119.7441,291.2676,107.20635,113.8763,135.6239,118.9073,214.5692,129.6255,147.3937,131.0489,119.7441,291.2676,185.21565,180.625125,135.6239,193.75835,229.3754,129.6255,1,2,1,1,179,162,1,19,2,1
