"gene","p-adj-GBM-like c6-BLCA nonsquamous-like c1","p-adj-LAML-like c13-BLCA nonsquamous-like c1","p-adj-LAML-like c13-GBM-like c6","p-adj-LUAD-like c10-BLCA nonsquamous-like c1","p-adj-LUAD-like c10-GBM-like c6","p-adj-LUAD-like c10-LAML-like c13","p-adj-RNA cluster 12-BLCA nonsquamous-like c1","p-adj-RNA cluster 12-GBM-like c6","p-adj-RNA cluster 12-LAML-like c13","p-adj-RNA cluster 12-LUAD-like c10","p-adj-RNA cluster 14-BLCA nonsquamous-like c1","p-adj-RNA cluster 14-GBM-like c6","p-adj-RNA cluster 14-LAML-like c13","p-adj-RNA cluster 14-LUAD-like c10","p-adj-RNA cluster 14-RNA cluster 12","p-adj-RNA cluster 2-BLCA nonsquamous-like c1","p-adj-RNA cluster 2-GBM-like c6","p-adj-RNA cluster 2-LAML-like c13","p-adj-RNA cluster 2-LUAD-like c10","p-adj-RNA cluster 2-RNA cluster 12","p-adj-RNA cluster 2-RNA cluster 14","p-adj-RNA cluster 3-BLCA nonsquamous-like c1","p-adj-RNA cluster 3-GBM-like c6","p-adj-RNA cluster 3-LAML-like c13","p-adj-RNA cluster 3-LUAD-like c10","p-adj-RNA cluster 3-RNA cluster 12","p-adj-RNA cluster 3-RNA cluster 14","p-adj-RNA cluster 3-RNA cluster 2","p-adj-squamous-like c4-BLCA nonsquamous-like c1","p-adj-squamous-like c4-GBM-like c6","p-adj-squamous-like c4-LAML-like c13","p-adj-squamous-like c4-LUAD-like c10","p-adj-squamous-like c4-RNA cluster 12","p-adj-squamous-like c4-RNA cluster 14","p-adj-squamous-like c4-RNA cluster 2","p-adj-squamous-like c4-RNA cluster 3","p-adj-UCEC-like c11-BLCA nonsquamous-like c1","p-adj-UCEC-like c11-GBM-like c6","p-adj-UCEC-like c11-LAML-like c13","p-adj-UCEC-like c11-LUAD-like c10","p-adj-UCEC-like c11-RNA cluster 12","p-adj-UCEC-like c11-RNA cluster 14","p-adj-UCEC-like c11-RNA cluster 2","p-adj-UCEC-like c11-RNA cluster 3","p-adj-UCEC-like c11-squamous-like c4","mean-BLCA nonsquamous-like c1","mean-GBM-like c6","mean-LAML-like c13","mean-LUAD-like c10","mean-RNA cluster 12","mean-RNA cluster 14","mean-RNA cluster 2","mean-RNA cluster 3","mean-squamous-like c4","mean-UCEC-like c11","SEM-BLCA nonsquamous-like c1","SEM-GBM-like c6","SEM-LAML-like c13","SEM-LUAD-like c10","SEM-RNA cluster 12","SEM-RNA cluster 14","SEM-RNA cluster 2","SEM-RNA cluster 3","SEM-squamous-like c4","SEM-UCEC-like c11","Q1-BLCA nonsquamous-like c1","Q1-GBM-like c6","Q1-LAML-like c13","Q1-LUAD-like c10","Q1-RNA cluster 12","Q1-RNA cluster 14","Q1-RNA cluster 2","Q1-RNA cluster 3","Q1-squamous-like c4","Q1-UCEC-like c11","Q3-BLCA nonsquamous-like c1","Q3-GBM-like c6","Q3-LAML-like c13","Q3-LUAD-like c10","Q3-RNA cluster 12","Q3-RNA cluster 14","Q3-RNA cluster 2","Q3-RNA cluster 3","Q3-squamous-like c4","Q3-UCEC-like c11","count-BLCA nonsquamous-like c1","count-GBM-like c6","count-LAML-like c13","count-LUAD-like c10","count-RNA cluster 12","count-RNA cluster 14","count-RNA cluster 2","count-RNA cluster 3","count-squamous-like c4","count-UCEC-like c11"
"ZNF195",0.680381925417948,0.98457473748065,0.998767268863086,0.998381880120536,0.704063450133981,0.999218956291308,0.892858632914262,0.999996782270408,0.999995881968647,0.952766270667285,0.461824771441539,1,0.99553648243705,0.200905651133394,0.999983360413764,0.999847970958671,0.862488581726926,0.999682464714502,0.999999999982691,0.982225257224916,0.63724571676699,0.996120930620051,0.993510257344057,0.999999994022515,0.999981751180473,0.999883182116991,0.979491933660841,0.999989382536347,0.998437515328168,0.784269505991711,0.999667129359323,0.999999999932779,0.972009462418378,0.359588885922805,0.999999999622189,0.999994416548503,0.15996343184365,0.997410542097955,0.824139588676421,0.0703357242068688,0.963719689264652,0.99347405679766,0.23902606763574,0.711499408074802,0.11653350207636,243.7418,663.0824,488.4882,371.727225373134,577.0202,667.10675,360.67455,446.1874,377.8499,855.0853,NA,NA,NA,8.57777944133012,NA,143.37985,100.77335,NA,56.8803812475478,NA,243.7418,663.0824,488.4882,264.56525,577.0202,595.416825,310.287875,446.1874,278.1869,855.0853,243.7418,663.0824,488.4882,448.07415,577.0202,738.796675,411.061225,446.1874,447.2808,855.0853,1,1,1,335,1,2,2,1,9,1
"ZNF263",0.967611170146341,0.999778278714238,0.999874689996474,0.95295388061604,0.999991588097296,0.999995162154467,0.913448900578706,0.999999982911709,0.998465051044557,0.999276605916237,0.999989445151864,0.993525722551398,0.999999745808164,0.987051620096492,0.968723037200864,0.999119589723627,0.999672608064235,1,0.999943267338598,0.996027787183956,0.99999736244144,0.607535157566927,0.99902176146868,0.939880134974206,0.888727888739466,0.999935139706994,0.700451856709025,0.872981150497985,0.999086686541498,0.996666151266103,0.999999999986515,0.891067504686026,0.975266672184712,0.999999317311535,0.999999998754486,0.660160697734165,0.330023859230807,0.976198564590419,0.757436698851804,0.538958951864722,0.994283902692369,0.374737431791401,0.587084120982731,0.999994667742722,0.292673148212736,427.567,753.9486,596.3495,672.639189850746,810.7891,529.6448,600.70185,956.5229,577.263288888889,1065.4642,NA,NA,NA,10.3937260900454,NA,27.4457,95.68015,NA,28.8740942588318,NA,427.567,753.9486,596.3495,544.9387,810.7891,515.92195,552.861775,956.5229,544.5023,1065.4642,427.567,753.9486,596.3495,752.2275,810.7891,543.36765,648.541925,956.5229,632.8103,1065.4642,1,1,1,335,1,2,2,1,9,1
"ZNF200",0.998834970853323,0.999999998306661,0.994875926744341,0.949895564235505,0.320815719831327,0.986235422367832,0.962361985285805,0.575154422072631,0.985356795275531,0.999985649987315,0.999999760752706,0.974029808759765,0.999999999985427,0.938468648319913,0.977339940017046,0.99720016859851,0.753540628410785,0.999605562178505,0.999998590392244,0.999896475512029,0.99941343569679,0.999998671874721,0.981567312248967,0.999999995428116,0.998229434121777,0.996202813462509,0.999999999929273,0.999983193042272,0.997881232140483,0.679408563868176,0.999819910956831,0.958579766652171,0.997788339628792,0.999597265174022,0.999999964709768,0.999997723022643,0.999999999154765,0.995355510172777,1,0.984611893768162,0.984166049406476,0.999999999950253,0.999533075903789,0.999999991852048,0.999775908485906,315.7664,396.0573,298.7517,219.774692238806,186.2374,290.0791,237.9653,279.7386,251.181088888889,300.0222,NA,NA,NA,3.93775275615409,NA,66.9811,0.122799999999998,NA,34.4182049703288,NA,315.7664,396.0573,298.7517,168.9442,186.2374,256.58855,237.9039,279.7386,193.1188,300.0222,315.7664,396.0573,298.7517,245.6078,186.2374,323.56965,238.0267,279.7386,249.816,300.0222,1,1,1,335,1,2,2,1,9,1
"ZNF582",0.999748407042349,0.999999890586595,0.999997158644111,0.999999915628026,0.999714941639112,0.999999999927448,0.99966387407373,1,0.999995255064293,0.999575355034437,0.997745831198653,0.999999999975424,0.999939984390809,0.984345110533593,0.999999999998396,0.999999999759523,0.997058997215457,0.999990698062666,0.999878705669484,0.996305221292802,0.972052273115788,0.999987041816188,0.984673808626185,0.999396784312428,0.996512251193423,0.982300799305906,0.935253642913655,0.999996415321428,0.999999970819248,0.999769507585902,0.999999999845202,1,0.999659336335946,0.990861045369553,0.999962376011495,0.997966460306992,1,0.999827940108674,0.999999961023138,0.999999982014825,0.999766488469387,0.998351321831254,0.999999998208288,0.999977972247824,0.999999994506002,25.9113,45.9976,34.1193,31.5561617910448,46.7172,48.7761,22.3292,11.7647,31.1840222222222,26.8114,NA,NA,NA,1.17989170681818,NA,29.9276,19.5445,NA,11.061080160507,NA,25.9113,45.9976,34.1193,16.50845,46.7172,33.8123,12.55695,11.7647,7.5702,26.8114,25.9113,45.9976,34.1193,41.5108,46.7172,63.7399,32.10145,11.7647,40.8163,26.8114,1,1,1,335,1,2,2,1,9,1
"ZNF285",0.999989957247594,0.996005297444273,0.940092550703185,0.999598354401061,0.952231034346524,0.999847174600671,0.976977828622492,0.844604860115162,0.999999924106108,0.994009630795773,0.999907088422567,1,0.834801807588536,0.634218150614151,0.657126091187331,0.998768623627331,0.954806125718653,0.999999863586358,0.999996466179883,0.999920000165281,0.816696441623332,1,0.999980487555124,0.997040392322786,0.999784871819401,0.981316606683094,0.999834667965837,0.999195288306304,0.999081912043762,0.941845408932368,0.999982798405639,0.99999906873215,0.998438633198622,0.659082692203742,0.999999985703767,0.999454716132883,0.999999999880171,0.999999421772642,0.989878860376833,0.997564107490493,0.955803052666374,0.999991867949569,0.995554888780933,0.999999998845098,0.995748586026231,66.7545,89.6057,19.4175,41.7025725373134,6.3131,92.4351,31.5414,64.9237,37.5465222222222,73.1221,NA,NA,NA,2.0041836354283,NA,54.2407,28.7567,NA,8.84211302581725,NA,66.7545,89.6057,19.4175,12.69295,6.3131,65.31475,17.16305,64.9237,9.1202,73.1221,66.7545,89.6057,19.4175,60.33105,6.3131,119.55545,45.91975,64.9237,55.9006,73.1221,1,1,1,335,1,2,2,1,9,1
"ZNF275",0.986606462757383,0.999998868143433,0.920310797168981,0.992778903428156,0.999948862731291,0.90203206662186,0.999983233598228,0.99984112154955,0.998398072672756,0.999999235286755,0.99999738403368,0.837028178259983,1,0.565943708322951,0.995849507247983,0.999940598015967,0.999494828257361,0.995081695475722,0.999985635950881,1,0.981732502873649,1,0.985254839027913,0.999999233777367,0.991582272689091,0.999978053812356,0.999998260256764,0.999922669360169,0.999996887794071,0.988030787030483,0.997780117025251,0.778319648835284,0.999999947722689,0.983433257708408,0.999999187174764,0.999995164124405,0.952594068493156,0.999999972409367,0.82449050895928,0.997656946097843,0.997978942812188,0.681459902884493,0.994082866877109,0.949132253336564,0.937549798896304,379.0075,814.8148,240.2219,662.178229253731,568.1818,246.7572,568.99805,372.9847,495.116677777778,906.0492,NA,NA,NA,15.651770489155,NA,9.60850000000001,291.92485,NA,88.9799123561555,NA,379.0075,814.8148,240.2219,470.33535,568.1818,241.95295,423.035625,372.9847,315.6941,906.0492,379.0075,814.8148,240.2219,822.42635,568.1818,251.56145,714.960475,372.9847,693.8776,906.0492,1,1,1,335,1,2,2,1,9,1
"ZNF37A",0.99999988185313,0.635842513657658,0.804625892371287,0.999968032335511,0.999999999811875,0.426701248208928,0.999994200301225,0.999999999360949,0.877308081908901,0.999999999997546,0.921437543771881,0.983482328534193,0.998019888183614,0.774890530779128,0.995048558992404,0.999999999766042,0.999990277656385,0.339911229789845,0.995003103202542,0.999840652134407,0.670992606327333,0.934840193420745,0.983813106880785,0.999901366336943,0.91580666885814,0.994223579232279,0.99999999800977,0.785208339219786,0.999999570004832,1,0.387360167824529,0.999946433792396,0.999999936808569,0.731586372448398,0.99981303157803,0.877625316643387,0.999956057657051,0.9999999094933,0.918773171427853,0.999999960403373,0.999999999956192,0.998369439432158,0.999251507449687,0.99770125346119,0.999996129677974,300.3953,368.5783,800.5548,392.049388656716,406.5657,615.37505,270.9859,652.7233,359.203433333333,434.7441,NA,NA,NA,9.94298942620716,NA,173.97685,59.8162,NA,53.4106233601753,NA,300.3953,368.5783,800.5548,258.37175,406.5657,528.386625,241.0778,652.7233,254.6624,434.7441,300.3953,368.5783,800.5548,500.93685,406.5657,702.363475,300.894,652.7233,409.9379,434.7441,1,1,1,335,1,2,2,1,9,1
"ZNF510",0.674974071551537,1,0.70437334987715,0.999253263551126,0.64549164293251,0.999634981791683,0.999970124795684,0.929392345342671,0.999986455404211,1,0.783461409984349,0.99998435379924,0.812003159419704,0.648144952711007,0.979874410965515,0.999999999999498,0.517834007049865,1,0.995705410200595,0.999965274963248,0.583515147325673,0.999999972268356,0.813914052182179,0.999999996003526,0.999993672776593,0.999999841534524,0.906884642131877,0.99999999341206,0.99990580406929,0.624360464842515,0.999962525023017,0.999996022149681,0.999999999983661,0.653641290174002,0.999674054629183,0.999999863375726,0.999999966870309,0.816359573669809,0.999999995013742,0.999994470189067,0.99999986336239,0.908761827649895,0.999999991615645,1,0.999999888469224,173.0347,366.1888,177.5312,226.290063283582,224.1162,325.16385,179.092,196.0784,216.6298,196.5433,NA,NA,NA,3.97761838638288,NA,34.21115,1.80229999999999,NA,17.1787913024074,NA,173.0347,366.1888,177.5312,175.51725,224.1162,308.058275,178.19085,196.0784,191.5917,196.5433,173.0347,366.1888,177.5312,268.2102,224.1162,342.269425,179.99315,196.0784,228.2958,196.5433,1,1,1,335,1,2,2,1,9,1
"ZNF506",1,0.999998258071018,0.99999941555828,0.999515272020904,0.999766422586675,0.999999994231282,0.999987705999364,0.999973527581513,0.998386571129242,0.944870965446822,0.931691806007167,0.944925719935271,0.993836779941314,0.92570719828066,0.666218817534361,1,1,0.999997485290488,0.995893104614705,0.999920679058403,0.824933885975362,1,1,0.999998087621406,0.999483646794582,0.99998858524719,0.930378685765704,1,0.998165529601468,0.99895115908036,0.999998915433334,0.999967956564442,0.917118873477382,0.988427560975969,0.98889803097775,0.99807377657202,0.982522083342204,0.986615543794979,0.999049513500897,0.996910193561451,0.861572153733266,0.999999999991897,0.963114993261267,0.982103023803319,0.999623398826212,191.48,203.1063,290.9847,327.98968,66.9192,522.32295,201.11915,190.4139,361.252511111111,500.554,NA,NA,NA,10.7451876064696,NA,102.76275,40.07325,NA,49.0648446015108,NA,191.48,203.1063,290.9847,206.87115,66.9192,470.941575,181.082525,190.4139,277.1704,500.554,191.48,203.1063,290.9847,396.5329,66.9192,573.704325,221.155775,190.4139,378.882,500.554,1,1,1,335,1,2,2,1,9,1
"ZNF324",0.999926115437652,0.981171473972711,0.801775985794956,0.999864699234939,0.931584432072727,0.992154150040433,0.999999824559061,0.999999818808188,0.923872363042959,0.99268347937016,0.876249783064428,0.996566941897521,0.126248787309653,0.0186569515289903,0.96939198776938,0.999471800200492,0.94152227754888,0.999858957525789,0.999997596282734,0.990520439483219,0.159566288710869,0.969410004239521,0.751856794346056,0.999999999995676,0.982467254826961,0.893904489325888,0.0982629214149453,0.999509035409635,0.999999995150257,0.995321701844947,0.945529525918091,0.97295879177031,0.999924145261438,0.195102900628243,0.997575039164589,0.911518513042251,0.999534187050438,0.963299513248245,0.999990689847315,0.999997035724046,0.993596192918391,0.366418461592237,0.999999999986052,0.999957153455911,0.999167923268505,182.6965,225.2091,96.2552,150.342246268657,203.9141,284.40645,136.01925,89.7603,172.128111111111,129.6255,NA,NA,NA,2.90803877333131,NA,113.74165,4.67635000000001,NA,21.023006055407,NA,182.6965,225.2091,96.2552,111.9962,203.9141,227.535625,133.681075,89.7603,128.1604,129.6255,182.6965,225.2091,96.2552,181.03295,203.9141,341.277275,138.357425,89.7603,197.4249,129.6255,1,1,1,335,1,2,2,1,9,1
