"gene","p-adj-Head & Neck Squamous Cell Carcinoma Basaloid Type-Head & Neck Squamous Cell Carcinoma","p-adj-Head & Neck Squamous Cell Carcinoma, Spindle Cell Variant-Head & Neck Squamous Cell Carcinoma","p-adj-Head & Neck Squamous Cell Carcinoma, Spindle Cell Variant-Head & Neck Squamous Cell Carcinoma Basaloid Type","mean-Head & Neck Squamous Cell Carcinoma","mean-Head & Neck Squamous Cell Carcinoma Basaloid Type","mean-Head & Neck Squamous Cell Carcinoma, Spindle Cell Variant","SEM-Head & Neck Squamous Cell Carcinoma","SEM-Head & Neck Squamous Cell Carcinoma Basaloid Type","SEM-Head & Neck Squamous Cell Carcinoma, Spindle Cell Variant","Q1-Head & Neck Squamous Cell Carcinoma","Q1-Head & Neck Squamous Cell Carcinoma Basaloid Type","Q1-Head & Neck Squamous Cell Carcinoma, Spindle Cell Variant","Q3-Head & Neck Squamous Cell Carcinoma","Q3-Head & Neck Squamous Cell Carcinoma Basaloid Type","Q3-Head & Neck Squamous Cell Carcinoma, Spindle Cell Variant","count-Head & Neck Squamous Cell Carcinoma","count-Head & Neck Squamous Cell Carcinoma Basaloid Type","count-Head & Neck Squamous Cell Carcinoma, Spindle Cell Variant"
"ZNF195",0.00062570170061016,0.858436906248609,0.230813838974432,214.173881372549,329.57105,163.0993,4.19881891906941,56.7841206096921,NA,153.79595,223.1319,163.0993,258.132875,401.132625,163.0993,510,10,1
"ZNF263",0.0109719964634745,0.937251965072911,0.448358676336609,640.592375882353,819.21402,574.2935,8.50812224244818,77.0884613934491,NA,511.047525,651.336975,574.2935,739.70985,986.906175,574.2935,510,10,1
"ZNF200",0.933373752920643,0.226443146896739,0.308502870847733,265.132122156863,255.98505,131.5132,3.58952565385924,24.226292568829,NA,209.2896,214.170725,131.5132,310.16455,300.1502,131.5132,510,10,1
"ZNF582",0.969195221384533,0.999864675284219,0.998173611523426,9.34475607843137,8.58774,9.1887,0.443592156792176,1.53046541688032,NA,3.153825,5.8932,9.1887,11.25275,9.974075,9.1887,510,10,1
"ZNF285",0.333020335282364,0.517080559090552,0.812230494678238,12.9049625490196,21.31947,33.309,0.816334477642316,8.33071816697496,NA,3.26725,4.026175,33.309,16.33585,17.36955,33.309,510,10,1
"ZNF275",0.998143769319107,0.000363617524571591,0.000770050808302725,421.521836078431,426.11369,1380.6015,11.0359288939768,43.5433150777717,NA,243.857875,365.2563,1380.6015,540.410225,457.5208,1380.6015,510,10,1
"ZNF37A",3.02265223961484e-09,0.612762025110536,0.0146618966770524,321.395623921569,701.03189,141.2762,6.8059502524944,274.932426666869,NA,215.128325,343.891175,141.2762,389.894675,556.7043,141.2762,510,10,1
"ZNF510",0.142922148392154,0.605401039567496,0.298014055748577,184.701838431373,229.10789,114.2844,3.26860441710908,19.6352144511417,NA,132.437925,201.66425,114.2844,220.8898,277.3993,114.2844,510,10,1
"ZNF506",0.799977149573473,0.968062756965581,0.999213915370686,158.95092745098,180.68718,184.9225,4.75117978196552,26.2943111009832,NA,72.934875,115.9902,184.9225,228.76205,261.70625,184.9225,510,10,1
"ZNF324",0.954926601850516,0.154645302609758,0.153500617557727,240.02524,247.41536,91.887,3.52396769015451,32.0058285961139,NA,186.751475,163.34485,91.887,281.277675,288.0289,91.887,510,10,1
"ZNF671",0.468733908782009,0.872690153364609,0.683183985847874,37.424412745098,49.18494,21.8232,1.38177704200348,12.2123348622175,NA,16.13075,18.193375,21.8232,51.882225,69.810275,21.8232,510,10,1
"ZNF416",0.50832774864745,0.425485001131382,0.670064350944862,146.651857254902,124.43372,68.3409,2.79073733462144,12.400432093554,NA,106.18545,94.560725,68.3409,174.901575,149.004875,68.3409,510,10,1
"ZNF586",0.0807626937615996,0.977339277086082,0.672288487543702,132.024670588235,172.40369,120.0273,2.6082284442113,16.2190141706061,NA,94.62915,155.3077,120.0273,158.31475,200.599325,120.0273,510,10,1
"ZNF446",0.0823147577996022,0.765174153774235,0.999906740199171,191.9391,258.88367,260.2181,4.3105269836005,38.5449360534805,NA,129.3853,172.51395,260.2181,224.82495,261.73075,260.2181,510,10,1
"ZNF8",0.833342461881285,0.695295761022611,0.6083307419811,92.3121254901961,99.00022,62.6956,1.61414177311941,10.6224843141308,NA,65.965,79.566425,62.6956,111.93695,106.893125,62.6956,510,10,1
"ZNF264",0.927373770605817,0.930427066170492,0.970611385972783,649.630015294118,620.9345,561.659,10.7547934260216,78.2123477075498,NA,487.200475,467.255975,561.659,784.548275,689.64045,561.659,510,10,1
"ZNF213",0.387781484377471,0.998755385764068,0.932975999116498,494.26968745098,420.01301,485.8523,7.86399958127013,42.4295853334399,NA,378.057975,289.190025,485.8523,576.80645,532.5614,485.8523,510,10,1
"ZNF343",0.114026188701638,0.561751060113182,0.9273944309209,255.51043254902,322.31204,362.9535,4.62258048755369,39.4046359052028,NA,191.37665,232.316825,362.9535,289.294825,335.16655,362.9535,510,10,1
"ZNF302",2.9982730239686e-06,0.588066480517228,0.836583730794224,224.534504117647,421.10964,346.8733,5.49253167927314,44.6462986602254,NA,142.1027,299.38285,346.8733,275.575325,506.7665,346.8733,510,10,1
"ZNF268",0.890054463327577,0.611260983867118,0.725822296121565,265.59808745098,244.36892,128.6417,6.43229506954702,31.6824019447207,NA,159.338325,148.3011,128.6417,358.338925,296.763,128.6417,510,10,1
"ZNF184",0.00226398340490275,0.834907111252171,0.257562206292298,198.361493921569,291.76916,148.742,3.81476392209341,34.5794597070355,NA,142.9967,225.121975,148.742,232.6062,323.213075,148.742,510,10,1
"ZNF500",0.133606945021601,0.991417853580137,0.761014563948249,198.209392352941,238.00884,190.0911,2.84779582847208,28.6961479890873,NA,153.357975,162.35615,190.0911,235.037725,303.489925,190.0911,510,10,1
"ZNF419",0.882428358545619,0.933406185816322,0.879599024268916,123.368108627451,133.44372,99.9271,2.93733566626551,18.8574092428225,NA,79.0408,101.21255,99.9271,156.70035,172.26925,99.9271,510,10,1
"ZNF175",0.86652566854214,0.896987559213863,0.960991704231727,102.496369019608,110.80979,125.196,2.25368739681891,18.748168942874,NA,68.32595,66.603425,125.196,131.44065,134.125575,125.196,510,10,1
"ZNF14",0.00336742614590402,0.902288003788645,0.33872499877086,88.2825076470588,157.0829,59.7265,2.93225237298351,17.37103691148,NA,36.7509,119.79905,59.7265,125.85035,179.310275,59.7265,510,10,1
"ZNF85",0.991173141547275,0.295110890444337,0.348821557563296,41.8577568627451,43.52458,103.3728,1.82496979574917,12.0681183662556,NA,13.9063,14.0447,103.3728,55.0256,68.897975,103.3728,510,10,1
"ZKSCAN1",0.759582236548298,0.568551503358295,0.732401452756647,708.135974901961,612.19619,276.8095,18.7301723828746,167.901438208959,NA,409.85855,332.029025,276.8095,935.3062,528.34475,276.8095,510,10,1
"ZNF862",0.340768255224068,0.149590449148687,0.365812770410883,196.940278627451,260.79267,463.4548,6.33909503031209,35.2055142249874,NA,97.707225,177.170025,463.4548,253.752875,354.1381,463.4548,510,10,1
"ZNF684",0.00162127244182009,0.999944985350789,0.535320928570743,37.5306892156863,59.88044,37.3291,0.886226170576961,8.60136483655937,NA,25.8248,42.8699,37.3291,44.190825,75.05615,37.3291,510,10,1
"ZNF430",0.810194778336637,0.706502948165575,0.83607174868246,119.635274313725,105.19379,61.4494,3.23794633034246,23.6583260795173,NA,76.766575,52.91705,61.4494,155.8929,174.46445,61.4494,510,10,1
"ZFP30",0.0165921449647641,0.941936356800324,0.48142806562026,112.308167058824,180.62933,86.7183,3.44982108390097,18.189822576192,NA,56.6217,144.019625,86.7183,153.0207,214.515725,86.7183,510,10,1
"ZNF549",0.981567440393678,0.979588139413767,0.990914615207499,93.2120103921569,89.6785,81.5497,2.65257465814035,24.2753119302353,NA,47.367875,32.411625,81.5497,127.683575,139.10395,81.5497,510,10,1
"ZNF211",0.884772825481474,0.999074913944852,0.994007601205611,164.523830784314,176.15778,167.6937,3.436391699368,17.9605612178697,NA,111.763425,131.635075,167.6937,203.71945,208.65985,167.6937,510,10,1
"ZNF205",0.840679368268188,0.851894910616699,0.771918434044413,358.548902156863,398.68044,237.6484,9.96299326687169,47.1889594376039,NA,243.1752,308.01155,237.6484,396.9904,506.182375,237.6484,510,10,1
"ZNF45",0.927078377192366,0.86272893571903,0.816376258375428,207.398462352941,220.13912,151.6135,4.78268792918898,26.7210557533726,NA,151.844675,156.40485,151.6135,241.779225,296.569225,151.6135,510,10,1
"ZNF133",0.611566346101959,0.996926196268384,0.974465929774809,390.613802941176,445.87977,404.3026,8.16083348487365,25.8762809975727,NA,260.314975,394.845,404.3026,464.87255,509.976325,404.3026,510,10,1
"ZNF436",0.554798542888576,0.84271585014015,0.974440396837324,749.283173921569,651.76694,584.7284,13.105447826111,72.4382052600655,NA,541.82055,500.467575,584.7284,932.2717,784.957825,584.7284,510,10,1
"ZNF484",0.918019363330783,0.742809149959276,0.830077717370367,88.5550076470588,82.93794,55.7065,1.99048330999112,6.80093065071408,NA,58.755775,72.58945,55.7065,111.34735,98.5774,55.7065,510,10,1
"ZNF780B",0.347838111476023,0.785079483552227,0.54232519137797,150.829968039216,189.05074,93.6098,3.8245766859992,24.5614377159092,NA,98.301375,152.726975,93.6098,183.912775,248.31485,93.6098,510,10,1
"ZNF557",0.0582180325224603,0.567940632876046,0.219624910816528,150.530592156863,196.04202,87.2926,2.76171655018653,17.7482712915859,NA,110.63975,151.96275,87.2926,177.874575,213.5954,87.2926,510,10,1
"ZNF337",0.0511060846219321,0.514381042405823,0.939305609362606,350.223925098039,487.93352,553.0389,8.19847190723271,36.637845965746,NA,227.133875,382.0174,553.0389,425.91025,560.55335,553.0389,510,10,1
"ZNF317",0.924332447962609,0.717641643031207,0.668205032117623,763.71163745098,803.63564,506.5268,14.738420446341,60.2000671327481,NA,612.034025,673.21175,506.5268,848.144925,954.5246,506.5268,510,10,1
"ZNF426",0.342498610396478,0.706556626042235,0.940862876710719,160.698476862745,97.2394,47.6664,6.33223420759515,24.5300126336381,NA,77.4001,43.111525,47.6664,198.163575,119.475475,47.6664,510,10,1
"ZNF331",0.603016726868774,0.0670369384883797,0.158625280003274,200.869694313725,248.15385,545.5788,6.83387035870599,49.6255459064029,NA,84.0251,116.425425,545.5788,269.3323,386.59655,545.5788,510,10,1
"ZNF227",0.238392515899415,0.926213548008484,0.672723778616196,212.006834705882,265.77705,173.1839,4.61570933601582,28.2265964931471,NA,149.10545,203.52785,173.1839,251.40975,316.58535,173.1839,510,10,1
"ZNF141",0.143514974209789,0.87982824469369,0.55540581690874,40.6211249019608,54.76964,29.289,1.03512879359493,9.1498472378529,NA,24.729025,32.866825,29.289,50.80605,61.402025,29.289,510,10,1
"ZNF304",0.594451639497785,0.59963710098368,0.806788622158281,263.560747843137,229.39421,157.3564,4.85295006623906,41.3823391345241,NA,194.714175,139.05225,157.3564,320.0586,313.782425,157.3564,510,10,1
"ZNF132",0.126710503614974,0.965798561277955,0.682950523695937,38.8583419607843,56.83453,31.5861,1.26837348463361,13.1025467169304,NA,20.879875,31.84275,31.5861,46.559475,56.143575,31.5861,510,10,1
"ZNF20",0.000615420319276638,0.995701103815177,0.544375518638025,79.8849568627451,120.87505,82.928,1.52995068420669,7.45484697214205,NA,57.907625,107.950075,82.928,98.417725,135.161525,82.928,510,10,1
"ZNF670",0.000291412822766568,0.774979857738656,0.156432754703646,61.8225052941176,103.70412,39.052,1.44924181256501,19.3428935036721,NA,41.689775,60.53135,39.052,73.982575,126.306,39.052,510,10,1
"ZFP37",0.000262458084274608,0.94574941364872,0.641280506497278,55.3912864705882,106.67759,68.3409,1.79116031248218,16.2682472609371,NA,28.51835,80.5652,68.3409,72.8447,149.2868,68.3409,510,10,1
"ZNF189",0.00846824480034392,0.898706995637234,0.380540270341807,329.595078235294,460.93039,268.7693,6.12316484253422,38.7659659161843,NA,242.67515,355.374475,268.7693,395.614,579.1247,268.7693,510,10,1
"ZNF434",0.167133176564964,0.598020426760491,0.304192766343313,305.672778627451,356.86227,219.9544,3.91485996515556,30.3596355393109,NA,247.3617,291.42515,219.9544,352.47865,428.275225,219.9544,510,10,1
"ZNF287",0.488336368426545,0.0268114397522773,0.0864390705425101,66.7921815686275,85.04868,196.4084,2.21549925677918,15.9768496921834,NA,27.62655,54.077525,196.4084,91.526225,101.263675,196.4084,510,10,1
"ZIM3",0.800764667774867,0.954903817639983,0.996231977356053,0.295705294117647,0.08861,0,0.045594776115058,0.0590746541815241,NA,0,0,0,0,0,0,510,10,1
"ZFP14",0.000543155323514566,0.875582501712971,0.240160186028845,78.1016454901961,149.72948,48.8149,2.63412796605606,20.383549934122,NA,37.362575,104.555125,48.8149,101.549125,163.8698,48.8149,510,10,1
"ZNF473",0.412343553698198,0.616060226926657,0.405544404895947,272.154788431373,320.49469,160.2279,5.27667779378917,36.9665987487367,NA,193.62795,230.041225,160.2279,324.5423,374.8886,160.2279,510,10,1
"ZNF614",0.99786808682874,0.993607023160958,0.996117792753813,160.059705686274,157.55435,146.4448,5.60690950419305,29.2295956765827,NA,70.245675,82.615075,146.4448,213.274125,216.012875,146.4448,510,10,1
"POGK",0.156971401538148,0.920131558486594,0.620403319054787,1360.12004843137,1791.1286,1075.0774,32.6595612901739,115.136273014513,NA,1036.455075,1549.31185,1075.0774,1536.351075,2013.20735,1075.0774,510,10,1
"ZNF514",0.00497029522148207,0.891116721217813,0.344557172636955,131.974187843137,211.10809,95.907,3.46757259315788,32.1226662277258,NA,80.120875,143.0013,95.907,158.6322,229.3607,95.907,510,10,1
"ZNF300",0.000119562651740845,0.999965676674912,0.413860824633508,95.4462607843137,210.59811,94.7584,3.75513162483078,54.6327321095441,NA,37.24635,72.33595,94.7584,127.529925,312.828725,94.7584,510,10,1
"RBAK",0.859065987602408,0.837962946493882,0.923188326840108,551.367878235294,514.33524,426.1258,9.83139212654612,43.9091474284755,NA,398.017075,430.598775,426.1258,656.2972,590.837675,426.1258,510,10,1
"ZNF92",0.574982982181564,0.906309964756201,0.758414066628705,155.40493254902,180.46684,122.3245,3.46503911497405,24.0630390047253,NA,103.097075,116.803025,122.3245,189.875775,189.712925,122.3245,510,10,1
"ZNF157",0.0908194899422232,0.937585412567003,0.598902472351994,2.11583921568627,5.13566,0.5743,0.19861142770179,1.71900558962313,NA,0,0.552725,0.5743,1.92005,7.21725,0.5743,510,10,1
"ZNF182",0.0168040101870213,0.719132144179744,0.994570309837627,111.310174705882,168.02007,161.2961,2.8598927272778,19.0667008050513,NA,74.282625,130.164625,161.2961,133.019225,204.560775,161.2961,510,10,1
"ZNF673",0.858516298623553,0.0248652725429001,0.05191026115465,152.639265686275,176.16913,519.1613,6.24724803004669,16.8000165100385,NA,102.696925,123.2519,519.1613,175.51395,217.993125,519.1613,510,10,1
"ZNF41",0.989474176523725,0.990769323705931,0.996335533883113,182.593492941176,176.14639,163.6736,6.48819526414491,28.6322336180375,NA,121.194475,117.02185,163.6736,220.502475,224.8333,163.6736,510,10,1
"ZNF7",0.568520298525438,0.452314923626706,0.679021749131438,477.796121568627,532.58474,681.5026,7.5284710023054,37.6401202984062,NA,354.4774,444.9172,681.5026,552.2756,638.52695,681.5026,510,10,1
"ZNF214",0.0806412850781264,0.887017956872894,0.975985118898188,14.9067715686275,28.466,24.1203,0.842192451448602,13.9657256819926,NA,2.60965,3.37135,24.1203,19.385,30.098025,24.1203,510,10,1
"ZNF215",0.971734581947441,0.72992514445846,0.708562476362704,36.524692745098,33.68519,66.0437,1.7303613607759,10.6736661120457,NA,7.086125,5.3951,66.0437,50.90295,60.079,66.0437,510,10,1
"ZNF547",0.309722912914503,0.984981305651174,0.9555341103042,35.1624949019608,44.41934,38.4489,0.869545867492586,8.90380331223311,NA,21.757075,18.477325,38.4489,43.974975,63.025825,38.4489,510,10,1
"ZNF773",0.771833356381566,0.984849066787939,0.928218564211041,86.6574009803922,96.39336,79.2525,1.95350178750573,19.1435404063918,NA,58.7504,43.730025,79.2525,110.608675,145.10585,79.2525,510,10,1
"ZNF776",0.973711424774548,0.767395667539664,0.746508715545056,256.71004,264.50473,179.6275,4.88750722951327,45.4627569785596,NA,189.15005,138.755775,179.6275,317.348575,370.534075,179.6275,510,10,1
"ZNF256",0.205024953135931,0.99422029997451,0.90711825013019,74.677551372549,105.00097,80.4011,2.46032722111653,20.9366551120387,NA,30.92285,59.606875,80.4011,104.0536,157.124675,80.4011,510,10,1
"ZNF599",0.00238497775425506,0.0620046875536869,0.492233603977656,60.2263462745098,94.56036,132.6618,1.41928949151119,8.61540418858634,NA,38.8567,67.803175,132.6618,73.320175,112.763775,132.6618,510,10,1
"ZNF18",0.0257347275616816,0.638761912238562,0.997355609745361,211.035144901961,286.30614,292.8897,3.99034460269354,35.9517439774583,NA,155.5966,213.7917,292.8897,246.7376,340.949925,292.8897,510,10,1
"ZKSCAN2",0.790272383661711,0.999918624017228,0.980812521661476,127.266020784314,141.02383,128.0674,2.9098954187782,23.8623101862938,NA,89.96145,106.863025,128.0674,155.34475,151.0196,128.0674,510,10,1
"ZNF689",0.957905495589456,0.620235520156764,0.700388580231176,129.018325098039,123.32738,69.4895,2.84037125486554,12.6993040456537,NA,84.6611,95.5516,69.4895,166.170825,142.705075,69.4895,510,10,1
"ZNF19",0.351966569118898,0.985266922010379,0.96241145986074,29.1207333333333,35.08933,31.3449,0.601319134228755,3.53635119592215,NA,19.407875,27.163025,31.3449,36.809075,39.334975,31.3449,510,10,1
"ZNF230",0.0976521169554937,0.934921822823325,0.952861114030582,73.7831282352941,102.53445,89.0155,1.93330626549315,11.6150749939058,NA,49.69595,72.5059,89.0155,88.70395,134.154375,89.0155,510,10,1
"ZNF222",0.567203820644585,0.696083531981599,0.887600993122306,43.4185323529412,52.40514,65.9231,1.22798743657915,8.28429299857669,NA,26.68505,31.74185,65.9231,54.891575,74.38045,65.9231,510,10,1
"ZNF221",0.659393573865272,0.534404261755995,0.404718191659339,10.4368350980392,8.07455,19.526,0.379021126491121,1.30108307039003,NA,5.2068,4.092625,19.526,13.5514,11.72035,19.526,510,10,1
"ZNF233",0.00100798205871921,0.98531352825043,0.422613045244602,8.81682549019608,18.29256,7.4658,0.358292611387097,4.51647666139584,NA,4.62785,9.561975,7.4658,10.76585,19.9616,7.4658,510,10,1
"ZNF235",0.813082002817334,0.882406252961318,0.797293142246756,59.9182335294118,68.14157,39.8789,1.86868312381601,9.30426016523912,NA,40.439,47.5574,39.8789,71.358875,85.65155,39.8789,510,10,1
"ZNF208",0.993010526494739,0.900686895428934,0.894351285197235,8.62099235294118,7.76785,18.9517,1.05718924877254,2.39592713130012,NA,1.651075,3.917425,18.9517,7.46635,10.030525,18.9517,510,10,1
"ZNF714",0.423785381694387,0.822354329398495,0.609105339080622,116.479884705882,150.25251,66.0437,3.71365378693761,36.9559650995988,NA,58.415525,57.1397,66.0437,154.672525,221.18375,66.0437,510,10,1
"ZNF394",0.845669866904079,0.846940962669261,0.768215509251391,492.179597843137,534.325,360.6563,10.5472986875,92.6902004643113,NA,371.11405,405.4548,360.6563,550.9888,548.12265,360.6563,510,10,1
"ZNF333",0.00544345717081474,0.861603561604455,0.893055493246835,106.809732156863,155.16421,132.0875,2.14757321010287,16.44502963509,NA,76.5271,131.046525,132.0875,128.0959,190.9962,132.0875,510,10,1
"ZNF382",0.276197706918969,0.965744155930177,0.972043078275634,9.34084078431373,13.51301,11.4859,0.375351906640326,3.40737862594465,NA,4.0243,5.259325,11.4859,11.8138,19.45785,11.4859,510,10,1
"ZNF577",0.00544901586940982,0.991177106575382,0.685625412055749,53.3762221568627,94.18383,58.5779,1.76583267394724,25.9825446576182,NA,26.407275,49.129175,58.5779,69.251925,93.76445,58.5779,510,10,1
"ZNF75A",0.0322059763999757,0.715148129762736,0.285986651076253,215.62975627451,308.17501,125.7703,5.11255750716085,27.1519073502047,NA,132.637225,243.002775,125.7703,271.5158,323.9502,125.7703,510,10,1
"ZNF496",0.581239848288367,0.98238132057707,0.990566349309139,289.161214313726,336.28956,315.8614,6.59641646357746,38.6629149601791,NA,185.542625,254.2549,315.8614,351.184575,384.0766,315.8614,510,10,1
"ZNF2",0.049071981811735,0.963060292273861,0.597911340617791,100.340425098039,126.32627,91.3127,1.5347108066181,7.89840568497564,NA,78.56165,111.475425,91.3127,118.338375,145.8499,91.3127,510,10,1
"ZNF589",0.000214220606071458,0.626198468967688,0.0911620644272461,254.864261960784,477.06093,94.1841,7.62751571565073,80.0236946531075,NA,141.616225,276.84545,94.1841,316.0396,613.7163,94.1841,510,10,1
"PRDM9",0.857941606251856,0.972631302757495,0.998419253852253,0.684097843137255,0.17113,0,0.136043381325515,0.134776140362867,NA,0,0,0,0,0,0,510,10,1
"ZNF12",0.95802219871471,0.997429504106921,0.98765109130681,612.62817372549,634.13081,596.1166,10.7526215963519,44.4708921706933,NA,438.6375,533.6745,596.1166,729.949525,709.890325,596.1166,510,10,1
"ZNF202",0.357656596044055,0.81437642155413,0.577327624327147,218.580091568627,252.93505,170.5652,3.46984846738917,28.0950688079609,NA,159.06495,181.739475,170.5652,271.106175,321.0613,170.5652,510,10,1
"ZNF3",0.0608474226593138,0.99974837475969,0.780452269695637,514.068479215686,692.20708,519.3221,10.8274136408093,95.9251473570499,NA,354.769275,477.6748,519.3221,600.36905,787.01775,519.3221,510,10,1
"ZNF606",0.00101271804221759,0.961510679248518,0.367723098738357,116.189131372549,212.16818,93.8912,3.65791323976864,38.9325949751156,NA,52.506975,120.529625,93.8912,163.076375,263.42195,93.8912,510,10,1
"ZNF91",0.412242881387379,0.971220763690779,0.816564461619554,138.321692941176,185.72379,111.4129,5.17938344102478,33.7747708928144,NA,53.121375,128.06335,111.4129,189.6869,207.706325,111.4129,510,10,1
"ZNF226",0.493314842955865,0.782903951621647,0.954407752278974,187.627236470588,226.99126,260.1549,4.83905321121469,20.7576350623047,NA,124.47345,184.87955,260.1549,229.048375,259.0274,260.1549,510,10,1
"ZNF229",0.997617740792834,0.957726162391519,0.955555970725189,48.523588627451,51.17052,13.2087,5.6039676370052,28.9531011434615,NA,5.484275,2.3399,13.2087,42.041525,31.75295,13.2087,510,10,1
"ZNF180",0.546286638704419,0.898803069491208,0.740183013028886,149.85783372549,195.25333,90.1641,6.03834334728723,23.2534095690458,NA,105.50035,143.123825,90.1641,168.94075,232.620525,90.1641,510,10,1
"ZNF641",0.894882211966777,0.501246041471396,0.449529253235248,145.10273627451,158.35311,41.3491,4.04992265817841,43.1092986459133,NA,87.0895,75.536,41.3491,183.76835,174.28655,41.3491,510,10,1
"ZNF610",0.683597693100077,0.998508961992947,0.950715362953291,11.2452076470588,15.87447,10.3373,0.770613911893412,6.05406953656519,NA,2.876175,5.03895,10.3373,11.6472,20.830425,10.3373,510,10,1
"ZNF528",0.685153550646636,0.800904243791997,0.933405738152813,108.989771960784,136.78808,175.7338,4.63061731357385,40.2200054658093,NA,25.659125,51.298125,175.7338,164.326125,179.23025,175.7338,510,10,1
"ZNF701",0.786661803188906,0.959222737664488,0.997930360581499,42.3902005882353,50.39393,52.835,1.68901481397342,8.28021573436143,NA,17.451275,36.140625,52.835,53.825575,71.280325,52.835,510,10,1
"ZNF283",0.994055472723067,0.396105877815942,0.411745915556028,56.3187552941176,57.15541,23.546,1.1181010146849,6.91631067145628,NA,41.9934,44.360325,23.546,66.242225,64.2945,23.546,510,10,1
"ZNF558",0.0717266762779725,0.937883596138593,0.579688116938066,312.920275098039,408.57836,266.4722,5.99655655050943,52.790165319175,NA,228.277,267.343475,266.4722,369.717075,576.4904,266.4722,510,10,1
"ZNF597",0.832097983764893,0.607499275231119,0.744086649825051,43.5769498039216,39.25541,21.2489,1.03741791166595,7.3886135912625,NA,29.600175,30.508725,21.2489,55.294075,54.2521,21.2489,510,10,1
"ZNF30",0.0575719400787412,0.896329532520971,0.959771201978202,45.7841280392157,64.90136,57.4293,1.14153464975173,12.7669352849043,NA,27.2828,41.7953,57.4293,59.611425,71.87955,57.4293,510,10,1
"ZNF354A",0.031256501110129,0.906794314354402,0.469986823584462,238.761671764706,334.22499,188.9426,5.207460656689,45.572139985935,NA,156.646675,219.011875,188.9426,286.1613,438.702975,188.9426,510,10,1
"ZNF764",0.0771270696903987,0.941068250815119,0.591183216928538,153.956324509804,200.78191,131.5132,2.98578391005994,23.2397223553861,NA,116.8402,157.6203,131.5132,174.60465,211.8716,131.5132,510,10,1
"ZNF747",0.0528351052139747,0.997158939776316,0.797910002472001,200.127094901961,262.44334,206.1541,3.70203072033348,30.0662076940068,NA,152.62015,186.84775,206.1541,235.251375,312.142525,206.1541,510,10,1
"ZNF778",0.936917990628913,0.551970148075106,0.648214719896314,73.2161003921569,69.67334,39.6262,1.42795123429735,10.5452555160571,NA,51.08435,48.637825,39.6262,87.08465,81.060975,39.6262,510,10,1
"ZNF212",0.950133580779189,0.73771405876597,0.701763005019488,433.154606666667,446.53496,330.793,6.09012589448813,43.7601221741926,NA,342.76025,320.225925,330.793,507.28075,535.12095,330.793,510,10,1
"ZNF282",0.148684189820188,0.923378465421027,0.976850994659695,1116.46371901961,901.20876,979.1704,15.9897622515626,105.213320410997,NA,869.900875,676.54695,979.1704,1306.422725,1163.05675,979.1704,510,10,1
"ZNF160",0.992844921595192,0.936256119254452,0.953105482948456,305.440515490196,312.10204,368.6964,8.14363874086086,32.1393881695315,NA,176.319925,280.76685,368.6964,412.53765,353.89835,368.6964,510,10,1
"ZNF415",0.750959604343008,0.817954027855138,0.932205055195458,26.4239645098039,34.51582,47.6664,1.55551715993497,11.1524507962231,NA,7.68665,12.193075,47.6664,29.351,63.536975,47.6664,510,10,1
"ZNF439",0.132431669776481,0.980324033680919,0.913529265025754,34.0390282352941,57.69237,41.3491,1.69555670961066,14.9341297345752,NA,13.077875,23.555325,41.3491,38.223825,89.0944,41.3491,510,10,1
"ZNF440",0.0330148052542306,0.393935559145055,0.111198085229272,335.880474117647,486.52652,90.7384,8.24917456780305,83.3101368933027,NA,222.2284,357.406525,90.7384,415.140075,563.794025,90.7384,510,10,1
"ZNF562",0.168198307828238,0.19479550573391,0.513647738757853,614.614283921569,474.14431,192.9626,10.7838681202493,74.9388229395321,NA,436.968575,357.796325,192.9626,750.269925,510.46405,192.9626,510,10,1
"ZNF561",0.371372161416041,0.493884381004709,0.779575553513027,670.695270196078,562.7473,385.3509,11.1702952087324,64.4771860444107,NA,504.7893,484.34435,385.3509,801.2798,701.40245,385.3509,510,10,1
"ZNF584",0.771795498052464,0.852375168071537,0.75010056184732,229.707296470588,248.60585,183.1996,3.83747005756259,19.26678763882,NA,170.775925,198.606775,183.1996,265.185875,287.70075,183.1996,510,10,1
"ZNF274",0.969384189585424,0.519118818759186,0.505209444567169,407.108149411765,421.12216,205.0228,8.18881831877826,55.8314837880369,NA,283.512275,305.27925,205.0228,502.0012,514.7295,205.0228,510,10,1
"ZIK1",0.856988981297253,0.97949588482771,0.936091034838866,28.3455392156863,34.52671,21.2489,1.61806010343049,12.095953991576,NA,10.84755,5.864,21.2489,29.9057,58.539325,21.2489,510,10,1
"ZNF540",0.0303845759255741,0.964824464431193,0.856362825880788,15.723237254902,29.6471,20.1003,0.756331112974077,6.64218685966201,NA,5.9833,14.8644,20.1003,19.361675,33.3096,20.1003,510,10,1
"ZNF570",0.70708400836542,0.620921394050261,0.794208987895575,29.0394960784314,35.19838,51.6864,1.07463975131685,8.25529501616723,NA,10.110175,13.26365,51.6864,42.845625,45.55175,51.6864,510,10,1
"ZNF57",2.19003179480204e-07,0.324815609996706,0.00722311682524746,147.567306470588,276.05274,41.9234,3.24463775373703,29.4351726765152,NA,101.266425,229.63805,41.9234,175.694325,303.290375,41.9234,510,10,1
