"gene","p-adj-[Unknown]-[Not Evaluated]","p-adj-Negative-[Not Evaluated]","p-adj-Negative-[Unknown]","p-adj-Positive-[Not Evaluated]","p-adj-Positive-[Unknown]","p-adj-Positive-Negative","mean-[Not Evaluated]","mean-[Unknown]","mean-Negative","mean-Positive","SEM-[Not Evaluated]","SEM-[Unknown]","SEM-Negative","SEM-Positive","Q1-[Not Evaluated]","Q1-[Unknown]","Q1-Negative","Q1-Positive","Q3-[Not Evaluated]","Q3-[Unknown]","Q3-Negative","Q3-Positive","count-[Not Evaluated]","count-[Unknown]","count-Negative","count-Positive"
"ZNF195",0.620010026856647,0.0292682442182453,0.999927267065005,0.28941386748567,0.193687304054387,0.00114181560594784,238.41934954955,196.646625,198.706081944444,269.485158974359,9.93538035498207,27.005238499613,8.38913670144021,16.3911294510133,178.3987,170.5274,146.289975,213.0729,271.4259,223.155725,240.99925,323.3112,111,8,72,39
"ZNF263",0.999843268832559,0.000987104757669943,0.453482120694643,0.292357468886399,0.865435197879847,0.593620097479064,730.225810810811,724.431975,609.578891666667,661.594230769231,20.5228767294947,152.13022263089,21.0543610181643,27.7692152435832,589.5639,523.8178,475.777875,568.77195,834.8036,663.34255,713.34885,781.2575,111,8,72,39
"ZNF200",0.988065072891152,0.972985136642342,0.96015084716275,0.0843532339996141,0.838570915564081,0.0545387866328078,266.850374774775,256.831325,272.343065277778,229.632333333333,8.47597637642758,44.3022884845481,9.70966630345679,9.3366434995504,203.82585,147.07815,221.3727,183.72895,323.3491,354.366725,313.47935,269.5585,111,8,72,39
"ZNF582",0.831717218987084,0.34119132152495,0.998705348226883,0.506075984933333,0.999178584062037,0.999989814693223,7.95166666666667,10.831525,10.3000027777778,10.3562384615385,0.923499857448913,4.22342420815783,0.977329576740959,1.46625963374297,2.63685,3.2714,3.86805,3.45725,8.71225,10.48925,16.29675,12.69845,111,8,72,39
"ZNF285",0.985770550751512,0.834794980394214,0.904217815206061,0.999796971086101,0.983244483722901,0.942969914953679,13.752609009009,10.8013,16.7207819444444,14.1114692307692,1.51907267314333,5.12034965606424,4.04751849601847,2.5359152790832,2.5985,1.863775,5.050425,2.26965,16.84935,12.5024,15.556675,21.96935,111,8,72,39
"ZNF275",0.807382148645306,0.00914028157433711,0.135051438931146,0.361424939254932,0.364893881060136,0.811285565460105,356.536727927928,274.7600625,476.503966666667,432.460984615385,23.3219022762761,42.9856892649209,30.1701315402689,42.5046902746642,184.1245,234.53145,275.7827,290.9333,452.3608,344.740375,660.1996,495.8364,111,8,72,39
"ZNF37A",0.882067871752965,0.431185229664842,0.539448661654042,0.0385896447033894,0.197268260800612,0.523783567341999,289.473598198198,223.8050375,345.210519444444,411.177620512821,28.1700680206382,43.6581697040237,21.2690911041403,29.3840869512912,189.0983,142.759725,227.014425,278.23655,328.71385,274.3075,420.046525,562.58055,111,8,72,39
"ZNF510",0.949319391397253,0.221151618560755,0.557062603619368,6.93459214952119e-05,0.041642896552725,0.0341190485087294,161.495944144144,148.652775,180.429697222222,215.760194871795,6.08635968741745,19.9956515594172,6.42776220775233,13.5107846267592,118.4742,113.8048,134.218675,146.76605,195.1939,194.224,214.612625,287.15095,111,8,72,39
"ZNF506",0.851595964952786,0.681530268405359,0.599650679083295,0.99048723120281,0.80240056248156,0.94216966486031,162.360612612613,131.6799125,179.884129166667,168.190592307692,8.98282672160961,41.2411229145412,12.8975297943976,18.6066645851905,91.6664,58.44355,95.581725,71.13185,221.41385,164.292275,254.263075,250.9725,111,8,72,39
"ZNF324",0.468640261756692,0.220735899704914,0.917384720373711,0.0555278116454115,0.0496593008695283,0.000881278644146222,242.046930630631,201.07305,219.593230555556,278.611207692308,7.77049481484457,26.7475007332394,8.38644212204828,11.8140027559035,184.74265,150.096925,163.643575,230.2627,284.84935,225.79655,261.7291,303.2324,111,8,72,39
"ZNF671",0.999808555157935,0.293586317344348,0.920105949058946,0.000474352093281838,0.254070156542661,0.0775051240363472,33.6562828828829,34.620725,42.3310763888889,57.9242717948718,2.63753136058703,9.20227006940504,3.46477406676771,7.69249045624929,15.6022,20.393325,19.591625,21.18545,42.93555,43.209975,60.563775,87.6231,111,8,72,39
"ZNF416",0.631620707780951,0.972764542758922,0.751538077664244,0.998406112435373,0.722171922310981,0.998083232030501,145.967363963964,119.80205,142.044443055556,144.13108974359,6.02121634517221,21.5683492427479,7.39272725685456,6.49508257247874,103.04435,59.757375,95.034,120.71225,172.30405,172.831725,176.31495,164.18245,111,8,72,39
"ZNF586",0.998614774735009,0.998141642188309,0.995985408011643,0.973602432029087,0.999932857702443,0.950988802756055,135.749918918919,139.0155875,134.260095833333,140.274584615385,5.78275359935325,19.8275293738677,5.74577725101762,9.34000635817139,96.2882,104.46575,102.86185,105.7517,165.92635,174.386275,156.6815,174.8743,111,8,72,39
"ZNF446",0.999997777530398,0.0059803028650468,0.525052933417563,0.160715879552677,0.759132899076624,7.24413200430263e-05,216.295972072072,217.0154875,162.647747222222,257.916538461538,11.2923031865403,30.4366596329541,8.5483115227715,20.3462222076869,149.18305,161.491175,120.415125,182.35485,264.19835,247.5712,189.45135,318.78885,111,8,72,39
"ZNF8",0.980625310723507,0.999998638729629,0.980696788005944,0.0717014913943103,0.849700741580648,0.100817477210266,89.1812756756757,94.2530125,89.0963597222222,105.580520512821,3.18274455578276,12.2519145533673,4.28920276082638,6.73698955387774,65.7499,77.39185,63.48705,78.2754,103.2873,110.9447,107.151125,116.77005,111,8,72,39
"ZNF264",0.987179278327644,0.00697276450846551,0.351888882243898,0.0494800765914365,0.404919596043211,0.999940186120424,545.553207207207,518.48705,654.942209722222,652.519164102564,19.2839379819794,120.319349766591,26.8488688039104,37.3651482064138,419.54095,299.272075,491.8234,476.9912,671.1279,630.600675,782.763875,805.87545,111,8,72,39
"ZNF213",0.896117032905987,0.188146216985945,0.436170659438809,0.988414145799375,0.846466813241719,0.610696160983779,437.194345045045,395.6270125,486.319743055556,446.8911,15.6189261652063,93.2577594152979,19.1915167676261,19.4440970785911,327.6213,283.839975,379.2811,347.8997,505.38275,382.062175,575.904925,529.92565,111,8,72,39
"ZNF343",0.284115749830779,0.0739536914323424,0.870591957402609,0.319627847086509,0.825109892478373,0.994624902044488,281.250646846847,213.1608375,242.857045833333,248.001997435897,11.362012784716,36.0768963654122,10.369812248645,13.2497857188685,208.9688,156.876325,179.076275,189.78,309.00445,233.159775,288.8423,301.0941,111,8,72,39
"ZNF302",0.993209072049517,0.731100765011645,0.998668331003921,0.00177327686243534,0.187802914299672,0.000213145668733539,241.90753963964,228.661675,220.874686111111,333.708253846154,12.4230213238394,50.5017359317789,12.3743347603367,29.537758251495,147.9682,143.57925,152.107025,226.3097,316.39715,304.378375,263.9986,405.1175,111,8,72,39
"ZNF268",0.933052575531087,0.0105228298244272,0.249406891400526,0.000983131613671362,0.0809355740858704,0.631790752051425,206.130697297297,178.6954875,265.679356944444,295.485374358974,10.3887306213153,29.3072977995208,15.0267073398257,26.5856418688897,126.78985,130.445775,169.237825,150.64395,256.0237,221.84905,343.47935,456.62175,111,8,72,39
"ZNF184",0.194478044811807,0.998435612891777,0.235625472690583,7.88472731549916e-10,4.08711444765952e-06,4.41135494799738e-09,185.032072072072,127.6271625,183.081091666667,283.832007692308,7.69757645876624,15.6216778497512,6.42017113540338,17.5091609323261,131.6499,95.323475,140.518925,216.11535,221.77295,154.38185,207.946425,355.64215,111,8,72,39
"ZNF500",0.911060013115187,0.686730763569275,0.997077546770998,0.0820454274978785,0.290198948190772,0.0124462692956919,197.823827927928,181.682175,186.691961111111,227.428276923077,6.8910926843281,11.0087846209248,7.04085257848858,10.4342226775664,150.18565,165.16785,148.92885,173.87975,224.3321,206.926575,208.5713,268.99575,111,8,72,39
