"gene","p-adj-T1-T0","p-adj-T2-T0","p-adj-T2-T1","p-adj-T3-T0","p-adj-T3-T1","p-adj-T3-T2","p-adj-T4-T0","p-adj-T4-T1","p-adj-T4-T2","p-adj-T4-T3","p-adj-TX-T0","p-adj-TX-T1","p-adj-TX-T2","p-adj-TX-T3","p-adj-TX-T4","mean-T0","mean-T1","mean-T2","mean-T3","mean-T4","mean-TX","SEM-T0","SEM-T1","SEM-T2","SEM-T3","SEM-T4","SEM-TX","Q1-T0","Q1-T1","Q1-T2","Q1-T3","Q1-T4","Q1-TX","Q3-T0","Q3-T1","Q3-T2","Q3-T3","Q3-T4","Q3-TX","count-T0","count-T1","count-T2","count-T3","count-T4","count-TX"
"ZNF195",0.917409394945033,0.826018254592742,0.796368092102933,0.736429196420022,0.259198858383503,0.812599311988669,0.721905161191633,0.138304653701888,0.580782838410576,0.999981584335014,0.879541731211483,0.996350891377274,0.991340111943847,0.699836818126186,0.558314210150087,342.2863,243.330191666667,222.324935294118,206.193092929293,204.130485714286,232.898864102564,NA,24.8500842697432,7.99756585900399,8.61144482341283,6.09635004423075,13.9399108907938,342.2863,151.525225,158.403075,154.1413,145.2433,173.0411,342.2863,265.44315,263.087525,230.18375,245.27885,270.3094,1,48,136,99,175,39
"ZNF263",0.999999999885111,0.999999302004769,0.990205728185328,0.999990295339019,0.938724397406895,0.997391247727012,0.998562930314126,0.0992589133880651,0.0579288740872541,0.306089954272761,0.999995095517332,0.984612857577165,0.99989939004289,0.999998905091843,0.618759955656162,604.182,601.318022916667,620.443178676471,631.79154949495,680.246544571429,628.439358974359,NA,26.9474074522473,14.7323544173431,19.3480485005359,15.2964500873449,21.8116984311518,604.182,478.647575,507.99475,490.5214,535.48765,537.1837,604.182,668.210725,727.817075,721.39885,780.5658,726.96345,1,48,136,99,175,39
"ZNF200",0.329067668648652,0.319943099802897,0.999999999785005,0.275235057245917,0.995616475471336,0.985840313500065,0.34008566783202,0.999939286858646,0.999485521000865,0.919261415064565,0.336208787689771,0.999999990004454,0.99999989009803,0.995348010476232,0.999989060281,432.8524,266.285616666667,266.050047058824,258.924334343434,269.113626285714,266.937594871795,NA,9.36147526100956,6.84073886127483,7.90512541869503,6.81204206213561,11.0791223317168,432.8524,221.152075,207.809225,196.30685,211.8506,229.27645,432.8524,308.240125,315.627575,322.0461,305.75325,295.2779,1,48,136,99,175,39
"ZNF582",0.950258762139324,0.990026835665627,0.564971637497188,0.997302642543386,0.149400629210128,0.868290950609646,0.993195706060192,0.341243410712699,0.998086532308109,0.968215174060821,0.906287987346549,0.980111735056274,0.16724120946019,0.0270963151539131,0.0741392531769728,3.1077,11.9570083333333,9.21064117647059,7.73006161616162,8.72135371428571,13.4840564102564,NA,1.78132827830447,0.737278291118008,0.823304085481855,0.776901437456308,2.04569888539683,3.1077,4.9098,3.626275,2.30445,2.92045,3.3498,3.1077,13.60875,11.5024,9.92835,9.2465,20.3918,1,48,136,99,175,39
"ZNF285",0.977485511971076,0.903933885228334,0.468515835463692,0.893727297897414,0.414781733965491,0.999927503610348,0.911566777730953,0.524424160473866,0.99995673476167,0.998453090712346,0.930630354240289,0.897849733005313,0.998579248035015,0.994265579208621,0.999733345042085,31.9645,18.0315916666667,12.3725889705882,11.8247838383838,12.7996485714286,13.7559897435897,NA,3.13443687898633,1.19214314526689,1.46581528232023,1.78642497706739,2.1418401600426,31.9645,4.55875,3.163275,2.6393,3.0922,4.0439,31.9645,18.127025,16.44465,14.74635,15.8382,19.11895,1,48,136,99,175,39
"ZNF275",0.999614941998378,0.999797708522144,0.99988999084595,0.999985298855148,0.954102722599606,0.958069482177358,0.999999213268588,0.741170018190362,0.593149495341479,0.992875661549233,0.999996289275347,0.329226609689961,0.248158746212717,0.662517688765803,0.837087408572744,466.5927,388.2215625,398.314403676471,426.339760606061,444.27326,497.353902564103,NA,26.8426810869955,21.3970758250434,26.9611169334844,19.2252751194325,40.1666443538441,466.5927,242.433125,219.169325,240.34105,269.8505,319.68735,466.5927,483.15865,513.57645,554.61445,581.26955,608.3641,1,48,136,99,175,39
"ZNF37A",0.977773395962658,0.983953342088649,0.999416006656984,0.989229845399669,0.987488150257417,0.998147683373855,0.997972495959551,0.431688607484923,0.265001875813233,0.663926577370658,0.942184473235273,0.953343305299789,0.759258678469902,0.603748529258377,0.0646957470113929,208.657,354.276189583333,343.119742647059,331.974624242424,294.868396571429,391.174056410256,NA,19.3335144614733,24.0168087264497,18.1491793445657,9.93465938721783,30.5340317307717,208.657,249.67185,235.985375,205.5442,188.78695,246.33195,208.657,423.31525,376.9884,399.8438,376.872,555.9102,1,48,136,99,175,39
"ZNF510",0.973135169205099,0.984007555094524,0.994703486762615,0.982489619578543,0.998202998318225,0.999997441913587,0.988937589355034,0.950654885297342,0.997103783544925,0.994157772778309,0.858850006729216,0.448849388864277,0.0844711546159724,0.131805311891288,0.030100008165495,134.5172,190.9134875,184.357572794118,185.444337373737,180.429504571429,219.646758974359,NA,9.06435856197942,6.19656567557164,6.49831012976741,5.84448716447588,13.6580422823337,134.5172,147.755375,132.96045,142.34585,123.24995,166.9548,134.5172,208.964875,217.3565,219.82725,226.3518,279.2132,1,48,136,99,175,39
"ZNF506",0.999433916148215,0.97388779267386,0.118872132181512,0.944550482282722,0.0152228133113499,0.870384628639198,0.980733560395319,0.201491333781906,0.997694883889501,0.604626176243894,0.999980646722648,0.971090389917135,0.0151541924032015,0.0014274259999294,0.0288086227220653,232.6304,197.055508333333,152.615432352941,137.016550505051,157.998210285714,214.647502564103,NA,12.8126589090065,9.02289442324164,10.1278457086399,7.92370741437521,20.7062902823777,232.6304,130.130025,72.148675,49.04405,74.84115,118.06235,232.6304,260.68415,220.190525,194.84595,223.4761,292.07345,1,48,136,99,175,39
"ZNF324",0.891562632424479,0.967230472748526,0.549838635465526,0.988208283099423,0.116842690182562,0.814893427978742,0.985330222683878,0.112321507615455,0.848909951280832,0.999892832947167,0.939547766619725,0.984069421086341,0.976890361041126,0.612253516188181,0.65355684011353,178.4684,264.837604166667,242.472173529412,229.39187979798,231.786798285714,253.164346153846,NA,15.3645789617985,6.45970600095657,8.23050673617811,5.20149178865026,15.0751181400898,178.4684,198.831875,196.588325,164.48755,182.5452,196.76125,178.4684,280.206325,282.11905,287.5818,274.6623,286.4698,1,48,136,99,175,39
