"gene","Type 2 Papillary RCC-Type 1 Papillary RCC","Unclassified Papillary RCC-Type 1 Papillary RCC","Unclassified Papillary RCC-Type 2 Papillary RCC"
"ZNF195",0.89434261697228,0.927987871046605,0.770142542230058
"ZNF263",0.811934029655057,0.598018250796543,0.347297079304261
"ZNF200",0.910681768856016,0.488544555194628,0.700580834525975
"ZNF582",0.302829024321678,0.999252155968749,0.498205342350373
"ZNF285",0.321657173979911,0.949425560903742,0.723947710292201
"ZNF275",0.00131688980650235,0.264258854739401,0.499837810390194
"ZNF37A",0.98962706587193,0.214733153590529,0.196087921995766
"ZNF510",0.701354883884969,0.340968281290975,0.127129764037543
"ZNF506",0.00238972308004914,0.822200839837265,0.132246399457097
"ZNF324",0.635046489796596,0.832895961692698,0.993074139806669
"ZNF671",0.106469395848409,0.937976832738371,0.47089430440857
"ZNF416",0.812939240058083,0.999936533133939,0.88865504603359
"ZNF586",4.47395925295968e-06,0.406986194159387,0.040942656943223
"ZNF446",0.00224610951389537,0.038185141655985,0.990805583844238
"ZNF8",0.954927026125703,0.914091264513396,0.817685675879985
"ZNF264",1.5798193496841e-05,0.312377406715234,0.1014909081511
"ZNF213",0.755969609531862,0.863084341990624,0.999657304485248
"ZNF343",0.862936562537554,0.0293090128427933,0.0126095301435052
"ZNF302",0.723609968057512,0.804196656361946,0.99893063590901
"ZNF268",0.671534435757984,0.299277951769077,0.0992482829315803
"ZNF184",0.334028321676814,0.476685865545385,0.996322741422267
"ZNF500",0.89859712118153,0.130021530604039,0.0727814787960168
"ZNF419",0.0336437183663266,0.221391930493909,0.967311207168733
"ZNF175",0.0356188802680388,0.9494067743583,0.0847443288775606
"ZNF14",0.430243728533623,0.247721143691545,0.800136682977844
"ZNF85",0.10454028597908,0.994854974262541,0.335024466907254
"ZKSCAN1",0.542505890648419,0.476404468050617,0.139847895087768
"ZNF862",6.43473307970766e-09,0.0230819743591392,0.0920694984535714
"ZNF684",0.000237212368045747,0.031472856218709,0.863478929525243
"ZNF430",0.379729676883424,0.145983087865835,0.675011583378834
"ZFP30",0.508657392742966,0.830651234483583,0.352509578655177
"ZNF549",0.00221629365110321,0.708258106705867,0.185912479650936
"ZNF211",0.00223319731830385,0.349481056030352,0.46533877078258
"ZNF205",0.991438720661648,0.876553825819231,0.838209965737878
"ZNF45",0.518283827356023,0.319729928140742,0.823583233591794
"ZNF133",0.000241410496262584,0.642034896185487,0.0906878477029245
"ZNF436",0.636733148951207,0.859846738751556,0.985747649821193
"ZNF484",0.685333193349746,0.670845636455871,0.974932423636564
"ZNF780B",5.3800586452657e-05,0.178043073975995,0.278897930617379
"ZNF557",0.193944150808809,0.983160195196781,0.316446141503992
"ZNF337",0.00277605957049232,0.880720659846693,0.112003072714039
"ZNF317",0.364070694054095,0.0617689404378166,0.45201843387394
"ZNF426",0.281892029314086,0.025245503141446,0.330651725837581
"ZNF331",0.189094736663697,0.275541177831385,0.978442883998268
"ZNF227",0.233675586062765,0.60595379037543,0.957592016726279
"ZNF141",0.179942698851261,0.598066235360404,0.925843239105075
"ZNF304",0.686381541751387,0.405917245669747,0.15510761593269
"ZNF132",0.000252416904337305,0.93084945202036,0.0256655749220833
"ZNF20",0.00111665999007415,0.466594186533208,0.27874162839907
"ZNF670",0.780005537491769,0.784607179320296,0.988014389259847
"ZFP37",0.0673037514424809,0.981241442260326,0.305927721497478
"ZNF189",0.106109391765829,0.861281757706765,0.577960041920142
"ZNF434",0.85161411038952,0.932394675888969,0.998452854205963
"ZNF287",6.00827161911788e-07,0.93407936958943,0.000959521155477705
"ZIM3",0.917238421035017,0.995995358788941,0.92551983195525
"ZFP14",0.947706574398029,0.692081296838533,0.562999174446281
"ZNF473",0.0302361194358972,0.512748772501183,0.691041331844091
"ZNF614",0.193088697234771,0.271364793946245,0.974603355253543
"POGK",0.470943292229603,0.692328908081274,0.997117194337185
"ZNF514",0.0704085642945113,0.962848878964535,0.350733260299248
"ZNF300",5.13566079107797e-07,0.439598241018813,0.0137545322561878
"RBAK",7.45274372215832e-07,0.73546392744104,0.00396869848619563
"ZNF92",0.000436943746654705,0.628367920943119,0.121762283351758
"ZNF157",0.00223632748047142,0.334662231754785,0.000413468180944454
"ZNF182",0.0865303062178918,0.850824097953638,0.0933976962861922
"ZNF673",0.684594373698737,0.611790662361853,0.950157162785067
"ZNF41",0.702173987457205,0.148558393750103,0.044631135783075
"ZNF7",0.908044645780989,0.996895794405843,0.922951492159782
"ZNF214",0.000312770435752063,0.593549265576666,0.118682206791002
"ZNF215",0.426462596709822,0.988481346364241,0.539279648022847
"ZNF547",0.000180011284467541,0.24205017101339,0.306805153724248
"ZNF773",0.644101363702106,0.743066722366021,0.357584496881776
"ZNF776",0.0557634410345098,0.415130465386383,0.0104329599085885
"ZNF256",0.427595449208527,0.984292915783823,0.525414577047421
"ZNF599",1.99263562481455e-05,0.172683466934653,0.211615700054714
"ZNF18",0.00787037218557651,0.10376617999204,0.965647739598978
"ZKSCAN2",0.973627838524174,0.513032493588442,0.435822348176761
"ZNF689",0.0189079289813842,0.0118389597690077,0.708539508900458
"ZNF19",7.57998598222009e-07,0.580866110830194,0.00849285501521835
"ZNF230",0.957630065463171,0.51363913311095,0.410873884682128
"ZNF222",0.999798965963844,0.933134285387032,0.931962595827257
"ZNF221",0.806326552422944,0.410809902869148,0.209032248981373
"ZNF233",0.69418548908657,0.557705217186627,0.915982563629226
"ZNF235",0.0045559119559091,0.863847545600388,0.151314366141764
"ZNF208",0.850676746401313,0.890286461582365,0.675549527876822
"ZNF714",0.653304084720354,0.802030502397906,0.9992937253328
"ZNF394",0.000505955191800189,0.000285750972710996,0.553707753837044
"ZNF333",0.13605390747823,0.972562536044129,0.455228913346488
"ZNF382",0.293315279333101,0.86165641429128,0.818677124320355
"ZNF577",0.000747417813017126,0.100750715551781,0.72888461998909
"ZNF75A",0.980434109242854,0.990317338618138,0.961064557525448
"ZNF496",0.00529046258302845,0.135579729701835,0.88567018977392
"ZNF2",0.0414221636010463,0.987390924907603,0.226329946616059
"ZNF589",0.178191193980231,0.304336200876019,0.0182423646200589
"PRDM9",0.0690768587466708,0.998689323672677,0.210957705808063
"ZNF12",5.89986201671167e-07,0.0733099071233839,0.148870921256618
"ZNF202",0.00458489456623223,0.440607993125774,0.466878863890908
"ZNF3",2.8510410921001e-08,0.00135305548289055,0.572602979389854
"ZNF606",0.00563999443519281,0.256224751868905,0.712987633951534
"ZNF91",0.707282273817909,0.25425378419348,0.607927257854715
"ZNF226",0.000584222454380168,0.0429252062257592,0.891704763811327
"ZNF229",0.971046151035529,0.360506848423485,0.295725116754507
"ZNF180",0.451943566738489,0.714609668399553,0.990591638033928
"ZNF641",0.313634690216674,0.0197809799703921,0.266091682479792
"ZNF610",0.527063228560324,0.910441121764663,0.916602011496818
"ZNF528",0.519456915446968,0.804377133855885,0.978840552284438
"ZNF701",0.988545669601103,0.337175212796448,0.418810781311402
"ZNF283",0.995735352642388,0.710244874531009,0.685074163755154
"ZNF558",0.000403388745873201,0.454016545870789,0.201612330852179
"ZNF597",0.93215381072611,0.180266897542673,0.118764269585405
"ZNF30",0.493113497020609,0.623661121010525,0.997965991692078
"ZNF354A",0.758979694252678,0.968274414493154,0.955310008497622
"ZNF764",0.318692945654939,0.976012510309933,0.413089369482949
"ZNF747",0.806575693368863,0.793252189220636,0.984586484473398
"ZNF778",0.0597351415066379,0.0381242931337371,0.759867254920191
"ZNF212",3.12512660194386e-09,0.015649612621297,0.0989041289297853
"ZNF282",0.000329166369736233,0.0422269218934556,0.839627311058007
"ZNF160",0.0030898399184206,0.484202280307178,0.374957830619495
"ZNF415",0.523086132411081,0.997384763304931,0.742732968776402
"ZNF439",0.000226150852032037,0.592649064039484,0.104166724451876
"ZNF440",0.0262589701922182,0.909433624898897,0.0543036686488303
"ZNF562",0.189571917101804,0.243871443915696,0.0135145793685438
"ZNF561",0.843622455193235,0.0265746832389309,0.0887674433871466
"ZNF584",0.0966120422975215,0.982569529586745,0.362550983609453
"ZNF274",0.000343697230985818,0.0457747983352407,0.827658789963867
