"gene","p-adj-DNA_meth_cluster:1-CIMP","p-adj-DNA_meth_cluster:2-CIMP","p-adj-DNA_meth_cluster:2-DNA_meth_cluster:1","mean-CIMP","mean-DNA_meth_cluster:1","mean-DNA_meth_cluster:2","SEM-CIMP","SEM-DNA_meth_cluster:1","SEM-DNA_meth_cluster:2","Q1-CIMP","Q1-DNA_meth_cluster:1","Q1-DNA_meth_cluster:2","Q3-CIMP","Q3-DNA_meth_cluster:1","Q3-DNA_meth_cluster:2","count-CIMP","count-DNA_meth_cluster:1","count-DNA_meth_cluster:2"
"ZNF208",0.677191439454323,0.936005593606892,0.588025714809763,57.1905,128.05211,83.6736934426229,28.0856185978894,53.2811971360231,18.7888070116825,5.1106,1.33655,5.44715,66.6667,89.748525,72.7857,9,30,122
"ZNF714",0.946967240846485,0.0387402857629514,0.00124818079727185,127.484644444444,119.364576666667,69.5728786885246,35.1345085936538,21.2457018102132,4.0966710374138,72.8463,42.45745,36.497075,151.4578,134.0519,89.983025,9,30,122
"ZNF394",0.999896279203577,0.585917291109729,0.208724064016494,377.814566666667,377.164976666667,420.312122131148,42.8001263996479,18.6149795915107,11.6976874320533,289.6139,311.70105,327.821075,371.3981,434.31105,468.1585,9,30,122
"ZNF333",0.654314381645715,0.73389298552245,0.928245534677994,112.867222222222,135.501043333333,130.425219672131,27.5013307392154,12.9216735257844,5.96643940789398,68.3031,89.6553,91.844925,99.5642,153.0817,157.937425,9,30,122
"ZNF382",0.0128772973449598,0.0708506350421757,0.25303740568789,35.7090666666667,79.05332,66.1809639344262,16.0605767585137,10.4494003191707,3.03369918578983,13.1263,41.350675,40.543675,37.9916,109.57455,85.184975,9,30,122
"ZNF577",0.824016199008477,0.834262356460209,0.0975371001144508,130.359322222222,77.98112,176.414845081967,43.764290527999,24.0662434153281,23.1172170209183,34.7762,26.896775,49.5433,113.321,52.3226,198.910675,9,30,122
"ZNF75A",0.0319567514374274,0.000898035273505182,0.288066021618364,377.618388888889,263.435333333333,227.020960655738,63.7158447549078,24.9380949525739,9.64583573569357,238.2847,140.256725,158.852225,468.1319,363.110775,281.571675,9,30,122
"ZNF496",0.881256872105587,0.235018736966743,0.000994213003551847,304.186133333333,324.84484,240.213796721311,53.0987221076825,20.2843364966783,9.98758636737001,249.0842,249.5889,157.686575,364.4099,426.6076,304.0449,9,30,122
"ZNF2",0.0441711983204804,0.0233546352565208,0.99999818040696,94.7698666666667,126.082976666667,126.095602459016,9.11878904728522,6.32723902730562,3.11177114321336,69.6737,103.58345,102.871825,120.7822,151.32325,146.57955,9,30,122
"ZNF589",0.353417854587104,0.0613409753884331,0.401728919965064,134.632511111111,187.80042,214.478509836066,25.3731774526897,17.4640930024176,9.42089834865617,91.6713,136.3138,151.861475,172.1626,201.37185,249.057025,9,30,122
"PRDM9",1.33937793078687e-07,4.67906269285834e-10,0.650695295157401,17.1275333333333,1.54290666666667,0.257154098360656,9.92925873209521,0.945779390462572,0.103286832070236,0,0,0,30.0366,0.537675,0,9,30,122
"ZNF12",0.153914043974027,0.115594084786532,0.996576660683225,666.9774,886.26877,881.282274590164,62.1674275996437,52.8616167923455,29.0983106769621,539.0307,757.7593,678.335225,740.6285,1022.510075,1081.0068,9,30,122
"ZNF202",0.17258257150113,0.333005309335773,0.608460818100584,228.215044444444,176.121546666667,190.882147540984,28.3774051692398,16.3832167727632,6.50006805762659,200.6403,116.177825,145.674175,279.1872,204.0587,218.458725,9,30,122
