"gene","p-adj-T3b-pathologic_T","p-adj-T3c-pathologic_T","p-adj-T3c-T3b","p-adj-T4-pathologic_T","p-adj-T4-T3b","p-adj-T4-T3c","p-adj-TX-pathologic_T","p-adj-TX-T3b","p-adj-TX-T3c","p-adj-TX-T4","mean-pathologic_T","mean-T3b","mean-T3c","mean-T4","mean-TX","SEM-pathologic_T","SEM-T3b","SEM-T3c","SEM-T4","SEM-TX","Q1-pathologic_T","Q1-T3b","Q1-T3c","Q1-T4","Q1-TX","Q3-pathologic_T","Q3-T3b","Q3-T3c","Q3-T4","Q3-TX","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF184",0.99621972334297,0.993356653002359,0.984166085196651,0.992313783387368,0.999664802623132,0.975167349498168,0.897219583770914,0.87050567875287,0.999785708379369,0.877463498732223,163.079750719424,175.277516666667,128.8026,188.3036,111.34715,4.88417470361894,28.9832633767883,NA,33.2237,46.25385,119.3991,128.01835,128.8026,171.69175,88.220225,194.485325,185.712625,128.8026,204.91545,134.474075,238.066821875,163.216246206897,248.9228,152.47775,192.467075,267.4535,119.98425,194.485325,9.46433947574003,4.73652302187055,0.685590057956901,0.612550356978148,-0.544581906440849,-0.707099643790368,"KIRP"
"ZNF500",0.999979565828078,0.661450642277195,0.699243332412122,0.985725578375742,0.987539059919118,0.929379390426357,0.999865424310468,0.999736714256111,0.849760114014833,0.999061010021842,261.003434892086,257.8299,367.6375,289.91845,269.7622,4.76615856410775,25.8772583315801,NA,0.91255000000001,29.4384,202.92465,213.8782,367.6375,289.462175,255.043,310.40015,283.76975,367.6375,290.374725,284.4814,228.25259375,261.503111034483,209.28645,255.1223,185.289775,279.836025,203.403125,310.179875,11.4462753852737,4.61450642175529,1.14567421442273,1.21901011747297,0.196196855563723,0.285710100008577,"KIRP"
"ZNF419",0.99866281491096,0.999999918462321,0.999936621523477,0.575653236321337,0.781770033437044,0.904767191014202,0.999999967500592,0.999946043988107,0.99999978229545,0.837869980744569,148.825939208633,139.49745,150.8091,63.7358,147.70975,4.86687556008346,31.3090066561764,NA,46.205,43.40825,99.8073,110.415875,150.8091,40.6333,126.005625,172.282725,197.3583,150.8091,86.8383,169.413875,128.277428125,147.99082137931,125.6933,136.805,107.335,149.42685,99.8073,172.282725,4.8797954806083,4.73180356282009,1.15367780241977,1.08840328004754,0.206240366310879,0.122213209459505,"KIRP"
"ZNF175",0.802890908416148,0.999984382715529,0.997165874135311,0.999941717356387,0.962798343857071,0.999892053527433,0.867338656376768,0.998531175281578,0.988329450873375,0.936211165456468,149.129019784173,121.8919,143.6893,154.4897,107.96495,3.58614446116671,20.1828923754748,NA,61.4418,3.28285,109.290275,122.3284,143.6893,123.7688,106.323525,181.55755,149.589825,143.6893,185.2106,109.606375,171.588828125,148.267370689655,171.17535,141.57265,152.350575,204.1194,109.290275,179.8451,6.15538957066717,3.48505436344432,0.864085222271257,0.827062132485782,-0.210754486567109,-0.27393237992609,"KIRP"
"ZNF14",0.915577231088588,0.985751071860452,0.999870656819361,0.999455009259624,0.999324542880755,0.998385385560559,0.859702058348976,0.992693599021784,0.999880131112115,0.982509844680862,134.439982733813,116.1771,107.4434,126.19415,97.7279,3.1492981167203,18.2044547293238,NA,5.06185,29.2087,100.846175,85.95855,107.4434,123.663225,83.12355,159.877675,125.841225,107.4434,128.725075,112.33225,217.53250625,133.526630344828,210.33845,124.8086,182.57445,245.916725,100.02855,159.52795,13.1136122696636,3.05508434395904,0.613823803378478,0.593370351450246,-0.70410350194998,-0.752995252471453,"KIRP"
"ZNF85",0.971713424003043,0.999994759951835,0.998197639907861,0.999880426770758,0.991812114708558,0.999999782497946,0.999886576461263,0.991933359820239,0.999999813005345,0.999999999999124,66.5807309352518,75.8182666666667,64.0777,62.6971,62.7483,2.16679939755517,14.7984318499105,NA,12.3523,23.5401,45.06195,48.5831,64.0777,56.52095,50.97825,76.603725,89.05915,64.0777,68.87325,74.51835,68.029521875,66.6221220689655,68.27185,58.9951,57.4743,76.585025,45.147375,76.774475,3.53775651816647,2.10327211877897,0.979311925657504,0.864120424450194,-0.0301596416737873,-0.210695713458614,"KIRP"
"ZKSCAN1",0.795432876822298,0.994797120781687,0.999996829771516,0.998752101227154,0.92896757592872,0.98889139071698,0.521479079421312,0.932425090489837,0.977549507565463,0.688377955857898,650.575338489209,441.35285,471.1974,738.65395,148.35105,27.2525729480603,139.242465671214,NA,412.76145,10.00445,325.99555,264.713725,471.1974,532.273225,143.348825,865.12845,431.860225,471.1974,945.034675,153.353275,819.65959375,642.312210344828,887.42,554.63285,741.015775,979.58165,323.333,850.006975,46.3078804435821,26.5162842709154,0.783632882775402,0.62499476009105,-0.351750157693226,-0.678084000508391,"KIRP"
"ZNF862",0.973350577994903,0.988536813956093,0.959662093009538,0.999568858707795,0.999942176354271,0.98534414500517,0.862359222801207,0.982278418641803,0.869187958830757,0.981926616023604,995.809236330935,800.027983333333,1374.7573,880.23505,453.1563,46.7478785950757,323.982893329892,NA,123.71495,125.8311,518.221575,352.717875,1374.7573,818.377575,390.24075,1259.7756,716.0817,1374.7573,942.092525,516.07185,531.5688,987.986286896552,506.81725,779.48315,389.7774,664.74985,508.976375,1253.5798,31.4946839446688,45.3668119321064,1.85862354392611,1.53799648689937,0.894234588272669,0.621052207890998,"KIRP"
"ZNF684",0.981213554515318,0.990179114543042,0.967359938644873,0.864895774836656,0.979363583190293,0.877319263711822,0.85465890458361,0.976562404056141,0.871727655416895,0.999999983816701,108.261631294964,91.8709,141.7476,58.60555,57.4382,4.30900780575278,25.8692582906687,NA,2.97685,39.5471,63.82825,67.43675,141.7476,57.117125,37.66465,135.835775,94.8865,141.7476,60.093975,77.21175,138.62829375,107.25511137931,133.16295,95.41705,118.561825,154.1797,63.457625,135.42215,5.78703032886962,4.18269629077556,0.773688461986934,0.716543528060921,-0.370175335784267,-0.480873747957239,"KIRP"
"ZNF430",0.910773958865548,0.998026418306598,0.999999226018259,0.999971972096757,0.984568252586157,0.997899936975898,0.686985346969877,0.956157919792448,0.986818264275513,0.854118390300276,55.7616305755396,41.5054666666667,43.3657,58.76305,18.54375,2.42582583702091,10.9219544580832,NA,7.06975,12.83385,30.527625,20.5978,43.3657,55.228175,12.126825,71.0992,52.218925,43.3657,62.297925,24.960675,83.182103125,55.202915862069,78.4982,49.72185,65.7495,95.717875,30.298275,69.8658,4.47975029008783,2.34595740391869,0.663639338129189,0.633413887197414,-0.59152868833769,-0.658779597001506,"KIRP"
"ZFP30",0.987177136953654,0.987062298482505,0.998747581441104,0.9891948145027,0.962697885692651,0.958795450728212,0.285941434026867,0.592992892793293,0.950019245922116,0.41447737973054,147.316057553957,134.389266666667,115.8576,168.5624,60.20165,3.74626021185566,24.472540519838,NA,63.8273,28.22605,106.700575,92.768675,115.8576,136.64875,46.088625,179.00175,181.010425,115.8576,200.47605,74.314675,167.073003125,146.339225172414,170.49395,139.063,142.520325,194.89905,104.998975,179.00175,7.14037040616858,3.66873608947568,0.875899890677887,0.815647710666566,-0.191162105741008,-0.2939819277613,"KIRP"
"ZNF549",0.179232339932575,0.999602139948364,0.839203224383414,0.974992584969964,0.975769650304178,0.985754952333285,0.902348263102365,0.996859594574777,0.960508196600577,0.999626736930437,133.203741366906,66.6689166666667,148.2201,102.12315,87.3733,4.3879003099467,22.4770145763684,NA,86.83995,3.2243,83.69675,26.0649,148.2201,58.703175,85.76115,174.16105,92.356225,148.2201,145.543125,88.98545,174.847353125,131.287737241379,178.03825,124.96525,146.569175,204.001025,82.1588,173.006575,6.95520798422957,4.29364999841664,0.750870601670021,0.701901136413102,-0.413363786899638,-0.510660255313183,"KIRP"
"ZNF211",0.72494374485384,0.999999299814118,0.985883228438228,0.954766294189608,0.999999989684534,0.99191930141423,0.988565771436031,0.999594330115407,0.997826806537163,0.999864356743215,206.659675179856,129.6691,212.945,131.4535,154.9235,9.08126418790383,27.572900672085,NA,51.8908,4.8169,119.78125,100.1066,212.945,105.5081,152.51505,253.64225,167.59775,212.945,157.3989,157.33195,213.439796875,204.208875862069,209.6979,180.36555,182.73535,242.2425,119.78125,247.54425,8.4500381789108,8.75865582772665,0.956751640752652,0.860120916804603,-0.0637836248846974,-0.217388605058825,"KIRP"
"ZNF205",0.403225963893416,0.991391618148858,0.812449639181906,0.999999973992284,0.907664998973282,0.995560885133315,0.99988780006967,0.848000718607851,0.998596404489259,0.999954558286481,502.790639208633,693.2585,383.7282,506.22395,474.8933,15.5647646864138,184.758960307391,NA,62.63605,3.17269999999999,327.9627,484.120175,383.7282,474.905925,473.30695,582.3901,682.617125,383.7282,537.541975,476.47965,271.218209375,505.693012758621,268.1468,448.69685,230.328075,319.135425,331.530125,582.3901,10.014420724878,15.4231825979488,1.86452456095757,1.67332539489563,0.898807801530061,0.742718019168913,"KIRP"
"ZNF45",0.619474189625069,0.999999487944578,0.98692239195467,0.998748777799089,0.989492890713271,0.999940314891203,0.981821471892589,0.999311526177521,0.998505391324449,0.999670801021034,174.109445323741,135.181,171.521,161.10505,148.0378,4.02758369219552,22.2779459658799,NA,23.55595,0.420500000000004,125.65755,115.832825,171.521,149.327075,147.82755,210.632675,130.495925,171.521,172.883025,148.24805,256.37945,172.907029310345,260.5415,163.40375,233.01465,278.180125,123.737775,208.12845,6.50497583294028,3.90299246472954,0.674418442314097,0.627169759903892,-0.568284106840907,-0.673072095843131,"KIRP"
"ZNF133",0.999999295200561,0.99661462088852,0.996959720782649,0.958145907844303,0.971400708826101,0.999965386813055,0.916709429720253,0.943208722988666,0.999648253011789,0.999969468935442,357.956834892086,362.092616666667,273.1392,240.602,214.8583,14.4838498880249,47.3094082281063,NA,14.5,45.1341,217.192775,296.094,273.1392,233.352,192.29125,419.7724,373.791475,273.1392,247.852,237.42535,241.126790625,355.952187931034,226.74275,301.1463,187.39995,289.3231,219.789225,405.42615,13.772138311433,13.9461934137074,1.4762033990848,1.32814081155847,0.561891517220793,0.409408111570145,"KIRP"
"ZNF436",0.998318165270251,0.999999577635553,0.999991191605649,0.999995926690986,0.999596190863474,0.999995172535451,0.99866115541786,0.994968797954822,0.999695123371794,0.999879296723916,352.490496402878,377.825716666667,360.1553,342.9191,311.3802,12.5455475458136,46.9226739837179,NA,112.7985,41.7184,247.26335,347.525425,360.1553,286.51985,290.521,388.19185,400.886125,360.1553,399.31835,332.2394,383.559978125,352.263786896552,377.8323,308.3402,345.101,411.622175,247.26335,388.19185,14.4038993940378,12.0838369264964,0.918406004241013,0.816076867964967,-0.122796020969996,-0.293223045865974,"KIRP"
"ZNF484",0.99971827303529,0.996268692819952,0.99891227479093,0.999856307453559,0.999999223167069,0.999604799518442,0.657648118193087,0.815945211846187,0.98848262917021,0.915238678601368,54.5586784172662,52.8601,46.6019,52.09295,33.54845,1.30645577870043,10.4945943440738,NA,17.03145,15.65735,39.771725,38.619475,46.6019,43.577225,25.719775,67.0451,55.446225,46.6019,60.608675,41.377125,73.92785625,54.3037072413793,72.38495,52.741,63.767,83.01895,39.52515,66.741975,3.60076208979393,1.27781263154121,0.734550005856274,0.728618310850529,-0.445067386617495,-0.45676484309337,"KIRP"
"ZNF780B",0.975111989082826,0.999999830651458,0.999629467239824,0.967068417066191,0.998996042375684,0.996733252749291,0.490642157997659,0.807195951674313,0.892819683110989,0.959603665320144,297.576374460432,255.366083333333,292.5566,219.1833,102.25505,10.2953378809241,61.2542008863905,NA,4.319,8.99275,174.2995,154.5417,292.5566,217.0238,97.758675,380.015,301.315675,292.5566,221.3428,106.751425,352.9377125,294.542452413793,336.2503,261.046,289.085775,403.450625,172.578675,378.154825,18.4472355191434,9.9976531357649,0.834545139218562,0.77634428876346,-0.260938010110081,-0.365231502349026,"KIRP"
"ZNF557",0.775727925130261,0.999807310828145,0.974898653039023,0.981989544672062,0.99996967233479,0.990896873509386,0.657272793677094,0.976134322245977,0.887176504653325,0.979099004917085,148.91204676259,125.5945,157.2816,129.8821,101.9683,2.94836958241384,14.0169486526847,NA,30.0916,12.132,113.5625,102.705875,157.2816,114.8363,95.9023,174.1208,154.699925,157.2816,144.9279,108.0343,163.277728125,147.904478275862,168.24795,143.02345,126.189825,194.5358,112.4985,173.38515,7.52195728745109,2.86180478838532,0.905846008358417,0.850075439254981,-0.142662278457095,-0.234337217155103,"KIRP"
"ZNF337",0.999999967222001,0.999999815643382,0.999999648009529,0.987607283933992,0.992072967826557,0.998936997616205,0.810475029764611,0.873100820481816,0.973705092592881,0.993317339311826,808.051358992806,813.910816666667,786.1424,550.84575,242.7223,43.9811271404219,258.326118300018,NA,238.28155,51.4688,362.15795,388.836475,786.1424,431.704975,216.9879,946.730675,1133.23975,786.1424,669.986525,268.4567,287.889546875,802.623793793103,267.09815,591.19655,202.331025,365.465325,359.086925,935.1802,19.9978013129493,42.5647687808094,2.78795740416931,2.21340563384658,1.47920851914638,1.1462678670054,"KIRP"
"ZNF317",0.266868402729703,0.99835789224239,0.837333251035325,0.919622393849159,0.412301432556375,0.999226542479316,0.99625490812718,0.673635071298102,0.999999814230005,0.997293850240513,631.607270503597,520.570966666667,671.1974,711.16465,666.2559,8.05367997703644,42.8225827856336,NA,79.15795,173.4852,545.857225,453.696375,671.1974,671.585675,579.5133,705.55685,536.99395,671.1974,750.743625,752.9985,613.595084375,630.064809655172,628.90335,617.21355,560.869275,668.5665,543.6058,705.55685,14.5498396608961,7.88807758749582,1.02684135792409,0.981412406214723,0.0382133093921315,-0.0270685859926061,"KIRP"
"ZNF426",0.823904629719426,0.984028413970127,0.999987585161885,0.999924275492878,0.99340248757486,0.996528388834134,0.911698003142619,0.999585615507487,0.999996521363534,0.986010224143695,69.5822086330935,46.8670333333333,42.0712,64.6241,38.1164,3.09778704885973,19.3500855444908,NA,60.129,11.0894,29.023825,14.345325,42.0712,34.5596,32.5717,94.839225,67.76015,42.0712,94.6886,43.6611,131.21375625,68.7281637931034,128.6575,58.3041,108.205275,166.1222,28.747475,94.142575,7.73829148153026,3.0182068620426,0.523787792967046,0.453172959213415,-0.932945657251392,-1.14186631663404,"KIRP"
