"gene","N1-N0","pathologic_N-N0","pathologic_N-N1","mean-N0","mean-N1","mean-pathologic_N","SEM-N0","SEM-N1","SEM-pathologic_N","Q1-N0","Q1-N1","Q1-pathologic_N","Q3-N0","Q3-N1","Q3-pathologic_N"
"ZNF195",0.99942160711038,0.606529744088227,0.545635677697927,408.486766666667,404.761525,325.103954316547,101.847139907156,124.332879262422,8.93318167735418,306.69565,254.86485,230.31765,462.30745,457.947825,385.6229
"ZNF263",0.657404296926976,0.196377579883863,0.782627688625116,917.800133333333,796.087375,734.782047122302,127.358418328175,101.715037337508,10.9079740998014,793.58135,676.60405,595.24935,1004.2487,855.558475,840.4459
"ZNF200",0.537817185950883,0.777164076408387,0.683374794988088,153.071933333333,193.8423,172.799828776978,10.9657064907425,21.5237607865122,3.02522427146711,142.1695,163.718625,140.267225,159.54185,211.032575,199.390575
"ZNF582",0.162249387343352,0.0824155235203348,0.952194410994094,8.14436666666667,31.368225,28.8711881294964,2.40138932449067,7.871316619365,1.00144857152353,6.24935,17.94525,17.7987,10.36925,43.284825,35.752375
"ZNF285",0.615053710108582,0.0756370060017896,0.520416023871423,6.6931,32.280575,51.8494942446043,4.36170629494162,6.88524824768807,2.15330449692274,2.33205,25.733325,29.491025,8.93915,41.62445,69.591275
"ZNF275",0.846160302445913,0.530800827328706,0.914417043379711,263.5619,371.05135,422.90408705036,53.8568273811532,40.5269743393521,15.4472128936365,210.45655,342.67295,269.55715,297.8789,401.7679,492.001225
"ZNF37A",0.0106170077155914,0.164075247939395,0.0541307914205461,162.679633333333,491.498925,318.79050971223,62.4378599233225,83.5538014255124,8.85170895294851,106.8221,426.531775,220.301175,214.7707,548.4734,404.45335
"ZNF510",0.275508964325683,0.38576780514152,0.69730219676911,123.879566666667,220.374225,186.840991007194,35.8134914766923,82.7597972981384,4.85774552537608,101.8135,127.472225,133.5272,159.3415,274.8374,225.22625
"ZNF506",0.294277591382388,0.719208329925584,0.354396524251112,403.0579,248.303725,342.204774820144,45.3713350408603,58.8380431852467,8.15231601570948,374.90705,206.895425,257.0881,447.94835,329.52155,408.867925
"ZNF324",0.953636566284034,0.684464360922247,0.865542724384128,126.8817,136.56695,147.70835323741,21.9141588540377,16.4915891799679,2.59939676804298,105.3472,125.916775,120.993725,141.1663,146.553975,172.31245
