"gene","TUMOR FREE-[Unknown]","WITH TUMOR-[Unknown]","WITH TUMOR-TUMOR FREE","mean-[Unknown]","mean-TUMOR FREE","mean-WITH TUMOR","SEM-[Unknown]","SEM-TUMOR FREE","SEM-WITH TUMOR","Q1-[Unknown]","Q1-TUMOR FREE","Q1-WITH TUMOR","Q3-[Unknown]","Q3-TUMOR FREE","Q3-WITH TUMOR","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF195",0.993647047905695,0.812573120738792,0.724257660190254,320.171,323.553122477064,343.740605128205,34.2061662536261,9.91051691821763,26.3505062533524,235.960925,230.31765,235.9187,385.21475,381.121075,407.70995,252.595459375,325.178474137931,250.57835,294.02725,223.224225,267.76185,230.31765,385.21475,8.99016053822296,8.83335114692896,1.28734884998536,1.17339446923487,0.364403052740394,0.230688097031386,"KIRP"
"ZNF263",0.0279725614153197,0.223940216665681,0.783255035894862,826.224369230769,730.245653211009,751.017746153846,45.9138126177367,11.3652306293153,32.0554843184076,686.966775,603.7355,596.6135,893.391175,837.049875,857.72905,555.951571875,737.064890689655,542.3033,715.74605,490.68465,612.01665,603.2523,840.4459,14.1133526213655,10.66213295136,1.32577175419045,1.31982610100289,0.406832421422415,0.400347854016997,"KIRP"
"ZNF200",0.879778359038217,0.915848432564756,0.999978855133859,169.345692307692,174.373794954128,174.427905128205,11.9625894752611,3.23811170882746,8.92695223757939,137.909375,143.824,139.21105,200.118425,199.3515,202.06285,135.7635375,173.158351034483,136.9963,163.47535,120.111575,148.683025,140.656725,199.390575,4.24359106808135,2.92969035204431,1.27544077167614,1.19328295727695,0.350995905296256,0.254936182728608,"KIRP"
"ZNF582",0.762348687694433,0.108034909207692,0.0893676416938136,31.5612192307692,29.1754683486239,23.1651,3.87311489367813,1.08321301437614,2.57291098386714,19.323975,19.371,10.75125,35.535375,35.780925,31.4517,69.8154125,28.7415810344828,68.7934,26.78735,61.248675,78.75145,17.608225,35.775525,2.06706525420367,0.97533070673203,0.411679599178516,0.3893883715589,-1.28040613734606,-1.36071829389234,"KIRP"
"ZNF285",0.852085263956106,0.138945214480825,0.0853355551463952,56.5100923076923,52.5070720183486,39.2441948717949,7.68083349647965,2.38473865311927,5.87689943315076,31.1611,29.858825,11.0929,76.48005,70.27665,54.29935,63.895134375,51.0776331034483,68.1083,44.6189,49.001425,80.0458,29.483275,67.93915,3.35694979647906,2.09335703878668,0.799397850917318,0.655116924075333,-0.323014400631748,-0.610175675673332,"KIRP"
"ZNF275",0.324007063602222,0.110089270615705,0.440361086671084,342.120269230769,417.969281651376,472.12951025641,30.0744211323632,18.5483078298776,29.5249390749073,240.13775,267.560225,352.7978,411.5176,460.47085,607.82465,662.422553125,418.040929310345,706.0396,364.25705,529.441,752.020125,268.86235,476.2735,23.2555485882909,14.901180816072,0.631078950042119,0.515915891969799,-0.664107592517474,-0.954792207782517,"KIRP"
"ZNF37A",0.168041400182913,0.0433502928249347,0.366998879253163,263.569346153846,319.56377706422,354.641087179487,26.6398172913452,10.037967506795,25.9069718646945,201.24035,219.7361,241.74365,344.804675,404.5603,444.2139,447.476665625,317.819826896552,437.87035,300.4183,401.559075,497.38915,219.7361,404.45335,14.5806799232749,8.77225987319455,0.710248938796945,0.686089615339335,-0.493603324042455,-0.543531064900843,"KIRP"
"ZNF510",0.47488814335714,0.924722253652309,0.677279463315472,169.728907692308,189.663882568807,177.595717948718,12.9167546587749,5.61531176315657,14.3017670279465,143.107425,134.265025,122.90105,199.9894,227.7031,217.22705,253.826940625,186.071041034483,258.02115,178.6407,210.512725,283.9131,130.095675,225.0102,9.37115778696435,4.8287705966787,0.733062615718878,0.69234905743192,-0.44799166115457,-0.530428518787828,"KIRP"
"ZNF506",0.653450005015839,0.295482793137994,0.00401162732374138,328.500930769231,352.997925229358,277.753733333333,23.8688788491618,9.3102832151102,19.6262215434421,264.4576,260.41705,213.4631,397.964575,409.865925,354.1636,384.258828125,340.06410137931,388.2457,322.5336,339.300975,428.693925,256.58965,407.8504,11.0347199601666,7.92628196554834,0.884987088100646,0.830746097123548,-0.176271688357327,-0.267520484789771,"KIRP"
"ZNF324",0.210180746362195,0.789991757362918,0.536202128904369,134.619023076923,149.615849082569,141.699115384615,10.8814384588935,2.80424484957057,6.48019757588693,96.358525,121.569025,130.2318,161.592325,174.39215,164.93955,194.1444875,147.353916206897,191.65315,143.09785,163.227225,216.791725,119.61385,172.31245,6.7875637866244,2.52254353999981,0.758990987096126,0.746650133326794,-0.397845340931635,-0.42149571419479,"KIRP"
"ZNF671",0.215865980564953,8.47745527499111e-05,0.000108889241649202,177.860976923077,143.219235321101,70.6203358974359,23.7001664361221,6.81911808724949,11.9277398593342,80.22755,65.46195,21.01945,238.38675,204.385325,97.20435,171.448221875,136.157349310345,181.3624,117.7047,125.9596,207.6678,57.9912,199.602425,11.0870482757852,5.9973058808212,0.794160171632546,0.649002770144198,-0.332498085610284,-0.623703458781951,"KIRP"
"ZNF416",0.957811711106681,0.4119440114762,0.0752060720361512,79.5406538461538,81.3763366972477,69.3483128205128,7.41856505892373,2.05505648149113,5.49153141763444,52.437075,61.029675,51.09455,89.176025,99.434,87.3943,99.062896875,79.3832789655172,100.62525,73.8811,81.061025,111.298625,58.623825,95.682375,4.30907499607562,1.85159583748112,0.801342192381927,0.734220287651459,-0.319509655210962,-0.445715115985485,"KIRP"
