"gene","1-[Unknown]","2-[Unknown]","2-1","3-[Unknown]","3-1","3-2","4-[Unknown]","4-1","4-2","4-3","5-[Unknown]","5-1","5-2","5-3","5-4"
"ZNF195",0.987399575020771,0.986447953085057,0.999985223074281,0.999882537502814,0.903230298194228,0.931105822533892,0.987409622891012,0.999993503882225,0.999999998983498,0.932178878529036,0.999750438093587,0.999999128777095,0.999978991228951,0.997413855131897,0.999986368768584
"ZNF263",0.917403218047723,0.508176232061893,0.856340808035486,0.241981376726767,0.505877320159164,0.99895983369048,0.847543673437114,0.997995198731752,0.990453943059151,0.907456991127281,0.161463322480084,0.0152924215748897,0.00442485064855402,0.00124536748198578,0.0158080346973405
"ZNF200",0.664158287712868,0.889776853734651,0.999964440610709,0.220870360008183,0.816470783002355,0.864733312571773,0.873813062804353,0.999978561393905,0.999999999593613,0.862771574543536,0.432162801771203,0.877956246516604,0.872508052726675,0.998812369070276,0.873777531767274
"ZNF582",0.0360444087750807,0.434442992128148,0.975150554093508,0.012444600498776,0.920896657111913,0.71482528191563,0.274270715118759,0.997351692117254,0.999865066986956,0.842904363093626,0.264631652245741,0.995993912012458,0.95145732961419,0.999999975138969,0.979814074609263
"ZNF285",0.222552535487668,0.986721756468725,0.668758186119451,0.086189737927536,0.931739321677446,0.330357238486344,0.173988957703125,0.989112710940553,0.509758249592245,0.999896044715712,0.788472344600204,0.999999998711128,0.957580028191857,0.996954620702606,0.999574256551931
"ZNF275",0.99990710108607,0.999915608405853,0.999999966557009,0.999926449143544,0.999999997604013,0.999999999697877,0.727015879779974,0.325553812369137,0.552714982932013,0.502869750336471,0.336594870440642,0.302291350263932,0.418700783991488,0.383337287497407,0.0322426512106362
"ZNF37A",0.99984792846641,0.945221155609872,0.952050178335167,0.959158790678545,0.965450991514575,0.999997672579409,0.999696978488744,0.986958839954189,0.814256907552632,0.835588082019989,0.407290375502769,0.385998172372116,0.794281897053249,0.734624985061904,0.271333913798434
"ZNF510",0.999819197091153,0.998469908181877,0.999878885052283,0.986300262878044,0.993529372825684,0.99991168391395,0.987596906852963,0.879421263883755,0.886047124996154,0.736706957996737,0.359697708867529,0.338222876711711,0.528154919572795,0.601975241500367,0.140155456753772
"ZNF506",0.999958534959374,0.987960051323695,0.91428909694686,0.990857910313113,0.915794360209833,0.999999726291306,0.999999969882208,0.999807020972725,0.989592647608269,0.992266479927746,0.999985466612764,0.999999942144493,0.990379052067327,0.992568173792715,0.999960899745984
"ZNF324",0.999612833186552,0.993729998128821,0.998977411869214,0.961231342035727,0.977201007420762,0.99985051832469,0.964882952748706,0.98091642551144,0.9998544357751,0.999999999997023,0.717560059716588,0.746485896894364,0.903055085865863,0.946757312309323,0.951049754106851
"ZNF671",0.0132327209456501,0.551089542197218,0.776133665814589,0.000774525123600323,0.586180253699018,0.160709379836763,0.0726443040551875,0.999999968635811,0.900438093624149,0.761641726760334,0.187962473199447,0.996483448789691,0.846775810394401,0.998872008653962,0.996864303137785
"ZNF416",0.011406363378749,0.765517908802408,0.474207332682412,0.0176447319540018,0.998149051376116,0.425795290716673,0.447212506905302,0.815594203673399,0.996734447324397,0.729075668783383,0.0203069665214645,0.724542416991328,0.206514137549476,0.883721881124479,0.36096798991789
"ZNF586",0.640229828663135,0.741683233591168,0.999990746151038,0.329788680900605,0.942474959223236,0.991318730898402,0.990981115035586,0.95264627330297,0.963593644122077,0.680661411489383,0.991467637117607,0.999625075166806,0.999165868889891,0.972692493506812,0.999966604206971
"ZNF446",0.564924676081852,0.98884325153592,0.942427644927391,0.99999857067373,0.353135606427206,0.970728286874155,0.998597845210312,0.814686195335963,0.999887794910571,0.99435028270251,0.00938573416257105,0.0713270040156061,0.0331787483685629,0.00491586822939971,0.0186536527352157
"ZNF8",0.999999988799351,0.99987252908114,0.999288050924327,0.98727753263267,0.967282043238693,0.938587762174374,0.867075258690978,0.672734906689486,0.945801042506217,0.402572294944802,0.73562855796294,0.661433510089617,0.616707385220207,0.919696629786631,0.241826647993091
"ZNF264",0.987137731931703,0.999999999998608,0.984214777640838,0.981132138665789,0.999963731657391,0.978056258370236,0.999674170701444,0.999624381296645,0.999595092621285,0.99840356013269,0.394161727017543,0.527186767294333,0.379263995514387,0.66268123421678,0.501935025849669
