"gene","Recurred/Progressed-DiseaseFree","mean-DiseaseFree","mean-Recurred/Progressed","SEM-DiseaseFree","SEM-Recurred/Progressed","Q1-DiseaseFree","Q1-Recurred/Progressed","Q3-DiseaseFree","Q3-Recurred/Progressed","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF195",0.0670848509225866,319.172521395349,361.480241509434,9.46169555312042,26.044565549611,230.12005,251.0823,379.84075,408.9765,252.595459375,325.178474137931,250.57835,294.02725,223.224225,267.76185,230.31765,385.21475,8.99016053822296,8.83335114692896,1.28734884998536,1.17339446923487,0.364403052740394,0.230688097031386,"KIRP"
"ZNF263",0.261676954087771,725.56608744186,757.031875471698,11.8537769050239,29.4207983474499,586.52815,613.3607,833.2361,842.2597,555.951571875,737.064890689655,542.3033,715.74605,490.68465,612.01665,603.2523,840.4459,14.1133526213655,10.66213295136,1.32577175419045,1.31982610100289,0.406832421422415,0.400347854016997,"KIRP"
"ZNF200",0.192669503370551,172.21885255814,182.296418867925,3.24244216210824,8.29567202532787,140.75015,141.5128,197.66875,214.6081,135.7635375,173.158351034483,136.9963,163.47535,120.111575,148.683025,140.656725,199.390575,4.24359106808135,2.92969035204431,1.27544077167614,1.19328295727695,0.350995905296256,0.254936182728608,"KIRP"
"ZNF582",0.247254512615629,29.4671479069767,26.4666962264151,1.1619158741282,2.22194850700114,19.16995,15.9574,35.78085,35.7895,69.8154125,28.7415810344828,68.7934,26.78735,61.248675,78.75145,17.608225,35.775525,2.06706525420367,0.97533070673203,0.411679599178516,0.3893883715589,-1.28040613734606,-1.36071829389234,"KIRP"
"ZNF285",0.432627398675832,52.369616744186,48.0703018867924,2.25639727234798,6.14957733293737,30.78895,15.5039,69.02235,66.6733,63.895134375,51.0776331034483,68.1083,44.6189,49.001425,80.0458,29.483275,67.93915,3.35694979647906,2.09335703878668,0.799397850917318,0.655116924075333,-0.323014400631748,-0.610175675673332,"KIRP"
"ZNF275",0.754428439004045,419.836499534884,432.331203773585,18.7632439270508,25.6260964360777,267.56535,322.8375,481.7529,492.6108,662.422553125,418.040929310345,706.0396,364.25705,529.441,752.020125,268.86235,476.2735,23.2555485882909,14.901180816072,0.631078950042119,0.515915891969799,-0.664107592517474,-0.954792207782517,"KIRP"
"ZNF37A",0.221586287801076,314.536969767442,342.595849056604,10.1656880539946,20.6670079871148,217.6004,250.67,400.58365,410.4842,447.476665625,317.819826896552,437.87035,300.4183,401.559075,497.38915,219.7361,404.45335,14.5806799232749,8.77225987319455,0.710248938796945,0.686089615339335,-0.493603324042455,-0.543531064900843,"KIRP"
"ZNF510",0.329857378865262,189.458020465116,177.056913207547,5.7415398981544,10.5797257038886,134.34325,122.6766,225.53745,218.3706,253.826940625,186.071041034483,258.02115,178.6407,210.512725,283.9131,130.095675,225.0102,9.37115778696435,4.8287705966787,0.733062615718878,0.69234905743192,-0.44799166115457,-0.530428518787828,"KIRP"
"ZNF506",0.186907117943714,347.278035348837,319.974805660377,8.83559717684758,21.070844466785,260.07535,246.7268,409.62065,364.8505,384.258828125,340.06410137931,388.2457,322.5336,339.300975,428.693925,256.58965,407.8504,11.0347199601666,7.92628196554834,0.884987088100646,0.830746097123548,-0.176271688357327,-0.267520484789771,"KIRP"
"ZNF324",0.0109414399293649,151.886732093023,135.056956603774,2.96548336002729,5.49494214562934,123.031,105.7651,177.3434,156.9835,194.1444875,147.353916206897,191.65315,143.09785,163.227225,216.791725,119.61385,172.31245,6.7875637866244,2.52254353999981,0.758990987096126,0.746650133326794,-0.397845340931635,-0.42149571419479,"KIRP"
"ZNF671",0.159043932357286,141.944688372093,119.551403773585,6.91285586633926,15.2971270392283,61.91065,27.7469,201.68155,170.6721,171.448221875,136.157349310345,181.3624,117.7047,125.9596,207.6678,57.9912,199.602425,11.0870482757852,5.9973058808212,0.794160171632546,0.649002770144198,-0.332498085610284,-0.623703458781951,"KIRP"
"ZNF416",0.390627966519715,80.3777869767442,76.1744830188679,2.19530388357943,4.19544235016971,59.89675,55.3191,96.92355,94.0843,99.062896875,79.3832789655172,100.62525,73.8811,81.061025,111.298625,58.623825,95.682375,4.30907499607562,1.85159583748112,0.801342192381927,0.734220287651459,-0.319509655210962,-0.445715115985485,"KIRP"
"ZNF586",0.664487524837371,122.921471162791,119.739366037736,3.04846496039704,8.07806526908358,97.06315,91.9372,147.3551,140.1321,126.608075,123.233772413793,118.85645,119.6513,107.774225,142.84975,94.948725,147.5674,4.86170055291455,2.80180494418359,0.973348440956812,1.00668747888735,-0.0389717389538884,0.00961587536282844,"KIRP"
