"gene","Recurred/Progressed-DiseaseFree","mean-DiseaseFree","mean-Recurred/Progressed","SEM-DiseaseFree","SEM-Recurred/Progressed","Q1-DiseaseFree","Q1-Recurred/Progressed","Q3-DiseaseFree","Q3-Recurred/Progressed","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF446",0.614309387636871,321.349625581395,310.498052830189,9.80589156254388,17.1227057660163,231.3927,231.8249,374.53745,352.0652,263.497053125,318.697742758621,253.8523,292.45565,236.261125,280.900925,227.720925,373.97105,9.35262056332297,8.35132740544975,1.20949262611842,1.1520701210901,0.274401973704098,0.204228529514787,"KIRP"
"ZNF8",0.530569565724228,79.9389144186047,83.1841283018868,2.23947947887432,5.08640847780075,56.45485,57.0561,98.413,106.6112,81.973490625,80.8191817241379,79.6548,74.48165,69.744125,95.434175,56.6421,100.264875,3.61934728275314,1.95134668602332,0.985918509849207,0.93505538900355,-0.0204596879342018,-0.0968762677759278,"KIRP"
"ZNF264",0.025626614473104,675.907066976744,594.476794339623,15.7957146994631,35.1632052742643,515.61515,423.0721,833.3704,794.2006,637.4946875,660.166481724138,632.12955,640.92615,562.544875,687.1283,493.4914,821.994275,22.7791553978976,13.835774572567,1.03556389514875,1.0139158183635,0.050416571781851,0.0199378757425557,"KIRP"
"ZNF213",0.297552600351489,541.03752372093,572.077273584906,12.5075379391234,31.9017204586262,431.16835,436.7181,603.5005,677.5683,409.883159375,547.585537931035,406.7508,505.93805,350.0942,471.87335,430.67085,633.100625,15.1066178634223,11.2879697269599,1.33595519944271,1.24385262426036,0.417871628601223,0.314815560352691,"KIRP"
"ZNF343",0.619974727062192,258.213325116279,265.625720754717,6.65581633960109,13.2370096768732,191.04035,206.047,317.3314,291.5828,204.181196875,259.345228275862,196.1678,237.0566,186.258875,232.73165,193.0912,307.8701,6.80830595606431,5.60780279024102,1.27017194651197,1.20843787818388,0.345023811634179,0.273143310803443,"KIRP"
"ZNF302",0.448465002183394,538.515966046512,568.514152830189,15.2002947404783,50.5125704882641,385.6218,347.1449,636.7006,719.2807,491.55044375,537.157846551724,464.0551,503.71405,404.519275,587.9292,370.671125,649.748,20.3788961442544,14.9825386471781,1.09278275176356,1.08546172641999,0.12800661774727,0.118308857157524,"KIRP"
"ZNF268",0.506795216257934,415.143133953488,395.897950943396,13.0592948151195,24.3432105673756,287.4898,268.3926,527.67215,454.9451,450.02109375,410.523025172414,486.2456,395.90395,378.09065,531.54935,279.803925,515.605225,18.474803296235,11.0920145733448,0.912230628461322,0.814205722375688,-0.132529484889629,-0.296534733868765,"KIRP"
"ZNF184",0.099556390750238,159.746143255814,180.521650943396,4.36340077937275,18.1816156320383,120.8103,118.5071,191.57695,217.0481,238.066821875,163.216246206897,248.9228,152.47775,192.467075,267.4535,119.98425,194.485325,9.46433947574003,4.73652302187055,0.685590057956901,0.612550356978148,-0.544581906440849,-0.707099643790368,"KIRP"
"ZNF500",0.294739967356406,262.211611162791,249.384177358491,5.31721503033264,11.8592975359322,203.0053,202.3511,310.01495,299.753,228.25259375,261.503111034483,209.28645,255.1223,185.289775,279.836025,203.403125,310.179875,11.4462753852737,4.61450642175529,1.14567421442273,1.21901011747297,0.196196855563723,0.285710100008577,"KIRP"
"ZNF419",0.976432364240196,148.316584186046,148.686660377358,5.1281638314836,14.2743521367369,104.09145,96.5594,167.3666,185.3088,128.277428125,147.99082137931,125.6933,136.805,107.335,149.42685,99.8073,172.282725,4.8797954806083,4.73180356282009,1.15367780241977,1.08840328004754,0.206240366310879,0.122213209459505,"KIRP"
"ZNF175",0.249628640997381,150.302868837209,139.864275471698,4.13609400203424,7.0932584747614,110.02965,106.7695,185.8973,172.3721,171.588828125,148.267370689655,171.17535,141.57265,152.350575,204.1194,109.290275,179.8451,6.15538957066717,3.48505436344432,0.864085222271257,0.827062132485782,-0.210754486567109,-0.27393237992609,"KIRP"
"ZNF14",0.311712785960442,133.364720930233,141.551869811321,3.69527377295814,6.30845147277798,98.4761,116.2814,154.9902,162.9732,217.53250625,133.526630344828,210.33845,124.8086,182.57445,245.916725,100.02855,159.52795,13.1136122696636,3.05508434395904,0.613823803378478,0.593370351450246,-0.70410350194998,-0.752995252471453,"KIRP"
"ZNF85",0.00653738363288059,64.2572646511628,79.360820754717,2.03790650526012,7.43330748313035,46.14965,47.6455,75.07595,89.1043,68.029521875,66.6221220689655,68.27185,58.9951,57.4743,76.585025,45.147375,76.774475,3.53775651816647,2.10327211877897,0.979311925657504,0.864120424450194,-0.0301596416737873,-0.210695713458614,"KIRP"
"ZKSCAN1",0.308136416786875,647.062299069767,577.857345283019,31.2962077854258,49.9903246516771,321.364,293.4363,877.3402,775.5632,819.65959375,642.312210344828,887.42,554.63285,741.015775,979.58165,323.333,850.006975,46.3078804435821,26.5162842709154,0.783632882775402,0.62499476009105,-0.351750157693226,-0.678084000508391,"KIRP"
"ZNF862",0.0721596653003134,1033.22165255814,818.027630188679,55.7917818815567,79.6574041019449,554.8605,368.5838,1269.09135,1126.9834,531.5688,987.986286896552,506.81725,779.48315,389.7774,664.74985,508.976375,1253.5798,31.4946839446688,45.3668119321064,1.85862354392611,1.53799648689937,0.894234588272669,0.621052207890998,"KIRP"
"ZNF684",0.167760578824657,110.974197674419,95.9745226415094,5.03373305116194,7.71802947859004,66.39045,54.117,138.3482,130.5725,138.62829375,107.25511137931,133.16295,95.41705,118.561825,154.1797,63.457625,135.42215,5.78703032886962,4.18269629077556,0.773688461986934,0.716543528060921,-0.370175335784267,-0.480873747957239,"KIRP"
"ZNF430",0.462757367140899,54.941951627907,59.5409358490566,2.87288452096528,4.7661591925776,28.45575,31.9653,68.79495,80.7651,83.182103125,55.202915862069,78.4982,49.72185,65.7495,95.717875,30.298275,69.8658,4.47975029008783,2.34595740391869,0.663639338129189,0.633413887197414,-0.59152868833769,-0.658779597001506,"KIRP"
"ZFP30",0.1141947101784,150.568604186047,135.318516981132,4.36401464545083,7.87678440777719,105.55425,107.0632,181.8612,170.3511,167.073003125,146.339225172414,170.49395,139.063,142.520325,194.89905,104.998975,179.00175,7.14037040616858,3.66873608947568,0.875899890677887,0.815647710666566,-0.191162105741008,-0.2939819277613,"KIRP"
"ZNF549",0.0142919560902385,137.373700465116,109.889264150943,4.95116702876689,10.024414061524,90.08075,40.0729,173.9916,163.2032,174.847353125,131.287737241379,178.03825,124.96525,146.569175,204.001025,82.1588,173.006575,6.95520798422957,4.29364999841664,0.750870601670021,0.701901136413102,-0.413363786899638,-0.510660255313183,"KIRP"
"ZNF211",0.374333843506236,209.269759534884,188.408252830189,9.84812552539899,25.2230434132562,127.03715,99.3007,253.3865,247.4124,213.439796875,204.208875862069,209.6979,180.36555,182.73535,242.2425,119.78125,247.54425,8.4500381789108,8.75865582772665,0.956751640752652,0.860120916804603,-0.0637836248846974,-0.217388605058825,"KIRP"
"ZNF205",0.645678685305912,511.263182325581,492.416947169811,19.0188630707315,28.9960276280242,324.69865,350.3693,613.85285,531.6167,271.218209375,505.693012758621,268.1468,448.69685,230.328075,319.135425,331.530125,582.3901,10.014420724878,15.4231825979488,1.86452456095757,1.67332539489563,0.898807801530061,0.742718019168913,"KIRP"
"ZNF45",0.834193999355878,173.716098139535,171.527952830189,4.71403341443013,8.7497805304214,122.7292,121.1802,212.0291,210.998,256.37945,172.907029310345,260.5415,163.40375,233.01465,278.180125,123.737775,208.12845,6.50497583294028,3.90299246472954,0.674418442314097,0.627169759903892,-0.568284106840907,-0.673072095843131,"KIRP"
"ZNF133",0.958785733485689,358.61560744186,356.693364150943,15.5989111038288,40.0640533820962,215.0338,243.4886,426.64435,388.9446,241.126790625,355.952187931034,226.74275,301.1463,187.39995,289.3231,219.789225,405.42615,13.772138311433,13.9461934137074,1.4762033990848,1.32814081155847,0.561891517220793,0.409408111570145,"KIRP"
"ZNF436",0.5892109160509,355.492020930233,338.120373584906,14.7152931788673,24.9386410468502,253.5288,215.5125,382.1684,400.1056,383.559978125,352.263786896552,377.8323,308.3402,345.101,411.622175,247.26335,388.19185,14.4038993940378,12.0838369264964,0.918406004241013,0.816076867964967,-0.122796020969996,-0.293223045865974,"KIRP"
"ZNF484",0.665011770005582,53.9609609302326,55.4301641509434,1.54182986780671,2.73010522964109,39.5727,38.1511,66.65045,67.4439,73.92785625,54.3037072413793,72.38495,52.741,63.767,83.01895,39.52515,66.741975,3.60076208979393,1.27781263154121,0.734550005856274,0.728618310850529,-0.445067386617495,-0.45676484309337,"KIRP"
"ZNF780B",0.148677224134197,301.705102325581,265.265820754717,11.6832413566402,17.8492286337603,181.8283,167.7066,379.7576,338.5918,352.9377125,294.542452413793,336.2503,261.046,289.085775,403.450625,172.578675,378.154825,18.4472355191434,9.9976531357649,0.834545139218562,0.77634428876346,-0.260938010110081,-0.365231502349026,"KIRP"
"ZNF557",0.315370888466482,147.532880465116,155.122739622642,3.38433201508509,6.51272763207912,113.6083,126.2826,171.9315,184.4906,163.277728125,147.904478275862,168.24795,143.02345,126.189825,194.5358,112.4985,173.38515,7.52195728745109,2.86180478838532,0.905846008358417,0.850075439254981,-0.142662278457095,-0.234337217155103,"KIRP"
"ZNF337",0.687278049337802,807.316091627907,762.175462264151,52.2039738955354,77.4178599598794,352.53035,415.8254,925.8511,859.7337,287.889546875,802.623793793103,267.09815,591.19655,202.331025,365.465325,359.086925,935.1802,19.9978013129493,42.5647687808094,2.78795740416931,2.21340563384658,1.47920851914638,1.1462678670054,"KIRP"
"ZNF317",0.235942459787664,625.081217674419,649.973405660377,9.07049043176101,20.7010194279263,543.5397,544.3874,691.0996,741.0035,613.595084375,630.064809655172,628.90335,617.21355,560.869275,668.5665,543.6058,705.55685,14.5498396608961,7.88807758749582,1.02684135792409,0.981412406214723,0.0382133093921315,-0.0270685859926061,"KIRP"
"ZNF426",0.454668619862114,70.82352,64.7980547169811,3.61072662967762,6.93593025262132,28.90755,22.1607,96.59045,92.2453,131.21375625,68.7281637931034,128.6575,58.3041,108.205275,166.1222,28.747475,94.142575,7.73829148153026,3.0182068620426,0.523787792967046,0.453172959213415,-0.932945657251392,-1.14186631663404,"KIRP"
"ZNF331",0.186075703793626,366.695264186047,310.949896226415,19.4814715094158,30.3339977610142,206.796,147.8163,430.751,379.7996,1173.97438125,353.483587586207,1047.8942,294.88675,677.30535,1596.385825,192.491575,426.022275,106.08356681237,15.901765890724,0.301099916004838,0.281408896050765,-1.7316857892805,-1.82926015833332,"KIRP"
"ZNF227",0.265941927877004,183.888251162791,194.887873584906,4.32830584057827,9.31480775122608,147.06115,155.5789,209.75485,231.1839,217.979340625,185.720734827586,208.98825,175.41965,198.046425,238.4743,147.644425,214.372225,6.50770097824223,3.68466946825883,0.852010719433684,0.839375658679375,-0.231056513290085,-0.252611468227436,"KIRP"
"ZNF141",0.956591673970028,81.2121846511628,81.7310150943396,4.00692511099425,10.2036106784196,46.97195,43.1087,94.5766,92.3875,87.354559375,80.2034982758621,68.91585,66.12715,56.70705,94.1532,44.7085,92.570575,11.2310365834552,3.56926038958653,0.918137517373999,0.959534707908268,-0.123217840186133,-0.0595931029309928,"KIRP"
"ZNF304",0.19738570896482,208.55258372093,189.349358490566,6.66505814802748,12.8289743827135,147.71125,140.4791,252.8982,255.1092,310.336928125,203.074544827586,322.52885,193.8162,267.09705,337.556,145.62445,252.158275,10.1757332634497,5.57658548823247,0.6543679672752,0.600926707796837,-0.611825967916258,-0.734739051947537,"KIRP"
"ZNF132",0.024851512173226,125.448600465116,106.561654716981,3.6409707899026,8.13543863606682,86.1288,60.2626,152.0789,146.9934,166.8549375,121.502045517241,162.7863,121.47885,137.89075,190.0157,81.4344,151.93565,7.38072514784825,3.21429234225829,0.728189691822823,0.746247380768529,-0.457613776600614,-0.422274132173418,"KIRP"
"ZNF20",0.861108798412425,120.079602325581,119.115020754717,2.43729978403871,5.0314350245468,98.3717,91.9897,137.67915,139.3893,133.263103125,118.961982413793,125.04755,115.01755,104.10585,159.82345,97.134275,137.556875,7.08344918289266,2.08864852792544,0.89268506904126,0.919790511689353,-0.163776799124375,-0.120622779545381,"KIRP"
"ZNF670",0.0303402349013399,38.9188186046512,44.6275509433962,1.11679597739786,2.7185469822752,28.5548,30.2352,46.02455,58.1625,57.62745625,39.7954227586207,51.7642,36.67145,45.8136,68.532025,28.703725,47.5208,3.0342032822012,0.99441653617646,0.690563584586829,0.70843266195556,-0.534153836168355,-0.497297366486067,"KIRP"
"ZFP37",0.849868804062366,51.9816520930233,51.1666547169811,1.92949786502392,3.71172736071494,30.45755,28.8568,69.29045,70.0474,80.9106875,51.4818455172414,78.5052,48.1249,64.55925,90.1585,30.2022,69.308675,4.61731232160408,1.64475063804378,0.636279916880466,0.613015443562974,-0.652266508853619,-0.70600467501525,"KIRP"
"ZNF189",0.43302630597501,522.690181395349,553.673164150943,16.484233845548,43.0450643292371,359.9391,368.2618,606.13555,665.6096,536.102778125,526.173066551724,486.9868,468.1722,441.71565,590.32105,362.2909,604.830775,27.8040370046652,14.8384345973088,0.981477970310087,0.961365277251868,-0.0269722087354658,-0.0568433979657279,"KIRP"
"ZNF434",0.651949625163076,309.553671627907,315.440026415094,5.53096635715098,13.6605118023335,252.86865,255.8855,354.45945,374.2031,276.60289375,309.130686896552,278.93145,301.37255,248.184025,298.0542,252.637275,355.436475,6.55911383707436,4.97405682890391,1.1175974434163,1.08045381759569,0.1604006255962,0.111637407644343,"KIRP"
"ZNF287",0.000453571651543472,185.575000930233,146.523058490566,4.91652952714829,9.6308567429854,134.683,95.4909,234.54045,185.0636,155.0093625,176.137462068966,163.6465,172.1034,131.46485,180.41605,125.5815,223.7821,5.40309224390479,4.31936563135104,1.13630208671406,1.05167785439957,0.184346427331817,0.0726928519360507,"KIRP"
"ZIM3",0.132921385314561,0.050046511627907,0.153964150943396,0.0170305804926497,0.121093739017059,0,0,0,0,0.089878125,0.0778872413793103,0,0,0,0,0,0,0.0410403014785602,0.0283251333681251,0.866587296734443,NA,-0.206583006526541,NA,"KIRP"
"ZFP14",0.415222788107877,162.891164186047,154.800420754717,4.4754948709639,8.3087439631353,121.2819,115.9208,195.9518,193.3283,191.51529375,160.454345862069,196.1416,146.3237,159.323125,222.9728,118.6917,194.6421,7.69090279814816,3.75510476492613,0.837814791290364,0.746010535245965,-0.255296740245009,-0.422732090358879,"KIRP"
"ZNF473",0.300026854548849,173.125177209302,182.213426415094,3.84212774206325,8.24054801102079,135.03395,140.8126,199.79045,219.6743,165.74454375,174.073986896552,164.3591,161.15815,148.029825,179.2292,135.435875,204.5132,4.52696883545449,3.31689715099278,1.05025470497005,0.980524656073196,0.0707392488777548,-0.0283741862983005,"KIRP"
"ZNF614",0.426814031314928,143.682378604651,155.973618867925,6.48848249459247,16.6111651174006,86.1801,97.3451,178.3634,177.0208,227.246396875,144.083777931034,226.98355,117.0459,185.244975,283.674,86.6779,177.22075,11.4878159574265,5.75613952423112,0.634042079049067,0.515658073018948,-0.657349504962882,-0.955513346822874,"KIRP"
"POGK",0.00105639249221001,1343.68452697674,1621.72869245283,34.4509917416147,95.4790587509225,1018.47195,1164.0867,1489.3018,2024.3767,1331.9801875,1398.16849034483,1296.75805,1279.07645,1214.63805,1444.033325,1046.1762,1570.023175,33.9205389523569,32.0284343065896,1.04969165717777,0.986364765578282,0.0699656040915661,-0.0198068294464655,"KIRP"
"ZNF514",0.790340917777033,260.231146046512,266.981296226415,10.8136708234841,26.2262339273869,146.0578,147.7873,326.3705,357.1523,186.001734375,261.065750689655,178.55095,216.48855,118.0232,230.783175,146.809725,331.97555,14.6577558383934,9.78875742983701,1.40356621709407,1.21247492662459,0.489097128559902,0.27795491339594,"KIRP"
"ZNF300",0.373599179988353,232.610855813953,204.576986792453,14.2723649693844,25.6810880901394,102.08715,105.8084,296.2881,252.8029,104.596621875,225.913050689655,83.7291,173.05235,55.884475,160.35875,103.08455,290.81575,10.8828079491313,11.8481676541398,2.15985035309875,2.06681249410301,1.11093135761033,1.04740751014789,"KIRP"
"RBAK",0.248143653586862,491.240496744186,456.832847169811,13.6814076575515,22.4024139636622,358.4966,351.0582,610.27665,508.4373,350.116115625,484.451267241379,355.97695,470.61455,304.22165,389.8436,351.01095,607.184175,12.2485279573917,11.5646959765916,1.3836874271742,1.32203658130112,0.468518077226074,0.402762097368711,"KIRP"
"ZNF92",0.486006588175215,172.900134883721,181.776132075472,5.55159014540046,12.2368881982581,112.01365,129.5076,224.32315,203.2282,121.80459375,173.275025172414,117.34365,159.17185,103.66125,141.559275,112.5005,221.7037,5.91934211508356,4.92563966116321,1.42256560149164,1.35645899884655,0.508495183824938,0.439845440502397,"KIRP"
"ZNF157",0.106633541550385,3.3654688372093,2.65269433962264,0.202015194981186,0.337808127875063,1.11065,0.7399,4.8641,3.7798,5.2217375,3.21523,4.51315,2.4757,3.34775,6.582525,1.0112,4.63,0.512968850248828,0.171145848887913,0.615739492841224,0.548552563065708,-0.699607990523167,-0.866298226599954,"KIRP"
"ZNF182",0.310143560414777,200.416493488372,214.633843396226,6.06768858111085,13.6962249998419,140.0004,154.6341,238.5506,244.4574,145.04045625,203.477022758621,140.31805,187.917,110.870875,170.0451,142.1388,241.7896,6.81409126185124,5.31859626425782,1.40289839138327,1.33922186062306,0.488410521747597,0.421394982847876,"KIRP"
"ZNF673",0.0206330443755508,184.436609302326,205.592233962264,4.0384265832385,8.15295300516038,148.17715,169.8581,207.60665,234.4696,186.80591875,189.622267931034,187.82805,181.87795,161.630175,207.400925,151.4512,216.2394,5.83551374460178,3.54537443621534,1.01507633805117,0.968321557935569,0.0215882282838841,-0.0464418810616646,"KIRP"
"ZNF41",0.986098235990599,194.440443255814,194.215767924528,5.84668809428148,10.5052141154545,137.9494,142.8571,235.2622,226.2095,236.751525,193.92409,242.78795,190.11785,216.054125,253.76325,137.72765,233.818325,6.69016391914731,4.89566405535265,0.819103868496729,0.783061309261848,-0.287881686899409,-0.352802828104956,"KIRP"
"ZNF7",0.0019803991459304,314.023654883721,366.718033962264,7.23370934302655,17.1435565897186,244.57625,287.1888,364.3345,437.5544,265.554978125,325.260965517241,259.89055,310.754,212.83065,313.49235,249.0686,373.51175,10.681524437715,6.5225117790399,1.22483475103275,1.19571104066693,0.292587120699675,0.257868785384611,"KIRP"
"ZNF214",0.932001457749981,79.8165953488372,79.2843698113208,2.8017897923473,5.32048567727214,52.74915,47.6238,103.6436,102.6211,71.21604375,79.6259624137931,68.8167,70.683,56.382,82.12935,52.476025,103.7016,3.53684744588774,2.38059942463159,1.11809022547385,1.0271198706128,0.161036612681576,0.0386045620328405,"KIRP"
"ZNF215",0.330026493895517,42.1219409302326,46.3695509433962,1.83319022648102,4.65273343005341,24.0097,25.7753,51.4857,59.4673,38.30258125,42.716674137931,31.99485,37.7703,27.349275,41.59905,24.1465,52.23535,3.55956421692092,1.64946864132952,1.11524270020134,1.18051186362805,0.157357705011017,0.239412540093753,"KIRP"
"ZNF547",0.898393106196138,43.5225186046512,42.9213830188679,1.97842488165889,5.04296145910701,24.12015,20.874,56.32975,54.2705,48.011915625,42.9878820689655,43.73175,36.539,37.51845,56.56215,23.445925,55.47035,3.29524550433085,1.77918765334777,0.895358610656675,0.835525676425023,-0.15946246592498,-0.259243930656127,"KIRP"
"ZNF773",0.49814413526629,83.2330479069768,78.8607867924528,2.86179367139539,5.81061618877102,58.92035,48.7134,101.8608,101.108,96.457103125,81.9041989655172,95.62835,79.7195,80.683925,112.711925,58.27075,101.081425,4.69255268031054,2.41144009572469,0.849125635251315,0.833638769256188,-0.235950066498453,-0.262505721645908,"KIRP"
"ZNF776",0.332660609899147,306.794777674419,287.258671698113,9.08562789758227,16.8721516362468,214.63395,203.4139,362.51675,368.7141,416.55025,302.346247931034,405.54325,286.4223,372.600325,461.7402,214.329825,362.638425,13.6921555625126,7.6397460592201,0.725833792996246,0.706268197041869,-0.46228886825312,-0.501711960870251,"KIRP"
"ZNF256",0.960397054203956,76.7303776744186,76.4506849056604,2.38463822899891,5.91795768454783,56.92875,49.4148,90.67035,94.9084,80.984665625,76.1284786206896,79.7555,71.57,69.76145,90.649425,55.165225,91.374275,3.30936968141645,2.09744351508191,0.94003572198721,0.897367579665352,-0.0892125136773152,-0.156229032001829,"KIRP"
"ZNF599",0.167715244784891,118.978896744186,107.233869811321,3.29400137167384,10.7085546088551,84.2249,69.6737,149.4698,137.1732,110.259325,115.636833793103,107.96315,108.19135,99.754175,121.77365,78.627825,146.51525,3.63776420483514,3.26979699437758,1.04877146484529,1.00211368415983,0.0687003381110679,0.00304618345344352,"KIRP"
"ZNF18",0.221570739627986,254.462146511628,233.27281509434,7.93872804102415,13.2376084110584,184.9078,163.3134,294.7001,279.7884,138.67025625,249.913584137931,135.80305,226.23295,128.370225,150.331275,183.268475,287.3689,3.55526082184267,6.60635322377554,1.80221477118624,1.66589005180664,0.849770948366824,0.736293186449147,"KIRP"
"ZKSCAN2",0.258980046525999,267.234813023256,252.094367924528,5.77200752923122,13.3765820816464,208.69265,187.3684,314.45485,292.7268,183.88311875,264.145145172414,186.7133,254.3767,157.298925,204.911,202.525975,313.026625,6.38550190589828,5.05237288540076,1.43648393048812,1.36239196672117,0.522541853967011,0.446141833372122,"KIRP"
"ZNF689",0.827181872137287,138.765616744186,141.222903773585,4.85775138346653,11.1768445184397,87.08715,80.2164,178.9696,185.8833,172.237546875,139.491231724138,175.2524,141.2486,152.1352,197.84595,86.70485,181.6675,6.0098585921451,4.24529476490711,0.809877023070774,0.805972414643109,-0.304225238341231,-0.311197633229199,"KIRP"
"ZNF19",0.00438014277022225,153.767485581395,125.243924528302,4.52755236127503,7.87383278299297,104.294,86.8779,192.62745,162.3404,84.43314375,149.163817241379,79.11695,139.604,64.5732,101.0343,99.91305,191.164925,4.44663912888136,3.90966469762624,1.76665004542578,1.76452707036861,0.821016285655852,0.819281563292461,"KIRP"
"ZNF230",0.845318250319002,83.510983255814,82.667741509434,1.8909013613495,4.10163144468595,64.72845,63.486,98.1354,99.7426,90.234621875,82.5731927586207,90.34465,78.51675,80.0762,101.522725,62.921925,98.408875,3.54906518083526,1.63735458553526,0.91509435117939,0.869080238840927,-0.128007594156242,-0.202438713205705,"KIRP"
"ZNF222",0.464637711779447,42.749083255814,45.1077981132075,1.33099437563523,3.60574455039599,30.26105,30.3359,53.25145,54.352,55.48010625,43.0527413793103,56.056,40.3315,44.112325,63.031525,30.477975,53.256175,2.10335115791126,1.19930709305882,0.776003225107565,0.719485871271586,-0.365865446550963,-0.474961738215818,"KIRP"
"ZNF221",0.350712578235522,12.5422869767442,11.174179245283,0.644346279546074,1.36297448444012,5.5416,4.561,16.85015,14.7059,16.504075,12.3005855172414,18.17915,10.1657,12.600675,20.390675,5.321125,16.38955,1.11203850148739,0.579396920410739,0.745305963360042,0.559195561948716,-0.424095291855477,-0.838575184066693,"KIRP"
