"gene","p-adj-Cluster 13 (HNSC-LUSC)-BRCA basal-like c8","p-adj-Cluster 14 (HNSC)-BRCA basal-like c8","p-adj-Cluster 14 (HNSC)-Cluster 13 (HNSC-LUSC)","p-adj-Cluster 5-BRCA basal-like c8","p-adj-Cluster 5-Cluster 13 (HNSC-LUSC)","p-adj-Cluster 5-Cluster 14 (HNSC)","p-adj-Cluster 6-BRCA basal-like c8","p-adj-Cluster 6-Cluster 13 (HNSC-LUSC)","p-adj-Cluster 6-Cluster 14 (HNSC)","p-adj-Cluster 6-Cluster 5","p-adj-Low purity c2-BRCA basal-like c8","p-adj-Low purity c2-Cluster 13 (HNSC-LUSC)","p-adj-Low purity c2-Cluster 14 (HNSC)","p-adj-Low purity c2-Cluster 5","p-adj-Low purity c2-Cluster 6","mean-BRCA basal-like c8","mean-Cluster 13 (HNSC-LUSC)","mean-Cluster 14 (HNSC)","mean-Cluster 5","mean-Cluster 6","mean-Low purity c2","SEM-BRCA basal-like c8","SEM-Cluster 13 (HNSC-LUSC)","SEM-Cluster 14 (HNSC)","SEM-Cluster 5","SEM-Cluster 6","SEM-Low purity c2","Q1-BRCA basal-like c8","Q1-Cluster 13 (HNSC-LUSC)","Q1-Cluster 14 (HNSC)","Q1-Cluster 5","Q1-Cluster 6","Q1-Low purity c2","Q3-BRCA basal-like c8","Q3-Cluster 13 (HNSC-LUSC)","Q3-Cluster 14 (HNSC)","Q3-Cluster 5","Q3-Cluster 6","Q3-Low purity c2","count-BRCA basal-like c8","count-Cluster 13 (HNSC-LUSC)","count-Cluster 14 (HNSC)","count-Cluster 5","count-Cluster 6","count-Low purity c2"
"ZNF195",0.995442945430567,0.999891206531765,0.993991524474549,0.964066682282507,0.993726310117703,0.649706070736609,0.988373955132364,0.999986974817808,0.914786751894619,0.928721739361541,0.999801394273252,0.99643955092969,0.999999821353741,0.705437299881881,0.940416568501844,241.9757,397.359,311.5742625,467.664852857143,417.493463043478,320.6198,NA,56.4664826143085,41.1556455912575,39.2056796278491,31.7575556676968,70.1146495675348,241.9757,292.6525,254.017125,243.914725,267.5649,215.13735,241.9757,459.0164,404.8125,541.328075,550.828675,358.75015,1,5,8,70,46,8
"ZNF263",0.999999930861344,0.999834849303878,0.991631436743581,0.999978335503856,0.995932804913109,0.999787913591271,0.999957325367567,0.993822898504037,0.999956758959046,0.999992886011923,0.999771302452608,0.998440073622722,0.863025398471528,0.808248170740378,0.789081837755708,588.7378,578.07376,638.0292375,619.780371428571,624.456797826087,536.0724625,NA,90.9798133332972,45.93280052943,20.9940398866882,29.0907247309881,28.9729480073712,588.7378,468.003,575.524475,506.9457,458.078675,510.19295,588.7378,602.2806,707.113,743.730725,746.523475,595.7984,1,5,8,70,46,8
"ZNF200",0.999997609873527,0.999999522593485,0.999166857766156,0.999982583506946,0.989271043397043,0.9999316261953,0.999999905739336,0.998918678838211,0.999999772628616,0.992944295370977,0.995999967969752,0.860171009088776,0.946854988189783,0.922680146778112,0.81699610876281,262.8912,273.73408,255.2891375,248.035544285714,257.655682608696,215.273625,NA,32.8588509660852,35.5737517202137,11.6654750953457,11.752724824537,17.6208782261043,262.8912,224.877,197.363025,182.995225,210.445325,175.610325,262.8912,337.7167,289.37405,281.0064,301.99795,248.0916,1,5,8,70,46,8
"ZNF582",0.999999497380659,0.999848265958822,0.999544210013569,0.956982479873515,0.322916092967561,0.0346616319878285,0.99917415456889,0.928189865118509,0.559086478645337,0.105995359522122,0.875173682243239,0.232577416446714,0.0484253744795577,0.954067058720981,0.279384708391558,15.1235,12.88422,8.284375,36.7518457142857,24.3386782608696,44.892825,NA,5.84899598233748,3.47281049423076,3.56939491079712,2.98427436353938,6.78731823854895,15.1235,1.4507,1.300175,14.640425,9.197275,31.59275,15.1235,16.7364,13.39445,49.90755,35.430625,49.421125,1,5,8,70,46,8
"ZNF285",0.999952553058112,0.999997441485499,0.999973759915132,0.961410453193861,0.769087510365984,0.394095441520243,0.973242177126731,0.851849662239248,0.533611296168308,0.99934976594064,0.794319980696553,0.349662675968265,0.137194612459569,0.724954883816312,0.640581916425036,11.9057,31.09428,22.2326875,84.3659271428571,78.7036826086957,129.757425,NA,10.2011124754803,4.59111654784221,9.23243468238048,11.1530244557663,75.4764756012943,11.9057,14.3671,16.432975,37.1401,31.2417,24.3825,11.9057,39.4611,26.09575,94.366625,101.253825,132.5383,1,5,8,70,46,8
"ZNF275",0.99655206952898,0.997943117093056,0.502287403430366,0.999910533219007,0.986594765166901,0.430244610696877,0.999999994970285,0.894749443958622,0.787300080351525,0.900853960726707,0.999999950437535,0.906774636308654,0.963615901835131,0.972867067417095,0.99991698717145,463.3577,582.83174,359.5784125,515.172617142857,470.659582608696,451.2477875,NA,189.914669573508,67.6951229619251,23.6288628351212,36.8557864489295,48.5256336084137,463.3577,291.7155,222.736125,400.526425,289.84,329.16115,463.3577,857.1429,423.902025,657.123975,546.085775,532.823,1,5,8,70,46,8
"ZNF37A",0.985980519309371,0.952992393789222,0.999276956771545,0.999542544791075,0.954482178545348,0.594651001307225,0.999998149092309,0.780389365470793,0.277956765854084,0.864322708276233,0.998954995381294,0.99333610704606,0.903429906941026,0.999936220761518,0.97156526546762,462.7142,336.51222,301.4622,406.348987142857,444.116991304348,392.3551625,NA,65.1812493876145,47.3620762872688,19.6768092325007,30.2338228264242,32.2857497475055,462.7142,262.6498,217.332775,282.66645,333.748725,313.11235,462.7142,415.4214,403.4001,476.6857,506.706825,432.168925,1,5,8,70,46,8
"ZNF510",0.9733836101288,0.971955398909463,0.999999996859395,0.953841190143299,0.999999459730744,0.999990277218519,0.991251496544004,0.99625982130953,0.99306015573574,0.708737257665346,0.947950295386171,0.999959966758362,0.999847050989704,0.99995894185402,0.945924917787486,264.8218,191.63406,193.1024375,188.29359,212.104397826087,181.8665625,NA,35.1106359505578,24.4784955393792,9.5288574824438,15.6430926316151,14.9783506803741,264.8218,135.0227,156.450925,133.985425,140.12035,153.406475,264.8218,200.7001,219.36825,220.421425,243.0126,198.746575,1,5,8,70,46,8
"ZNF506",0.41504146243481,0.131933356210185,0.909081877664144,0.791099072438477,0.559275852092242,0.00538688999305248,0.695693188141524,0.798829880667246,0.028843966153221,0.947459852946651,0.525910535149942,0.997911182516165,0.555586869688799,0.731911593421543,0.942525828191336,808.6236,273.67828,122.53815,472.82891,428.92685,338.37075,NA,57.5814913664921,34.718101913766,35.8904437952216,33.6378873090179,51.318985385037,808.6236,280.2843,26.92145,246.757125,297.736975,262.2016,808.6236,346.6826,186.51605,599.126675,542.185175,450.4657,1,5,8,70,46,8
"ZNF324",0.998032301672805,0.999985788454502,0.869417816219474,0.999986754846258,0.983400400776457,0.952461314192615,0.997076745737031,1,0.547255820043722,0.550122695555193,0.99999999974474,0.967263965744952,0.999027554088719,0.999061339288768,0.839965085768118,186.952,250.20526,164.5262625,207.946168571429,250.369776086957,189.4660625,NA,72.5308840607682,24.2112202215429,8.82339199726416,28.926153323994,42.6745172263342,186.952,175.1135,131.4244,155.828925,148.930475,139.094075,186.952,243.8733,200.17065,240.989225,255.526,167.69065,1,5,8,70,46,8
