"gene","p-adj-Cluster 13 (HNSC-LUSC)-BRCA basal-like c8","p-adj-Cluster 14 (HNSC)-BRCA basal-like c8","p-adj-Cluster 14 (HNSC)-Cluster 13 (HNSC-LUSC)","p-adj-Cluster 5-BRCA basal-like c8","p-adj-Cluster 5-Cluster 13 (HNSC-LUSC)","p-adj-Cluster 5-Cluster 14 (HNSC)","p-adj-Cluster 6-BRCA basal-like c8","p-adj-Cluster 6-Cluster 13 (HNSC-LUSC)","p-adj-Cluster 6-Cluster 14 (HNSC)","p-adj-Cluster 6-Cluster 5","p-adj-Low purity c2-BRCA basal-like c8","p-adj-Low purity c2-Cluster 13 (HNSC-LUSC)","p-adj-Low purity c2-Cluster 14 (HNSC)","p-adj-Low purity c2-Cluster 5","p-adj-Low purity c2-Cluster 6","mean-BRCA basal-like c8","mean-Cluster 13 (HNSC-LUSC)","mean-Cluster 14 (HNSC)","mean-Cluster 5","mean-Cluster 6","mean-Low purity c2","SEM-BRCA basal-like c8","SEM-Cluster 13 (HNSC-LUSC)","SEM-Cluster 14 (HNSC)","SEM-Cluster 5","SEM-Cluster 6","SEM-Low purity c2","Q1-BRCA basal-like c8","Q1-Cluster 13 (HNSC-LUSC)","Q1-Cluster 14 (HNSC)","Q1-Cluster 5","Q1-Cluster 6","Q1-Low purity c2","Q3-BRCA basal-like c8","Q3-Cluster 13 (HNSC-LUSC)","Q3-Cluster 14 (HNSC)","Q3-Cluster 5","Q3-Cluster 6","Q3-Low purity c2","count-BRCA basal-like c8","count-Cluster 13 (HNSC-LUSC)","count-Cluster 14 (HNSC)","count-Cluster 5","count-Cluster 6","count-Low purity c2"
"ZNF671",0.999646738620778,0.999994837102065,0.999360365529761,0.999650331155139,0.739891673332175,0.84303176323995,0.999997961850153,0.936154443148771,0.987622856174909,0.904639942407791,0.974683929419911,0.356769061365692,0.424272884583637,0.772538180738693,0.468394127550123,41.8309,23.58216,34.30755,58.5732128571429,47.7808456521739,85.6248625,NA,15.8931860090606,9.84961990497603,7.10886170474778,6.31871962636771,32.6694730500866,41.8309,5.9404,11.954475,20.920425,15.8879,25.912825,41.8309,12.1808,55.162625,74.01565,68.8288,116.1469,1,5,8,70,46,8
"ZNF416",0.990708378776307,0.895170145017571,0.96342003614648,0.995739658626596,0.999564113020493,0.570040901346863,0.983557646265883,0.999999834111081,0.863633888696596,0.93685941807003,0.916228585793799,0.980622830223978,0.999995326890447,0.680254141160949,0.925175424183302,174.4027,130.2761,99.0205875,140.09302,128.231143478261,103.2597875,NA,33.9497176289141,13.5693617619995,8.4119968564353,9.82393301468318,16.6063465427533,174.4027,95.0461,71.971925,101.0572,84.8439,82.649075,174.4027,116.9302,121.491,162.575425,155.0867,112.582425,1,5,8,70,46,8
"ZNF586",0.558072118116952,0.482178218214697,0.999997167152487,0.826590039346402,0.793371340358503,0.490209981743319,0.754272515607213,0.928267446887115,0.752800363165157,0.976783357858948,0.519820173258357,0.999999999997846,0.999995994846588,0.598147992006296,0.838152674913554,325.0905,150.18096,143.9077875,207.21423,193.7682,149.805625,NA,27.5987007900481,18.3680396425561,12.7940458908135,13.3219573786222,20.5234397182548,325.0905,130.6884,97.9342,136.388375,126.558675,98.223525,325.0905,141.8306,200.573125,242.73475,227.48665,174.958875,1,5,8,70,46,8
"ZNF446",0.999996929964918,0.999674243797258,0.970502653391379,0.999781542186823,0.999519988818971,0.605062889897767,0.988207900122534,0.884189226834148,0.131077164323344,0.39584296787446,0.999998315453326,0.998372694427662,0.998400192614847,0.904652961672366,0.370660284337655,262.0352,291.12704,189.8111875,325.249151428571,408.218669565217,237.0617,NA,86.3412736757954,31.7436202961625,17.3492769726362,49.8631417485336,29.9311105704654,262.0352,153.0245,125.9059,208.099975,205.5597,176.555825,262.0352,362.4695,219.166925,410.6998,473.2051,325.7467,1,5,8,70,46,8
"ZNF8",0.994242212376775,0.999999461166937,0.948115726503154,0.998931234468592,0.997484543593809,0.967856575149555,0.997457435604844,0.999749873016543,0.924254310872324,0.998498197671345,0.999985604773651,0.975383254897195,0.999983802775585,0.992353200063586,0.972808410933535,92.6233,138.96298,99.4140125,122.532661428571,128.581384782609,105.75115,NA,21.4015888225945,20.9937994270965,11.0339059328879,8.49425137243965,22.8589551018539,92.6233,120.9682,68.655375,78.4393,93.41465,63.690075,92.6233,141.584,113.04415,143.97915,151.7604,119.585975,1,5,8,70,46,8
"ZNF264",0.998437817639969,0.999981632829672,0.996710402657179,0.960234353423379,0.958907826460075,0.481036917329396,0.983857885832015,0.996086594769638,0.766325403211485,0.964568329905365,0.999897784527849,0.999258457031995,0.999990355568663,0.609668410060028,0.863157213773043,485.2385,629.4767,541.7393375,753.946147142857,704.659252173913,565.137275,NA,150.450121769878,64.5627777279546,40.1118057307704,48.1731747849259,56.969059135714,485.2385,407.9019,442.0794,528.2841,498.535675,451.938425,485.2385,874.5104,622.555925,902.343175,824.5427,646.61695,1,5,8,70,46,8
"ZNF213",0.999999492954255,0.999277542653377,0.996156846124891,0.999827303939045,0.97310270701026,0.528880028787057,0.99998785785534,0.995364622221387,0.739354408307276,0.992488084861567,0.999993332538212,0.998495478656508,0.905285896990603,0.999533469221266,0.999999997396461,488.7781,469.28636,407.0399625,546.707578571429,522.789902173913,520.4166375,NA,69.6019503060266,53.1090783252864,25.0825819510728,35.0956339444998,93.7612951756194,488.7781,409.4441,334.44785,410.101925,365.29295,390.7938,488.7781,571.1044,428.25295,651.15355,646.01515,562.752175,1,5,8,70,46,8
"ZNF343",0.784208425081847,0.999896917674158,0.315118014302246,0.989674260549787,0.510038213434048,0.920016340029221,0.981355268928365,0.653476547616697,0.836638736481678,0.997065534067672,0.989234894092003,0.761006603486167,0.963787343882525,0.999998219426964,0.999994395832858,230.7135,398.2945,260.21105,303.722608571429,314.232210869565,308.30815,NA,89.6651642913791,15.9260970749046,13.8066285339511,15.5371576080608,64.1671436700975,230.7135,266.893,225.608575,225.305275,250.501275,225.160175,230.7135,417.8152,296.880725,345.526875,361.887975,298.12935,1,5,8,70,46,8
"ZNF302",0.999999926813909,0.999999968223283,0.999962524326519,0.999205894698457,0.986857944767373,0.880401366499308,0.990142967610343,0.844965290648689,0.508633790299904,0.758646431921095,0.999994514508063,0.999992957783196,0.998993054439512,0.991162153017133,0.812504881324655,294.747,319.92982,274.113025,445.387225714286,551.939434782609,352.6569375,NA,66.4755070573019,35.8637032128224,35.0099977468835,89.6330157693103,66.1032386485497,294.747,185.7035,226.175525,239.10185,228.996675,207.2477,294.747,417.8152,337.09485,595.3913,575.90495,485.08335,1,5,8,70,46,8
"ZNF268",0.857210344057933,0.982964376140691,0.935887158794703,0.986869964210013,0.774055988803129,0.999951319377097,0.993660015271438,0.667478340413251,0.997806192333001,0.996300612859736,0.998690638986982,0.678276559626425,0.989649741610152,0.989154592830752,0.999169195092867,453.3827,251.44426,336.8126875,348.91714,363.896845652174,386.0358875,NA,28.4606790040329,28.0179608644771,19.4420850902958,25.0961281554918,55.8044800203367,453.3827,214.4478,297.6775,237.273375,262.9018,271.46665,453.3827,297.0711,377.231975,419.1944,449.458175,487.03825,1,5,8,70,46,8
"ZNF184",0.986109473428189,0.999572172028872,0.43646666668492,0.999999946877994,0.699870315037941,0.904477259017979,0.999918806256383,0.901039867319248,0.684389028024538,0.939296150161025,0.999997301078229,0.898825798506997,0.943097460229435,0.999970849705896,0.999762689302957,234.5749,363.06984,174.8353625,243.858642857143,275.178602173913,256.04895,NA,117.345530598615,24.8165489444611,20.0840251015589,29.2940062421311,53.7230016126905,234.5749,242.5649,120.6126,164.9083,176.4332,194.8278,234.5749,340.1076,194.867675,264.090625,336.93105,285.972125,1,5,8,70,46,8
"ZNF500",0.681284518068815,0.606924327871314,0.999995698702552,0.621594241265461,0.999999555034913,0.999725148975727,0.446153410936337,0.995601066126206,0.997758007470359,0.686756337227799,0.617820171722837,0.999998965576826,0.999999992067846,0.99988617439611,0.996417197144332,303.435,198.44436,193.8228625,200.825682857143,182.741913043478,194.9716875,NA,32.1615957345963,25.6005012399097,8.10217674783252,8.97519875842173,17.3138966365836,303.435,144.6503,160.8059,152.097625,135.5399,156.351725,303.435,244.0157,255.972375,236.28425,204.931325,231.12175,1,5,8,70,46,8
"ZNF419",0.98174216105639,0.963339471699337,0.999971395812862,0.794017314744366,0.86553497218298,0.868026094753216,0.863380081110047,0.962947723441137,0.976642760262718,0.977864585972914,0.945631110894314,0.999448824858708,0.999979120879044,0.945720866528985,0.995489405706443,55.0237,142.41994,154.2914125,202.415627142857,186.600930434783,164.0635875,NA,36.6425958377078,17.048754609747,14.1856405587169,17.8052036958325,29.0400937160619,55.0237,79.3316,125.04315,125.9199,104.831975,95.948125,55.0237,200.8368,181.543675,217.291925,242.217675,193.9751,1,5,8,70,46,8
"ZNF175",0.999972593054368,0.999999999826857,0.999564290002792,0.99478858013729,0.978068299153888,0.734039885812943,0.973890651043536,0.832931934442584,0.373738535362035,0.828129927825646,0.999874122555795,0.999997651068408,0.996539744545465,0.977198940457305,0.774059001610421,80.4441,122.16022,84.1150375,193.157064285714,241.752754347826,135.41065,NA,68.9582584454204,10.4236114860332,18.0381703344476,44.7083862925596,25.650806783455,80.4441,47.7864,63.56365,94.7964,81.77745,96.55575,80.4441,111.1775,91.4756,256.54735,243.5025,151.591675,1,5,8,70,46,8
"ZNF14",0.467763755639919,0.174597518765637,0.93377799123534,0.761372834165309,0.758224616432198,0.0268184396068125,0.712229812834082,0.865642104665938,0.0631794966055438,0.997160006981635,0.75409179065351,0.93417142080234,0.266311779975669,0.999913121855848,0.999999999990859,324.0286,130.20614,77.2907,191.4115,182.700132608696,183.0436625,NA,34.0526725328512,15.427758220748,13.0310577265189,11.8044374287677,47.5929003268642,324.0286,82.9827,49.391175,115.726325,123.30455,135.239475,324.0286,191.8709,99.7243,224.77465,227.1846,165.873175,1,5,8,70,46,8
"ZNF85",0.900681135793171,0.639312924471156,0.957078204069358,0.992495307377889,0.822155690397392,0.0598283767455855,0.976445302398687,0.957817673833377,0.197794052853201,0.947638287628192,0.98143410213332,0.980736867991249,0.483759328327708,0.997809170624809,0.999999999976884,233.6095,96.57686,38.63815,164.467484285714,144.2373,144.7400875,NA,32.4448049946767,18.3695803786159,16.4542803322303,15.3254332547481,29.1066489928875,233.6095,39.7505,5.389175,90.572,83.668175,106.341025,233.6095,125.523,50.009825,184.54295,182.857075,202.30935,1,5,8,70,46,8
"ZKSCAN1",0.982592688688848,0.722451605510799,0.79034806519841,0.890591627479065,0.981511286130667,0.88062846298223,0.859987044963334,0.956051825377755,0.953755570875055,0.998415066702658,0.940192138644591,0.998861219644445,0.907192957235839,0.999765227860772,0.996866569719709,985.9223,738.54726,498.5889875,632.590797142857,606.949708695652,666.63925,NA,160.653248192007,95.3397268093954,39.0687351424178,44.9397402732273,163.003432934007,985.9223,597.1309,351.262975,393.4396,426.59435,437.8532,985.9223,694.3078,662.723775,782.79065,692.819675,647.483225,1,5,8,70,46,8
"ZNF862",0.99999656211864,0.993545794262067,0.965862240885644,0.99999999243922,0.999210605895508,0.549668298219625,0.999999326195076,0.997320586042251,0.489734106066756,0.999793891384503,0.999505417253592,0.998996794604456,0.996432817003694,0.910755743987147,0.868956175058563,447.2689,396.95602,219.7646375,460.851222857143,480.755119565217,314.27735,NA,271.187752696797,66.492061020108,42.7772307180518,65.7607582039968,39.6453309155919,447.2689,103.0686,72.76055,248.074975,205.21685,268.86495,447.2689,169.7253,312.116,537.244575,615.160025,335.715525,1,5,8,70,46,8
"ZNF684",0.965417948298088,0.999894078969208,0.349566413686293,0.997441562856536,0.940873628146788,0.400688795162448,0.999871892289035,0.755395899441739,0.778864191961473,0.876052922661041,0.999668076731561,0.918262363088513,0.863474756543191,0.998923411483189,0.999974442185305,39.5785,74.8827,29.5337,57.9273257142857,49.527502173913,52.2496625,NA,27.2489971523174,3.53622603546897,5.60438323867126,3.80308234379889,14.7775808479184,39.5785,20.4236,21.602075,34.982675,32.104125,31.482525,39.5785,89.0759,35.438475,62.229425,55.956425,61.294575,1,5,8,70,46,8
"ZNF430",0.034629335883445,0.00138934245641353,0.568739799681361,0.0220061310438128,0.999896886608717,0.0620708660637719,0.0183890224852717,0.99999956000379,0.117691245617827,0.998937855254189,0.0593147496678222,0.993724765959457,0.128819286613287,0.993798691953125,0.978368456931104,355.8845,134.3212,71.5332,141.638631428571,136.806208695652,155.408275,NA,23.4321872785918,16.2521385957576,8.19635489116116,9.78217994339674,27.2317747513409,355.8845,118.3812,39.1471,100.96935,87.874175,111.254875,355.8845,175.8413,108.7903,178.609975,181.367825,168.892925,1,5,8,70,46,8
"ZFP30",0.999838650360476,0.977713949837636,0.954518104233057,0.999999704493832,0.971858697966071,0.211667389360382,0.999999683911327,0.973470899674014,0.235664219028829,0.999999999998111,0.999986671527529,0.969009554997925,0.416917028055631,0.999869468242163,0.999892771675408,197.5706,154.99864,81.1518375,208.58827,208.778786956522,222.4814125,NA,26.1056101165363,33.1805970201656,18.2284187512077,21.2218350360578,80.2461803826233,197.5706,132.018,8.39315,123.329275,116.546175,100.55955,197.5706,183.5027,142.73505,238.6561,258.5321,265.253025,1,5,8,70,46,8
"ZNF549",0.951079352993369,0.98631596893281,0.997154679868872,0.762780278628579,0.960530847510048,0.501800892692053,0.745923713122013,0.947472611057056,0.472875857480567,0.999972366265733,0.924469277843735,0.999994679929545,0.983703389313576,0.960162881159138,0.944699663095799,33.1429,139.32438,109.8970375,181.96045,185.756704347826,147.5108375,NA,53.0001841584386,12.4263355107486,10.3147198438923,21.2634668011079,40.7533601578575,33.1429,83.3919,90.265575,125.8419,95.1117,102.408225,33.1429,156.1472,127.189225,210.725125,232.309825,133.1182,1,5,8,70,46,8
"ZNF211",0.965583831447374,0.906854295427827,0.999142437290448,0.998916629446815,0.888342738228376,0.408681275720222,0.9998995200658,0.741751980949852,0.229952132003592,0.971042564861678,0.962472536715302,0.999999999684344,0.997950704767341,0.778009764218141,0.558658539467723,534.2193,232.74044,161.9994375,403.066215714286,453.251439130435,236.3401375,NA,52.5020240035049,17.4498586490789,35.6369241545758,65.9756145627965,39.9955676776053,534.2193,131.9251,124.468325,203.261975,246.688175,160.906975,534.2193,348.7328,192.894925,477.660475,521.60875,287.4003,1,5,8,70,46,8
"ZNF205",0.999998521577215,0.999999984446316,0.999806759194919,0.999817656341136,0.99939292692718,0.961188411353736,0.998965965775494,0.992260368802842,0.875909280087352,0.990262354019644,0.999815310243396,0.982948990034734,0.996819763701535,0.682116818383873,0.510424990497615,288.4917,307.4148,281.1303125,334.381117142857,354.205236956522,240.0368375,NA,57.411496944619,34.1948567129173,15.006432641664,35.3622711728116,38.0674231358977,288.4917,267.7645,200.40015,241.476975,233.375375,192.305175,288.4917,413.3063,347.503775,414.167975,400.1487,309.5204,1,5,8,70,46,8
"ZNF45",0.94854615403509,0.953656075595964,0.999998876115275,0.99020813298863,0.970735710921538,0.963396504379806,0.999647441850011,0.717043670497563,0.600422332056091,0.589702383974956,0.999999780508585,0.612761446421075,0.538522205095062,0.697064667146038,0.990074137441042,328.5335,198.9858,206.20965,246.914277142857,287.706752173913,318.8434875,NA,26.4925683866438,19.3775442829175,13.9346766227948,21.8041643533926,82.2169325230741,328.5335,146.4824,178.3924,181.1371,199.81265,187.33895,328.5335,228.2805,253.679125,284.858675,330.354775,369.00085,1,5,8,70,46,8
"ZNF133",0.998756574028536,0.99285886678387,0.999654438312433,0.983233137697405,0.993293740592045,0.999901530150431,0.948394391758653,0.919019332713254,0.971710700318174,0.881377700109259,0.999880480806899,0.999652156489666,0.982786588690129,0.855413624727972,0.55200220329722,263.8565,368.95922,410.993425,432.311582857143,483.128126086957,326.8684625,NA,59.6655660370318,112.277123840616,21.8306760542749,47.2497912959875,51.2407196969292,263.8565,368.7799,286.6707,301.61245,318.2451,230.8338,263.8565,412.4328,386.23815,518.5164,537.97735,377.75585,1,5,8,70,46,8
"ZNF436",0.320316923463338,0.329176963682041,0.999987197429964,0.794087895673942,0.314575537446964,0.194083081158237,0.628027002046925,0.711319089727859,0.650990243148805,0.672666418531049,0.588806780832497,0.938070567393483,0.949880314552696,0.865951533056961,0.999094057804441,2383.0585,494.11804,568.5652625,1296.48323142857,1058.9319,940.163725,NA,39.5803331657352,109.985106189439,115.140369677679,108.250383362428,280.892925180544,2383.0585,466.9926,293.614675,681.242175,557.077725,518.9031,2383.0585,546.3918,750.48765,1515.607225,1295.631375,953.5127,1,5,8,70,46,8
"ZNF484",0.24183791473447,0.50392284362626,0.92026039492204,0.119803636240354,0.999624772869199,0.410156423830639,0.146175461047748,0.999994286693833,0.57613702836758,0.998248105488449,0.197158081582455,0.999999893299395,0.837553565891377,0.999715462540041,0.999999685895202,156.0615,81.30738,98.7717125,76.9043928571429,79.3849782608696,80.259225,NA,13.3350340731248,11.2727393047887,3.76474467860796,4.67914482720719,5.69329164417431,156.0615,69.9697,79.5127,58.501525,60.9764,62.44315,156.0615,91.4525,113.06865,90.565375,90.378975,89.50905,1,5,8,70,46,8
"ZNF780B",0.999999025446988,0.999999994663705,0.9998921542143,0.999624205385916,0.997627862635954,0.939986351735882,0.997483561079789,0.973152502883299,0.788309514864434,0.967904317779921,0.999985372529345,0.999996624294868,0.998528635500395,0.99898911619543,0.97342709095046,176.3334,221.94838,160.75925,315.687041428571,383.572573913043,252.4025875,NA,53.7501458740941,13.9174764141297,22.0076784717061,108.10767188261,43.1857588594296,176.3334,108.6242,141.364725,183.346425,190.8707,136.976425,176.3334,327.2886,176.895475,391.942625,352.224275,359.94915,1,5,8,70,46,8
"ZNF557",0.999414115968908,0.999526914228244,0.812558563036067,0.970694224292377,0.946696456903428,0.0354229389996584,0.973688155991915,0.958053681777215,0.0493110877910665,0.999999313328057,0.999992618510525,0.998825626792289,0.923914467812447,0.530196721696492,0.587198563096024,118.4136,148.75814,90.2933875,182.883818571429,181.537052173913,130.53185,NA,29.36988494987,12.2107362229404,10.543021183541,11.8107624967659,27.0569070993698,118.4136,104.6303,57.157,119.57505,123.8711,79.4637,118.4136,188.5971,115.477375,218.26295,216.40335,150.44805,1,5,8,70,46,8
"ZNF337",0.999753330959431,0.999754672737075,0.999999999742085,0.969364594760516,0.902295164170253,0.772732666055405,0.956803194064204,0.848693942544608,0.684503111050664,0.99911733458011,0.999540969263696,0.999999935136877,0.999999479130281,0.83035398946638,0.749241086300519,314.8773,444.03752,439.7972625,645.764218571429,674.823873913043,456.8497,NA,93.6155320764423,65.599123884151,45.5277969447231,77.0331227132121,74.925685010058,314.8773,337.8328,355.1909,398.03215,375.316675,323.856025,314.8773,538.468,494.89615,762.6685,763.983175,513.003725,1,5,8,70,46,8
"ZNF317",0.995918141639733,0.999999100542579,0.863961341434287,0.999786231292131,0.991009909498244,0.917577246561614,0.999223303846176,0.998521505566143,0.8388602878018,0.997718596404499,1,0.925619787024617,0.999965547182766,0.975829139086035,0.933347341884512,667.0421,848.3731,635.3560875,757.595028571429,785.387473913043,666.422425,NA,46.9673597100263,62.9777066141533,43.0031946261178,46.4970606495823,96.3919208281997,667.0421,853.5957,528.15785,566.29905,559.693075,514.237125,667.0421,904.6356,773.34335,846.253125,924.15935,682.05985,1,5,8,70,46,8
"ZNF426",0.99999919136655,0.999931599630178,0.999903076759444,0.998899661439317,0.90144396728751,0.564648185542195,0.997742818920955,0.85309588736527,0.483299629185606,0.999413289956157,0.999219661703688,0.960190090742403,0.826510888279997,0.99999999957944,0.999968467276717,128.0669,134.28906,142.76825,103.456687142857,99.3824130434783,103.9235,NA,24.8691039054205,51.0494683697168,5.78262948592259,9.95675107092341,13.6607209871692,128.0669,128.9912,65.48565,67.2617,60.5989,79.89105,128.0669,147.639,140.7493,130.291675,117.13725,126.17985,1,5,8,70,46,8
"ZNF331",0.99048664599468,0.955640893752088,0.998031653042723,0.998772566320705,0.992261086938045,0.739260287525743,0.999950116364476,0.926571843444466,0.445853943796002,0.918801177568098,0.996083161391673,0.999905423596142,0.973835661569672,0.999157203979495,0.95803136165337,900.6516,389.26748,198.947875,595.897545714286,741.522226086956,491.4086875,NA,176.657177219335,49.2847698408289,69.1367725889182,160.643268519535,147.130015824498,900.6516,30.1262,99.062125,252.232225,265.29655,309.167925,900.6516,590.5559,330.8136,667.93305,718.069475,410.8922,1,5,8,70,46,8
