"gene","p-adj-C10-GBM-C1-LUAD-enriched","p-adj-C11-small-various-C1-LUAD-enriched","p-adj-C11-small-various-C10-GBM","p-adj-C12-small-various-C1-LUAD-enriched","p-adj-C12-small-various-C10-GBM","p-adj-C12-small-various-C11-small-various","p-adj-C2-Squamous-like-C1-LUAD-enriched","p-adj-C2-Squamous-like-C10-GBM","p-adj-C2-Squamous-like-C11-small-various","p-adj-C2-Squamous-like-C12-small-various","p-adj-C5-KIRC-C1-LUAD-enriched","p-adj-C5-KIRC-C10-GBM","p-adj-C5-KIRC-C11-small-various","p-adj-C5-KIRC-C12-small-various","p-adj-C5-KIRC-C2-Squamous-like","p-adj-C8-BLCA-C1-LUAD-enriched","p-adj-C8-BLCA-C10-GBM","p-adj-C8-BLCA-C11-small-various","p-adj-C8-BLCA-C12-small-various","p-adj-C8-BLCA-C2-Squamous-like","p-adj-C8-BLCA-C5-KIRC","mean-C1-LUAD-enriched","mean-C10-GBM","mean-C11-small-various","mean-C12-small-various","mean-C2-Squamous-like","mean-C5-KIRC","mean-C8-BLCA","SEM-C1-LUAD-enriched","SEM-C10-GBM","SEM-C11-small-various","SEM-C12-small-various","SEM-C2-Squamous-like","SEM-C5-KIRC","SEM-C8-BLCA","Q1-C1-LUAD-enriched","Q1-C10-GBM","Q1-C11-small-various","Q1-C12-small-various","Q1-C2-Squamous-like","Q1-C5-KIRC","Q1-C8-BLCA","Q3-C1-LUAD-enriched","Q3-C10-GBM","Q3-C11-small-various","Q3-C12-small-various","Q3-C2-Squamous-like","Q3-C5-KIRC","Q3-C8-BLCA","count-C1-LUAD-enriched","count-C10-GBM","count-C11-small-various","count-C12-small-various","count-C2-Squamous-like","count-C5-KIRC","count-C8-BLCA"
"ZNF195",0.775594773165984,0.0154122784793581,0.972522113288496,0.999999999897226,0.871443682884575,0.124147826907795,0.924338697205878,0.506079249211156,0.00126333628816955,0.998942990523043,0.999877960357098,0.842770338970168,0.199234850742946,0.999968884472961,0.999999999956452,0.999287855108812,0.823516054487814,0.0131479863543463,0.999983862435853,0.107375932457414,0.998873410090909,401.807590909091,760.0856,1020.5701,395.90245,311.454518918919,318.2013,436.498223595506,44.571731212959,NA,0,63.11395,20.6517554938652,NA,29.5878709661969,289.26565,760.0856,1020.5701,364.345475,201.9856,318.2013,255.2634,503.1969,760.0856,1020.5701,427.459425,405.303,318.2013,511.9784,11,1,2,2,37,1,89
"ZNF263",0.999933575016116,0.652966390840638,0.854376371915587,0.999883688528167,0.999999998713309,0.730926172520903,0.999999593400963,0.99982979601961,0.629404168440435,0.999591445381112,0.999996696703242,0.999999954967293,0.89713517084337,0.999999997846513,0.999986381449907,0.999994623598875,0.999977728116511,0.511463950239465,0.999966425450182,0.997949849029577,0.999999627507881,626.982463636364,569.9603,854.0141,580.8085,634.933802702703,592.6296,615.574080898876,55.2106201154275,NA,0,21.4721,25.8109278183931,NA,20.0741835897045,575.8463,569.9603,854.0141,570.07245,529.3868,592.6296,471.3126,654.0495,569.9603,854.0141,591.54455,787.8204,592.6296,746.8458,11,1,2,2,37,1,89
"ZNF200",0.999999966441472,0.0577833970119979,0.568893531613052,0.996055183388143,0.999915529904958,0.562079280199216,0.986063994784344,0.999997189414401,0.096056388576967,0.999954120919162,0.994756277933169,0.998071008336666,0.205661251842868,0.96404710215656,0.965364206203267,0.999999999948217,0.999999923854858,0.0300560648287975,0.993500480296853,0.78718338493282,0.994016185097359,236.959654545455,244.4988,428.7393,277.44455,259.841802702703,179.015,236.17596741573,11.6109143788182,NA,0,72.47565,13.8254618167432,NA,9.45244402715771,212.2762,244.4988,428.7393,241.206725,196.9152,179.015,178.8589,243.9077,244.4988,428.7393,313.682375,308.4313,179.015,272.2833,11,1,2,2,37,1,89
"ZNF582",0.20102596444165,0.244906091336349,0.996545273649174,0.980766576612859,0.139541644132688,0.197854076486989,0.980211394519071,0.088971642549855,0.0734627302934406,0.998980947764455,0.980671306491507,0.906020509871101,0.989841947003288,0.878124266689606,0.912247993207969,0.966462011187958,0.29706612392804,0.376038019982073,0.843598872136769,0.048988452412317,0.997486329038699,25.3921818181818,84.3521,66.9997,10.369,18.6431162162162,45.8244,32.370597752809,5.34206782263229,NA,0,8.9183,3.09730235090484,NA,2.72888926747999,9.81895,84.3521,66.9997,5.90985,3.0883,45.8244,14.8895,40.57395,84.3521,66.9997,14.82815,32.6721,45.8244,47.2579,11,1,2,2,37,1,89
"ZNF285",0.999748365404498,0.988497645131006,0.984541137210624,0.750031207237483,0.868151571624092,0.9976766041283,0.00799996520213897,0.674442348136767,0.971996161990441,0.999999691069009,0.90849610072076,0.915427252657885,0.998646804078851,0.999999998285409,0.999999999974352,0.418502545605914,0.945464688704183,0.999999974861759,0.991942313015557,0.043389935673815,0.99762324816042,135.750027272727,168.3985,88.1575,42.0187,34.7002486486486,36.8308,83.4171831460674,52.6167626883454,NA,0,8.6515,4.05600967321869,NA,8.63201857612372,57.1291,168.3985,88.1575,37.69295,19.6127,36.8308,28.4148,127.02775,168.3985,88.1575,46.34445,45.4959,36.8308,101.7949,11,1,2,2,37,1,89
"ZNF275",0.99999999920162,0.00109247425654646,0.143538874477445,0.306314957490272,0.833087632415123,0.73855806533014,0.907647954133933,0.999430647531528,4.37780120118303e-05,0.0692589778699484,0.999999999963946,0.999999997854291,0.124561932216472,0.801276817377323,0.999806865644067,0.999999999891691,0.999999996708647,0.000305779030178144,0.218615691636291,0.429984699246669,0.999999999997147,505.576554545455,515.2812,1156.9204,849.16875,424.365040540541,499.7859,503.448060674157,76.7227779795667,NA,0,347.69765,27.2247933844606,NA,21.9523625976196,294.99065,515.2812,1156.9204,675.319925,289.644,499.7859,387.6679,716.7519,515.2812,1156.9204,1023.017575,485.8612,499.7859,551.7823,11,1,2,2,37,1,89
"ZNF37A",0.999989622681677,0.995388672353179,0.999992318725445,0.954039455293548,0.999461674856774,0.999963269212907,0.707868325083906,0.999939291721116,0.999999994998478,0.999915353382811,0.982481176349583,0.999417409918672,0.999939988405682,0.999999984945831,0.999915390591962,0.999360310325584,0.999999958713413,0.999000692137459,0.97633652289455,0.416478539078146,0.991837291221752,462.057381818182,419.621,372.3185,322.014,364.101327027027,305.3533,435.809508988764,47.9343489954861,NA,0,22.8699,21.6056791709908,NA,21.6520317053236,445.95275,419.621,372.3185,310.57905,257.8518,305.3533,300.6724,585.21585,419.621,372.3185,333.44895,463.2489,305.3533,503.2503,11,1,2,2,37,1,89
"ZNF510",0.99618141517957,2.28332908136508e-10,0.00117754938088477,0.976816506658366,0.999999999996988,2.90812874684798e-05,0.999964639429123,0.998118694412508,4.31004121281831e-11,0.985733526891047,1,0.999355682659696,0.000151480778118773,0.998229524322401,0.999999967883427,0.997696828146393,0.982572717020819,2.78621570259929e-12,0.899215793109121,0.801037634263861,0.999996249069082,199.764372727273,251.2225,655.8919,252.9849,207.261575675676,200.4283,185.3904,23.4954074110282,NA,0,67.6302,14.1369655945644,NA,8.23758543745414,133.8635,251.2225,655.8919,219.1698,148.7294,200.4283,137.1944,248.0818,251.2225,655.8919,286.8,244.4739,200.4283,208.1737,11,1,2,2,37,1,89
"ZNF506",0.998983973043406,0.988418216057112,0.973386880237559,0.995085924435732,1,0.933259645790941,0.24670443951639,0.999958417588743,0.486971876409408,0.999626883852943,0.999992470203561,0.998602984907217,0.999943347026248,0.997153913069532,0.953251861196298,0.783146954484141,0.961322499987085,0.999997552087217,0.834353567435652,4.93825794700697e-08,0.999984898956296,397.493036363636,282.7017,528.945,285.45105,218.450497297297,447.1092,500.823840449438,55.2924882283649,NA,0,5.16675000000001,19.8941282016742,NA,27.8207128159578,274.53675,282.7017,528.945,282.867675,138.505,447.1092,330.1887,488.27365,282.7017,528.945,288.034425,291.7044,447.1092,607.7622,11,1,2,2,37,1,89
"ZNF324",0.751088799646882,0.999999494780916,0.825087375273828,0.990810438342574,0.983154438682587,0.994451466853922,0.999972683393263,0.667792358091959,0.999999999997103,0.97325267896287,0.997733588361441,0.735919174507011,0.999695528752993,0.966357080912531,0.998948001764212,0.999934869169035,0.773531411810024,0.999959775858288,0.995150509621799,0.96256643439058,0.99352487920363,226.043581818182,484.7188,208.9333,318.8089,211.095256756757,128.4797,242.165040449438,23.7393362479616,NA,0,211.5843,20.186429085068,NA,19.7973813494815,185.53565,484.7188,208.9333,213.01675,150.4605,128.4797,155.0908,252.6252,484.7188,208.9333,424.60105,219.5373,128.4797,246.9372,11,1,2,2,37,1,89
