"gene","p-adj-BRCA nonbasal-like c7-BLCA nonsquamous-like c1","p-adj-GBM-like c6-BLCA nonsquamous-like c1","p-adj-GBM-like c6-BRCA nonbasal-like c7","p-adj-RNA cluster 2-BLCA nonsquamous-like c1","p-adj-RNA cluster 2-BRCA nonbasal-like c7","p-adj-RNA cluster 2-GBM-like c6","p-adj-RNA cluster 3-BLCA nonsquamous-like c1","p-adj-RNA cluster 3-BRCA nonbasal-like c7","p-adj-RNA cluster 3-GBM-like c6","p-adj-RNA cluster 3-RNA cluster 2","p-adj-RNA cluster 5-BLCA nonsquamous-like c1","p-adj-RNA cluster 5-BRCA nonbasal-like c7","p-adj-RNA cluster 5-GBM-like c6","p-adj-RNA cluster 5-RNA cluster 2","p-adj-RNA cluster 5-RNA cluster 3","p-adj-squamous-like c4-BLCA nonsquamous-like c1","p-adj-squamous-like c4-BRCA nonbasal-like c7","p-adj-squamous-like c4-GBM-like c6","p-adj-squamous-like c4-RNA cluster 2","p-adj-squamous-like c4-RNA cluster 3","p-adj-squamous-like c4-RNA cluster 5","mean-BLCA nonsquamous-like c1","mean-BRCA nonbasal-like c7","mean-GBM-like c6","mean-RNA cluster 2","mean-RNA cluster 3","mean-RNA cluster 5","mean-squamous-like c4","SEM-BLCA nonsquamous-like c1","SEM-BRCA nonbasal-like c7","SEM-GBM-like c6","SEM-RNA cluster 2","SEM-RNA cluster 3","SEM-RNA cluster 5","SEM-squamous-like c4","Q1-BLCA nonsquamous-like c1","Q1-BRCA nonbasal-like c7","Q1-GBM-like c6","Q1-RNA cluster 2","Q1-RNA cluster 3","Q1-RNA cluster 5","Q1-squamous-like c4","Q3-BLCA nonsquamous-like c1","Q3-BRCA nonbasal-like c7","Q3-GBM-like c6","Q3-RNA cluster 2","Q3-RNA cluster 3","Q3-RNA cluster 5","Q3-squamous-like c4","count-BLCA nonsquamous-like c1","count-BRCA nonbasal-like c7","count-GBM-like c6","count-RNA cluster 2","count-RNA cluster 3","count-RNA cluster 5","count-squamous-like c4"
"ZNF195",0.997483769867221,0.848949466713453,0.923063545359523,0.677534445147771,0.999998886267086,0.357549347832664,0.999998036388851,0.998416532704252,0.999372245783172,0.981120759845608,0.999889827260053,0.999997798620945,0.972454743580013,0.999778709629455,0.999834441399904,0.036201958254472,0.99999999551285,0.178673046215762,0.999989952470332,0.985106209970314,0.999939388357502,463.110690789474,318.2013,631.5838,276.10712,505.6464,379.1209,302.689702857143,32.602741864348,NA,162.422507425895,40.671769809235,NA,NA,28.2923706881366,264.159075,318.2013,415.928075,215.3963,505.6464,379.1209,189.02075,548.73805,318.2013,825.206725,332.7885,505.6464,379.1209,385.37085,76,1,4,5,1,1,35
"ZNF263",0.999999969120728,0.991984497035916,0.99967195984244,0.933140387195024,0.999763176956149,0.858567829776511,0.76158574309269,0.92505505690977,0.953113054957249,0.546893569793035,0.98306950321691,0.99533093557056,0.999624060632639,0.891738511295866,0.999195116278373,0.999988222374953,0.999999999751601,0.986969271164914,0.964282012805044,0.741261047507536,0.978425654830051,607.082714473684,592.6296,669.195925,521.70946,860.798,747.5885,599.144148571429,21.1831788392243,NA,63.7910606906952,34.9472171061102,NA,NA,25.5583664531122,479.742375,592.6296,594.200525,486.4922,860.798,747.5885,498.6949,712.61495,592.6296,701.40005,559.3364,860.798,747.5885,672.0989,76,1,4,5,1,1,35
"ZNF200",0.994872925321578,0.47979860087949,0.767313964180546,0.999999999930368,0.996379161677311,0.780269360210275,0.999998937596771,0.997506967303629,0.989818108882056,0.999999639684994,0.999478038054035,0.987254019663032,0.998998723392229,0.999734888982201,0.999994326092544,0.535190186022721,0.950176435178501,0.911609980510991,0.988992373060953,0.99999090160226,0.999999994666542,235.002314473684,179.015,318.688075,236.19948,248.0323,272.2833,266.862285714286,10.2019479864543,NA,43.8675859653681,20.6334779887783,NA,NA,13.7145698616472,177.670425,179.015,249.8202,204.9689,248.0323,272.2833,207.14485,272.805475,179.015,369.624975,245.8638,248.0323,272.2833,314.87255,76,1,4,5,1,1,35
"ZNF582",0.998773232716156,0.999627168124833,0.999970100585525,0.997947327659073,0.992688905249298,0.99284295723515,0.905566605605805,0.897591196055751,0.878332642858974,0.98031870750799,0.996672179103528,0.999999989620896,0.999838389754726,0.986046724219043,0.869675870163197,0.0275054669769611,0.912167218843565,0.656445518355611,0.980061820765636,0.998679948239904,0.875407508287286,33.4961671052632,45.8244,38.599125,27.30036,4.9278,48.2295,17.51132,2.9741765485253,NA,21.6973733777607,4.78402043333847,NA,NA,3.21117607793351,14.556075,45.8244,1.558175,19.2873,4.9278,48.2295,2.6796,47.295575,45.8244,71.3378,34.6287,4.9278,48.2295,28.613,76,1,4,5,1,1,35
"ZNF285",0.988419039603882,0.993803201399374,0.999781061606262,0.743622576762791,0.999999994415596,0.998546982207947,0.910184258085665,0.999957913061483,0.990564378380479,0.99952491064749,0.998844446325638,0.999996521749149,0.999999359249781,0.99999743805796,0.999206496945958,0.00346368961711851,0.999999999973257,0.98027431306608,0.999994551673998,0.999801930515717,0.999955994168731,102.162634210526,36.8308,72.547225,42.74484,2.7377,59.2186,34.5834914285714,11.9363078582591,NA,36.7319579522014,14.3441808047584,NA,NA,4.11873718121084,39.494875,36.8308,25.091825,23.0583,2.7377,59.2186,17.98145,121.488675,36.8308,108.21775,50.6702,2.7377,59.2186,51.0963,76,1,4,5,1,1,35
"ZNF275",0.999999822187642,0.0083491750394622,0.58289119913269,0.815172194014637,0.999109011862911,0.00603386655282112,0.9999922762758,0.999999989087373,0.523459973235076,0.999737319584875,0.995250257855727,0.999767386011477,0.288762147883503,1,0.999930643948857,0.0504562928968421,0.998912433623467,0.000171311805655328,0.999999999271296,0.999696633226478,0.999999999890631,523.569181578947,499.7859,912.2059,390.13382,478.8173,387.6679,394.647442857143,25.9216684821902,NA,162.277818932708,39.6991094989472,NA,NA,28.4783260627512,383.574825,499.7859,713.637,310.8888,478.8173,387.6679,273.42145,595.93785,499.7859,1166.9069,438.6033,478.8173,387.6679,482.5663,76,1,4,5,1,1,35
"ZNF37A",0.989332494952778,0.990854987740254,0.952330328059097,0.872689768082801,0.999998627162894,0.793211596013289,0.0284029358059331,0.0822663951863599,0.151367055967627,0.0126317031872053,0.845920252641392,0.999659917075786,0.737267099697021,0.99362190235897,0.0276271976705982,0.24468032930507,0.999964664833535,0.682157484519121,0.999990895963797,0.00716034658836628,0.980916831412957,433.584792105263,305.3533,497.06685,334.93266,984.4638,208.1807,352.671554285714,20.6224212271256,NA,135.654892759412,56.825461500199,NA,NA,23.8886064466655,314.322475,305.3533,354.0249,220.8542,984.4638,208.1807,228.73405,501.139725,305.3533,539.0117,394.8932,984.4638,208.1807,462.98155,76,1,4,5,1,1,35
"ZNF510",0.999987920702171,4.41903543757505e-08,0.089266147851514,0.99999931747163,0.999998993474977,7.09240726086691e-05,0.280284509425724,0.781395755915685,0.961260011189152,0.418245408175909,0.999843159412638,0.999605370675693,0.0213644896083007,0.999744892574326,0.518757840025423,0.97901453752513,0.999999997542678,5.06950763146108e-07,0.999988086245696,0.385384488217768,0.998513619225123,182.847960526316,200.4283,438.57425,187.82518,356.17,155.6777,196.156025714286,8.08360232282788,NA,93.0881358104019,19.0163337985901,NA,NA,12.9293681613145,132.6105,200.4283,303.26695,179.6845,356.17,155.6777,144.2531,215.69815,200.4283,558.8986,200.0156,356.17,155.6777,236.4696,76,1,4,5,1,1,35
"ZNF506",0.999897441348887,0.825805534460447,0.999900363913611,0.0574061607436575,0.964756682013886,0.95392806462945,0.876287479419507,0.994850952626061,0.998845097381886,0.999999898832866,0.953506700700494,0.999087157084617,0.999960405771942,0.999899751586151,0.999997610618955,3.05982783554981e-07,0.971453131885587,0.942224369148367,0.999981869870269,1,0.999984633375304,522.563748684211,447.1092,363.7107,210.63078,236.2604,292.4298,237.33716,30.4663325431806,NA,58.3276909906864,41.5230240954269,NA,NA,24.6315818053463,342.099975,447.1092,282.09735,137.945,236.2604,292.4298,166.8929,608.723575,447.1092,404.4201,290.6178,236.2604,292.4298,294.62025,76,1,4,5,1,1,35
"ZNF324",0.990439199116422,0.33868939234114,0.65841779127802,0.979393760782122,0.999919122377991,0.295070254436501,0.999999530757613,0.996269935202661,0.977446148948156,0.99908170363226,0.941081687855826,0.865616160044505,0.999999999825615,0.840789598059047,0.994752040155492,0.972644307946034,0.998083786796433,0.198573651644846,0.999466272878275,0.999923440120614,0.884279703361213,228.801075,128.4797,378.4077,175.46862,246.9372,373.0159,203.838705714286,17.588673137996,NA,76.926695443162,25.2810920168888,NA,NA,16.2563449942672,152.91695,128.4797,269.42245,146.1256,246.9372,373.0159,162.1058,244.48595,128.4797,496.1374,213.7025,246.9372,373.0159,216.4101,76,1,4,5,1,1,35
"ZNF671",7.16330309846747e-07,0.52925514981452,2.20068236966853e-07,0.0825771182007351,0.00083848504924422,0.0192025317068201,0.982917865111164,0.000100080496155508,0.999999871491711,0.462975769612394,0.996335069832642,0.000180603252581069,0.999949466386247,0.587180469148902,0.999999167554205,0.999804833057178,6.25515765073636e-07,0.657163914900638,0.0709771029532871,0.990020258059552,0.998288986702476,48.3945447368421,286.0814,10.8591,100.16674,15.6047,23.8095,45.4143428571429,4.91070025410619,NA,2.4705929001625,15.2117346184319,NA,NA,5.99900017117599,17.8212,286.0814,8.968825,79.8888,15.6047,23.8095,13.8878,57.1315,286.0814,12.888875,117.7376,15.6047,23.8095,70.84575,76,1,4,5,1,1,35
"ZNF416",0.990336276375501,0.913872508692542,0.89949377272833,0.585902951149813,0.999999993700878,0.37419383563089,0.997718550383499,0.999999720661716,0.946227355104614,0.999990015692227,0.808837871732499,0.740518259401026,0.9909169261135,0.414739635818767,0.808577447961028,0.979841404937749,0.99783363186508,0.781542189157986,0.837705493660169,0.999724671268942,0.717608761460162,134.328293421053,89.5075,169.962,85.22362,99.9247,219.1697,123.852225714286,7.78424360298763,NA,18.9506296344387,19.6465297351822,NA,NA,7.79567870243955,90.974675,89.5075,157.0609,71.592,99.9247,219.1697,94.63995,149.745575,89.5075,192.43455,87.3786,99.9247,219.1697,151.15015,76,1,4,5,1,1,35
"ZNF586",0.999228612639441,0.993377309203394,0.99043875921234,0.773876405108434,0.944386937976738,0.99910325131364,0.999927585945504,0.99798133932807,0.999999999830005,0.999897188159684,0.951619549199625,0.999729783992663,0.885524697070151,0.722939593116031,0.965935755645507,0.0473958917577294,0.93602670379713,0.998724147463174,0.999999852809374,0.999935525309244,0.677985137047481,209.026713157895,250.5353,177.9151,149.51206,181.414,299.1453,154.136588571429,11.630368977069,NA,49.231083180463,4.98528640647656,NA,NA,9.93520544560602,139.936475,250.5353,107.184775,150.0577,181.414,299.1453,104.20995,230.9759,250.5353,226.565425,155.5331,181.414,299.1453,185.2602,76,1,4,5,1,1,35
"ZNF446",0.990171122457733,0.969927113120317,0.932965049813297,0.712382242858332,0.999999999994271,0.573310233720334,0.986890007492619,0.934451317336315,0.999959582977917,0.81823991370213,0.993947909545867,0.999999999237359,0.947915879802511,0.999999999716378,0.946294175265156,0.00736052437962453,1,0.25572121017852,0.999999997666167,0.743216395075392,0.999999991868759,389.683902631579,221.8116,496.042825,226.79416,566.9947,236.3309,220.879291428571,31.4777506009546,NA,58.600327778753,31.387647240381,NA,NA,15.3737978156978,238.172275,221.8116,428.323475,202.1412,566.9947,236.3309,153.1743,424.959925,221.8116,586.3497,239.521,566.9947,236.3309,258.83865,76,1,4,5,1,1,35
"ZNF8",0.814319856040693,0.205256412498924,0.233598586689157,0.702073524021462,0.996660057318537,0.0619358464322858,0.435059781842614,0.21440431537386,0.993707737077932,0.177220576431685,0.999999999970658,0.95376831780866,0.932615003095687,0.993179201688399,0.807085791380891,0.999836020726289,0.854095197894189,0.177677777033948,0.81968588153371,0.399744641056226,0.999999923495675,118.190903947368,45.5246,183.04515,80.13404,222.7062,119.5788,114.38596,5.88912441095476,NA,28.8822120246615,5.85512367022252,NA,NA,9.68936688135153,78.8188,45.5246,135.939625,71.0316,222.7062,119.5788,80.5496,145.047725,45.5246,224.763325,85.7081,222.7062,119.5788,135.0582,76,1,4,5,1,1,35
