"gene","p-adj-Low Grade-High Grade","mean-High Grade","mean-Low Grade","SEM-High Grade","SEM-Low Grade","Q1-High Grade","Q1-Low Grade","Q3-High Grade","Q3-Low Grade","count-High Grade","count-Low Grade"
"ZNF195",0.000642358183799763,415.162368435754,606.552965,12.5264903273947,71.9327917793354,254.66485,336.8868,503.614425,808.875775,358,20
"ZNF263",0.273060882939386,612.807668715084,655.925095,9.07929041574598,34.5756788601403,484.508675,558.293725,708.53995,760.979875,358,20
"ZNF200",0.57257217539463,234.870910614525,224.3181,4.18723580227387,25.4346388437915,182.58885,161.480575,273.3836,259.138375,358,20
"ZNF582",0.00353668657724737,28.722030726257,44.539855,1.23448707861977,5.6307567917198,10.311,26.285125,40.894075,64.10445,358,20
"ZNF285",0.186253210593407,71.0154966480447,92.120855,3.71287131467825,11.1738864174007,26.498475,74.99725,89.73245,115.371575,358,20
"ZNF275",0.248933560979332,453.083789664804,512.464305,11.7980285609938,52.4126939956029,298.0446,369.35555,536.131875,583.7227,358,20
"ZNF37A",0.253412149809948,372.603752793296,326.94135,9.21116471403691,36.4896576650891,252.540175,198.754025,445.03575,420.08905,358,20
"ZNF510",0.974974863231901,177.031868435754,176.42646,4.35253288468387,24.4928108438808,124.46335,104.236425,206.398175,227.79195,358,20
"ZNF506",1.48016639176518e-05,418.384966201117,665.255085,12.8861167631429,58.675559418329,245.241975,501.592875,566.87355,761.991475,358,20
"ZNF324",0.668440761606322,205.508412849162,217.02056,6.32001917143721,9.28205071093894,144.9374,198.752525,231.025425,238.272875,358,20
"ZNF671",0.00240240432386329,59.2990413407821,102.83593,3.10727759492552,23.5864215888898,18.465925,20.77275,79.47505,140.196725,358,20
"ZNF416",0.774316324892739,122.621103631285,126.34808,3.02990317027883,8.62161951242524,86.6739,93.622475,143.972125,147.453725,358,20
"ZNF586",0.00140482890454541,191.914463407821,254.19541,4.48050078539893,16.4424779634142,130.8579,199.326325,235.768525,315.698375,358,20
"ZNF446",1.8556432257455e-07,352.23515698324,625.127315,11.7062799919361,58.0070425053977,221.507175,389.9469,406.6382,779.88225,358,20
"ZNF8",0.258708296787193,115.026323463687,99.321525,3.23820815053265,9.27408099042668,77.3477,67.9839,137.373725,125.9437,358,20
