"gene","p-adj-Papillary-Non-Papillary","mean-Non-Papillary","mean-Papillary","SEM-Non-Papillary","SEM-Papillary","Q1-Non-Papillary","Q1-Papillary","Q3-Non-Papillary","Q3-Papillary","count-Non-Papillary","count-Papillary"
"ZNF184",0.702189493043589,242.092796219931,236.115990510949,10.098179689455,7.60170492433164,145.6034,176.5225,275.6325,284.1316,291,137
"ZNF500",0.570275542696949,200.757849140893,204.851375182482,4.03231865389313,6.07764549440973,151.6592,150.0615,240.14455,255.9628,291,137
"ZNF419",0.0623619413105596,181.391468041237,198.833559124088,5.21899733246445,7.88589341789748,120.294,146.2264,218.73125,231.1417,291,137
"ZNF175",0.00485212514976197,177.625516838488,252.659188321168,12.8965384025911,27.2432572686871,75.98635,90.1541,193.6631,266.2656,291,137
"ZNF14",0.00106250385994633,164.34855395189,193.533937956204,5.11474143615452,6.96329413199173,102.69235,131.0928,205.8951,242.5671,291,137
"ZNF85",0.0652522483697131,134.234737457045,152.965809489051,5.53405322574596,8.94501626429886,71.16465,93.8389,178.95885,186.6482,291,137
"ZKSCAN1",0.00114380528501246,504.659420962199,615.909523357664,17.327553354506,33.1356109520569,301.7918,329.7244,638.1458,821.7539,291,137
"ZNF862",0.000357738067960911,395.238636426117,519.968746715329,18.4165708007881,31.9778579505558,201.7342,278.8438,497.4425,645.2119,291,137
"ZNF684",0.920532563647054,52.2268027491409,51.8287226277372,2.40437813120094,2.77225034667649,30.82235,33.0016,59.73995,60.7703,291,137
"ZNF430",0.138446125352992,112.912897250859,124.047327007299,4.28631992319644,6.05097315000814,59.455,71.1712,151.51495,168.211,291,137
"ZFP30",0.401392912023136,177.479585910653,187.654537226277,7.25457490814309,8.60978201127169,96.3791,123.6802,227.60015,225.6323,291,137
"ZNF549",0.226483196592465,154.46257766323,166.305302189781,5.51581668530703,8.11169599601993,96.19765,105.5901,182.4726,211.3606,291,137
"ZNF211",4.73252466437479e-07,337.795114089347,496.211783941606,13.7895206300859,34.3641495360461,174.5912,245.9445,458.92715,576.8668,291,137
"ZNF205",0.000160478125394214,363.422573883162,444.590899270073,9.97428109134304,22.7342914760862,259.37395,279.9198,426.9608,533.653,291,137
"ZNF45",0.795889451089904,237.195174914089,234.294724087591,6.25881098897792,9.48718532357887,169.2816,156.0528,283.25815,274.4186,291,137
"ZNF133",0.0186632363497131,448.099827491409,502.810478832117,11.7833643240056,22.6820801166751,315.92065,335.109,525.8435,571.9519,291,137
"ZNF436",0.0501071779232644,970.374941580756,1121.60124160584,44.4132072163889,60.7001647616967,466.80215,600.2273,1229.36105,1336.9206,291,137
"ZNF484",0.379879482806349,73.1479556701031,69.8092262773723,2.24500834383876,2.80992627755525,51.61765,48.0973,85.177,87.4292,291,137
"ZNF780B",0.777413213218999,291.048909621993,301.918670072993,25.4151477140239,14.8026223547296,151.92815,188.3894,320.7,372.6319,291,137
"ZNF557",0.0026990988508433,158.167780756014,181.247069343066,4.15699527236063,6.80396391033849,111.1464,130.8384,192.82305,222.964,291,137
"ZNF337",0.00215117851733571,614.486027835052,743.361112408759,19.2318836975861,45.11800887274,385.97915,428.6803,742.74765,898.68,291,137
"ZNF317",0.0109442262103248,688.470888316151,753.746840145985,14.8762913097036,19.672316561502,542.19985,623.7288,790.08105,862.0336,291,137
"ZNF426",0.610538370792712,86.2598127147766,83.4127919708029,3.13921123922441,4.67081675803683,48.7201,48.2542,113.0771,103.3358,291,137
"ZNF331",0.965395921101459,609.928590721649,606.819728467153,37.0503750752313,68.6008297596531,277.87245,238.3407,739.25185,594.5056,291,137
"ZNF227",0.735718837089589,267.268629553265,263.468705109489,6.50483660788421,8.82771486435869,186.25795,196.9804,307.4274,311.4209,291,137
"ZNF141",0.00555549697458546,67.6772611683849,82.0955686131387,2.69059604700147,4.91991237493376,38.365,46.1538,81.51215,101.987,291,137
"ZNF304",0.122036274599717,253.806259450172,273.492737226277,7.05149355663093,10.891283410953,171.7129,195.4264,305.87865,325.2311,291,137
"ZNF132",0.655723787810829,76.8168384879725,81.046298540146,6.05574263265986,5.0303945506866,31.32755,40.316,83.4939,105.6803,291,137
"ZNF20",1.56924610972276e-07,116.816087972509,146.294812408759,2.97360596239686,5.0017135065654,78.7004,111.2377,152.59035,177.2152,291,137
"ZNF670",0.0611408344707748,77.4931766323024,85.716497080292,2.38396511961062,3.88807392348011,49.76285,52.3892,96.1182,111.4624,291,137
"ZFP37",0.428724514928674,44.2387515463918,40.6640883211679,2.4608144216285,3.99285098656291,10.90145,5.7284,63.57395,58.1574,291,137
"ZNF189",0.0328199777266643,302.515980756014,274.598412408759,7.5857884780148,10.069182329286,225.5226,197.5309,356.02785,322.6354,291,137
"ZNF434",0.0148652897468896,260.041270103093,282.78664379562,5.06523143630889,8.24707040435987,197.3746,219.8464,310.1334,344.2636,291,137
"ZNF287",0.00047363387100452,99.7022896907217,121.676553284672,3.33518220019038,5.70052527536434,61.0578,73.6077,126.7196,166.9107,291,137
"ZIM3",0.134774994653892,0.0864890034364261,0.00552262773722628,0.0369623085379767,0.00552262773722628,0,0,0,0,291,137
"ZFP14",0.0318079455492378,180.363959106529,209.56235620438,7.77824583648252,10.8323453906151,91.31455,132.7968,235.73465,251.0528,291,137
"ZNF473",0.120719252894296,306.317267353952,281.828309489051,9.7767978387425,9.76482800008362,208.87005,199.6056,365.42445,326.3101,291,137
"ZNF614",0.000194096368291374,245.887705841924,345.140431386861,9.49768103199068,32.8008044663241,146.28775,169.1613,295.6032,386.5331,291,137
"POGK",0.357360134851344,2619.79451477663,2818.83058832117,129.272254502497,153.900613770862,1384.6287,1585.5573,3029.79225,3526.1261,291,137
"ZNF514",0.00037133957125679,249.408002061856,307.068408759124,8.22279807007747,15.6087754583523,144.13345,175.2074,326.0185,391.5222,291,137
"ZNF300",0.0143848313706585,188.733202061856,253.628739416058,13.3318796531099,26.0765133257917,36.67445,64.7821,233.017,315.814,291,137
"RBAK",0.362543509366361,477.165368041237,459.825348905109,11.0662816893401,14.6987413162935,339.10785,351.7846,572.66765,544.1656,291,137
"ZNF92",0.46893174551607,248.85500790378,237.124143065693,9.5949758422311,11.8657917653741,139.3004,150.8296,309.86675,283.4143,291,137
"ZNF157",0.28728292079455,1.50887388316151,1.85516569343066,0.162175050369091,0.325360690755867,0,0,1.96935,2.0776,291,137
"ZNF182",1.15424595543701e-05,169.870449140893,211.508693430657,4.54593307284552,9.68557019611155,116.642,134.6068,213.8817,250.9798,291,137
"ZNF673",0.852796377018155,215.045259450172,213.322348905109,5.47517651797743,6.90057388747228,155.8571,171.0568,247.95055,242.4721,291,137
"ZNF41",0.000117055603946925,210.530878694158,253.985908029197,5.48123423646821,11.3981854879169,141.5987,167.6343,265.20635,329.3224,291,137
"ZNF7",0.0925411738310118,493.038729553265,523.616767153285,10.2887591609631,14.8699916010341,385.30195,414.7069,574.1688,623.735,291,137
"ZNF214",0.0290625247479599,30.0988931271478,36.2735328467153,1.55411235411947,2.44739885543771,10.23845,15.4739,41.56685,49.7362,291,137
"ZNF215",0.642700139726065,53.2361951890034,55.9101802919708,3.36361140884623,4.40535359138962,14.63735,20.0407,77.04835,85.8351,291,137
"ZNF547",7.01764570865127e-06,49.7831216494845,70.0796197080292,2.13138787047518,4.66999703816874,26.9471,35.7207,64.83775,89.6592,291,137
"ZNF773",0.268460846447012,114.609465635739,107.64534379562,3.61903207151256,4.98026286584388,76.5281,73.3198,136.8363,131.8852,291,137
"ZNF776",0.00354541890884297,333.605091752577,385.891010948905,9.55516299635009,16.2350000087132,222.2436,275.2534,414.82005,478.4803,291,137
"ZNF256",0.536272373155595,125.365920962199,129.510675912409,3.83110550763199,5.38690761744893,81.79435,88.4626,158.708,171.3765,291,137
"ZNF599",0.96199236341441,83.6738443298969,83.4140686131387,3.27852179423969,3.81185171844937,52.172,54.1045,102.0196,104.7686,291,137
"ZNF18",0.00248481131309453,180.896469072165,206.474911678832,4.16452280838322,8.47890001579952,136.68195,140.6349,211.7156,250.2434,291,137
"ZKSCAN2",0.407763736206416,154.467225429553,143.663268613139,8.62893465680945,4.97789145023264,92.2045,105.4433,165.68095,167.7419,291,137
"ZNF689",0.172895239227817,104.062583848797,95.1878737226277,3.88527670763927,4.64979003329487,65.36275,58.898,123.9076,123.5468,291,137
"ZNF19",0.0230433774390028,49.25985395189,56.2725642335766,1.73123509693974,2.56034281892703,29.9422,35.293,59.9502,72.6108,291,137
"ZNF230",0.405473775211225,109.76832233677,114.624629927007,3.16188757417103,5.21077357549456,73.69165,76.5223,132.52385,137.1589,291,137
"ZNF222",2.33007255889817e-06,82.3294934707904,115.552437226277,3.2770517283853,7.34207710263879,47.67535,62.6847,102.28975,141.6294,291,137
"ZNF221",0.0535842981117585,14.5219151202749,17.0391554744526,0.689254598895955,1.20432385761556,6.9909,9.0789,17.86475,20.4978,291,137
"ZNF233",0.300110188134197,29.1021694158076,31.835299270073,1.55531129768541,1.95561878580143,11.5214,16.0362,37.19075,41.3953,291,137
"ZNF235",0.454773910196073,67.8682749140893,70.5635598540146,1.97913659314742,3.14620832856707,46.73935,45.5259,80.9923,88.3651,291,137
"ZNF208",0.510666748023594,75.6467274914089,89.7938313868613,11.4027682843605,19.8620465092411,3.92175,1.6529,46.51765,42.9326,291,137
"ZNF714",0.875287652558439,193.158346391753,190.542237226277,10.1704939652255,11.0690976771366,87.2516,99.1461,240.50525,239.9443,291,137
"ZNF394",0.000716408903416954,500.433795876289,566.595810218978,8.50080004111759,21.8018959254113,402.82505,431.3421,577.6241,632.6102,291,137
"ZNF333",8.17181554085833e-05,159.77766185567,203.096158394161,4.88485603622461,12.0203645254826,100.824,123.8671,206.92085,251.4228,291,137
"ZNF382",0.0202509068094564,28.3511357388316,20.8932678832117,1.93875907604244,2.18789251231286,7.3679,4.7631,35.9559,26.818,291,137
"ZNF577",0.00422318112948838,170.310351202749,232.324308029197,10.5255151593073,22.0923532578892,63.56315,87.5737,210.81145,299.5133,291,137
"ZNF75A",0.539854360776923,247.171882474227,256.566034306569,8.50658399556443,13.0979059994798,149.59955,155.8074,316.4659,340.2418,291,137
"ZNF496",0.152954631592622,271.005696563574,250.9869,8.53321689277985,9.30376617421196,184.1227,182.3545,324.8594,298.8702,291,137
"ZNF2",0.94969382312779,112.265454982818,111.990630656934,2.60516595221097,3.10206090188687,83.3094,85.5765,131.31475,134.2529,291,137
"ZNF589",0.0478175756617496,240.644350171821,267.791302189781,7.20565523634898,12.7779359944066,158.3179,155.3898,297.2884,330.9797,291,137
"PRDM9",0.323848206949507,4.9363852233677,2.15341678832117,1.90793090929097,0.647575028128124,0,0,0.8604,0.9091,291,137
"ZNF12",0.185121634283646,680.186521649485,641.371264963504,18.0039193102241,18.7935761746948,513.4133,481.1321,778.38595,768.9404,291,137
"ZNF202",0.0125980989001314,266.836219243986,297.076954744526,6.25470919972617,11.5345977755745,196.13745,194.3898,322.34335,355.9789,291,137
"ZNF3",2.16026441474115e-05,694.674308591065,841.793913868613,17.1166607458527,34.2219079017942,494.1742,622.2579,828.5008,944.5161,291,137
"ZNF606",0.0583364019514607,250.591443986254,285.464319708029,10.9862200520793,13.1179501075574,129.6823,192.621,313.6353,353.0846,291,137
"ZNF91",0.00131025984276967,367.379262542955,465.690040145985,17.6506582897509,23.5692741696152,162.37535,246.4318,475.58,606.7663,291,137
"ZNF226",0.000584364430375794,347.305389003436,410.794010218978,9.38040865147333,17.791196719923,237.69025,268.3277,427.1398,471.8945,291,137
"ZNF229",0.210120389660384,177.42881443299,152.838849635036,11.4705043307832,14.8833944850278,35.56625,23.1388,236.2441,229.1336,291,137
"ZNF180",0.0844206455756985,180.887390378007,195.944123357664,4.86127855483688,7.37242369779667,128.69225,143.8043,211.76285,221.5779,291,137
"ZNF641",0.240979021473793,93.6063635738832,85.8307335766423,3.99892430049085,4.57872639997124,50.55115,42.7619,117.5571,124.3627,291,137
"ZNF610",0.12310353501732,73.0335824742268,85.5717802919708,4.82997434278772,5.88288181692623,18.1205,38.1048,98.93915,119.5641,291,137
"ZNF528",4.08253168195927e-05,248.50025532646,347.53337080292,10.7729851334722,26.2567015797576,118.25915,141.3399,330.51665,409.3067,291,137
"ZNF701",0.0192933499638777,117.074942268041,134.672549635036,4.11019504234569,6.56016023338401,67.80285,89.9748,152.57175,162.212,291,137
"ZNF283",0.393645912189215,59.0054824742268,61.6487686131387,1.75091158781601,2.5539662419296,40.8073,43.482,71.6675,72.5228,291,137
"ZNF558",0.000650095953439456,371.932881099656,477.810761313869,16.0450109844792,29.2755646489771,224.73005,245.641,443.49175,596.4335,291,137
"ZNF597",0.210797947440181,32.7300302405498,35.5716532846715,1.3454322588984,1.65830644050569,15.4845,23.2705,44.5136,48.7723,291,137
"ZNF30",0.233307762009594,73.0725164948454,78.9495423357664,2.76753611853434,4.11615353156632,42.68995,48.3384,93.84625,100.471,291,137
"ZNF354A",0.292789773755343,254.5934395189,268.737435766423,7.35777395728711,11.7815968188732,170.50515,176.4934,314.1283,318.0109,291,137
"ZNF764",0.75225753789368,178.184645704467,180.951027737226,4.9775330951408,7.15109008025615,125.9515,139.7785,202.6261,203.4437,291,137
"ZNF747",0.294783962722332,223.844827147766,235.018349635036,5.63642689051323,9.88672337867151,164.57195,175.469,261.1639,266.5006,291,137
"ZNF778",0.954531349012935,58.5976817869416,58.7527437956204,1.56378192870582,2.1579460544598,42.7474,43.6254,67.8623,67.4795,291,137
"ZNF212",0.130350517650887,455.440434364261,477.873828467153,8.57685588757585,11.5490500506713,353.2134,390.3523,531.5229,553.434,291,137
"ZNF282",0.000398040924908916,1173.58416391753,1311.4149080292,20.1295402339971,36.602268313958,958.50825,1048.5479,1383.1693,1457.5742,291,137
"ZNF160",3.47045507370636e-05,564.613151546392,701.165523357664,16.2280369455692,32.7867232429264,368.6136,471.1834,698.71505,807.8743,291,137
"ZNF415",0.00721257876593961,159.976586597938,188.074332116788,6.03083240809384,8.11941672455349,78.76185,129.7501,227.0781,240.0706,291,137
"ZNF439",2.95299536322569e-05,197.645832302405,293.506170072993,11.8908891958992,21.380126234478,61.6042,117.2962,265.9913,395.4227,291,137
"ZNF440",0,641.367072852234,1080.21053576642,30.030520206009,60.4976141345467,261.70955,546.7588,907.7303,1493.4884,291,137
"ZNF562",0.0226435185431523,535.255716838488,602.061644525547,16.5979241679643,23.8400185488346,342.0341,406.9494,651.6485,775.1742,291,137
"ZNF561",0,789.591898281787,1098.81100072993,21.6110822230182,45.3931492443582,545.81205,662.8165,936.17485,1410.4478,291,137
"ZNF584",0.0771817981868425,209.078605841924,188.870057664234,7.13489826489611,6.82298971336328,147.05635,140.1258,237.7643,219.8113,291,137
"ZNF274",0.458323402269666,460.382863917526,479.823248175182,14.6334247381451,22.1561959345726,310.0196,305.2576,556.62775,608.2243,291,137
"ZIK1",0.712137962412079,99.7314158075601,95.9889167883212,5.93349558014326,7.70310380372499,22.46395,28.6897,139.5955,134.2938,291,137
"ZNF540",0.132708188449331,34.8468213058419,40.3915489051095,2.03637102113544,3.17361124959879,13.6212,17.0915,42.0578,53.4491,291,137
"ZNF570",0.314723038028378,48.8978329896907,44.9436810218978,2.33211839295843,2.86930182970005,25.11775,25.8185,60.29225,52.3364,291,137
"ZNF57",4.21729921573633e-06,125.007853264605,150.811801459854,3.02705380067456,4.87582594013749,88.0088,117.3875,151.94915,180.7631,291,137
"ZNF556",0.935886085301002,12.6496835051546,12.4558452554745,1.31296111319804,2.13160346162599,0,0,15.63815,18.2873,291,137
"ZNF554",0.000628020164284315,109.612380068729,133.364167153285,3.59138535426994,6.54409829080031,71.3363,82.7275,132.9431,159.9167,291,137
"ZNF738",0.130912962585292,310.544890378007,352.502428467153,15.3986543521315,23.7255146947163,133.01365,206.3815,396.2715,424.2329,291,137
"ZNF596",0.000828461767214406,39.6894907216495,50.3369394160584,1.71212098358632,2.83167639170726,20.9122,27.2805,50.1427,63.3176,291,137
"ZNF621",1.40208954890753e-07,493.221383848797,631.748303649635,13.3240116478691,24.9219163162038,337.2111,408.801,599.5045,749.254,291,137
"ZNF680",0.250291157027281,251.947376632302,270.353908759124,8.51882501951563,14.6884859277545,151.61355,160.361,332.27845,338.8832,291,137
"ZNF483",0.022194585653932,9.27810687285223,6.87616569343066,0.6548540484834,0.624220701483901,3.3849,2.719,11.41025,8.0483,291,137
"ZNF417",0.158919381534296,122.096760137457,132.406772992701,3.90736846207517,6.67269274913193,76.50445,90.7333,151.73275,157.6628,291,137
"ZNF791",0.603873441584841,144.659204810997,148.474381021898,4.19185084681131,5.94953088364016,92.174,96.9007,192.4665,191.1427,291,137
"ZNF519",0.90662004660572,55.5745419243986,55.0616423357664,2.61391866553338,3.11785086475383,26.38375,31.736,67.08045,67.1041,291,137
"ZNF25",0.237121441103714,167.584456701031,157.685989781022,5.00107308178032,5.96662566903086,107.73955,109.6491,214.6663,194.3128,291,137
"ZNF77",0.00414722636114173,96.875547766323,112.962637226277,3.22032481638217,4.40123317327407,60.6309,79.8139,121.46995,139.4781,291,137
"ZNF169",0.902896738049468,57.4455450171821,57.8538613138686,1.94779719582288,2.577298471314,35.746,36.2298,70.43095,69.9554,291,137
"ZNF613",0.0140824211341656,141.258823024055,178.171371532847,6.37115888697674,17.1344968426781,79.7709,93.4394,158.37465,200.1096,291,137
"ZNF404",0.0367172202448945,59.9322786941581,70.3627700729927,2.61388270831137,4.67124949245584,27.70205,34.1259,74.0624,88.4622,291,137
"ZNF135",0.692146771566713,71.2743436426117,75.0019182481752,4.95678644961033,8.78740522329475,10.5159,7.3028,113.456,133.8318,291,137
"ZNF620",1.28860109956941e-05,53.7038302405498,72.4843569343066,2.46022510509043,3.33803509573914,23.102,45.1031,71.7736,92.3297,291,137
"ZNF619",0.53384778309192,41.9447927835052,40.3963270072993,1.41260536075306,2.03309728048685,23.0842,22.0299,54.2346,51.0204,291,137
"ZNF354C",0.402487873030197,17.3324474226804,15.6333700729927,1.19360340159579,1.51714053108113,2.8023,2.4123,25.5787,22.9047,291,137
"ZNF114",0.39084745258722,85.0006783505155,69.3096065693431,10.4977091398664,14.544961699887,5.15925,2.2508,80.5172,49.2178,291,137
"ZNF454",0.136910970592168,7.9889030927835,6.21408540145985,0.660794440508029,1.02136437151935,1.48735,0.9231,9.11425,5.5983,291,137
"ZNF543",0.222754070671305,112.182193127148,119.008164233577,3.11878597822374,4.74370943051239,76.1919,84.6847,139.65895,137.788,291,137
"ZNF354B",0.00415811335386174,93.3872250859107,109.812845255474,2.80477269545538,5.79422487212626,59.33895,67.6329,116.34145,134.1571,291,137
"ZNF223",4.62244492227537e-06,110.399353608247,152.133633576642,4.19700933504505,9.61431334806396,62.4234,84.2189,140.09205,184.4925,291,137
"ZNF713",0.491875297366122,40.7021821305842,37.8980233576642,2.66471731802177,1.79604101452764,17.577,22.792,45.41605,52.356,291,137
"ZNF552",6.41189235039974e-09,345.524479381443,577.225801459854,17.2321060811001,43.7222219597704,135.37515,266.4681,506.13655,730.5808,291,137
"ZNF154",0.0446931222487302,24.875512371134,31.8668379562044,1.57814048700592,3.79430915522484,10.8094,10.224,26.8542,31.4788,291,137
"ZNF571",0.0636431132938217,81.3982577319588,90.7298226277372,2.92005999955249,3.8745756713176,45.95305,58.4927,102.8613,117.6133,291,137
"ZNF443",3.90757504131756e-09,109.194700343643,164.06175620438,4.52247048336874,9.20443952368338,52.82075,91.9405,145.64905,219.9975,291,137
"ZNF792",1.06229644517564e-05,118.415183505155,159.171164963504,5.08589158388701,7.80356979286707,64.78335,99.0856,150.0146,200.1163,291,137
"ZFP82",0.0354570205332225,81.6452969072165,69.5728605839416,3.47743803433344,3.86772856867017,41.1938,38.5723,107.86325,87.7712,291,137
"ZNF707",0.0437175239393094,335.711217525773,305.53657810219,8.88990027995945,10.7683860147759,231.3649,225.1325,406.527,343.9055,291,137
"ZNF746",0.244783858870277,497.966096907217,474.429808759124,12.6638017350574,11.970481651299,384.30235,386.6589,549.79945,528.9641,291,137
"ZNF678",0.0737245456034226,32.8713144329897,37.0352452554745,1.29961263276179,1.95942798616754,17.31235,19.9742,40.9589,47.9931,291,137
"HKR1",0.0811303524523933,706.85116975945,778.622954744526,23.8281647248133,31.8979260865896,477.7408,563.4301,844.61025,908.0338,291,137
"ZNF101",0.179236235367421,110.764558075601,117.013451094891,2.63912532925597,3.79500508700178,82.02445,88.6637,129.83295,134.9871,291,137
"ZNF716",0.553509205426208,3.69537903780069,3.01191094890511,0.684247920032984,0.841833662115734,0,0,0.4734,0.4767,291,137
"ZNF708",0.000826697121796283,153.275683505155,192.490973722628,6.58393813615597,9.61411425974396,77.34155,118.4615,204.9049,236.171,291,137
"ZNF721",0.00395170166127068,389.605605154639,448.787374452555,11.1713260374278,17.9733572968435,258.82405,300,494.73835,533.6884,291,137
"ZNF662",3.54820600789729e-07,177.476404810997,383.892167153285,15.8832114599837,47.4124209389185,15.31245,38.0165,215.93355,539.1791,291,137
"ZNF320",8.45166526430852e-07,714.981044329897,1025.66687007299,31.4517643949054,61.2138893086718,332.97375,485.5663,957.50385,1400.2477,291,137
"ZNF530",0.425539146781754,97.9690147766323,93.5132496350365,3.26155237631554,4.27567946261012,63.2696,62.7595,118.3893,111.1893,291,137
"ZFP1",0.180453203199718,212.140828178694,197.885872992701,6.51063130557885,6.96159794986026,145.60825,151.9259,243.86655,221.8609,291,137
"KRBA2",0.343864204322591,41.8439268041237,44.913798540146,1.85490007450305,2.6014121619672,21.29275,23.1463,53.4746,55.4907,291,137
"ZNF93",0.232228076546485,124.310176632302,139.443841605839,7.34281372335366,9.82809911357782,53.5588,69.9782,151.6456,172.6708,291,137
"ZFP90",0.38756443644871,551.010838831615,574.01870729927,15.4476029800149,20.6439649692601,378.20715,427.3737,663.27985,676.5691,291,137
"ZNF479",0.14822181218872,1.03688728522337,0.363756204379562,0.311450183467026,0.143499622696738,0,0,0,0,291,137
"ZNF445",0.0101548595480623,447.491199312715,496.091970072993,10.5887261940105,15.7069571181138,316.9173,375.6281,548.6956,569.8508,291,137
"ZNF74",0.155942448492792,416.412457731959,461.622164963504,18.1342007066374,25.7908921657325,246.1558,296.9537,476.75225,546.2236,291,137
"ZNF829",0.0966533636374115,14.0493240549828,11.8700094890511,0.807480935107188,0.833989467242564,4.38885,5.7372,18.28545,15.5192,291,137
"ZNF267",0.195976552510398,370.544347079038,349.121927737226,10.1367356073626,10.8294951971544,266.27585,263.7363,438.46035,401.6548,291,137
"ZNF566",0.571569238461129,153.429240893471,158.302529927007,5.10091507844156,6.31913239236404,92.92325,111.6435,184.2199,189.1433,291,137
"ZNF224",6.53534885518559e-05,210.746887628866,278.051832846715,6.73474791917342,19.6928987542362,134.72625,138.3847,261.8893,330.4423,291,137
"ZNF529",0.393602011073247,276.166572164948,292.501894160584,11.5716044799318,13.1450467927342,168.82655,193.3966,320.5054,373.3216,291,137
"ZNF284",0.0113825307732293,38.4780285223368,46.4352474452555,1.49102833126426,3.28676869230307,20.9331,24.9718,48.73825,57.2568,291,137
"ZNF749",0.160005311708566,74.3908161512028,80.5886562043796,2.52631281668306,3.51963195187911,47.97955,51.0204,85.7959,94.7725,291,137
"ZNF17",0.463042806984102,119.591388316151,123.541840875912,2.9714620051338,4.64904639644698,86.61145,88.2701,140.6205,143.1211,291,137
"ZNF555",0.419900946006243,59.9350917525773,62.0483270072993,1.56155138473132,1.88304860219722,44.1497,46.3332,69.49125,76.0132,291,137
"ZNF75D",0.0271956985953462,261.971216151203,290.552726277372,6.97039270805631,11.58065095339,193.3262,195.7398,307.27395,350.0715,291,137
"ZNF197",3.98073905960583e-06,339.603702061856,398.58641459854,6.84753318577119,11.2635744202477,258.90945,303.0071,406.58085,464.3585,291,137
"ZNF732",0.9141059749877,9.26454742268041,9.11797737226277,0.835886565797642,0.873668734428082,1.17225,2.2663,12.5236,12.8988,291,137
"ZNF546",0.269921929637469,41.018024742268,44.9844445255474,2.02275638269847,2.98740879606808,20.3949,22.5895,51.4139,55.219,291,137
"ZNF286A",0.571822171159128,270.998895532646,280.024118248175,9.19059510520968,12.6212546715024,168.26,186.4499,309.0185,320.5128,291,137
"ZKSCAN4",0.651077149370784,112.997795876289,110.843050364964,2.8836564089406,3.25733699275564,80.57915,85.8189,135.4616,132.6406,291,137
"ZNF643",0.175971482370847,54.7534549828179,47.3835116788321,3.5661136824305,2.31438027815804,25.75695,30.2501,61.39315,57.3477,291,137
"ZNF642",0.360009322124049,141.513406185567,131.18938540146,7.28312788629142,5.48513200292462,89.0926,90.566,144.8374,147.6131,291,137
"ZNF490",0.00164785964661152,194.945320962199,220.67971459854,4.27729251148928,7.59651514584493,143.4861,160.7071,232.9148,257.6288,291,137
"ZNF626",6.88329040432478e-08,338.097795532646,671.590355474453,31.5662935920657,57.8188771786346,24.453,117.1303,389.3546,1067.1745,291,137
