"gene","p-adj-Papillary-Non-Papillary","mean-Non-Papillary","mean-Papillary","SEM-Non-Papillary","SEM-Papillary","Q1-Non-Papillary","Q1-Papillary","Q3-Non-Papillary","Q3-Papillary","count-Non-Papillary","count-Papillary"
"ZNF195",3.06495873133583e-05,396.5658604811,501.37312919708,13.2752416999025,22.7858669361543,244.34065,322.2061,493.4874,620.9142,291,137
"ZNF263",0.692359989520726,620.07763024055,613.214589781022,10.0313755278518,13.5702365248691,492.58755,507.6084,731.11635,700.8943,291,137
"ZNF200",0.690913025476353,235.206218213058,231.896319708029,4.60037706257748,7.177844744457,182.5202,182.6376,279.19845,266.5992,291,137
"ZNF582",0.00480483876148285,27.3905237113402,34.470703649635,1.27397151794282,2.43613079244389,10.04575,13.8486,39.6611,50.2355,291,137
"ZNF285",0.4298697497275,71.1125384879725,76.6859459854015,4.27785470652419,4.8030244201691,26.22165,36.9668,91.0533,108.6525,291,137
"ZNF275",0.680785645439647,450.425746391753,459.881776642336,13.2865166475859,18.0023821631166,292.70705,317.8742,531.8588,555.9656,291,137
"ZNF37A",0.905557810806324,365.054229209622,367.140546715328,10.2832023196017,13.3725473683592,244.0648,261.157,438.7941,439.9952,291,137
"ZNF510",0.278201485656317,177.532496219931,168.383218978102,4.70702128859273,7.13272160973698,125.95775,108.9448,208.2535,197.1231,291,137
"ZNF506",4.56981191776507e-08,388.134973539519,523.615583211679,13.4515112227558,21.0095621118593,230.87605,341.3553,507.06855,676.4275,291,137
"ZNF324",0.302986000308976,208.218553264605,196.228238686131,7.51212921990332,5.68176291210353,145.50935,144.6373,226.30635,237.4894,291,137
"ZNF671",0.339870881783716,60.9561367697595,67.397299270073,3.37882165174583,6.71367577385396,20.23405,16.7364,80.23705,89.2857,291,137
"ZNF416",0.860132473910822,121.949540206186,120.933032846715,3.29999980917439,4.63320584733829,85.47915,88.4456,145.2757,141.109,291,137
"ZNF586",0.000146050170289236,186.024734707904,219.918948175182,4.5981257892479,8.41578940659389,130.9647,155.4872,230.43075,257.6887,291,137
"ZNF446",0.000264266261499224,339.355517525773,424.593105109489,12.7136991545943,20.2771657859924,216.4791,272.6408,390.8755,529.2916,291,137
"ZNF8",0.322112868044107,111.768326460481,117.868932116788,3.07084855364166,6.16046725470516,74.12405,85.7081,137.2502,137.7471,291,137
"ZNF264",0.00227383260728564,633.383080068729,725.852813868613,16.5609350540971,26.2546317586619,436.09745,507.8513,759.98385,853.3985,291,137
"ZNF213",0.0632373321389991,507.912517182131,547.025241605839,11.8428765105809,17.437827934754,369.22605,400.5964,603.31865,632.7727,291,137
"ZNF343",0.47954197981627,292.964390378007,285.508557664234,6.03663426752784,8.44717241934376,223.84405,219.8487,340.4607,345.6533,291,137
"ZNF302",0.0140002423297872,397.837202061856,482.547827737226,19.4883372784169,28.1059565643762,237.9714,257.6633,454.8601,596.083,291,137
"ZNF268",0.714070479272654,281.403675945017,286.895828467153,8.10344970207014,13.4338912407689,185.30555,180.2657,354.96905,373.2582,291,137
