"gene","NO-[Unknown]","YES-[Unknown]","YES-NO","mean-[Unknown]","mean-NO","mean-YES","SEM-[Unknown]","SEM-NO","SEM-YES","Q1-[Unknown]","Q1-NO","Q1-YES","Q3-[Unknown]","Q3-NO","Q3-YES"
"ZNF195",0.905002983849571,0.00158479292714198,0.000173301478684884,422.41624,472.639538,1040.09795,83.4579301457723,26.1286264351346,379.33112992448,263.7191,350.0565,631.6584,546.5484,595.997725,1212.76775
"ZNF263",0.813844746133279,0.97245902600077,0.962796284502259,805.65526,741.013314,771.680025,41.789813262739,30.1848959721569,217.355420757736,803.7402,650.338875,403.7958,860.8981,854.00855,1087.413575
"ZNF200",0.99671450037281,0.878739651101455,0.766948427471793,265.89314,262.561476,295.79775,12.3235053667615,12.3896617847632,88.597785406573,269.1969,208.74905,192.1183,282.0682,321.968975,335.36205
"ZNF582",0.567131566340239,0.785385135678857,0.997717278189363,51.81028,40.49655,41.287275,6.79264355618635,3.40473028177246,12.7796221811246,41.3455,24.741325,27.06785,62.4044,51.363475,47.750925
"ZNF285",0.934036495685135,0.664783436950477,0.705718976008382,75.21612,91.396074,132.029225,31.4724883521052,14.3957646673278,28.9260245922069,2.4472,33.6198,101.25435,132.969,121.243175,145.470325
"ZNF275",0.877382529179372,0.137786381074093,0.107458061190032,530.79,621.284214,1044.773325,103.634327997276,58.8835533774138,65.1309424013064,355.6412,382.839775,966.990675,745.9978,713.69285,1138.19345
"ZNF37A",0.944489091903603,0.661061134161931,0.684301366186324,340.97576,366.3966,439.233025,78.5439109291395,24.0353860346752,62.7284886988543,217.9397,241.510675,341.68095,519.221,460.935475,527.817025
"ZNF510",0.854376142817513,0.87000902972601,0.984803721110036,237.33042,214.40197,206.49115,61.7142430358536,12.5674116064949,18.3579859882332,168.2481,155.31195,187.291975,336.9022,267.660275,218.881025
"ZNF506",0.240347447919761,0.343734648855318,0.93710118177366,618.43516,358.175778,297.531,280.517096303866,43.0403781724802,171.298266438874,189.9826,135.069075,73.1471,690.8015,542.995975,420.1591
"ZNF324",0.873658452313087,0.923403140130257,0.998942812160253,183.45964,199.305038,200.8562,31.4212041613717,9.69314215041343,29.1115017691462,153.3598,161.8574,152.2922,219.9454,227.496775,246.55585
"ZNF671",0.819052842190122,0.271255088723665,0.312970744534293,119.44604,99.055792,43.990625,17.1239804003508,10.7295057497073,16.1441822648478,81.8043,34.764475,29.373825,135.8214,137.98055,57.82335
"ZNF416",0.98527960377473,0.448814520062487,0.336739016011865,132.0133,128.043256,89.921975,12.9266266243363,7.61594678410878,17.4545692634419,119.4814,93.861975,68.456675,143.0457,145.522675,102.27145
"ZNF586",0.0481357281236328,0.0194711457364506,0.341681457480713,416.57116,210.427246,77.384925,242.705907707037,16.4271829015335,13.0399738234895,101.7314,117.36745,57.24785,298.4848,258.34205,92.854375
"ZNF446",0.78605235416543,0.991939476195329,0.732197736832459,376.9142,437.19599,361.14635,57.0271463391866,28.3406444624981,78.7820605725853,338.3433,306.2957,289.75785,411.8609,524.147125,407.9181
"ZNF8",0.476294456581042,0.580585929426112,0.97023471749505,126.05334,103.362542,98.327925,29.8646192272662,5.58695157530699,11.3478699792351,87.8381,78.544575,85.157525,193.4693,120.287375,115.52195
"ZNF264",0.91592357792892,0.975672346640758,0.995770654111893,521.6512,562.319392,552.43105,119.092686761996,30.3512651570246,90.0190532882391,402.2303,426.756575,409.223625,723.5648,711.961775,667.551575
"ZNF213",0.911032132038684,0.070967103049759,0.0365796092763186,494.74986,532.019714,786.708475,53.1721548592268,23.7479261305381,232.66441193266,426.8806,417.149925,439.75195,607.7292,615.5191,1062.411125
"ZNF343",0.991622866803363,0.970021426371719,0.979905984560099,301.02518,293.690294,281.0664,45.1741677783045,18.3321108566265,52.5786848029535,243.1777,215.1521,209.714825,369.1241,345.663425,313.886125
"ZNF302",0.963701567073065,0.433940697443248,0.363779700136132,466.29452,515.86505,806.11095,121.643817998431,59.3050673774905,184.036233353238,449.5445,233.212275,573.584675,663.1998,631.265875,1029.689225
"ZNF268",0.758473793974795,0.853906983830069,0.998565045333438,243.33244,290.732354,294.5056,66.4894621923174,20.4866637860148,37.659598529348,122.9853,178.5365,259.452475,256.5514,417.2068,304.790625
"ZNF184",0.999992736035566,0.7686083417807,0.643944001174478,269.89546,269.712182,319.931725,69.5609508375324,14.8670431003046,29.8185072865655,152.5971,214.55455,290.816375,309.7833,313.560525,362.7039
"ZNF500",0.895664698571755,0.596459697010709,0.671952109719626,268.28976,252.58957,219.44815,27.9469834925453,10.5534808196218,45.3639931443522,241.3896,203.596125,167.9871,324.7579,299.55815,243.267
"ZNF419",0.901987580291674,0.529780417010187,0.57710724146522,218.0019,244.354856,312.0785,11.9731345787141,17.6422658329997,121.53936713302,191.3333,163.05115,155.304825,240.6444,275.945525,383.740575
"ZNF175",0.990066203814626,0.771883957815658,0.725412148438897,108.99118,112.161368,132.143875,28.4269750784954,6.97803025125107,21.9555936985458,58.5144,77.4899,113.1257,153.7741,145.733925,144.432125
"ZNF14",0.495424078982441,0.855849093025608,0.938514460784925,184.80126,286.213796,252.67795,37.4037382063291,28.27852532964,55.2558451431536,117.3791,190.37685,178.28055,250.8412,296.830525,296.46145
"ZNF85",0.814415223745836,0.529979434501576,0.678092975197606,126.05658,159.437354,210.4096,15.6193059198993,16.8861186041699,67.6211299369509,129.2954,71.29295,155.35905,135.9495,206.215725,308.66085
"ZKSCAN1",0.880900526697749,0.772476730275906,0.893552521847065,680.16542,585.735322,487.196175,312.418164542853,56.5192659834592,72.2088644449486,156.9011,222.8189,405.76115,1085.3472,860.58615,570.745225
"ZNF862",0.991627184399286,0.953062305027468,0.874975500200829,542.3359,566.631996,459.211025,179.370580563921,60.3641551672894,152.746906494411,201.1212,309.1443,271.077875,696.2659,692.815775,527.5969
"ZNF684",0.954020583390299,0.293547701513157,0.0774159286506165,61.56564,57.550304,91.2479,14.7357442440686,4.10968510486915,13.8402831683459,52.3679,42.0956,75.5095,58.3257,66.52695,112.249
"ZNF430",0.845405325994993,0.997247205752327,0.912549836440508,67.58402,86.288688,71.005175,25.3109979565682,10.5773896814026,19.0907242901876,22.4247,24.46025,44.204475,88.9161,127.121325,89.8743
