"gene","NO-[Unknown]","YES-[Unknown]","YES-NO","mean-[Unknown]","mean-NO","mean-YES","SEM-[Unknown]","SEM-NO","SEM-YES","Q1-[Unknown]","Q1-NO","Q1-YES","Q3-[Unknown]","Q3-NO","Q3-YES"
"ZFP30",0.76797342778245,0.973216559033448,0.938383139403944,185.46064,219.009578,200.807675,38.6266170782092,15.0027930060765,33.6461110815295,125.0876,151.378275,166.525875,238.1972,271.168325,208.241
"ZNF549",0.627804232729874,0.951037649717611,0.444491933256505,149.46128,185.994192,132.38075,16.4540980732886,12.2391280539253,46.4316064134927,136.9461,123.169775,107.440975,175.678,249.246325,169.835375
"ZNF211",0.771882980524916,0.4119162042309,0.559407122201569,205.92854,243.713056,306.6293,44.1394232351375,15.9110274021926,95.8488395353416,131.0692,168.35925,169.822875,276.5483,281.263025,466.937275
"ZNF205",0.754454053458318,0.761551722596674,0.962654174527213,517.80344,631.959684,678.316825,103.237834729181,48.2013056938031,213.227179715436,393.1421,421.184725,345.163575,612.7821,734.62665,1001.85695
"ZNF45",0.223584950060112,0.946890489573737,0.514497786034844,328.93064,241.785602,305.5114,49.4189994640786,15.8166953570825,47.4073395077,214.4185,158.631725,239.0376,391.5876,294.461525,370.88295
"ZNF133",0.982436135222955,0.926855742359341,0.945928709663693,584.59228,564.01605,523.6259,106.675473806815,34.4915897974109,132.133586316103,415.7559,428.029075,380.741375,802.8954,646.21,722.277625
"ZNF436",0.992059510327577,0.660309747693696,0.569556880102258,478.24384,493.049768,631.711275,111.032424693432,37.5827104214599,112.248114977204,290.8199,336.215925,500.5442,661.7926,579.8131,689.843325
"ZNF484",0.981957352776648,0.447745868032825,0.343644114141893,56.13832,59.168356,85.173825,17.2873296576828,4.7887389605182,26.7351960921172,30.1281,32.855725,45.973025,87.6925,77.204475,107.7737
"ZNF780B",0.904932274867562,0.961189353018992,0.999179654538281,256.73426,298.03618,293.89345,44.1184215817792,30.8859801666521,35.5457638510437,202.5228,172.923525,265.0078,343.4282,355.831575,321.607
"ZNF557",0.616196943758319,0.922042233652918,0.93311379485548,139.08386,172.595586,158.621,38.5441031663548,10.7222233317714,29.8719547203002,127.8907,133.59725,132.77265,159.2488,181.536725,176.4368
"ZNF337",0.849083957837689,0.26629345622142,0.281957924786626,514.77498,578.562554,777.506125,89.204370168341,33.8286963360695,207.17608225745,430.6967,439.222575,475.7925,542.1934,678.1474,1015.875225
"ZNF317",0.982048368096895,0.910096089276136,0.765720860571986,697.87918,722.65214,617.015275,105.526416723977,42.3442803941097,106.814291482697,546.6106,514.7625,441.534875,895.8236,845.282775,783.83285
"ZNF426",0.903164619326312,0.95065184584625,0.999995226670899,97.0913,83.577674,83.4753,40.716599230842,9.10785943106005,34.9718690970567,43.4315,32.78905,33.343625,93.4267,126.2021,136.100775
"ZNF331",0.760034062919409,0.0169937290600995,0.0102327471316421,340.4301,417.013162,780.0868,55.411913345029,25.556500274279,331.683209801619,233.9822,308.554,411.230825,457.1949,534.305075,881.656075
"ZNF227",0.947142369582984,0.822085265362422,0.877405066834511,313.3961,294.858868,262.9629,53.2712076537317,18.2560886216721,33.735290670429,304.2684,216.045025,233.56715,375.6785,347.144625,303.7066
"ZNF141",0.685014931517981,0.222335739743665,0.339562693680113,77.40314,94.793092,127.593575,15.5100630402201,5.8874513702924,42.3543127238218,53.609,65.852825,74.9814,94.2972,122.8467,146.104475
"ZNF304",0.850181112612935,0.796521156047113,0.938084316284005,218.13958,245.88476,265.152375,39.5888772948463,15.9147264582377,30.788682529391,160.0313,173.0422,240.32645,222.2902,299.08375,298.701875
"ZNF132",0.986742948600336,0.991582454138761,0.951537886765244,65.19844,62.045216,68.787375,28.6072184155258,5.83636079563309,19.7954003096837,20.6727,32.623125,48.0059,116.6716,84.059125,97.849775
"ZNF20",0.909453060530367,0.695598928984485,0.777923271373577,208.09208,234.529722,282.2518,45.3019274526968,19.3937731337972,75.7208561668558,202.019,149.297375,213.148725,262.4441,290.735325,354.185825
"ZNF670",0.839361831688908,0.0731439711601376,0.0529891084142843,90.55452,103.779898,165.6034,29.4765958284772,6.81691381986551,26.4759536079439,47.6721,69.6037,140.3458,104.4904,124.3325,202.2087
"ZFP37",0.941558184989848,0.96828958052225,0.99989654653186,65.14616,72.062974,72.380375,21.7265869267955,6.33588887561334,17.2136982157319,31.1843,40.5894,43.364125,86.2744,92.958575,97.02045
"ZNF189",0.555326472879342,0.860442825375826,0.962565794058316,507.66846,414.166786,440.3903,55.6633239332471,28.3463987941362,48.9491636468728,404.1866,304.855775,406.136125,548.7036,489.343125,508.449225
"ZNF434",0.885847191143713,0.0305501473279856,0.0127449271019489,308.1391,332.911828,505.220475,40.5604789036569,14.699208386256,110.448710984061,288.3694,289.393875,316.29115,389.3443,392.2692,692.300575
"ZNF287",0.560377757534829,0.624896294721147,0.0930478807603178,125.93534,101.978654,156.77015,17.9621113781927,5.645900802559,66.3203902818796,98.9925,69.641925,67.396675,142.3473,129.78185,205.249875
"ZIM3",0.913655685039138,1,0.929037854899133,0,0.075556,0,0,0.060117188425302,0,0,0,0,0,0,0
"ZFP14",0.805636928271258,0.963147790262433,0.97140965958237,178.82042,217.8992,202.07115,48.010604593979,19.4683876107979,32.007261088866,94.2537,150.2623,171.284675,290.9836,237.722775,220.350125
"ZNF473",0.800796091959393,0.419288227610108,0.541420430467958,290.75286,318.916192,370.988825,37.6017560428047,13.7502686090483,24.4116642347934,290.0729,258.644975,334.5746,343.3097,364.294175,406.039675
"ZNF614",0.912558211125035,0.475557678101872,0.491996492260923,216.00922,236.969946,302.055825,44.6801579326595,16.0337680101105,15.0313165072333,124.0364,161.443675,279.47255,271.6427,274.458875,324.398225
"POGK",0.436724595209505,0.964111769308363,0.714331576313761,1891.27134,1560.504582,1792.762575,210.467123332941,81.7624033608031,279.562854087619,1651.4734,1175.419375,1453.816225,1803.7842,1895.204875,2034.2449
"ZNF514",0.658609072617739,0.926196053880585,0.417309789119492,165.18376,205.718256,140.43665,32.1462550119388,14.6479693084541,8.05438851398209,118.4597,121.102975,133.2481,195.8106,270.0554,145.5708
"ZNF300",0.984850997006948,0.547410844415409,0.453304436513164,156.03828,169.106836,274.220025,72.2575068639958,24.3891013753473,25.591074366804,11.8283,15.0164,242.97825,183.9523,227.76065,296.319575
"RBAK",0.654237530433591,0.953795266825663,0.473554300233303,533.29084,467.774712,564.450325,110.613803468277,21.5367382443249,46.1888874149648,354.6982,350.031725,487.585375,591.0747,556.47385,636.56545
"ZNF92",0.992741890314999,0.364810819441831,0.157218658185937,278.10918,269.735232,420.55825,61.7407026484344,22.1795060477687,75.9634313768748,159.7758,178.11835,342.8012,411.6576,305.357125,458.73835
"ZNF157",0.979901283996656,0.735633551112769,0.70862845110188,2.91488,3.250036,4.7847,1.1308485775735,0.546233914869027,1.27462742464874,0.894,0.45715,3.532375,4.9054,5.206,6.235175
"ZNF182",0.566559382826685,0.624083726779295,0.958340353811801,177.81836,216.561206,228.24,32.3893443953193,11.354821585814,49.4333274021518,105.9432,161.861575,184.071475,232.6958,247.55585,277.142525
"ZNF673",0.298919058609526,0.118974180220403,0.433589518145297,183.17572,238.58849,289.449825,27.5654788680226,10.5999380562123,68.9991459071581,147.5105,186.0946,207.401175,197.41,266.724225,383.43465
"ZNF41",0.899447437231016,0.507634881006876,0.166553621385977,178.89184,162.811006,237.4271,47.4933714321546,10.8364249850677,27.1464527230846,96.356,106.507125,213.91755,201.0809,222.2196,264.14375
"ZNF7",0.936615349843322,0.681468551569658,0.722880276994765,508.62148,482.545046,418.0544,47.3334274037535,23.7932871520477,44.1653875662643,398.0749,362.616675,385.6986,583.0244,576.560325,451.47265
"ZNF214",0.998508813816008,0.509907777086239,0.306073713033301,47.98122,46.914566,80.628275,22.1281830995543,6.15977720132574,18.7957079799873,13.4105,8.7124,64.3173,73.7705,73.792825,87.378475
"ZNF215",0.949653460020307,0.644752304694144,0.654491241980129,27.38534,32.319102,48.03975,9.18499287406365,4.98725537109524,16.9049478416577,9.3874,5.8139,36.2805,42.8051,47.03095,60.16195
"ZNF547",0.912275054486389,0.879673940088432,0.964898244908455,55.37448,62.188808,66.8954,5.87982349321814,5.16704955060258,19.8576455069158,45.1264,37.749525,52.439775,66.867,79.272375,90.641725
"ZNF773",0.871434004708908,0.902861922064347,0.993968797142969,135.1196,124.946912,122.587475,8.22279267554521,6.4086563813576,16.4292384521912,125.9904,97.459075,96.02545,147.0856,150.77885,146.690175
"ZNF776",0.0330111538449419,0.251781909093752,0.964392446958073,684.60726,364.828578,400.0495,335.69491521232,25.4851847976801,73.1653138880827,220.2602,231.58995,289.235725,564.9863,474.181625,501.661825
"ZNF256",0.209109547296784,0.645799577276103,0.91907105629904,166.86188,113.620942,127.0998,72.7093747764647,7.41604020147013,20.9025377404675,91.5583,74.3439,99.968625,111.1111,139.200025,149.686025
"ZNF599",0.757572080072602,0.999863629633273,0.808599505918587,106.71234,127.551382,107.3709,21.2612822469765,9.1227966159469,20.9014872320927,83.7887,80.4808,83.9231,97.4274,156.503625,138.521
"ZNF18",0.962795086341637,0.999995087868342,0.968592578733511,235.08884,225.64115,235.242575,38.552187988681,10.6854231833062,41.4822481230702,209.4718,175.901925,209.825775,275.3136,266.632975,288.28285
"ZKSCAN2",0.917459099141272,0.965405801533579,0.77403275967099,201.73512,220.056036,184.993675,42.4380478300122,14.0809456618521,44.7073531439623,140.7158,143.539675,136.841325,260.0182,264.515825,204.4715
"ZNF689",0.994626324312016,0.919279195086664,0.823834831564984,104.67084,108.735652,81.6747,33.0330440141323,12.6453470606822,37.3087430601506,65.2595,42.431725,36.055,112.6485,139.599475,103.15585
"ZNF19",0.569340091214861,0.91298379296252,0.326084640887399,73.80272,94.23449,62.11535,21.4318499899892,6.14148108338581,9.76682250397573,35.2147,62.159,52.632175,99.0619,123.74495,73.235475
"ZNF230",0.96995664331399,0.872809296859164,0.90335591530215,131.46938,124.94822,111.75095,12.9370366041223,8.74117238475807,20.3477029973287,134.7905,101.731225,91.594475,146.0182,137.850125,141.691725
"ZNF222",0.988905854967287,0.995681320265337,0.999891462427763,78.98608,75.822776,76.1684,14.3314926633062,6.98108200500529,13.9516886330413,45.5022,54.084225,55.0762,97.7575,78.0966,89.4723
"ZNF221",0.95662325804147,0.940703985411985,0.772432893388113,11.9809,13.409054,9.5824,5.95371760583251,1.52623139706581,1.64629674927295,3.1302,5.5068,7.3359,14.6834,17.6932,11.5045
"ZNF233",0.912033611871558,0.998430958625578,0.899779697538042,25.615,61.923144,18.840475,7.62498128961639,28.5989715243832,3.66406921022129,14.8684,16.720025,14.050525,22.8408,43.227575,21.7042
"ZNF235",0.994126643409317,0.982988017311112,0.944806056429391,84.1845,86.39714,78.783,12.9055098171672,6.73004242683719,13.9073974918027,75.0525,59.893,68.986875,101.6118,92.254275,88.722975
"ZNF208",0.972074105823665,0.912691729879208,0.944711414870768,21.2499,16.50651,9.0577,15.9517184491515,6.58189932301429,3.95926341402876,5.3023,2.216075,3.36605,9.3874,8.288825,13.1962
"ZNF714",0.736484089693105,0.181157793197269,0.23739216599711,163.3869,218.299404,351.832575,31.7551293017994,23.2342886011559,51.2898201375506,128.0718,98.04545,263.661825,164.3353,320.183425,440.1839
"ZNF394",0.996858708960477,0.758469797582205,0.589240175165804,522.22892,529.45118,425.116125,74.9602844277581,29.8043114930085,56.1116527023929,360.2963,405.210225,357.2065,669.5865,579.546775,478.709975
"ZNF333",0.917813205775213,0.977602046730841,0.99507870366227,188.68874,207.782278,202.7135,46.8223317705195,14.8276825794962,32.8440483834591,128.3381,143.424975,161.471625,242.2836,254.520625,245.907525
"ZNF382",0.958010616074415,0.730973856797209,0.749932426233597,45.1536,50.067788,64.206025,15.9680903712373,5.40675358678395,13.5750814832039,19.5637,25.56305,46.528325,41.439,63.1192,71.45225
"ZNF577",0.322599772521752,0.886657584043062,0.761415514534333,140.8061,230.822764,182.3282,22.0227725880281,19.6467915961638,45.9578218117439,135.2459,124.87955,128.5316,153.3796,267.421775,197.1334
"ZNF75A",0.560707881640513,0.00848422380561231,2.29629495570594e-05,323.39372,248.844926,643.552725,41.1453723050649,18.8281288165414,189.035544125007,250.0245,158.845625,341.935625,367.5543,311.406125,911.9655
"ZNF496",0.888974163362832,0.888673501889616,0.982204276529913,411.58984,371.7213,354.488,105.053964434692,25.5371911434751,77.5029995140188,272.0506,239.626825,270.87255,535.3889,458.454425,367.69955
"ZNF2",0.41162840399347,0.267376591922733,0.661768276859646,120.9752,145.547814,164.0174,7.8419087670031,5.90254387144101,24.2416928701703,112.1233,108.6625,145.5336,124.718,172.63065,177.50035
"ZNF589",0.632597493818558,0.107971324846749,0.169069795424954,464.88788,666.157926,1111.76325,190.779074259483,55.5131686553185,578.327413634511,163.2796,416.6284,430.94755,670.1336,826.161425,1318.9111
"PRDM9",0.999995657571068,0.00810777951800845,0.000517776827716476,0.3383,0.34782,15.4345,0.259720515169672,0.209761801292878,15.3292479582333,0,0,0,0.3504,0,15.59265
"ZNF12",0.448134528574232,0.850759446053996,0.916332093448264,708.10602,594.227782,635.529125,129.364045962031,27.3672837364121,69.7970534636238,514.0154,461.474675,560.55075,690.8015,667.07645,686.805175
"ZNF202",0.276354337236758,0.984575100711476,0.46920955564832,241.47924,299.270628,250.4418,37.8195191417686,11.359661128487,28.3636062688321,159.5853,238.8757,227.7038,288.3655,352.311025,270.362
"ZNF3",0.989947700496716,0.952089481984822,0.867923004000944,1229.8321,1201.678494,1318.631325,296.199999597264,59.6129218703116,213.366289267886,855.4043,887.85635,1142.546775,1315.3506,1465.925375,1482.2948
"ZNF606",0.340476602498612,0.988172313784156,0.31469795053849,491.97262,364.083484,510.9725,125.14200284606,24.6158628980583,153.661253940527,348.672,256.32675,340.815525,419.7086,432.7231,567.658625
"ZNF91",0.923626642532807,0.838277210684626,0.920212331632917,384.67962,351.660448,314.23665,113.708378579423,25.8341005008127,49.006470293532,182.5508,202.979,239.257175,638.4335,497.5403,372.691225
"ZNF226",0.870996984272965,0.821811774646984,0.94537576240192,408.16862,372.858494,347.934275,35.6667499712744,22.0562227613495,61.7364572547477,332.9747,270.560125,284.52475,443.3568,424.836,432.249075
"ZNF229",0.422698185668565,0.21998413836426,0.004543706709634,83.88318,31.476198,183.978925,50.3860929355254,8.36568710134268,134.495798015548,3.643,3.728475,5.37015,179.7477,25.663425,258.396125
"ZNF180",0.829774534121866,0.638226518737549,0.215283672173706,200.53542,180.857094,244.31985,32.088412727921,10.1567509063349,37.3206494869686,165.596,130.61455,226.7881,228.1421,205.091025,278.63685
"ZNF641",0.701558514907175,0.701195222188076,0.947371361147437,126.28208,97.835458,85.56795,52.0939942044512,10.1856081005237,28.0939451002198,38.5424,37.992425,47.431975,155.1152,147.886975,123.156075
"ZNF610",0.997099328172056,0.945227229979672,0.935722545359683,151.21964,153.81197,167.55555,35.3052590337417,10.8333718845503,31.849144128859,92.0857,99.0313,133.614025,224.7374,191.6114,213.333125
"ZNF528",0.865274239953833,0.455717149534401,0.523348859961359,319.94528,273.711296,164.772625,41.2669160770756,28.7725911625311,18.6346740753796,284.3033,126.060275,145.25055,376.8737,357.234475,170.839225
"ZNF701",0.971646435030959,0.880185808585934,0.687206566651612,115.92904,122.41006,96.383375,22.6068598104336,8.87142953855527,12.1390450251365,75.9073,71.95935,80.235875,145.2024,178.413525,108.1539
"ZNF283",0.763151239132144,0.963152465914619,0.598122562184221,73.57764,62.41426,79.512825,11.0986992897186,4.99795912074976,7.41036787350162,59.6539,41.916525,69.468425,88.6475,71.660625,85.10165
"ZNF558",0.923564547929875,0.721148083878688,0.790567499213747,401.39884,445.22121,528.82325,70.3715309729623,35.8870545931176,103.746331771919,259.415,326.320925,417.5375,538.2514,519.6225,640.04165
"ZNF597",0.633916531646743,0.252415633845593,0.431599342784317,44.9853,35.342566,20.77845,5.98783781201529,3.27865796488797,10.3676760798085,36.4401,23.31035,5.2231,56.7713,47.590925,32.66825
"ZNF30",0.980095051956644,0.654178859128282,0.601541076866088,104.55964,109.306328,135.886225,18.0628798056013,7.25017292349781,42.7087703805158,78.8367,75.103725,79.4746,120.1213,133.780325,168.289825
"ZNF354A",0.416844891174971,0.221900426110479,0.567217554424794,266.8815,345.35804,415.107525,36.7259092443332,18.102274478379,107.727735888492,203.2235,263.571,332.753025,297.8142,423.218375,487.55735
"ZNF764",0.743310995347299,0.937843169479926,0.515013892715417,202.86116,228.647932,185.751125,10.9897869610198,11.0268342125405,31.9431791750178,186.7554,187.32075,141.188,215.7643,259.003025,222.507875
"ZNF747",0.991300494914985,0.635879986480967,0.541401185069588,260.25774,253.585298,191.23185,15.0875487465526,16.736215247308,44.8559796820985,253.2423,187.98815,134.842925,281.1582,280.196075,217.700575
"ZNF778",0.887095194805896,0.907353738670798,0.991912587851954,55.2652,60.978548,62.624375,9.86236341831916,3.79205428983917,8.9544698318191,42.747,39.8653,59.269425,70.5618,74.10435,72.88855
"ZNF212",0.659629473420656,0.306613293309878,0.501594319002848,581.90136,513.718856,416.16105,112.295323768546,22.7351713659229,54.2184760756654,409.3807,417.21555,342.073825,573.9998,591.5239,490.894825
"ZNF282",0.790029939944973,0.105756539897824,0.103549295156533,1340.73698,1216.492824,780.0678,243.803136715062,56.3483915045448,121.351268280393,1081.6398,1007.056125,648.03475,1622.6157,1373.205675,919.77685
"ZNF160",0.367791122333937,0.573774399190172,0.996934742080436,830.65488,678.461774,669.22175,206.469821400207,29.6973697817855,117.82909021811,457.9537,526.718875,548.2321,945.3552,820.509425,818.0134
"ZNF415",0.662899611772441,0.856641021725206,0.313884671564824,245.06086,205.301648,279.848575,45.5216964990608,12.5753677117747,93.940880339227,158.0238,155.579675,219.77985,293.0647,255.001475,335.645375
"ZNF439",0.905623789486598,0.543915675704158,0.196320265616138,182.49322,161.437378,257.545925,49.3393815884776,13.9719329812929,90.9760909410853,122.4954,95.194875,174.065,221.8823,211.303675,328.122925
"ZNF440",0.898843950331922,0.937842754677312,0.681032567186171,414.50774,491.301214,329.350375,126.033462086252,54.5922644549888,101.178184129101,216.7661,291.43475,199.299875,536.8683,539.743425,412.13605
"ZNF562",0.158825304844647,0.461408139779661,0.989226849875362,660.43906,451.82884,469.212625,136.96190772702,33.5352883624872,70.1563965546071,510.222,296.2795,389.255175,866.32,552.4654,547.8893
"ZNF561",0.973382432412596,0.999796897423384,0.983271533498586,725.5188,696.362766,721.901625,135.800637707733,39.5291677437759,136.109377343801,719.894,474.160025,567.819325,784.0692,852.545525,797.469
"ZNF584",0.316402803164992,0.993479874983508,0.317252751041216,181.32772,234.574526,175.656975,41.1509988454035,11.1089438378948,9.18711921327672,146.728,174.722775,163.896475,267.7636,277.108425,189.4844
"ZNF274",0.999543452984185,0.999691253065731,0.999988463777081,376.91982,379.471012,379.920225,124.54407242697,25.8262278613059,68.2153105683929,242.199,246.75395,302.275725,316.4845,480.572825,415.51065
"ZIK1",0.52757732484681,0.360855372268506,0.707031569543752,66.78002,33.64668,6.705825,36.7589769343272,9.26897926687085,2.68968861716216,4.0787,4.6127,2.4967,137.7015,22.459725,10.686675
"ZNF540",0.772336784847523,0.601351225332532,0.805857937772888,36.89862,48.249048,59.737575,5.97285471532667,5.12928861718758,19.1962904163094,29.0164,21.28375,48.9769,38.5424,55.988375,77.952975
"ZNF570",0.998511867986209,0.938412903261073,0.919013722279238,50.51392,49.681232,42.7282,16.5882297012792,4.94170877430431,0.563800687300041,26.6293,24.2762,42.15765,67.6089,64.330675,43.2108
"ZNF57",0.980825878998552,0.692883241777173,0.649951855267414,122.62104,118.655838,97.84005,32.9011270433795,5.83176144842726,27.309866271017,66.6056,90.125375,61.020175,151.7284,141.58845,117.192575
"ZNF556",0.889215004838538,0.996578892196291,0.862460822789039,10.78594,16.809912,9.3159,2.21288334319729,4.17994766886551,5.45615629831722,9.1075,2.92515,0,15.0913,16.78095,17.50865
"ZNF554",0.992222690049567,0.912529666420547,0.907876522753981,143.48382,140.573072,129.217,24.2173576220528,7.30174799106325,28.7343775203733,126.5938,108.1038,95.642,176.6085,172.00475,158.8692
"ZNF738",0.70329568032786,0.766395434592045,0.983185196397697,282.36284,400.896838,429.614875,65.4642408438042,47.0823114471484,59.510780878487,168.2481,221.6907,380.422975,324.6661,490.472825,482.5922
"ZNF596",0.511050688370705,0.651274814215508,0.0895641330239951,99.18236,74.471172,127.35515,25.6949344416482,6.0036831858248,44.9957688642406,80.2113,51.5652,77.523875,111.5665,83.153975,166.068375
"ZNF621",0.944718523284539,0.805528734057619,0.861737064603334,500.2953,533.144388,592.069875,135.033614683382,29.9297061000813,91.389545316449,233.1996,388.2327,476.564925,788.4164,634.014825,712.6661
"ZNF680",0.998349358075902,0.463482221972011,0.259671431416895,294.3687,290.287882,421.34465,58.7235666156442,23.412088894798,15.149101157632,182.5508,178.855125,408.635575,388.0114,341.878325,443.720025
"ZNF483",0.644745912576847,0.991938329285826,0.601407171769492,7.34234,12.89256,6.2694,2.44042178088133,1.97537705003271,2.53090179712028,3.1291,4.675275,3.6019,12.2362,15.727,7.3743
"ZNF417",0.228562001290646,0.464422531543632,0.999337912311429,166.60912,116.79485,115.6444,63.263206142136,7.69133835940475,17.1544424285664,45.3879,73.105275,96.074025,281.8761,151.971525,138.077325
"ZNF791",0.986443015910878,0.996523975721146,0.999142292950425,137.76692,144.526792,142.649425,39.5584535841885,13.3376861157487,14.5496249823592,50.4555,73.066825,128.13835,194.4527,202.436225,149.063325
