"gene","p-adj-Grade 2-Grade 1","p-adj-Grade 3-Grade 1","p-adj-Grade 3-Grade 2","mean-Grade 1","mean-Grade 2","mean-Grade 3","SEM-Grade 1","SEM-Grade 2","SEM-Grade 3","Q1-Grade 1","Q1-Grade 2","Q1-Grade 3","Q3-Grade 1","Q3-Grade 2","Q3-Grade 3","count-Grade 1","count-Grade 2","count-Grade 3"
"ZNF430",0.658641112180815,0.341876240713956,0.939045076120975,33.32006,62.16825,71.9253,13.9674756234833,29.7893034405668,16.1384050386648,13.9205,34.420925,37.11975,54.3158,68.127975,95.050975,5,4,10
"ZFP30",0.99977369846969,0.425298130788406,0.464843817033096,130.225,129.231175,181.54884,42.5105191340802,9.43408761578414,23.1742518359934,65.4206,121.59535,121.3787,151.9734,137.766275,240.05565,5,4,10
"ZNF549",0.997030863468646,0.238615533599268,0.324884041034397,126.42726,130.66925,206.20479,43.3647411371335,25.2273885696512,28.5493505044217,57.9122,101.940875,165.942375,200,160.671275,277.675375,5,4,10
"ZNF211",0.695749096056945,0.892341906096334,0.868260489166249,261.77706,194.731075,231.35639,51.8666288759796,83.0807566785311,33.4078507187506,154.9322,108.810525,142.259525,323.7565,215.4499,323.9964,5,4,10
"ZNF205",0.245608640539633,0.0646450257457164,0.928727420580095,1269.8339,777.63145,682.37512,342.37729058102,134.376224993495,75.7599865418866,717.9793,647.29295,508.0344,1869.5166,801.2068,755.71645,5,4,10
"ZNF45",0.491616491421695,0.986110417948104,0.333022786964941,206.30768,142.66715,213.43246,42.7591237467444,5.57836643120845,27.8240588376606,112.7557,136.617025,128.947225,278.4161,148.002675,292.668225,5,4,10
"ZNF133",0.878156368475043,0.898456547598145,0.988738260851596,885.24668,695.674575,744.83956,267.554750218144,176.719320362745,199.125686735909,523.9386,437.01025,519.913325,897.8691,866.728525,680.790625,5,4,10
"ZNF436",0.994298887087523,0.59279526368,0.707121755033787,384.70166,410.107225,586.54573,57.2940530074248,66.238551466428,152.527638878079,325.2033,309.46795,300.54515,391.0093,516.550825,624.1497,5,4,10
"ZNF484",0.0312628878723072,0.00765475602531229,0.998351793853417,73.73328,40.18345,39.60964,9.60305411556136,5.56561191761517,5.59172968988229,67.7507,36.04295,33.69915,77.8653,43.40435,49.877225,5,4,10
"ZNF780B",0.995543459446378,0.872508793757523,0.840508673009058,206.41582,200.008925,235.45021,43.6656817004888,32.7783373209954,37.8702850839443,163.505,178.207975,126.03545,255.6252,226.984,333.9275,5,4,10
"ZNF557",0.766204678445613,0.997554491436981,0.747638844094043,153.88742,130.07795,152.03972,25.6967250135577,28.1312892063416,14.2553198520786,115.6278,102.65845,128.339825,156.031,157.80735,183.5372,5,4,10
"ZNF337",0.598258027375009,0.304103140664498,0.951007660969831,807.50384,579.47125,517.55428,202.315594242549,182.643867531094,88.0728042838484,487.0461,391.69865,376.106525,918.4992,628.8717,573.42395,5,4,10
"ZNF317",0.941976602493753,0.689919296714632,0.502520048631134,712.19878,627.982625,885.3437,114.71892252114,42.9624941165814,150.231928543343,562.5231,555.4494,626.738425,748.9203,700.352375,1003.477025,5,4,10
"ZNF426",0.998142217786764,0.288227619594431,0.372118527784055,40.21502,41.975125,78.97029,13.4165000460776,12.5161934962522,17.3764139511801,30.625,31.844075,40.80655,65.2896,48.50945,128.828675,5,4,10
"ZNF331",0.386072724056677,0.882977508451455,0.52985287190995,306.24936,487.575975,358.32142,71.7552711946419,138.602293251329,57.9094153486859,158.9883,278.7404,207.841875,367.0232,699.611775,465.6452,5,4,10
"ZNF227",0.987419672316008,0.247056322438037,0.377519877110664,176.93698,187.581225,272.62546,63.5418243784627,15.8002748170918,31.8916573224521,83.5227,163.385075,223.389675,292.0862,213.15245,318.3097,5,4,10
"ZNF141",0.749675698648201,0.336801279483755,0.862029759436264,184.617,135.46775,104.49749,72.6697841843637,54.4451270614812,14.9182131370531,77.8311,72.36,80.81905,256.1363,165.2749,140.27315,5,4,10
"ZNF304",0.825294740491313,0.188040348393661,0.56835641977386,110.74982,166.5059,251.91602,57.1815890952796,21.0847226802963,51.9180264987879,23.6648,137.053725,132.9343,159.3508,201.119325,304.29265,5,4,10
"ZNF132",0.964134766736024,0.983793740180321,0.990339265726937,41.89868,36.2292,38.80463,21.2995060790245,2.93725900004295,9.44717779618219,16.8224,31.80455,20.1991,29.2329,41.20075,52.06905,5,4,10
"ZNF20",0.474173356099968,0.005389102908951,0.130672336760617,106.7036,151.126175,218.71172,19.0047959799362,3.32633644980354,21.5911447928945,70.2687,150.069075,168.0877,115.8879,155.11205,248.711075,5,4,10
"ZNF670",0.990195397719899,0.113626830790472,0.192523752083858,47.77226,52.820225,113.65131,20.909166724205,13.2834764790306,21.0297308084766,20.8807,37.39335,68.853525,77.9749,57.347575,144.866825,5,4,10
"ZFP37",0.878918826114738,0.30527171471283,0.670809229380883,43.83704,55.731875,74.35055,17.6785200820261,11.8261270587892,12.1912484386068,16.8224,36.740225,49.40645,65.2896,71.1383,97.33435,5,4,10
"ZNF189",0.996929528511694,0.754604239947318,0.736439914880551,394.26478,402.8655,326.44051,52.2700720851655,123.652218046867,50.9158141456386,357.7556,284.8689,191.60815,426.7798,448.7313,431.520725,5,4,10
"ZNF434",0.406443426534305,0.177951469120445,0.968065461289962,227.73512,329.13405,345.62573,53.0867217492416,21.0855024272801,40.6950470780497,142.0561,297.99745,273.73785,244.8058,362.81375,423.812925,5,4,10
"ZNF287",0.607091170795886,0.347273175663334,0.970905255680773,147.91718,118.760375,112.60349,22.2510724897116,11.1180340652305,15.2418103432007,111.3636,115.104625,78.579675,188.7986,129.9028,133.725425,5,4,10
"ZIM3",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,5,4,10
"ZFP14",0.423942558170749,0.694623983425082,0.770287507217461,123.44394,163.206925,144.25173,18.2726840904833,22.4487144671425,15.4097578912054,93.4579,132.09555,110.4795,121.9512,184.522975,175.9374,5,4,10
"ZNF473",0.677769738776361,0.0212816108773924,0.193308782876834,192.9687,246.4016,347.45469,24.3336223088138,35.1374862726642,35.5182220637221,157.0093,216.8604,258.1134,224.2715,258.82535,426.534925,5,4,10
"ZNF614",0.999259068556229,0.167422928149536,0.225251916596381,150.05176,153.10085,279.88547,41.9846058828185,12.969021517222,48.1425402075938,104.6729,142.222025,188.361975,212.0989,168.117875,330.8253,5,4,10
"POGK",0.995284652583892,0.758023846113722,0.727714498572218,1608.616,1550.342125,1976.22462,548.710410427689,335.111965019013,273.054781710885,487.2158,1183.670375,1264.028,2189.5979,1617.63485,2847.277825,5,4,10
"ZNF514",0.82378369406195,0.997163594629415,0.741937671960271,173.97504,215.4058,169.90624,32.9431688772741,18.1108059259751,40.2361453558425,129.178,199.617575,90.925825,196.3726,233.593475,242.73465,5,4,10
"ZNF300",0.930373030505948,0.75810945797871,0.965934041494973,246.97194,200.4072,171.98382,104.163641313275,103.376915124517,51.7335806618461,4.7953,101.0515,14.44575,408.3183,254.81385,289.4805,5,4,10
"RBAK",0.567605643433693,0.209889118611644,0.885864031518856,324.3891,442.2263,489.5888,70.0532004110091,35.0699854917516,62.3463092509466,196.2617,396.979025,434.0756,376.2449,464.816225,610.230275,5,4,10
"ZNF92",0.636424077365027,0.0492004910144672,0.387106555012756,156.0032,202.176325,262.1839,36.6104913017703,23.2778735596838,25.0374357208516,119.6262,179.744825,215.13645,190.6052,211.88065,311.6055,5,4,10
"ZNF157",0.375421845481977,0.44730215506894,0.910746793488033,0.60772,3.355825,2.62909,0.60772,2.14360326956545,0.936695423929845,0,1.203525,0.424575,0,3.8119,4.2804,5,4,10
"ZNF182",0.559677962299328,0.939180959298823,0.664270819087446,165.8891,211.6813,177.9714,29.8965481450786,40.9421707462082,18.2974817683746,152.6649,176.469375,158.7748,181.3084,225.610925,203.81045,5,4,10
"ZNF673",0.999637513569411,0.608938030121041,0.634712951166216,240.1606,241.842325,188.52025,55.5123639679937,76.4036779581037,15.3591314172475,145.7027,130.77505,155.60535,328.5538,307.253025,213.140875,5,4,10
"ZNF41",0.943005137554382,0.893433569264842,0.713846996420693,130.37946,116.021275,146.65403,41.4740213505587,9.19289620534745,19.2006460741128,52.8977,101.1415,108.27425,203.9838,127.608075,194.799525,5,4,10
"ZNF7",0.999910352556832,0.673822949828089,0.720617910268603,462.4829,464.04135,548.04606,106.175331792922,62.7164251507065,53.5823634908212,318.7783,397.97025,445.373975,587.2985,544.01425,658.885625,5,4,10
"ZNF214",0.840038145789931,0.789292937719641,0.999505437233432,18.78212,29.598325,29.0931,9.54581503924102,17.7575579071924,9.06638700031912,1.8443,11.744025,6.10275,30.7136,36.5104,47.457525,5,4,10
"ZNF215",0.989329092575236,0.921914075863395,0.865312479401822,15.59182,17.3126,11.71484,9.37203316662932,13.4033050782882,4.07454539277969,1.392,1.503625,2.915025,28.0036,21.294125,14.92115,5,4,10
"ZNF547",0.999473243091523,0.927642062727938,0.949368085387199,78.16686,77.312125,69.81366,18.7396800437894,28.6163705779686,10.7130321797249,35.8898,48.100525,43.532425,100.798,93.32085,99.359225,5,4,10
"ZNF773",0.997622450882526,0.295986682197431,0.313678936363788,66.14788,63.856225,110.227,23.9572526574397,11.2079752725738,18.3348893065592,31.7757,45.56965,88.767125,91.1103,80.023375,155.196625,5,4,10
"ZNF776",0.711155751093423,0.0797606077339383,0.437978833105554,142.30648,233.4303,360.5521,73.1783195912792,24.6846360234121,62.5698637357883,9.7443,191.16715,262.28785,218.4508,275.6072,436.05125,5,4,10
"ZNF256",0.992154565566221,0.0972883361114957,0.102584191845775,61.08804,55.24265,149.87947,24.7065987662527,19.135795564182,27.5664777417349,18.9702,37.197,86.55315,106.5421,80.4596,199.7917,5,4,10
"ZNF599",0.64286252982079,0.20632279280069,0.810467401469163,63.70662,84.91245,97.71056,22.4697720570637,12.0524378267428,9.14648704144809,41.7614,76.1804,79.052275,98.4876,95.7261,104.4312,5,4,10
"ZNF18",0.203932242497673,0.0860321277696129,0.995512897061818,408.01214,233.999425,226.26178,99.9022338568893,67.610647330769,29.9946035845924,263.776,167.340625,160.45425,606.9317,244.2816,321.62875,5,4,10
"ZKSCAN2",0.98437590701577,0.752793920939692,0.670769197192444,191.20566,176.614775,242.25134,45.3741326391436,45.8202935070327,46.9475829735537,115.0867,117.506925,150.644575,207.4766,232.52805,301.61055,5,4,10
"ZNF689",0.847265163423149,0.313259775920484,0.725241535963687,53.57998,74.07375,99.36771,29.4877672475283,26.8241188694211,16.0214288466725,0,40.689275,72.062825,110.2914,115.369975,133.295075,5,4,10
"ZNF19",0.990367661714352,0.82544559910534,0.916302424061615,103.24896,99.484,89.4799,21.4495666232351,21.1036712173893,12.5360197828409,63.5514,67.33255,70.021325,142.3948,135.3686,112.02835,5,4,10
"ZNF230",0.993743820579004,0.606243482941724,0.722635063997111,83.89934,85.868075,98.49362,13.8328473445491,14.1949659813714,8.06679535054107,62.642,73.779425,88.030975,92.1409,91.41555,111.2907,5,4,10
"ZNF222",0.981576531956924,0.351091310493064,0.303970145886052,48.37898,45.30515,67.87002,16.3372176853159,9.86911166134859,6.18340265299509,16.7045,35.729675,56.94635,62.9214,53.317925,80.895525,5,4,10
"ZNF221",0.579259282359129,0.825346150314452,0.822401730770912,11.91108,6.892025,9.50992,5.12130911343965,2.26947866126966,1.78129686482131,4.9378,4.22545,4.867,19.55,8.973075,14.2618,5,4,10
"ZNF233",0.852862879921523,0.951492595521894,0.940592909178659,31.221,22.1943,27.11648,14.1974313675397,7.31063314745492,7.64263407318591,9.9594,16.1782,5.96655,32.2856,26.3214,51.26385,5,4,10
"ZNF235",0.792192681278024,0.999698378517739,0.729440072628218,69.33666,53.83655,69.78856,17.4436547673244,10.820857471299,11.7445393521528,43.1534,43.468525,42.049325,73.8288,57.258125,92.993725,5,4,10
"ZNF208",0.874458810915849,0.341164565290879,0.721020349354961,14.77578,9.847975,3.01794,11.3637955138853,8.20238383127887,1.18634642347372,0.9033,0.9307,0.454075,8.7361,11.029275,3.9739,5,4,10
"ZNF714",0.248703989936083,0.860843613853893,0.36302054264276,226.94314,102.30665,194.915,37.8681518538019,26.004988114126,42.4912839793423,183.6961,63.7131,92.502725,254.2056,145.08135,300.33975,5,4,10
"ZNF394",0.427912694735108,0.0892648042822676,0.791963286682554,796.2504,592.82325,500.70384,180.908225762454,58.9838184514688,47.8986629542672,500.9971,495.7352,374.042125,915.8879,690.56245,545.478375,5,4,10
"ZNF333",0.517707811887076,0.824995032790345,0.757555699579121,120.61492,171.57985,142.76068,27.8896380946114,57.5580451362579,14.4110713068714,82.6263,106.3239,123.85955,132.7913,187.1889,157.822275,5,4,10
"ZNF382",0.986539042139991,0.32627655432208,0.296003117250076,28.27422,26.3581,43.03527,7.39679101816457,7.69571524821876,6.23690630412672,16.2602,14.90445,33.137775,42.062,33.2318,58.076675,5,4,10
"ZNF577",0.996348658895626,0.434818744646307,0.54088509223321,271.72126,263.992875,173.82355,63.195268209919,89.4153506909037,40.0251063344698,174.0056,176.7983,100.996275,311.8412,278.316925,251.927425,5,4,10
"ZNF75A",0.990875118462376,0.576314334708647,0.710378008193897,232.20866,246.19315,322.36392,65.3571770053114,101.611794598409,48.1460778327576,149.7602,133.87075,204.2459,330.8328,274.4045,455.982925,5,4,10
"ZNF496",0.456996357575576,0.887742720901567,0.195032821322542,422.17566,275.102325,467.97081,98.9489991383925,38.0557968831595,57.7910974413773,346.6192,251.844275,318.955125,421.9845,312.05295,575.687725,5,4,10
"ZNF2",0.223762874426923,0.902637954753428,0.288906782743006,171.64546,124.014775,161.93949,19.5538761244056,14.4225051634228,13.6278454353125,150.8582,111.696575,139.821575,179.5738,142.2581,163.736225,5,4,10
"ZNF589",0.72221478228386,0.934835164627176,0.46726806385252,581.22526,350.5152,666.20626,159.069841746896,98.2929048614989,167.170451315409,341.4634,225.6089,417.82575,725.2555,457.28115,690.729125,5,4,10
"PRDM9",1,0.580994841836678,0.62638143119387,0,0,0.13834,0,0,0.105372853556628,0,0,0,0,0,0,5,4,10
"ZNF12",0.288698303573524,0.302641822346494,0.932923679854569,397.92148,562.41115,529.44271,93.6180969892969,28.2386526063273,48.0585332499476,272.8972,532.923075,507.69305,430.4685,584.308925,590.233175,5,4,10
"ZNF202",0.361395251103197,0.347147950580956,0.962045913284657,442.76984,253.1639,284.71358,155.727229815837,67.7753973456691,34.4074502286732,256.3859,185.77525,188.156075,473.2954,255.82935,375.357,5,4,10
"ZNF3",0.833838149917935,0.416226372527674,0.84932192876181,1357.89804,1210.087075,1086.5816,223.268542305607,167.400410932398,105.154365496504,1115.4838,960.967,842.05905,1413.9003,1492.643975,1274.286725,5,4,10
"ZNF606",0.997265521150226,0.314919814378981,0.408368741217199,263.89524,270.596125,380.72102,68.2485730811612,48.8101701675715,47.0985630046343,154.1866,217.410475,271.0616,336.8749,301.7125,453.984575,5,4,10
"ZNF91",0.902621420707964,0.589626680268034,0.902878495139691,225.32662,255.95005,282.91956,56.1432417407688,25.4193432984443,34.5470072165969,126.4679,249.90185,257.436125,326.8167,279.22285,350.2816,5,4,10
"ZNF226",0.899043004575441,0.992231658420446,0.816723425217464,288.86624,316.099275,282.86683,25.8308922763539,69.7025154680993,26.6648867644742,257.4526,245.1818,216.272825,329.9147,370.539825,339.85895,5,4,10
"ZNF229",0.991856175712846,0.939938514778323,0.895496558898105,10.08648,7.868475,15.07974,8.62793040429743,4.50014637787391,10.5699558375846,0,2.0048,0.605275,4.5167,10.388475,5.171525,5,4,10
"ZNF180",0.989535070664148,0.44758081156651,0.412696347831427,123.00182,116.8511,168.08604,31.6012351598225,18.3457307084873,22.7138722108328,87.6242,97.351675,112.821425,171.1546,138.277725,204.49995,5,4,10
"ZNF641",0.770256354329712,0.99956353520786,0.73148525304387,88.5336,58.0837,87.52567,38.2408231944214,20.0214225411183,19.5412106510719,24.3902,37.2434,36.6885,123.5706,63.9875,145.09345,5,4,10
"ZNF610",0.999661686677677,0.0271917864443582,0.0438401414581425,74.87798,75.67275,150.60128,26.5046080446665,9.5047698615397,15.441319080152,28.0374,65.369425,124.6025,86.6839,89.624975,192.1748,5,4,10
"ZNF528",0.99950813563595,0.94702866053897,0.964177466368156,254.51354,258.075875,285.16129,58.1104895276971,77.8098727598923,63.7205224954174,222.7272,191.213975,120.5248,289.9299,334.17715,399.258725,5,4,10
"ZNF701",0.797473544780483,0.534658241050081,0.221490997085056,81.38956,63.3702,106.19229,18.9652874653826,8.34894611742504,14.7847093582409,48.5981,52.880275,88.0434,98.4876,70.550475,128.000925,5,4,10
"ZNF283",0.845868436155345,0.673024862889755,0.352907088153641,46.40804,38.488425,56.42992,9.44403531741596,8.52417579958858,7.15506043455803,40.6504,24.92395,42.42915,54.3158,51.621875,68.04385,5,4,10
"ZNF558",0.813104572783845,0.558969844014662,0.960645972184306,323.50126,407.1951,439.52937,61.9285087518874,149.053795237855,58.8072658979069,246.8901,212.6878,337.001325,413.8694,491.81675,587.517575,5,4,10
"ZNF597",0.984880403601548,0.693492398828479,0.616331296926523,30.16742,27.41035,41.33161,7.28545577149433,4.91148796267485,9.67224570003667,26.1682,20.308775,30.2596,33.4237,35.075375,47.38325,5,4,10
"ZNF30",0.874945189193196,0.285083835317667,0.140059719454302,75.97916,65.321375,103.67532,17.9426722007231,9.06346089750626,10.0523936538938,52.3364,56.63675,84.93505,78.5688,67.175875,132.766225,5,4,10
"ZNF354A",0.674962869870057,0.0278633661442151,0.237426760815232,197.09204,269.8787,397.04819,26.1643372175486,61.6384851195123,46.9100591246849,153.4517,191.85645,291.473425,253.8392,319.6585,445.487175,5,4,10
"ZNF764",0.654116859791108,0.828112552196823,0.888797703328453,296.8155,230.136925,260.81038,31.3851780428915,42.5110000231778,41.9242194515236,263.3714,167.40615,216.328175,342.0561,285.832525,268.06995,5,4,10
"ZNF747",0.988110278460354,0.556669694420815,0.704692695977649,208.59982,220.85645,279.99323,39.1652770308522,40.5867254968604,46.6143658487477,148.9488,194.00755,199.49575,217.7055,248.23945,359.1404,5,4,10
"ZNF778",0.195030015930967,0.724794418277158,0.390502334722493,88.60524,40.00245,71.75818,23.3944460012756,10.1298572975717,12.110111536231,56.9106,27.21905,41.856425,135.0055,53.2381,87.652475,5,4,10
"ZNF212",0.327553536677758,0.965345053879718,0.168220516256671,523.96624,694.928875,500.03642,84.5835940007198,106.035411983642,46.9362843132872,454.3812,585.591475,418.601675,681.4168,740.47025,538.9742,5,4,10
"ZNF282",0.165380267716473,0.986534428172283,0.0814060278368217,1264.55716,1887.96785,1222.95679,136.529347210153,384.71021838034,133.387111296241,1178.6155,1518.19565,958.0543,1350.2838,2074.5518,1397.671475,5,4,10
"ZNF160",0.879021998586363,0.931572362972588,0.974186980798202,626.47658,554.1474,582.77591,98.035138890203,110.697836229636,70.6496638360288,408.7053,425.98075,476.357475,755.1402,663.10495,766.588125,5,4,10
"ZNF415",0.98866725358233,0.985714931092263,0.999900136993802,174.2401,183.6683,182.89026,49.5545977920616,42.0960079809832,30.2566218051527,128.3829,142.104275,112.48335,224.1193,244.345125,237.467275,5,4,10
"ZNF439",0.453561578968659,0.384479223443528,0.989928183121319,76.32376,130.9892,125.67494,21.3406534227422,25.919634475657,24.2891016792132,40.3693,116.49815,77.4351,108.6317,156.9185,169.60785,5,4,10
"ZNF440",0.95285930527046,0.146593117368323,0.313910857010706,184.58034,211.036525,329.67083,49.1714695885795,45.4840620895821,48.3095224915637,99.0654,153.2895,269.00565,293.2497,248.652575,402.635375,5,4,10
"ZNF562",0.904258334696228,0.603342064365379,0.370470880440916,355.32818,303.3115,451.79096,63.0236932402838,50.4110664679559,67.7870509202904,304.2446,220.5379,355.808025,334.5794,375.393,560.66985,5,4,10
"ZNF561",0.997398740716234,0.238296178001922,0.322080388698334,604.97552,615.30005,812.54928,75.7986352851448,100.884275067405,79.2373391829983,583.2669,472.45345,645.306475,692.7333,693.6897,965.170675,5,4,10
"ZNF584",0.90721312017535,0.3585802758371,0.691065803478742,177.55782,194.376075,223.53383,9.62000692283535,5.06538366963698,24.5881867680037,167.8347,188.816775,182.349625,186.9159,199.9635,285.999575,5,4,10
"ZNF274",0.752918451113476,0.294451478406879,0.813972239684132,202.2825,279.258775,336.92206,68.315725026168,25.2957854209081,57.7894022204941,127.1028,243.02495,229.21135,243.9024,309.556025,478.96295,5,4,10
"ZIK1",0.524897699193444,0.315296503939083,0.989297286746392,21.87296,6.1839,4.4337,18.7391925301652,2.52189716119961,0.883018428271271,0,2.101025,2.611575,9.9368,9.345825,6.4733,5,4,10
"ZNF540",0.53743384642421,0.199920103344581,0.898807575760032,93.94326,49.69345,33.79408,49.7342712564545,16.1708645531864,8.61968278428698,27.1003,33.149475,19.5326,80.7386,66.035275,36.371175,5,4,10
"ZNF570",0.48910687139664,0.831354320913399,0.181936645818924,36.64162,23.618225,41.95019,8.79038810817816,6.1013784357,5.20598897724641,18.9702,13.754,28.60335,50.4529,31.704175,54.4248,5,4,10
"ZNF57",0.59335881320305,0.324147145797923,0.965748056882447,95.213,133.30455,141.8448,20.341696735892,33.3619476024582,18.5560164996274,75.8808,98.97895,112.872225,99.5942,150.0804,158.797975,5,4,10
"ZNF556",0.91325110700944,0.122107167921943,0.326385103969147,1.75826,5.349175,16.86463,1.24783222253635,4.14998162292618,5.30291474926866,0,0.921375,1.3059,1.392,6.27235,31.42585,5,4,10
