"gene","p-adj-Grade 2-Grade 1","p-adj-Grade 3-Grade 1","p-adj-Grade 3-Grade 2","mean-Grade 1","mean-Grade 2","mean-Grade 3","SEM-Grade 1","SEM-Grade 2","SEM-Grade 3","Q1-Grade 1","Q1-Grade 2","Q1-Grade 3","Q3-Grade 1","Q3-Grade 2","Q3-Grade 3","count-Grade 1","count-Grade 2","count-Grade 3"
"ZNF195",0.998585211941748,0.839860723127647,0.887793549121373,394.88378,402.3798,463.23097,112.920600869524,111.404324892072,64.4615683895521,207.4766,273.878075,384.204425,454.3812,439.198225,600.075825,5,4,10
"ZNF263",0.322558977996601,0.27140225636367,0.978312795791725,1052.44808,752.110225,787.63333,221.092775196338,76.1873172700064,66.7597773696825,670.28,696.73605,680.39855,1365.3832,817.195575,855.227575,5,4,10
"ZNF200",0.215558860091675,0.0731993956871732,0.975852361215702,139.08584,240.257025,250.96022,43.4675858955107,35.468150275338,26.8827066003316,50.1136,188.41805,188.9736,221.3205,275.797225,313.245625,5,4,10
"ZNF582",0.985249617521553,0.542723675353786,0.70317930975506,20.31454,22.55365,32.27555,10.1030632652478,8.01265473365933,6.49379479685115,9.0334,12.323925,16.79965,19.4886,32.046525,45.9759,5,4,10
"ZNF285",0.823363811035153,0.805276079326953,0.995229073782636,59.08602,36.2424,39.38262,35.3243628949681,25.6070225845372,14.5782476628389,1.8443,3.145225,3.208175,83.183,49.914475,51.74095,5,4,10
"ZNF275",0.796031158275009,0.668481667641674,0.300769058103064,680.92382,812.54535,537.28925,139.186911916036,213.561145548195,76.8421826502594,511.9882,602.59235,411.2616,969.3286,956.02505,554.2134,5,4,10
"ZNF37A",0.560810368088668,0.295186372915013,0.965981659342553,244.17474,320.627275,336.82331,42.3170156512082,19.6748868692798,40.8406657767025,196.2617,304.95735,285.226875,284.1136,338.814725,402.13925,5,4,10
"ZNF510",0.996802700681153,0.961185176993518,0.985651011982472,194.16044,198.061925,205.37432,25.445879805945,18.3287255393174,29.0925623335541,149.0515,167.8987,141.9602,204.3526,221.313275,259.680575,5,4,10
"ZNF506",0.896400336122237,0.692441119847152,0.963947187866212,227.41514,300.33485,337.50691,139.913260102853,97.4776114131727,69.9662017440142,32.5203,235.082175,197.659575,286.3926,428.444325,468.172725,5,4,10
"ZNF324",0.653244511009576,0.0950770700980361,0.551308458947866,130.89166,187.15475,246.16752,31.9726277043599,24.469559590387,35.5913684358528,109.3044,154.108675,168.38345,168.2036,204.218225,312.632475,5,4,10
"ZNF671",0.944820655014437,0.99878061896988,0.944990925330235,88.58844,68.234975,86.15642,30.4999239379478,42.483159879835,33.708970003325,21.6802,18.79325,10.743125,139.2045,79.314225,125.969125,5,4,10
"ZNF416",0.966839215571346,0.129970880141669,0.103697265718885,85.41356,74.587575,158.9884,17.6359157877781,17.4608742314722,25.4068247645304,62.3386,63.81705,91.251225,122.5,89.108075,201.939875,5,4,10
"ZNF586",0.981880513468138,0.345935271314749,0.300381777334482,131.2868,113.69275,244.64066,21.1717743217473,32.7887617599511,58.6493148227008,119.6262,79.646925,114.51565,153.8178,150.705725,286.41735,5,4,10
"ZNF446",0.482216603100188,0.194171330450467,0.934832970547057,593.2448,459.540975,424.48591,97.1683353091479,72.9961418650143,47.698778884238,463.0804,346.1618,319.8504,788.6493,533.938675,537.7677,5,4,10
"ZNF8",0.872316107428743,0.889157431120913,0.589796021667884,104.1823,83.42565,119.88907,25.6652303238253,8.45019212587304,22.9087607386153,80.3394,75.219575,68.246525,118.1495,85.216425,130.805725,5,4,10
"ZNF264",0.805321405806866,0.523368258458823,0.948713433580916,375.32158,478.341075,522.8982,59.9978355617717,184.122681901798,72.1313151577532,299.2897,265.559375,364.737425,407.2298,695.6331,628.85905,5,4,10
"ZNF213",0.736755719114361,0.206450339526665,0.0578320620128078,802.77114,898.951475,616.48928,63.2114473741711,138.528902388764,54.9117396210396,687.938,665.746275,548.374325,895.3271,1105.7628,644.19645,5,4,10
"ZNF343",0.92022606067486,0.489305274030454,0.307663906301365,251.83962,231.01645,302.7594,41.1454379557856,17.5566542875961,26.6908756529143,179.4393,227.3008,261.12805,331.5924,250.1992,341.93315,5,4,10
"ZNF302",0.496539415777924,0.423738656860839,0.992234904970972,249.13856,392.1712,379.16566,81.1461007810332,130.333759554672,48.4246190974068,90.3342,224.890225,243.62555,364.486,462.006575,494.95475,5,4,10
"ZNF268",0.989069350720341,0.977846739026718,0.93607305133818,293.0488,280.78325,307.35217,65.0477180249392,27.5087191234737,44.0231774384081,262.6337,247.3595,213.9754,358.6269,294.9887,403.09405,5,4,10
"ZNF184",0.555294393276239,0.0379903479326849,0.402141614633526,139.68838,222.011225,313.34395,58.2377233970508,19.4124166727714,40.1046251280773,30.625,205.716575,242.876175,253.412,244.1115,396.49115,5,4,10
"ZNF500",0.533251712561217,0.107016309945795,0.724156840931477,162.88454,219.4255,254.78616,43.2837171695154,50.805423782719,17.3567537961593,75.8808,147.526825,208.795625,210.6234,265.372725,296.852125,5,4,10
"ZNF419",0.747231437432412,0.658250943253811,0.254340747754234,200.80766,149.893975,250.82033,46.6171107167165,50.6565213647492,32.7905200123588,109.5537,89.25445,179.511625,279.9354,180.593875,320.8461,5,4,10
"ZNF175",0.99738556825392,0.985299760977363,0.99701281164681,83.4039,80.748625,78.24525,26.4963799679881,27.3928692613721,18.1781388941299,51.5057,65.74635,33.51625,114.0187,106.929375,105.488175,5,4,10
"ZNF14",0.794684267419353,0.0168259886542563,0.109276270056942,135.77948,173.387325,283.47283,11.9357953307855,44.7394097595989,31.960949605424,118.4065,116.239475,243.654025,150.4131,209.84485,337.4812,5,4,10
"ZNF85",0.957356054328278,0.266244517141581,0.481251556627004,97.16252,111.815775,165.99083,15.000056487407,39.0310724241891,28.5814416461764,84.1121,65.681925,97.4456,110.5308,137.2396,220.712775,5,4,10
"ZKSCAN1",0.689623072027077,0.977422626342125,0.509545008161452,507.55,708.2191,467.4048,111.789508198458,247.170430599216,109.997507931457,371.6761,306.850375,246.971225,670.7815,1117.824475,583.58585,5,4,10
"ZNF862",0.985186199354527,0.11100651888898,0.199762792894046,953.29836,911.103925,503.19935,240.207798882036,130.004701703204,104.312227202997,702.8004,794.4033,329.470975,1000.8805,1008.860075,522.067025,5,4,10
"ZNF684",0.897346163668549,0.252140080704302,0.570229639102282,34.1448,39.95095,51.79038,8.69864047245315,10.0508048072862,6.08421204453333,27.1003,24.592525,37.8631,45.7396,52.213025,59.902175,5,4,10
