"gene","p-adj-Notassigned-CN high","mean-CN high","mean-Notassigned","SEM-CN high","SEM-Notassigned","Q1-CN high","Q1-Notassigned","Q3-CN high","Q3-Notassigned","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF195",0.054212373955513,42.607,454.091155555556,NA,45.6495868583788,42.607,304.584325,42.607,600.075825,258.348909090909,438.01404027027,242.236,419.12715,152.53815,306.48095,315.699975,531.885975,44.6003726966724,10.7099009626287,1.69543599704592,1.73024302746082,0.761656323444854,0.790974690976434,"UCEC"
"ZNF263",0.326276738420362,1154.7211,832.905194444444,NA,73.0397228907961,1154.7211,652.086575,1154.7211,910.253725,764.952227272727,600.296557567568,740.9772,585.40365,695.3957,820.5476,507.493625,679.134625,35.8083427790586,7.73915340814938,0.784750388540989,0.79004273005971,-0.349694256781126,-0.339997410232921,"UCEC"
"ZNF200",0.262877081041956,113.3779,225.148977777778,NA,22.1435046438158,113.3779,179.48215,113.3779,258.01225,177.504318181818,247.896239459459,168.5668,237.2726,151.7086,190.976,186.055775,289.7198,10.1926486197635,4.51636401377136,1.39656455684384,1.40758797105954,0.481882264406127,0.493225090295062,"UCEC"
"ZNF582",0.0701117389592809,62.1051,25.1354277777778,NA,4.38842678988534,62.1051,9.5788,62.1051,37.46455,74.9406,31.2778418918919,71.2042,27.26975,60.8816,85.8123,13.392,44.555575,5.34086124489981,1.23687603022181,0.417368447702472,0.382979515253314,-1.26060655539526,-1.38466086731367,"UCEC"
"ZNF285",0.14560741599914,122.0437,39.5656777777778,NA,12.4064119312085,122.0437,2.4894,122.0437,51.74095,126.403763636364,53.1056418918919,107.5269,32.11595,97.10615,143.35735,6.4629,75.456275,15.9090219495576,3.75068906400555,0.420127062392425,0.298678284224692,-1.25110237518563,-1.74333574635896,"UCEC"
"ZNF275",0.260093516631538,288.1387,652.197461111111,NA,71.6896261753437,288.1387,444.963475,288.1387,859.0001,1561.11556363636,788.251107027027,923.6641,738.30895,796.23865,1313.0969,556.8421,915.639075,553.13662972221,19.6395131287159,0.504928094619033,0.799326237752447,-0.985850142513362,-0.323143648647242,"UCEC"
"ZNF37A",0.0209344224823532,69.3266,322.349405555556,NA,22.8105913813867,69.3266,282.1884,69.3266,357.436775,572.207190909091,357.437616756757,583.229,339.91385,512.68305,622.7774,265.246925,430.104175,18.8835364630408,6.57794574933023,0.62466467118122,0.582813697535616,-0.678846156392503,-0.778893310253495,"UCEC"
"ZNF510",0.0161427107394925,38.9962,209.877605555556,NA,14.6808128480758,38.9962,167.8429,38.9962,241.208675,369.568272727273,209.508998378378,330.6189,200.0173,297.25665,438.5096,153.617675,252.475925,26.4464685829562,4.03806869944535,0.566902014700239,0.604978420773888,-0.81882869855966,-0.725044411669925,"UCEC"
"ZNF506",0.567583285253039,165.3728,308.228411111111,NA,56.2202428209176,165.3728,43.65845,165.3728,448.106025,487.127736363636,257.745525675676,503.5184,151.63835,419.58975,562.254,52.717325,372.7269,29.2275077252679,14.9921699496808,0.529112810532453,0.301157514799856,-0.918352747132837,-1.73140983586943,"UCEC"
"ZNF324",0.606381103816677,150.2076,206.363605555556,NA,24.5404294068805,150.2076,151.287625,150.2076,234.082475,262.861072727273,268.554350810811,266.0465,237.16235,210.6845,280.9899,189.2622,299.6431,20.6826223013695,6.92663875388116,1.02165888628723,0.891431948926222,0.0309135864827538,-0.165803426811562,"UCEC"
