"gene","p-adj-MSI-L-MSI-H","p-adj-MSS-MSI-H","p-adj-MSS-MSI-L","mean-MSI-H","mean-MSI-L","mean-MSS","SEM-MSI-H","SEM-MSI-L","SEM-MSS","Q1-MSI-H","Q1-MSI-L","Q1-MSS","Q3-MSI-H","Q3-MSI-L","Q3-MSS","count-MSI-H","count-MSI-L","count-MSS"
"ZKSCAN1",0.560985010719281,0.961195279537834,0.642014938464533,585.744914285714,282.7764,537.89072,144.19216314135,149.5592,114.414888822519,307.46075,207.9968,261.16405,814.66575,357.556,653.544225,7,2,10
"ZNF862",0.564378431914472,0.577085810862266,0.227709423412362,635.557714285714,295.5211,840.29548,139.173781907962,70.6086,143.212393243785,382.9997,260.2168,578.745,807.94565,330.8254,964.368875,7,2,10
"ZNF684",0.0461325004545885,0.991100843494955,0.045160545186464,40.2144428571429,76.9143,41.31019,8.23115384198401,18.5773,3.85870548691743,29.21635,67.62565,33.275225,53.08175,86.20295,47.663025,7,2,10
"ZNF430",0.96261719036078,0.670308031966114,0.695386322618152,69.8171,80.39055,48.50255,19.6249859407654,52.52815,14.3250407497132,38.52335,54.126475,17.32595,87.67445,106.654625,68.333225,7,2,10
"ZFP30",0.533770718017725,0.433675845003224,0.944445251209103,188.027557142857,123.58815,142.01689,29.0996736384731,54.80275,22.4726806639303,151.58065,96.186775,107.7891,231.5947,150.989525,131.981675,7,2,10
"ZNF549",0.999373546813477,0.88098370242112,0.960307946297089,181.470157142857,178.89615,158.87778,38.6712972958711,68.75245,28.4432369621665,106.96515,144.519925,91.016575,245.9121,213.272375,196.990175,7,2,10
"ZNF211",0.99686910896581,0.999929823097276,0.997233375329909,230.496771428571,238.01025,231.18756,36.8339141116142,123.94845,42.0672515263839,176.5728,176.036025,124.166075,314.4458,299.984475,324.908125,7,2,10
"ZNF205",0.910193906775841,0.898224982809619,0.760769998365199,816.529957142857,648.07895,927.15789,190.738909763249,130.49945,168.322656406526,529.31765,582.829225,599.639425,851.28295,713.328675,1154.23175,7,2,10
"ZNF45",0.907665540395678,0.340951828285169,0.878798680315304,230.345485714286,202.7206,171.8672,31.7354419626913,90.4002,23.2733260328118,171.7743,157.5205,113.228875,305.58805,247.9207,222.744325,7,2,10
"ZNF133",0.856227676028991,0.330875842208096,0.922665251826131,537.493314285714,772.18555,935.0503,73.0328612317165,82.40735,225.621487133948,381.62775,730.981875,517.418775,603.1452,813.389225,1066.550775,7,2,10
"ZNF436",0.997979762992274,0.677076412966019,0.819553133641388,415.128971428571,396.87405,572.97436,84.7917918696725,189.64725,144.797770053328,268.94885,302.050425,341.6548,429.4151,491.697675,575.736175,7,2,10
"ZNF484",0.886021229863987,0.482392446365326,0.449746704302138,42.7241142857143,34.23385,55.79601,6.08748749596559,13.33705,8.29707682778097,35.3049,27.565325,42.398775,42.2762,40.902375,66.37765,7,2,10
"ZNF780B",0.752194009309917,0.554062179702461,0.996525740897364,255.043214285714,194.7977,201.1719,38.2296391201683,58.0977,33.9057619446476,217.0382,165.74885,117.71585,310.1457,223.84655,258.708,7,2,10
"ZNF557",0.761208970044118,0.44511044999505,0.998195889778311,166.725371428571,138.7388,136.55909,14.7025048076318,0.573299999999989,18.1349723459732,136.06085,138.45215,92.817375,191.9988,139.02545,162.506725,7,2,10
"ZNF337",0.924617853325625,0.351501910380005,0.416119536834944,491.695557142857,388.4059,731.22663,81.0604159875914,12.3124,132.575562998183,350.45015,382.2497,428.9723,559.8179,394.5621,1043.01185,7,2,10
"ZNF317",0.183706331959488,0.676285851124131,0.0624107153410414,807.532714285714,1312.06975,664.94929,80.3936336945711,776.15335,63.4972207112099,655.7217,923.993075,569.1577,947.11935,1700.146425,704.251325,7,2,10
"ZNF426",0.688338995318438,0.869715365420235,0.479020030118931,63.8752,95.66925,52.02136,13.5164654362568,56.48775,15.6945875055079,42.54925,67.425375,19.010775,64.50405,123.913125,75.452275,7,2,10
"ZNF331",0.94889460119428,0.674368728285651,0.669386478197932,331.897342857143,281.44365,417.85962,47.1587216855147,199.16245,73.8474392990227,272.77255,181.862425,197.7564,403.9045,381.024875,635.542275,7,2,10
"ZNF227",0.35018863249653,0.194744005860156,0.944926202210292,290.959571428571,172.2307,198.0086,49.7370977840184,48.0566,26.5183439682504,214.1719,148.2024,156.369875,375.60025,196.259,243.0075,7,2,10
"ZNF141",0.969415031158121,0.986759609518839,0.988169040480703,138.542971428571,118.22605,130.3678,23.6723301508696,24.13355,41.8020699474692,95.7416,106.159275,51.0098,160.62,130.292825,127.2649,7,2,10
"ZNF304",0.433835379446293,0.875343582442947,0.264498343988479,199.830971428571,345.549,164.90181,37.3545181347694,246.2891,40.8222584148932,151.2197,222.40445,50.523625,266.5853,468.69355,248.997075,7,2,10
"ZNF132",0.657379080712076,0.82553846209495,0.853891308438733,31.7598,54.46225,41.12134,4.08053291337576,46.62595,11.2274665372341,24.0984,31.149275,17.52635,35.21915,77.775225,48.262,7,2,10
"ZNF20",0.965929781416704,0.989428119817048,0.935613306649188,173.874328571429,158.50425,179.10111,25.8788207042684,2.34835,26.9074752944706,132.0216,157.330075,144.196225,216.8801,159.678425,189.7811,7,2,10
"ZNF670",0.239549976289514,0.948318558015577,0.158153525005105,79.8297571428571,160.24145,70.73641,11.6993810376336,102.01765,18.2075202704356,70.72195,109.232625,29.412075,98.58475,211.250275,112.07495,7,2,10
"ZFP37",0.685643039564104,0.481434143950806,0.992543378090625,76.5022714285714,51.3597,54.73829,14.6594244610878,3.9065,12.1815096214573,62.2665,49.40645,22.285325,93.26895,53.31295,77.341025,7,2,10
"ZNF189",0.447333639520081,0.993284194721216,0.462189523512332,382.728442857143,216.0481,373.59957,48.3466941797022,39.2958,62.1604510464617,351.394,196.4002,236.752375,414.7689,235.696,482.07195,7,2,10
"ZNF434",0.980942525289111,0.760831622235576,0.963892625104232,336.176214285714,317.41415,292.34073,51.9285243208734,168.08895,29.9911707457862,260.41515,233.369675,247.42865,419.82485,401.458625,366.36365,7,2,10
"ZNF287",0.985021454668445,0.715422366217267,0.94192473919717,133.428928571429,127.2082,115.22434,10.5288607952191,34.0432,17.6935489024371,120.1695,110.1866,76.84555,131.25375,144.2298,134.25155,7,2,10
"ZIM3",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,7,2,10
"ZFP14",0.853027769612035,0.860874300284947,0.972412446245868,134.076442857143,154.80645,146.44167,17.6403629815648,5.04585,16.1872832969454,104.998,152.283525,110.332725,176.5027,157.329375,177.640175,7,2,10
"ZNF473",0.990832129235566,0.899663864899319,0.988361838352434,300.330128571429,288.0434,274.65991,43.3737889046166,143.9424,34.0466356189809,232.76385,216.0722,192.904,356.1342,360.0146,369.919975,7,2,10
"ZNF614",0.544680183744049,0.342193928842549,0.980499840571083,280.732685714286,166.84735,186.26934,67.9538354274585,65.41065,29.5795774721577,181.10345,134.142025,118.9592,327.2232,199.552675,188.885525,7,2,10
"POGK",0.663805825427531,0.997417592531237,0.671612708512178,1703.94534285714,2361.46665,1735.6144,290.572530604505,832.08045,318.942087198577,1230.80325,1945.426425,1160.347725,2354.42805,2777.506875,2603.867975,7,2,10
"ZNF514",0.615868398561846,0.916515361913952,0.748038552567577,199.395928571429,121.1034,179.25825,37.3097504275434,15.3132,34.8091134707573,102.99715,113.4468,104.3875,279.07225,128.76,206.327425,7,2,10
"ZNF300",0.590495705214324,0.306021512862299,0.998043286923028,111.117542857143,255.15635,246.81912,52.1170972482564,47.05885,66.9313459490508,5.1167,231.626925,43.69425,213.92115,278.685775,450.33735,7,2,10
"RBAK",0.931902181699797,0.531735638589156,0.943833486162943,492.463414285714,440.8755,395.77438,81.24359780333,76.1084,50.1717961326033,388.17645,402.8213,359.770625,658.3659,478.9297,502.1091,7,2,10
"ZNF92",0.885496249915955,0.789147777216177,0.997465843243855,240.293871428571,206.8328,211.48376,43.8666636731927,34.8694,21.6190175781016,184.84475,189.3981,167.187275,303.6688,224.2675,260.2733,7,2,10
"ZNF157",0.508216916679841,0.972222723001999,0.406400919803744,2.13868571428571,4.8782,1.80256,1.3911676798781,3.8288,0.621816333047343,0,2.9638,0.096225,2.44345,6.7926,2.73965,7,2,10
"ZNF182",0.963671727804493,0.657550355179253,0.689709688331015,168.349442857143,154.77765,196.78833,18.0013461069266,28.50485,24.2437899042669,155.43325,140.525225,159.072325,189.76605,169.030075,248.3805,7,2,10
"ZNF673",0.921618868175544,0.50059233191848,0.510881227137096,187.945828571429,158.2882,242.11776,21.0501667062929,39.3609,37.3205672142861,160.19635,138.60775,141.30085,222.07655,177.96865,312.177625,7,2,10
"ZNF41",0.733403172383804,0.937404626376711,0.839804660069626,145.965757142857,106.0725,134.86174,23.3139902578122,25.0973,22.3351908787217,100.5372,93.52385,102.6821,196.8564,118.62115,184.188975,7,2,10
"ZNF7",0.605427859807293,0.999768179509811,0.5769814428387,521.763928571429,380.3405,523.6012,74.8220135883905,63.7736,56.3291610439724,407.06315,348.4537,426.37585,626.2865,412.2273,635.383075,7,2,10
"ZNF214",0.0797142134737935,0.143469452668185,0.504170276178629,9.18121428571428,54.35685,33.02527,3.98132984318105,2.23875,9.8062829270496,1.22425,53.237475,11.660925,14.9671,55.476225,45.972225,7,2,10
"ZNF215",0.399391727666582,0.200574102120892,0.971089397867896,4.2336,22.0492,19.06243,1.87159328991561,7.6826,6.82864408102695,1.7217,18.2079,1.6413,3.92475,25.8905,35.57995,7,2,10
"ZNF547",0.999773640459086,0.976371474165751,0.993156774860889,71.2825285714286,71.9549,75.53319,10.2549224871746,29.6824,15.3561127796751,51.82295,57.1137,34.7912,97.09065,86.7961,100.976825,7,2,10
"ZNF773",0.966148662409625,0.616207657673709,0.936062140587657,103.857942857143,92.64095,77.61468,23.5943167044509,7.74765,17.1652634049104,58.79155,88.767125,34.706575,158.17045,96.514775,123.242,7,2,10
