"gene","1-[Unknown]","2-[Unknown]","2-1","3-[Unknown]","3-1","3-2","4-[Unknown]","4-1","4-2","4-3","5-[Unknown]","5-1","5-2","5-3","5-4","mean-[Unknown]","mean-1","mean-2","mean-3","mean-4","mean-5","SEM-[Unknown]","SEM-1","SEM-2","SEM-3","SEM-4","SEM-5","Q1-[Unknown]","Q1-1","Q1-2","Q1-3","Q1-4","Q1-5","Q3-[Unknown]","Q3-1","Q3-2","Q3-3","Q3-4","Q3-5"
"ZNF195",0.999999996489388,0.190442984688207,0.225503087605845,0.600554628821619,0.619596806463111,0.999966307028054,0.933011699939956,0.935991114874429,0.975636968538354,0.996392167360788,0.993312333144989,0.993928386735396,0.74726459624737,0.827387095940684,0.937060302618183,361.518771014493,360.736236170213,446.285833333333,436.03283,405.72555,306.07125,16.3619257656959,16.6385314701921,35.8156175628843,69.5979628983605,41.8336776922168,48.44635,273.0484,279.46755,356.34995,268.31465,325.300125,281.848075,411.6608,401.6737,513.55965,513.093925,503.678075,330.294425
"ZNF263",0.997085929826983,0.999617562067906,0.999999998306631,0.98850032775477,0.999215086052028,0.999437071603803,0.880334472751971,0.964537569074922,0.976969416625044,0.999244408005921,0.970737315708244,0.946739460371325,0.955484034924782,0.918306570699854,0.835304648681584,703.261052173913,684.265482978723,685.802283333333,657.64143,623.71835,822.52905,32.6032178892745,21.785407618195,45.3584309827124,29.5956408704092,36.0796130818384,3.46704999999997,589.3249,563.78925,590.792175,597.484575,577.68775,820.795525,795.9331,798.1399,746.6016,713.113825,718.631825,824.262575
"ZNF200",0.989417918245487,0.749077805261266,0.518035020906561,0.994672255245526,0.999971346276844,0.743015564961081,0.855459585340025,0.688405141710216,0.999999538733632,0.794811992585339,0.999536625509075,0.999986586594013,0.968325320530629,0.999999846039712,0.966450420902145,193.914286956522,199.048529787234,178.121933333333,201.83413,176.74478,204.0053,5.46749245270006,5.03127062773316,15.1087400022273,8.80146737170128,13.1874068602908,7.2212,167.9836,168.95745,155.22005,183.676375,161.81345,200.3947,213.1377,217.5368,193.3904,223.108475,204.406475,207.6159
"ZNF582",0.294851177304498,0.99961808822024,0.865835310307993,0.996830491889278,0.984620015129165,0.999951080969319,0.997843813225104,0.621152962099677,0.991829283227688,0.982114333254953,0.999825961562927,0.965220263239967,0.999162120407536,0.997568711367096,0.999999951619029,32.9206768115942,44.9666553191489,35.4042055555556,37.8428,28.38113,27.1861,2.17703990698848,6.87276874778466,5.30408425518574,6.18930628686824,4.74297833607276,3.8246,18.8861,27.50585,18.168,27.4162,18.596525,25.2738,42.1617,48.7072,52.228025,40.514175,31.840925,29.0984
"ZNF285",0.784017459222737,0.998325319875201,0.791329719227478,0.991759734509769,0.797041340270625,0.999923673426227,0.999329511246781,0.999081166647018,0.992308866381677,0.980921335985897,0.994769621278861,0.99996683870026,0.985830180335726,0.975224414511036,0.99937492739549,43.056952173913,51.3510340425532,39.3204944444444,36.3609,47.00986,55.9294,3.23658796201221,6.47196876994062,6.87039805526642,7.9804719963727,10.608977600213,13.749,22.8903,24.5484,18.486725,18.14835,23.1086,49.0549,56.6191,59.55885,63.193725,46.7674,55.88925,62.8039
"ZNF275",0.764921735296629,0.136529764234595,0.691732158510382,0.763253376520017,0.992514245563557,0.99546613813564,0.657558161098817,0.976123335600339,0.999103529596774,0.999994523298391,0.977613002979365,0.998980334282229,0.999976231901407,0.999998968954122,0.999999999722984,632.595468115942,566.589063829787,461.0027,514.24489,498.93638,495.2766,39.8366752577326,28.7901743391412,33.7868932856072,48.5238453106842,70.4105418404451,27.4359,502.9757,446.43185,392.2689,425.50235,351.148225,481.55865,673.251,628.68565,520.926425,631.8567,650.1662,508.99455
"ZNF37A",0.184029415816476,0.87227287545722,0.994960864882312,0.786495723182178,0.999999999962988,0.999187723442205,0.0648499048973641,0.704126226205343,0.573175417535294,0.868702769408535,0.999983471139994,0.997613353440016,0.999888346872096,0.998398607832973,0.893784819249573,575.294750724638,477.434525531915,509.783372222222,478.36457,366.83842,549.3812,30.9874945964819,24.6887467177051,59.1439233013011,48.5274467556982,48.6277195224123,38.6739,439.317,367.6165,310.401975,367.6622,322.7999,530.04425,665.426,588.09315,631.0409,592.8592,432.521125,568.71815
"ZNF510",0.999998665249971,0.903883738376917,0.939522107696824,0.974317101402782,0.983842505267512,0.999999959296781,0.770083580800031,0.818988279596889,0.997871867750948,0.998066502404435,0.912887452634187,0.906265838380357,0.759833122452341,0.801642474030001,0.65347765658968,294.654166666667,292.566319148936,263.878905555556,266.04345,244.44703,375.977,14.6294825110161,13.8061498774013,32.6967876087134,18.9277836924527,29.3921652032119,110.2405,222.3029,224.4497,184.91115,241.927125,198.2451,320.85675,352.5664,371.48375,308.96265,284.82935,266.8921,431.09725
"ZNF506",0.999982728285187,0.974426797698727,0.960828560325766,0.999999171067071,1,0.991988476867701,0.480484801927518,0.572305979280304,0.327426747575821,0.795288091616485,0.999885843328923,0.999958600995808,0.996088635482799,0.999969905081787,0.993666585119609,398.356997101449,394.218655319149,424.8593,394.33222,318.38628,375.3775,16.7500596486917,15.8655356938564,43.4683753081125,32.5677182376721,33.4146396509135,43.8308,311.0916,331.2044,304.239925,363.03585,242.3637,353.4621,430.5195,457.03915,436.464175,456.271525,403.46855,397.2929
"ZNF324",0.278070613862711,0.964797689617765,0.230825554535555,0.924653720396581,0.999946465879194,0.736884216960707,0.827569214250828,0.184972937869652,0.996132453066102,0.559991296283561,0.880740457142979,0.994652053431424,0.758153350292844,0.991451752655131,0.632221364837259,140.832968115942,157.252814893617,132.060861111111,154.31001,124.03025,173.00315,4.91690478305192,5.36255196187257,10.5031740437487,19.3830482697837,8.25745560152561,6.55275,121.4286,135.85085,99.358425,109.90155,111.284225,169.726775,162.1924,180.6055,162.7792,209.152825,146.2684,176.279525
