"gene","p-adj-2-1","p-adj-3-1","p-adj-3-2","p-adj-4-1","p-adj-4-2","p-adj-4-3","mean-1","mean-2","mean-3","mean-4","SEM-1","SEM-2","SEM-3","SEM-4","Q1-1","Q1-2","Q1-3","Q1-4","Q3-1","Q3-2","Q3-3","Q3-4","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF195",2.87889555528054e-08,0.89733529844844,1.8990158445753e-08,0.758749946461551,7.34473689599779e-05,0.430004258654178,374.155741496599,469.046044444444,363.209082978723,389.988502325581,9.14683829851097,16.2276005929186,8.44574242880635,13.2054002920211,304.4381,377.7792,301.9259,297.8795,411.8308,530.4049,408.748675,459.6707,279.601509722222,393.584038649156,279.29735,370.1165,251.8708,307.720025,308.9534,446.9503,5.1374873831239,5.85345956584637,1.40766063473753,1.32517010992048,0.493299564377168,0.406177567967265,"KIRC"
"ZNF263",0.0105075485201543,0.234983886274972,4.79645787760941e-05,0.852442322091519,0.00299029684568164,0.783954334848766,638.093255102041,690.055314444444,607.044510638298,624.49393255814,10.3864740890244,13.1402570527552,12.1257447689067,13.9570835975173,557.3766,613.46225,530.497825,528.45055,709.63145,731.967425,676.746375,709.45585,535.674933333333,654.943215572233,531.28585,640.872,491.378525,574.4925,566.5078,721.7343,8.11842045568337,6.86062652908743,1.22265048225559,1.20626589245695,0.29001204116372,0.27054794989806,"KIRC"
"ZNF200",0.49302050804066,0.00364917783785712,9.84036263869115e-05,0.519359307276181,0.999997221816188,0.000133459887054266,193.386617687075,186.725308888889,209.380214893617,186.830425581395,2.64389806733209,3.91057917495026,3.72668465351932,4.04760892106541,170.84945,161.258275,189.142825,162.329775,211.70565,209.708525,234.02395,209.066175,163.339208333333,193.443140525328,159.26775,192.6445,140.9493,184.3294,168.7345,214.5733,3.49730272296345,1.67954698331456,1.18430315965877,1.20956376918742,0.244038431433593,0.274486831380896,"KIRC"
"ZNF582",0.0624568216312605,0.776973159619893,0.493419621134853,0.000125295264452596,0.347350643411422,0.0121900785511418,35.5485612244898,30.6505955555556,33.7041159574468,26.9803406976744,1.3213468092173,1.33035465024293,1.48347712054401,1.57347230534197,23.4311,20.811875,22.4809,16.426,43.79405,38.1144,45.84305,35.649425,73.1525319444444,34.9540392120075,74.0719,31.5849,65.5881,81.2444,21.3451,43.8008,1.41972678759803,1.00561961609936,0.477824051784746,0.426408665094321,-1.06544861966732,-1.22969133933815,"KIRC"
"ZNF285",0.999996721255886,0.999728904011498,0.999635858152708,0.0505933283644618,0.0914671059895846,0.108712031200134,46.8168414965986,46.8988255555556,46.4640734042553,36.5652918604651,2.4673488733232,3.26245477611011,2.83703428385681,3.06986930218111,24.436,23.351275,26.036625,14.01925,66.0143,62.441525,58.394525,53.58735,73.4570277777778,48.1811600375235,71.5477,40.4943,61.850925,85.227125,22.8903,64.9351,2.31781695649915,1.47689716000811,0.655909468366745,0.565976264785591,-0.608431393689719,-0.821186542526541,"KIRC"
"ZNF275",0.582217445116165,0.815670985325941,0.212822949899429,6.16800759134506e-06,0.00509720895592547,1.18825250072785e-06,645.877527210884,608.583542222222,671.340104255319,498.236081395349,20.6036187439195,29.3472997845998,15.6475300180166,15.305698128257,528.87465,468.3465,569.327025,416.308425,685.84165,666.70355,763.833625,584.945425,724.963106944444,617.86222739212,723.6172,575.1614,657.29065,798.026875,481.5912,683.8161,15.2470473932382,11.6097499262402,0.852267131214814,0.794842079486226,-0.230622400967716,-0.331259843010506,"KIRC"
"ZNF37A",0.924632062549373,0.00242407835326508,0.0457991678804166,0,3.77556097497234e-10,0.000198009910046815,613.140219727891,597.875053333333,527.349536170213,412.869018604651,16.5669612814668,17.1151265257877,15.9412445870489,21.4930401129163,486.0235,475.1553,441.16105,289.1498,722.11335,725.585325,612.63395,498.737525,529.032490277778,528.337875609756,523.61735,516.4233,456.6921,627.669525,395.814,644.646,14.4876536067737,8.59659295409322,0.998687009435551,0.986260863968698,-0.00189548962855201,-0.0199588079413009,"KIRC"
"ZNF510",1.62361307431969e-06,1.55227755033183e-05,0.96395839452103,0,6.22972798016708e-05,5.58461079991357e-06,337.669436054422,279.020686666667,284.926541489362,222.653672093023,7.55147967605196,8.8363202392992,7.77330639231715,8.46130618208805,278.31965,218.835475,230.46365,171.3315,388.34,334.79735,342.286575,268.25865,338.743883333333,284.303944840525,331.99645,276.1905,294.18355,382.326475,219.7981,343.6714,8.27502636692417,4.14393028718568,0.839288792591311,0.831907991787262,-0.252760778918431,-0.265504118362839,"KIRC"
"ZNF506",0.0286150554458982,0.000232401174694807,6.26208096488057e-09,1.50997244374729e-07,0,0.442488866474239,436.846860544218,475.58615,379.820925531915,356.655219767442,9.00073886480661,12.2968398926406,9.03186853872433,10.468245478621,378.4814,408.2996,316.7216,300.278325,481.77035,515.086175,454.1421,419.20185,423.232366666667,414.503476172608,428.6345,404.5643,378.3097,454.426275,335.016,475.0441,8.3098497911436,5.13473544925512,0.979375654648517,0.943844464223015,-0.0300657609546235,-0.0833789568910834,"KIRC"
"ZNF324",0.999542014323148,0.00220786773373582,0.00577340017677808,0.0751029740466421,0.105793902579856,0.770348097727179,149.698717687075,150.134684444444,135.528759574468,139.842974418605,2.36897175733351,2.78072641284358,3.29825852271004,3.59579439030849,137.12735,134.4482,115.2503,117.077675,165.19965,167.3618,149.906375,153.9383,163.405834722222,146.798342964353,163.05115,145.3955,146.79765,183.068625,125.1603,165.2465,3.03909732400361,1.54313233271827,0.898366592685622,0.891717108404326,-0.154623815259832,-0.165341998007571,"KIRC"
