"gene","p-adj-N1-N0","p-adj-NX-N0","p-adj-NX-N1","mean-N0","mean-N1","mean-NX","SEM-N0","SEM-N1","SEM-NX","Q1-N0","Q1-N1","Q1-NX","Q3-N0","Q3-N1","Q3-NX","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF195",0.68131210413141,0.948351909988931,0.744314778291711,396.855058158996,367.7209,393.158909352518,9.10970111510349,26.9391388858571,7.87595244580586,309.04215,305.8832,309.333625,455.89045,405.384475,439.948125,279.601509722222,393.584038649156,279.29735,370.1165,251.8708,307.720025,308.9534,446.9503,5.1374873831239,5.85345956584637,1.40766063473753,1.32517010992048,0.493299564377168,0.406177567967265,"KIRC"
"ZNF263",0.372231641021544,0.843690283266067,0.273475769369718,653.113860251046,597.9988875,660.903789928058,12.0328423536012,30.2377687295071,8.00836820888725,557.70255,490.822,580.281275,721.2848,681.88395,727.5415,535.674933333333,654.943215572233,531.28585,640.872,491.378525,574.4925,566.5078,721.7343,8.11842045568337,6.86062652908743,1.22265048225559,1.20626589245695,0.29001204116372,0.27054794989806,"KIRC"
"ZNF200",0.854078299295982,0.573004147476694,0.97985906923729,191.465489958159,196.82959375,194.912288489209,2.67472217680207,12.0293583182752,2.15301453628001,165.94965,164.168475,171.319225,213.45325,222.186475,214.53895,163.339208333333,193.443140525328,159.26775,192.6445,140.9493,184.3294,168.7345,214.5733,3.49730272296345,1.67954698331456,1.18430315965877,1.20956376918742,0.244038431433593,0.274486831380896,"KIRC"
"ZNF582",0.126537201738116,0.972520714663902,0.145757420156825,35.5117573221757,23.85,35.0518870503597,1.80701752589095,3.53233736621377,1.11791643273634,20.5612,12.822,22.435375,42.3079,31.69125,45.47585,73.1525319444444,34.9540392120075,74.0719,31.5849,65.5881,81.2444,21.3451,43.8008,1.41972678759803,1.00561961609936,0.477824051784746,0.426408665094321,-1.06544861966732,-1.22969133933815,"KIRC"
"ZNF285",0.729983985820064,0.390843100603263,0.448540346237814,46.2847589958159,39.62646875,50.2212255395683,2.23826642692442,5.48481735644496,2.05099902309263,19.85155,23.013075,26.411875,60.8161,53.8426,66.7476,73.4570277777778,48.1811600375235,71.5477,40.4943,61.850925,85.227125,22.8903,64.9351,2.31781695649915,1.47689716000811,0.655909468366745,0.565976264785591,-0.608431393689719,-0.821186542526541,"KIRC"
"ZNF275",0.82862835055408,0.260036315822107,0.998704287297614,638.631707949791,598.2498125,601.58691942446,19.9111167193647,42.9245852315594,13.9463304994292,485.88215,476.841675,479.334525,699.9598,665.271225,671.911875,724.963106944444,617.86222739212,723.6172,575.1614,657.29065,798.026875,481.5912,683.8161,15.2470473932382,11.6097499262402,0.852267131214814,0.794842079486226,-0.230622400967716,-0.331259843010506,"KIRC"
"ZNF37A",0.993280035253712,0.873569008123894,0.957400520281445,524.535024686193,518.86164375,533.215357553957,14.561026122333,47.2902095690367,10.3944210412957,389.82185,369.8776,408.71325,645.3822,647.0174,636.318225,529.032490277778,528.337875609756,523.61735,516.4233,456.6921,627.669525,395.814,644.646,14.4876536067737,8.59659295409322,0.998687009435551,0.986260863968698,-0.00189548962855201,-0.0199588079413009,"KIRC"
"ZNF510",0.0421575811141423,0.664704343380394,0.084336685486233,289.803847280335,230.2535375,282.552819784173,6.56200285171073,20.6257233471255,5.431381468369,227.7188,183.945725,219.926775,344.90315,284.137975,344.954875,338.743883333333,284.303944840525,331.99645,276.1905,294.18355,382.326475,219.7981,343.6714,8.27502636692417,4.14393028718568,0.839288792591311,0.831907991787262,-0.252760778918431,-0.265504118362839,"KIRC"
"ZNF506",0.0523628672161418,0.557261140102495,0.116080365424661,422.40079916318,351.2966,411.655965827338,8.46485441665525,17.9740281557122,6.48313721617404,333.79015,296.690525,336.81215,482.01465,382.38495,468.579375,423.232366666667,414.503476172608,428.6345,404.5643,378.3097,454.426275,335.016,475.0441,8.3098497911436,5.13473544925512,0.979375654648517,0.943844464223015,-0.0300657609546235,-0.0833789568910834,"KIRC"
"ZNF324",0.0963011886357256,0.0988712240478549,0.0150485992801236,143.893946443515,124.93529375,150.333146043165,2.42224042993491,9.26145828815792,2.00632390827014,119.78205,95.804325,129.41595,160.70725,143.6004,168.9705,163.405834722222,146.798342964353,163.05115,145.3955,146.79765,183.068625,125.1603,165.2465,3.03909732400361,1.54313233271827,0.898366592685622,0.891717108404326,-0.154623815259832,-0.165341998007571,"KIRC"
"ZNF671",0.00747881095942016,0.911772996097676,0.00454297842108198,244.010359832636,159.81490625,247.91049028777,7.03865426043673,21.0632977813057,6.50299577867431,156.5908,94.7798,157.7583,315.5087,187.283225,329.36485,160.401993055556,244.007199061914,174.7674,248.9937,118.17215,202.32955,154.9096,325.0825,6.78623098568976,4.70473222044206,1.52122298740641,1.42471479234686,0.60523164500584,0.510673141137691,"KIRC"
"ZNF416",0.036184905602952,0.67391423778475,0.0156238550415112,118.577127615063,92.14559375,121.665810431655,3.01380274650922,7.33947593619865,2.21007171330527,90.34785,72.700825,94.2996,143.22745,114.40675,146.36485,109.247329166667,119.471464915572,111.10555,117.5416,98.44775,121.505275,91.1392,144.1065,2.40202168519439,1.79960389508146,1.09358705450188,1.05792734926383,0.12906807004227,0.0812405570780283,"KIRC"
"ZNF586",0.258628251148266,0.896780358731903,0.327936174229793,151.042593723849,129.85965625,148.995981654676,3.72833239720467,10.4535304678729,2.85113904610952,113.0079,113.442625,112.3835,179.35265,156.722125,181.20155,135.190655555556,149.430404690432,129.89935,144.7118,110.738525,154.595625,112.3098,179.6536,3.40047996039444,2.26217704072655,1.10533086829381,1.11403020877318,0.144478288708168,0.155788354272513,"KIRC"
"ZNF446",0.136352246675968,0.983713078729896,0.151194156006876,210.665753138075,258.35848125,212.136604316547,6.80165666319824,48.0473347428972,4.78258848752578,151.65665,150.06455,155.00715,240.8933,293.160175,240.9795,182.9294625,213.026008255159,181.03205,193.1136,166.13845,202.485225,154.129,242.3877,4.0914643367798,4.18994765980915,1.16452541511819,1.06673707777159,0.219742125907611,0.0932046341408386,"KIRC"
"ZNF8",0.632688096859896,0.838764715553494,0.750213919021524,91.2197292887029,74.34134375,87.6493985611511,5.58658795564215,7.19981566935321,3.4790798716823,66.2622,53.412475,61.297075,101.0311,101.081075,104.670675,77.10235,88.7989020637899,74.98515,81.2526,65.03055,87.137475,63.464,102.8613,2.09864723536135,3.10042096999398,1.15170162859874,1.08358254934477,0.203767006106926,0.115809064824138,"KIRC"
