"gene","p-adj-M1-M0","p-adj-MX-M0","p-adj-MX-M1","mean-M0","mean-M1","mean-MX","SEM-M0","SEM-M1","SEM-MX","Q1-M0","Q1-M1","Q1-MX","Q3-M0","Q3-M1","Q3-MX","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF195",0.0786369789587752,0.866169527867728,0.701433200657771,388.514596674584,424.198659493671,401.303441935484,6.38977063568241,15.8042289266997,29.3634542726663,306.6054,328.80205,292.40395,440.1114,505.3245,448.8156,279.601509722222,393.584038649156,279.29735,370.1165,251.8708,307.720025,308.9534,446.9503,5.1374873831239,5.85345956584637,1.40766063473753,1.32517010992048,0.493299564377168,0.406177567967265,"KIRC"
"ZNF263",0.948880685543851,0.000153333444849357,0.000549810407919349,648.880904275534,642.951594936709,767.895551612903,8.00652841576026,13.8502845417518,22.0640205364459,557.6326,574.2242,680.65815,716.2956,712.91385,851.58845,535.674933333333,654.943215572233,531.28585,640.872,491.378525,574.4925,566.5078,721.7343,8.11842045568337,6.86062652908743,1.22265048225559,1.20626589245695,0.29001204116372,0.27054794989806,"KIRC"
"ZNF200",0.509354405453039,0.417461521579131,0.188015100861634,193.25151543943,198.523302531646,184.1411,1.85171794315895,4.94677055697119,6.35643582775317,170.1012,169.7168,164.54705,214.0266,222.30615,201.47115,163.339208333333,193.443140525328,159.26775,192.6445,140.9493,184.3294,168.7345,214.5733,3.49730272296345,1.67954698331456,1.18430315965877,1.20956376918742,0.244038431433593,0.274486831380896,"KIRC"
"ZNF582",0.0500030677544415,0.994466150123771,0.31719930787025,35.798593824228,29.1288658227848,36.2307258064516,1.20513798859956,1.75361183595474,2.75966927143811,21.5545,19.3322,21.54,44.499,35.7359,46.7083,73.1525319444444,34.9540392120075,74.0719,31.5849,65.5881,81.2444,21.3451,43.8008,1.41972678759803,1.00561961609936,0.477824051784746,0.426408665094321,-1.06544861966732,-1.22969133933815,"KIRC"
"ZNF285",0.0141090902992107,0.115303419584347,0.00227757883307578,49.1602448931116,37.4968556962025,61.6959806451613,1.64259936340174,3.12651489721461,8.47545907662192,23.3329,17.32925,35.85505,66.3391,51.4041,65.26035,73.4570277777778,48.1811600375235,71.5477,40.4943,61.850925,85.227125,22.8903,64.9351,2.31781695649915,1.47689716000811,0.655909468366745,0.565976264785591,-0.608431393689719,-0.821186542526541,"KIRC"
"ZNF275",0.935077470432503,0.000771802311627434,0.00738608816577357,630.523801662708,619.168565822785,449.147916129032,13.4104377914003,28.9202237580566,15.6493314996995,494.1215,477.51585,393.4841,700.399,665.5546,509.1778,724.963106944444,617.86222739212,723.6172,575.1614,657.29065,798.026875,481.5912,683.8161,15.2470473932382,11.6097499262402,0.852267131214814,0.794842079486226,-0.230622400967716,-0.331259843010506,"KIRC"
"ZNF37A",0.982645902197403,0.0493110447581212,0.0770177445290687,533.454858907363,537.778934177215,446.68985483871,10.0206482354365,19.9111165780434,22.7403650552421,404.3909,397.7316,346.00085,655.3175,626.30535,543.0163,529.032490277778,528.337875609756,523.61735,516.4233,456.6921,627.669525,395.814,644.646,14.4876536067737,8.59659295409322,0.998687009435551,0.986260863968698,-0.00189548962855201,-0.0199588079413009,"KIRC"
"ZNF510",0.00174238057967657,0.00764653385871006,0.793400082419652,293.607883610451,253.752337974684,240.811306451613,4.72032229028385,9.30094517978655,15.0562692023121,226.5154,191.58015,199.44305,352.9953,308.46595,271.0367,338.743883333333,284.303944840525,331.99645,276.1905,294.18355,382.326475,219.7981,343.6714,8.27502636692417,4.14393028718568,0.839288792591311,0.831907991787262,-0.252760778918431,-0.265504118362839,"KIRC"
"ZNF506",0.623113846914399,0.100233348986631,0.413646529575134,419.471466270784,406.007351898734,374.178132258065,5.98745726409026,12.2403779937296,12.2117675456309,335.016,339.50785,330.85965,481.6044,455.55805,427.85075,423.232366666667,414.503476172608,428.6345,404.5643,378.3097,454.426275,335.016,475.0441,8.3098497911436,5.13473544925512,0.979375654648517,0.943844464223015,-0.0300657609546235,-0.0833789568910834,"KIRC"
"ZNF324",0.340391956385204,0.663101087909415,0.259494802939546,146.93823064133,140.869186075949,152.615132258065,1.75833525632481,3.25530817120024,7.01909893160694,125.4315,122.99075,116.7218,166.4504,154.8793,179.81395,163.405834722222,146.798342964353,163.05115,145.3955,146.79765,183.068625,125.1603,165.2465,3.03909732400361,1.54313233271827,0.898366592685622,0.891717108404326,-0.154623815259832,-0.165341998007571,"KIRC"
"ZNF671",0.00087668584606404,0.83524263893367,0.0253882901335198,250.057820902613,201.973487341772,261.524758064516,5.26798055992473,11.7189115649486,20.195717387981,166.7602,125.87135,162.43425,329.4702,273.7203,351.80575,160.401993055556,244.007199061914,174.7674,248.9937,118.17215,202.32955,154.9096,325.0825,6.78623098568976,4.70473222044206,1.52122298740641,1.42471479234686,0.60523164500584,0.510673141137691,"KIRC"
"ZNF416",0.00159455623700921,0.0472118603777089,0.997079480033622,123.035396199525,105.528224050633,104.894132258065,2.09515348222928,3.64082756040122,5.96276344295789,94.6617,84.0397,82.6231,147.0081,121.90405,130.24565,109.247329166667,119.471464915572,111.10555,117.5416,98.44775,121.505275,91.1392,144.1065,2.40202168519439,1.79960389508146,1.09358705450188,1.05792734926383,0.12906807004227,0.0812405570780283,"KIRC"
