"gene","T1a-T1","T1b-T1","T1b-T1a","T2-T1","T2-T1a","T2-T1b","T2a-T1","T2a-T1a","T2a-T1b","T2a-T2","T2b-T1","T2b-T1a","T2b-T1b","T2b-T2","T2b-T2a","T3-T1","T3-T1a","T3-T1b","T3-T2","T3-T2a","T3-T2b","T3a-T1","T3a-T1a","T3a-T1b","T3a-T2","T3a-T2a","T3a-T2b","T3a-T3","T3b-T1","T3b-T1a","T3b-T1b","T3b-T2","T3b-T2a","T3b-T2b","T3b-T3","T3b-T3a","T3c-T1","T3c-T1a","T3c-T1b","T3c-T2","T3c-T2a","T3c-T2b","T3c-T3","T3c-T3a","T3c-T3b","T4-T1","T4-T1a","T4-T1b","T4-T2","T4-T2a","T4-T2b","T4-T3","T4-T3a","T4-T3b","T4-T3c","mean-T1","mean-T1a","mean-T1b","mean-T2","mean-T2a","mean-T2b","mean-T3","mean-T3a","mean-T3b","mean-T3c","mean-T4","SEM-T1","SEM-T1a","SEM-T1b","SEM-T2","SEM-T2a","SEM-T2b","SEM-T3","SEM-T3a","SEM-T3b","SEM-T3c","SEM-T4","Q1-T1","Q1-T1a","Q1-T1b","Q1-T2","Q1-T2a","Q1-T2b","Q1-T3","Q1-T3a","Q1-T3b","Q1-T3c","Q1-T4","Q3-T1","Q3-T1a","Q3-T1b","Q3-T2","Q3-T2a","Q3-T2b","Q3-T3","Q3-T3a","Q3-T3b","Q3-T3c","Q3-T4","meanHealthy","meanTumor","medianHealthy","medianTumor","Q1healthy","Q3healthy","Q1tumor","Q3tumor","SEMhealthy","SEMtumor","foldChangeMean","foldChangeMedian","log2FoldChangeMean","log2FoldChangeMedian","tumor"
"ZNF195",0.999956516263392,0.999999998996144,0.999730029573066,0.999945509599899,0.746269828817941,0.978322134567658,0.99999999995891,0.999999987152566,1,0.999940346605406,0.999999782915098,0.999999999999586,0.999999975318921,0.999882895221451,0.999999996913061,0.999649818513421,0.999989485967792,0.999777580409815,0.988805561473228,0.999966574499305,0.999999973227078,0.999457739166948,0.244156857364841,0.79547685394963,0.999999999610778,0.999709491962003,0.999708032004943,0.980039658186522,0.999610418537506,0.607167872996412,0.936390548898671,0.999999998730434,0.999728952945291,0.999692978634156,0.981169811041095,1,0.999999822704478,0.999981288918361,0.99999862435043,0.999999999987875,0.999999194227889,0.999991233865419,0.999676451059025,1,1,0.984929857944661,0.755241959608772,0.908160496409951,0.9988932070072,0.989000074900637,0.992756187912664,0.919676102850091,0.999356079410206,0.999717243926218,0.999999991140461,389.358066666667,370.649738571429,383.021636607143,410.369589090909,381.93421,364.278275,339.36384,414.308501652893,415.647078846154,422.68035,448.202245454545,32.1735872290709,8.6540236327505,12.8119346853161,22.8185414048171,33.0000403040543,16.2857625316499,34.945697985383,11.6242313398815,22.8912703381868,48.67505,66.7495205753288,281.5335,298.044825,302.018425,291.52435,323.916675,361.09805,343.3476,334.0319,319.52005,398.342825,333.8482,461.5641,414.774675,446.04935,499.0114,379.661,379.459525,392.9648,464.2487,449.333375,447.017875,479.54305,279.601509722222,393.584038649156,279.29735,370.1165,251.8708,307.720025,308.9534,446.9503,5.1374873831239,5.85345956584637,1.40766063473753,1.32517010992048,0.493299564377168,0.406177567967265,"KIRC"
"ZNF263",0.35235712088629,0.932165829259745,0.814498639509399,0.322665820747741,0.999998370239176,0.811073341597233,0.999983150859821,0.990647749934398,0.999998128683257,0.976868434716577,0.99960046683323,0.999999930744114,0.99999999998437,0.999998112416417,0.999999724838417,0.999994173203922,0.999740413867569,0.999999994139856,0.998941664787873,1,0.999999985088845,0.323365887238463,0.999999999976235,0.773794374690649,0.999999922075823,0.987246773778472,0.999999812507048,0.999603516932831,0.317855572973009,0.99999645991301,0.805792834317394,1,0.974779980859406,0.999997487979591,0.998791533865341,0.999999763704937,0.967071863331273,0.999973517521794,0.998645695940434,0.999995759403811,0.996244295307259,0.999911787703433,0.998633985565463,0.999982500348072,0.999996581689039,0.983667551214765,0.999998972648439,0.999999938119021,0.999963769241081,0.999982376795378,1,0.999999439026943,0.999996719994108,0.999951427205411,0.999838342283427,735.562157142857,645.557137142857,680.522061607143,634.946558181818,702.84553,670.005225,697.67434,642.881776859504,633.819740384615,581.92995,665.462090909091,49.8198833029046,9.66797824764924,20.5260445051749,19.7420498251747,37.1995783525448,32.8595258817078,128.28903462564,11.4723647109523,21.4290582876913,24.29735,49.8524948399019,592.086,565.00645,575.168525,562.38615,601.7956,627.7494,556.216,557.7725,575.8946,569.781275,562.32105,857.0689,716.307175,733.6478,696.77065,779.39635,702.847725,750.2513,715.7866,716.59515,594.078625,799.9149,535.674933333333,654.943215572233,531.28585,640.872,491.378525,574.4925,566.5078,721.7343,8.11842045568337,6.86062652908743,1.22265048225559,1.20626589245695,0.29001204116372,0.27054794989806,"KIRC"
"ZNF200",0.923908502872907,0.694376960730281,0.998468772680041,0.795263947790498,0.999862938685526,1,0.925385277217599,0.999855885437525,0.999999838441491,0.999999832196466,0.99999999921982,0.999994379456705,0.999811519756624,0.999858739609906,0.999457753336291,0.992870612854282,0.999998963791998,0.999999999916062,0.999999999866323,1,0.999920884835091,0.981876441739054,0.999989909563148,0.962066056180575,0.993831976642466,0.998729559823626,0.999999700954767,0.999982700108047,0.92878862062807,0.999999998911829,0.999994770930656,0.999999287009902,0.999979755222111,0.999985120156284,0.999999882928742,0.999967280752962,0.999995875101079,1,0.999999999842264,0.999999999906481,0.999999952421669,0.999999975004884,0.9999999965273,1,1,0.999576465550545,0.636714676925412,0.398624109428729,0.479465324203958,0.681748407274236,0.999874244454864,0.916251783182762,0.776516427240165,0.648142667743851,0.999240138178791,206.940085714286,193.452072142857,189.10631875,189.299978181818,184.86455,202.856475,186.37214,195.900027272727,192.194996153846,193.65295,217.947481818182,6.22661267152185,2.8944917414714,3.53908632718624,6.54516582408207,14.5602835807644,19.3703392435606,17.1066202326059,3.64888282439846,5.01647507033092,5.94915,17.2892952134646,198.5841,167.5144,165.4357,159.619,164.572975,176.941375,160.071,172.2929,168.825075,190.678375,178.9779,213.2263,217.192325,207.527275,211.917,198.555875,215.0092,192.4177,222.0944,211.974225,196.627525,253.33235,163.339208333333,193.443140525328,159.26775,192.6445,140.9493,184.3294,168.7345,214.5733,3.49730272296345,1.67954698331456,1.18430315965877,1.20956376918742,0.244038431433593,0.274486831380896,"KIRC"
"ZNF582",0.0740908497669495,0.94964494780969,0.0728499581072276,0.999163759473249,0.0509312370285181,0.999717056118639,0.990232647515565,0.998009758806016,0.999999959622707,0.999929958250002,0.999999997867651,0.982401705306092,0.999998300032066,0.999999999537761,0.999986681188197,0.999996101543538,0.580615990203984,0.979328244321467,0.997364123782264,0.982714781653855,0.999988594358273,0.999198222436587,0.00112505224131665,0.993719768053318,0.999999999997699,0.999786138950471,0.999999999926892,0.997719193649899,1,0.000568310212542666,0.683944772929332,0.992615410954426,0.979787722094086,0.999999997582489,0.999991679760744,0.987726361355443,0.99939667539046,0.753754800880828,0.970593427454703,0.990233790152518,0.967100643478206,0.9992572183753,0.999998047244304,0.991137274082471,0.999188490387469,0.998960520929461,0.966822179537622,1,0.999999910039704,0.999999987210043,0.999999798403472,0.995447839871769,0.999999337516644,0.997549070331529,0.985071010725637,27.2725047619048,43.71145,34.7886544642857,32.0664872727273,36.9425,29.915725,22.07754,31.6691661157025,27.3696730769231,13.94935,34.4051363636364,3.07847779798545,2.65695236587674,2.01020049894098,3.18251541678821,4.36295784483162,10.9820425881205,4.8599244714913,1.31756455822435,1.96821122105892,0.0236499999999999,8.33505799410781,18.5185,30.37075,21.39715,18.6939,27.3048,17.413575,13.3794,22.4339,16.72175,13.937525,20.2727,34.8718,51.586475,41.4392,40.16345,46.80665,35.49025,33.4271,39.5778,37.668525,13.961175,41.88885,73.1525319444444,34.9540392120075,74.0719,31.5849,65.5881,81.2444,21.3451,43.8008,1.41972678759803,1.00561961609936,0.477824051784746,0.426408665094321,-1.06544861966732,-1.22969133933815,"KIRC"
"ZNF285",0.552450221609743,0.837111273587357,0.9995926569123,0.999276331529391,0.759790877380017,0.983727260529023,0.878224686084615,0.999999618846056,0.999899244740501,0.983091460048805,0.999999730317539,0.957010431132967,0.985654221858011,0.999542077494483,0.95576179810878,1,0.991976986351735,0.99870551876204,0.999997982059593,0.989841243812966,0.999999948959871,0.999804920062023,0.205796449345858,0.770822553020475,0.999999984202033,0.953766201948603,0.999802808165973,0.999999749029524,1,0.0883069177689448,0.392802017006956,0.994165129887617,0.797184872372381,0.999999379909716,1,0.997048913440071,0.99999870703729,0.999999974112609,0.999999999968901,0.999999999980648,0.999998842012646,0.999970072055399,0.999999688289059,0.999999999176341,0.999998659343063,0.999999995304135,0.736208427015723,0.902217130043797,0.998375666351145,0.876935260849045,0.999999999634024,0.999999999739118,0.999364596981711,0.999999968950397,0.999990176862438,38.492419047619,55.3868742857143,52.1316482142857,45.5228363636364,59.3927,32.048825,38.73362,44.0842537190083,38.7246288461538,48.7635,35.5804545454546,5.62250495181395,2.76021441655351,3.6387020736927,5.29894282252155,20.4858853787187,19.795800912541,12.167196870208,2.63149618322948,3.57604676651884,4.3338,8.14252507421672,20.2038,32.842675,20.0048,12.9758,23.06835,12.16675,13.5908,23.5741,22.263075,46.5966,16.31785,51.827,71.571475,71.08965,60.42235,62.3693,35.396625,62.7611,56.63,50.32175,50.9304,55.19925,73.4570277777778,48.1811600375235,71.5477,40.4943,61.850925,85.227125,22.8903,64.9351,2.31781695649915,1.47689716000811,0.655909468366745,0.565976264785591,-0.608431393689719,-0.821186542526541,"KIRC"
"ZNF275",0.999999997691533,0.983857613499322,0.76376210639452,0.999257471251525,0.995942357353107,0.999997121085061,0.999997522396703,0.999869306765056,0.956058363060319,0.991051492340188,0.999999999999727,0.999999999010051,0.999897084733568,0.999991586600504,0.999999998842592,0.999999999989164,1,0.999994178615171,0.999999909128709,0.999998302502209,0.999999999808796,0.998335132927778,0.969576384648067,0.99998197901906,1,0.986815327165604,0.999988963124582,0.999999864942714,0.999999999994352,0.999999999991511,0.919948017858303,0.997844296010399,0.99996696744774,0.999999999912918,1,0.991562964425427,0.999999999995283,0.999999999296373,0.999988575898422,0.999998760688439,0.999999999997818,1,0.999999999668111,0.999998522015748,0.999999999870362,0.681804725236506,0.534478911633488,0.946233942548654,0.894576136745314,0.613999741068788,0.963235335786498,0.978675116439644,0.865446106454005,0.579131993388162,0.993338944976679,576.158880952381,589.654428571429,651.664180357143,631.998729090909,530.98115,562.804025,592.906,632.676376859504,584.318109615385,553.22195,770.770836363636,25.6578685450409,13.6172722532712,33.4783049512723,57.0840604942218,53.381158318662,65.2138109296307,43.0891617267382,21.6758344573215,20.9474946342666,20.38545,120.513893324488,511.2179,477.865,502.31175,440.2728,400.618025,487.281375,551.4967,503.0769,470.585625,543.029225,562.71665,627.3002,685.98525,669.846,631.74025,635.194475,642.62145,650.41,710.1344,664.5628,563.414675,884.9802,724.963106944444,617.86222739212,723.6172,575.1614,657.29065,798.026875,481.5912,683.8161,15.2470473932382,11.6097499262402,0.852267131214814,0.794842079486226,-0.230622400967716,-0.331259843010506,"KIRC"
"ZNF37A",0.999588027707257,0.999877783095105,0.999999999899437,0.973158406192645,0.997618495545065,0.994931789304536,0.999907853056801,0.99999999795721,0.99999997737987,0.99999999581667,0.999999155164613,0.999520432835036,0.999707662103305,0.993971949404075,0.999479524854761,0.999997967748469,0.998775440718773,0.999248808423767,0.986608489720534,0.998984061860919,1,0.989258007413243,0.999786978975168,0.999194170535825,0.999999496342866,1,0.997332269634266,0.993623045527392,0.956617913325982,0.992423663881209,0.986456873361908,0.999999999976949,0.99999993169063,0.991376556188281,0.981275234836292,0.999986782628374,0.293160773426422,0.134873522132495,0.146306674548399,0.0852241804501171,0.189151514796132,0.711305815971512,0.665657289025778,0.0990015035332018,0.07772014992374,0.999754589329747,0.9999999636833,0.999999760031152,0.999999999632539,1,0.999160575428841,0.998347452004294,1,0.999999986710825,0.169924257469941,569.963942857143,534.797366428571,538.733499107143,505.497281818182,521.0356,612.3184,612.2703,517.467838016529,500.317611538462,939.03715,517.179136363636,46.9440367848765,14.2217694597999,18.8972531196095,36.2056299244233,53.7092490903403,144.017107725871,79.3358610253711,14.6048432668481,26.1699057624218,636.64985,87.127272882947,419.9513,422.51045,421.7952,366.19485,413.018075,527.509675,468.8442,399.3052,338.79975,620.712225,298.68415,718.1581,634.175325,682.591925,629.1981,602.30455,790.820075,722.0943,615.9123,595.131225,1257.362075,666.50075,529.032490277778,528.337875609756,523.61735,516.4233,456.6921,627.669525,395.814,644.646,14.4876536067737,8.59659295409322,0.998687009435551,0.986260863968698,-0.00189548962855201,-0.0199588079413009,"KIRC"
"ZNF510",0.999995592313819,0.999998031355553,0.852606321550799,0.999795842171822,0.768436366695133,0.999994617674307,0.999999409676168,0.999999999996893,0.999636971623555,0.997251931258643,0.999999704730687,0.999956251864511,0.999999999658735,1,0.99996998047773,0.999997700854407,0.999758966682021,0.999999989381285,1,0.99988287841311,1,0.947536795975408,0.0181049369008118,0.808036735949032,0.997659378732971,0.935014249489841,0.999999975167521,0.999999989346782,0.70142325353333,0.00947215960046655,0.397094746655355,0.864803927142501,0.741936177304547,0.999960583755773,0.999952923952807,0.995723807108459,0.314543968529107,0.186144992108194,0.345140431620211,0.431208676522867,0.270711347926423,0.715223324854531,0.690120082104307,0.565994684206785,0.74063502718608,0.998927430944909,0.957969588717454,0.999856401804818,0.999998731362699,0.99341470550283,0.999999998096883,0.999999999534635,1,0.99997974833165,0.660612150278311,298.3064,308.589065,288.698580357143,281.310892727273,312.01317,280.181075,277.8745,267.064085123967,251.436605769231,124.88495,268.560018181818,23.0748765928052,7.50770656720265,9.07605588480926,17.2565022394651,27.006848243416,90.2395326141337,24.15315452354,7.55715523934331,11.1636367617802,22.76295,25.2454284367859,239.386,238.419925,226.8952,198.363,256.145125,127.104675,244.7236,204.0951,189.533675,113.503475,196.90575,355.1744,383.42085,346.21035,313.5101,360.8272,435.36935,302.3846,330.5182,290.1308,136.266425,310.40755,338.743883333333,284.303944840525,331.99645,276.1905,294.18355,382.326475,219.7981,343.6714,8.27502636692417,4.14393028718568,0.839288792591311,0.831907991787262,-0.252760778918431,-0.265504118362839,"KIRC"
"ZNF506",0.999999999957482,0.999999995238767,0.999802299966898,0.999999844490033,0.999660245898422,0.999999999616118,0.999930075389649,0.999042917775647,0.999974545571621,0.999996692950731,0.999999999158955,0.999999973457487,0.999999999998978,1,0.999999996157335,0.998293040561238,0.993523926524978,0.998857991351034,0.999525123278701,0.999999463243672,0.999990381732395,0.999998891836251,0.994093853276744,0.999999920992954,1,0.999997476969533,1,0.999554225568561,0.999999954392113,0.999865558622665,0.999999999992899,1,0.999994452998335,1,0.999417152210238,0.999999999992223,0.995413254770034,0.991160979490599,0.996692481934932,0.997867399993097,0.999894987719777,0.999678597587115,0.999999641319516,0.997985949923597,0.99762117167174,0.999986631003801,0.999712050682256,0.99999731507526,0.999999825904871,0.999999999998501,0.99999999992639,0.999995743623616,0.999999898817777,0.999999632020393,0.999754968101719,421.433676190476,425.453329285714,414.864972321429,411.336723636364,392.79084,408.7827,368.3115,410.04846446281,412.453019230769,332.43595,398.185027272727,23.5066323188361,9.7750030158985,10.9177440591452,18.9016413588362,22.6411590076529,35.4875741855277,33.899885368582,10.0979183674182,19.3679722815039,6.17605,45.1291933624447,325.9073,342.498725,340.6869,323.82645,359.6401,385.0282,336.6834,331.7131,328.00695,329.347925,329.62845,492.1725,480.864275,467.5472,471.2138,437.09435,457.6034,380.2638,478.3707,478.8135,335.523975,407.42755,423.232366666667,414.503476172608,428.6345,404.5643,378.3097,454.426275,335.016,475.0441,8.3098497911436,5.13473544925512,0.979375654648517,0.943844464223015,-0.0300657609546235,-0.0833789568910834,"KIRC"
"ZNF324",0.196824630295753,0.999997949041957,0.00155709124165493,0.99999999975922,0.0102440146827928,0.999999687153879,1,0.754284577968951,0.999999997875055,1,0.999551016618627,0.999998151947526,0.999933528984156,0.999734592884826,0.999894280577531,0.999971465995811,0.637930384777617,0.998989804452219,0.999805879704227,0.999968366723137,0.993881062102093,0.999999501890992,0.000651028203887849,0.999999999997121,0.999999978236874,0.999999999775262,0.999898536610651,0.999265401418337,1,0.00354078769216959,0.999818572310761,0.9999999388919,0.999999999980675,0.999069133132591,0.999968714397603,0.999939890961644,0.968088588167556,0.473251122356045,0.921050320972241,0.947932801549759,0.970894969324056,0.883118968504188,0.999241499950954,0.927167360110845,0.96533343290989,0.999999962365574,0.390034692707689,0.999884185269486,0.999996502669632,0.999999897537717,0.998226815856156,0.999999859446298,0.999938283389323,0.999999971201772,0.989787849680911,139.50090952381,161.563150714286,143.059207142857,141.029798181818,140.60958,154.056825,129.68026,142.557150413223,139.012161538462,105.9859,135.805309090909,10.0460776539852,2.82100949898622,3.25959290576851,4.95352559992385,8.62271659707723,27.2688856324192,18.8497837023558,2.95493201324351,5.23969983917751,2.5376,7.26903286327386,121.3992,139.961375,119.228225,118.38025,118.187275,132.607075,94.4206,125.1603,113.43505,104.7171,125.2605,171.13,181.562575,159.14565,161.8881,162.61585,175.92605,152.968,153.8115,165.54445,107.2547,143.6865,163.405834722222,146.798342964353,163.05115,145.3955,146.79765,183.068625,125.1603,165.2465,3.03909732400361,1.54313233271827,0.898366592685622,0.891717108404326,-0.154623815259832,-0.165341998007571,"KIRC"
